"视频BV号","视频标题"
"BV1ZN4y1x74v","《原神》线上音乐会2023 - 无际之旅的旋律"
"BV1Ri4y1a7nU","原神×三星堆博物馆联动短片-「古物见闻」"
"BV1AW4y1F7ZL","《原神》拾枝杂谈-「娜维娅：新航的启幕」"
"BV1pG411Y7Jv","《原神》角色演示-「娜维娅：非官方追缉」"
"BV1si4y1a7Lz","原神×三星堆博物馆联动PV-「仰观千秋 俯察万象」"
"BV1Rj411p7b1","《原神交响音乐会2023》上海场官方录播完整版"
"BV1hu4y1T7wz","《原神》娜维娅角色PV——「特邀嘉宾」"
"BV1pN41157Ah","原神音乐会2023 - 无际之旅的旋律（预告片）"
"BV1zQ4y1V7y5","《原神》4.3版本「蔷薇与铳枪」前瞻特别节目回顾"
"BV1GC4y1X77i","《原神》4.3版本PV：「蔷薇与铳枪」"
"BV1AQ4y1V7bV","《原神》「流光拾遗之旅」——尘世篇·蛋雕"
"BV1Zw411P7uK","水的轻语——《原神》「轻涟」系列创作的幕后"
"BV1vu4y1b7Y9","《原神》过场动画-「罪人的终幕」"
"BV12w411W7i2","《原神》过场动画-「吞星之鲸」"
"BV1pa4y1S77e","《原神》「流光拾遗之旅」——尘世篇·麦秆画"
"BV1ng4y197g4","【阿云嘎】原神剧情曲《轻涟》（法语演绎版）"
"BV1cH4y1B7rH","【谭维维】原神剧情曲《轻涟》（中文演绎版）"
"BV1eG41197wb","【胡夏】原神剧情曲《轻涟》（中文演绎版）"
"BV1wC4y1n7Bu","【尚雯婕】原神剧情曲《轻涟》（法语演绎版）"
"BV17N411g7Ft","《原神》游戏剧情EP「轻涟」MV"
"BV1Jg4y197YW","《原神》剧情PV-「轻涟」"
"BV1Jc411R7gi","《原神》拾枝杂谈-「夏洛蒂：独家报道！」"
"BV1XQ4y1n7hp","《原神》拾枝杂谈-「芙宁娜：镜中影」"
"BV1ZG411X71k","《原神》角色演示-「芙宁娜：世界皆舞台」"
"BV1EN411G7km","《原神》EP - 百草余芳之忆"
"BV1oa4y1X7Zt","《原神》芙宁娜角色PV——「戏中人」"
"BV1su4y1776b","《原神》角色演示-「夏洛蒂：爆炸新闻！」"
"BV1EM411Q7pS","《原神》4.2版本「罪人舞步旋」前瞻特别节目"
"BV1Cc411d7EX","《原神》4.2版本PV：「罪人舞步旋」"
"BV12N411x7pe","《原神》寻味之旅——「璃月食集」第五期"
"BV1Eu4y1p7EU","《原神》剧情PV-「清泉之心」"
"BV1YG41127GD","《原神》拾枝杂谈-「莱欧斯利：今时新规」"
"BV1H34y1g7oE","《原神》角色演示-「莱欧斯利：即兴发挥」"
"BV1ou411K7QC","《原神》莱欧斯利角色PV——「必要流程」"
"BV1o84y1U7jC","旅人的徜徉——《原神》枫丹音乐的幕后"
"BV1kw411m7TV","《原神》过场动画-「为时尚早」"
"BV1uu411g7eA","「原神交响音乐会2023——上海梅奔场」精彩回顾"
"BV1DC4y157Jc","《原神》「流光拾遗之旅」——仙闻篇·顾绣"
"BV1iu4y167di","《原神》提瓦特冒险纪念视频：旅行三周年手札"
"BV1bp4y1F7wQ","《原神》拾枝杂谈-「那维莱特：古世行律」"
"BV1FC4y1f7hW","《原神》角色演示-「那维莱特：万水归一」"
"BV1iP411b7fH","《原神》那维莱特角色PV——「水中之眼」"
