"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"少终末","保密","山东","406274369","5","","10000","3943","","很不错，用这样和游戏相结合的方式确实能吸引更多的人了解这些传统文化。说实话，要是电视上直接放这样有关传统文化的视频，我多半是看不下去的，但是和自己感兴趣的事物结合在一起，就很让人印象深刻了。（题外话：我今天早晨还在想，要是数学课本上都是美少女讲知识点我肯定可劲学（笑"
"没钱谈什么学习","男","山东","401138205","5","至尊戒","10000","5071","","吃瓜吃到自己老家了，活了将近二十年还不知道我的家乡还有这样的非遗，向我爸爸打听才知道我爷爷有木板年画的收藏……[热词系列_知识增加][热词系列_知识增加]总之感谢米厂了，上次的黄山鱼灯我就很惊讶最后一个场景居然是我去过的景点，这次又是我家乡的非遗……也算是涨知识了"
"喻墨卿","女","江苏","17359085","6","","10000","400","","上链接原宝！我真的很需要在家里放个五夜叉年画[未来有你_好耶][未来有你_好耶][未来有你_好耶]"
"烟雨苏缇","男","中国台湾","28539909","5","","10000","12738","","mhy，看到我手上的648了吗？鱼灯和年画，爷看的高兴，赏你了[原神_欸嘿][原神_欸嘿][原神_欸嘿]"
"Sen-Henry","保密","安徽","501448154","5","2233白色情人节","10000","3021","","每期视频都很吸引我，璃月的bgm配上视频内容真不错，特别是海灯节那个音乐，一起整个视频画面和背景音乐融合在一起真的爱了[给心心]。感谢原神让我能够看下去关于传统文化的背后历史和这些手艺的每个环节，把游戏和雕刻的任务故事联系起来真的好棒哦！,最后祝大家新年快乐，下半抽卡胡桃夜阑补歪哦！[原神_比心]也希望我抽凌华不歪[原神_1摩拉]"
"bdmbws","保密","未知","113157","5","","10000","5496","","几个术语解释：,刻刀：分单面刀和双面刀。一种斜刃双面刀。它锋利无比，“吃线”准确且富有弹性。刻刀主要是用来起线的，即作刻线条的专用工具。,立刀：又称裁刀子..."
"李扬Liam","男","广东","127572","6","","10000","1953","","拍摄时正是疫情严重时期，整组人都阳了在发烧，扛着摄影机和米哈游的小伙伴一起撑到了最后[脱单doge]"
"哎呦呦哈哈哈哈","男","河南","87644933","6","","10000","180","","做这个系列真的挺有格局挺有意义的，本来原神的受众就是青少年群体居多，大多数人都不会专门的去想要了解这些非遗的，现在这样寓教于乐，把游戏内容和非遗文化结合在一起，真的挺好的，宣传效果也很不错，也能更好的让年轻人了解和喜欢我们的传统文化。"
"把酒不祝东风","保密","陕西","331784986","5","","10000","7116","","怪不得前两天在老米参观的时候看到了这些雕版！[喜欢][喜欢]"
"禁闭可莉爱炸鱼","男","山东","11639808","5","","10000","49","","其实很多非遗文化缺少的就是关注度，尤其是对于年轻人来说。,比较功利性的话，就是能够在这个流量时代仍然保持对于非遗文化的传承与保护，确实是大毅力者。至少以个人来说，哪怕是坐在那里不耗心力去打印画都坐不住，更别提还要细心雕琢。,而且，精心雕刻出的年画如果没人赏识就更是人生一大憾事。现在的工艺确实快也好，但传统的工艺仍应该保留，因为那是国人一步步走过的历史岁月。,只有铭记过往，才会有更美好的未来。"
"炎言MY","男","上海","424485785","5","","10000","147","","我刻过橡皮章，橡皮章在一块大橡皮上用刻刀刻出各种图案，橡皮很软但不好刻。虽然我没刻过木板，但刻橡皮时我就很容易将线条刻断、刻粗、刻细，下刀时也容易过于用劲或劲过轻，木板我也能想象出来多难了，所用工具也比橡皮章多很多！橡皮章套印叫套色，我没套色的能力但看过很多套色视频，视频里的木板版画套印看起来也要难上不少，非遗文化真的不容易，希望多多传播[打call][打call]"
"莫烦吖","保密","河北","21677076","6","","10000","1455","9","刚看开头年画还以为是我家乡[保卫萝卜_哇][保卫萝卜_哇]我家乡武强年画也是木板雕刻，我小学时还去参观过印刷过程[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]印象比较深的就是那个《六子争头》，三个脑袋三个身子用不同的视角看可以看到六个孩子"
"拔剑风芸起","保密","河南","1482185581","5","崩坏：星穹铁道","10000","162","","很认真的看完了，不过，有时我也在想，“文化”这一厚重的历史意物，和“游戏”联系起来是否有所浮夸？仔细想想，那些古老的文化，大都在当时的时代背景下有着各自的意蕴，因为“意义”才会不断传承，因为这不断的传承，才有如今如此灿烂的文化，过去有过去的形式，如今有如今的形式，有时候我们是否又太过在意“形”，而逐渐抛弃了其中的“意”喃？,一想到这个视频使我明白了这其中的“意”，一时间倒是释怀了，也希望以后的人们对“游戏”有着更多、更深的见解吧"
"仁浮众-白冕先生","男","甘肃","1818997808","5","","10000","41","","文化传播有三道，一种是借他人之口传播，如美式中餐，随然别有一番风味但早已失去了核心，成为别国文化的附庸。,第二种，是表面上的功夫，却无内涵，如一款游戏，用的是古人的名字，穿着古人的衣服，但还是肤浅，完全没法深究，丧失了兴趣。做不好，就成了魔改。,第三种，是以内涵为主，推陈出新，不仅发扬传统文化，又切合时代主题。涛涛前浪已逝，留余音，福泽后人，滚滚后浪涌来，传薪火，千秋大业。"
"淼无处","保密","安徽","666748498","5","","10000","237","","非常感谢米哈游能搞这些，之前看鱼灯，我一开始以为是四川的，后来听人声口音，感觉像河南的，后来又感觉是浙江江苏的，最后豁然想起安徽好像是有的，然后感觉无比丢脸[笑哭]"
"申伟人","男","上海","11640761","6","明日方舟","10000","182","","快快搞个四国语言，这样外国人探究的时候就会疑惑，黄帝？这是中国哪个朝代的君王？然后一探究才发现，乖乖，这么久之前，不是所谓的4000年啊，想看外国人的反应，好骄傲啊，我们历史那么悠久"
"爱唱小虫的歌","男","湖北","1822474","6","碧蓝航线","10000","479","","看军事类，我们虽然喊着说上链接，但是都清楚是不可能的，但是这个可以啊，这个可以上链接啊！！！！！贴自己房间里没问题的！！！！！！！！寓意还好，老一辈问起来还能说“这是中国非遗，上面画的是镇宅的大能”。[脱单doge]"
"陶典典","女","山东","370910889","6","星座系列：水瓶座","10000","106","","木版画,中国民间的木版刷印画,中国民间的木版刷印画(简称木版画，是个大千世界。不仅历史久，数量大，而且形式多样。在近代印刷术兴起之前，它是唯一可藉雕版刷印大量复制的艺术传播形式;在有了近代印刷甚至现代印刷之后，木版画的社会职能虽然明显地缩小了，但是并没有完全退出历史舞台，仍以其特有的魅力流传干世。因为艺术的特色是无法被别的东西所取代的"
"香奈儿菊花茶","男","广西","607355599","4","","10000","630","","板画诶[星星眼]我们美术老师的作业，哇！支持非遗！[星星眼]"
"泠彡","男","河北","699875401","5","","10000","57","","木版年画—自百度[doge],木版年画是中国历史悠久的传统民间艺术形式，有着一千多年的历史。到了清代中晚期，民间年画达到了鼎盛阶段。,,在中国民间，年画就是年的象征，不贴年画就不算过年。年画已不仅是节日的装饰品，它所具有的文化价值和艺术价值，使它成为反映中国民间社会生活的百科全书。【1】,,木版年画发展到清代中晚期，出现了大大小小几十个产地，其中著名的有：重庆梁平、天津杨柳青、河北武强、山东潍坊、苏州桃花坞、河南朱仙镇、四川绵竹、山西平阳等地。清末民初年间，年画的使用地区覆盖了除西藏以外的全国各地，包括台湾在内【1】。,,2006年5月20日，朱仙镇木版年画经国务院批准列入第一批国家级非物质文化遗产名录。2008年6月7日，木版年画经国务院批准列入第二批国家级非物质文化遗产名录。,,2019年11月，木版年画入选国家级非物质文化遗产代表性项目保护单位名单。"
"往生堂服务包您满意","保密","山东","356154684","5","","10000","133","","看看这次吧友能把年画送到哪里[原神_喝茶]（上次把鱼灯送日本是真的难绷，还有把金丝虾球当成天妇罗送出去）"
"一条司魚","男","四川","1061211694","5","","10000","94","","原宝多印几个拿去卖叭！真的很喜欢！（也可以做几个五夜叉的面具印章拿去卖？定20块钱一个）[无悔华夏_点赞]"
"千风落羽","男","四川","646134031","4","","10000","109","","一个做游戏的动漫公司把动漫包给其他公司做，然后自己来拍记录片[doge][doge]"
"不会做饭的将军1","男","河南","415763117","5","","10000","64","","这是什么人才呢?[脱单doge][脱单doge][脱单doge][藏狐]"
"仲田须","保密","上海","8452999","6","","10000","75","","接下来轮到8U发挥。,这次又要把老传统送给谁呢？[惊喜]"
"一加手机","保密","四川","9535164","6","","10000","61","20","原来你也在加班[原神_哭哭]"
"李扬Liam","男","广东","127572","6","","10000","1953","","拍摄时正是疫情严重时期，整组人都阳了在发烧，扛着摄影机和米哈游的小伙伴一起撑到了最后[脱单doge]"
"吾乃天使sama","保密","山东","23878951","6","2233幻星集","10000","355","11","山东省潍坊市寒亭区杨家埠，年画很出名的，这是我家年年都贴的灶王爷！就是杨家埠的！[给心心]"
"莜uuuu","保密","广东","188997450","6","","10000","59","","怎么办，看到这个忍不住又想氪一单了[妙啊][妙啊][妙啊]"
"bili_1314356875","保密","山东","1314356875","4","","10000","75","","把木版年画说成浮世绘之外，记得还有把胡桃道教往生印说成抄袭火影忍者结印的!？"
"馗宝最可爱","保密","福建","1444182308","5","","10000","35","","原宝，什么时候把皮影戏安排下[大哭]看到纸映戏是虬髯公那叫一个激动的啊[大哭]终于能看到我馗宝了@原神"
"事散兵大人的狗","保密","广东","275342022","6","","10000","53","10","章都刻了，不多印几份量产么[热词系列_知识增加]"
"景天_sedum","男","河北","19590907","6","","10000","42","","这个账号逐渐失去了一个游戏官号该有的样子[doge],你干的好啊马哈鱼"
"N_D_Helimely","保密","北京","487326843","5","","10000","41","","蹲一手8u的文化送出，我看能送到哪儿去[脱单doge]"
"莫烦吖","保密","河北","21677076","6","","10000","1455","9","刚看开头年画还以为是我家乡[保卫萝卜_哇][保卫萝卜_哇]我家乡武强年画也是木板雕刻，我小学时还去参观过印刷过程[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]印象比较深的就是那个《六子争头》，三个脑袋三个身子用不同的视角看可以看到六个孩子"
"Tirste_旧约","男","河北","437253510","5","公主连结凯露","10000","58","","垂死病中惊坐起！[歪嘴]"
"八角__灬酱","男","黑龙江","587368941","5","原神","10000","32","10","原宝一直很注重文化呢，也很期待未来的《流光拾遗之旅》，今年《神女劈观》也要上央视春晚了！希望2023也要再接再厉呀！"
"Leavithian","男","广东","14198840","6","hanser","10000","38","","已经被说成是浮世绘送给日本辣"
"__未末__","男","湖北","327092753","5","","10000","30","","虽然工业依然是社会生产主要方式，但在工业成熟，人们开始追捧手工奢侈品的现在，我们的文化底蕴还是非常占优势的。希望更多非遗技艺可以踏着资本噱头的风，把正经的匠心与“奢侈品”发扬光大，恢复第二春。"
"速效救心丸子汤","男","河南","427522658","5","","10000","32","","米哈游是不是接下来每年可以去各国寻找一些不要钱的传统做做记录片，把各国的玩家深深套牢。[doge][doge]"
"花雨妲","保密","山东","617187192","5","纳米核心","10000","32","10","8u：百度搜索；日本，板，画,好的：浮世绘"
"聚和铠","男","贵州","1682567816","3","","10000","100","","希望大家了解（以下复制的）,日本国花---樱花（中国原产，可查）,日本国鱼——锦鲤（中国独产）,日本国画浮世绘——中国原创的木刻水印画流派（日本偷的一模一样）,日本的“和纸”----中国宣纸（中国严防技术外泄，到1984年日本用手段偷到技术，起名叫和纸，日本到今天一直都在偷汉文化）,日本国名英译–––中国漆器（七千年漆器文化被偷）,日本首都东京---山寨的的东京汴梁（开封）,日本的和服---中国汉服里的吴服曲裾直裾。,日本文字——汉字唐朝乐谱音符,日本的建筑和氏木屋---就是汉式建筑的山寨,日本的空手道---中国福州的唐手,日本的“和算”---中国发明的数学体系《九章算术》春秋战国九九表就普及了,日本清酒---生淮南则为橘,日本的书法水墨画---不用说了（中国的）,日本的筷子---中国筷子（古代叫箸），日本现在还叫着“箸”,围棋麻将---不用说了（中国的）,日本琴谱---抢走中国所有的工尺谱，刹光太常寺的所有乐师，导致汉族雅乐失传,日本的烟花---不用说了（中国的）,日本榻榻米---就是战国和汉朝的榻,日本神道教---中国道家分支阴阳家,日本武士刀-起源于中国汉朝环首刀和唐刀,日本的木屐---中国人早在四千多年前的良渚文化就穿了。,日本的武士道---春秋战国的死士（日本没学全缺乏人性）,日本著名《源氏物语》---白居易《长恨歌》,日本著名神话《伊邪那奇命和伊邪那美命》---中国伏羲和女娲的盗版。,日本的寿司---在公元200年即后汉年代就有，公元700年奈良年代传入日本。,日本的生鱼片---中国周朝就已有吃生鱼片（叫鱼脍）,日本能舞——中国傩舞,日本方便面——中国伊府面,日本木屐——中国木屐,日本和菓——中国茶菓子,日本抹茶——中国末茶,日本折扇——中国折扇（魏晋就有折扇使用，那时倭野人还在树上摘野果呢）,日本枯山水——中国盆景,日本拉面——中国拉面,日本生鱼片——中国鱼鲙,日本芥末——中国芥酱,日本花簪——中国绒花,日本酱油––中国三千年前就发明酱油了,日本相扑——中国角抵,忍者武器——中国的柳叶镖和燕尾镖,忍者结印——道家的捻诀结印,日本花道——中国花艺,日本面具——中国傩面具,日本百鬼——《山海经》中的百鬼出行。。。,日文平假名——中国草书,日本音乐——中国音律的变调,日本木鞋——中国木鞋,太多 省略。。。"
"wenskdhhd","保密","广西","1665883889","4","","10000","40","","8u们憋一口一个浮世绘的，木板年画有1000多年的历史，起源于唐代(7–10世纪)，并在民间不断流传发展壮大"
"朝日俱乐部","保密","宁夏","33090240","5","绯赤艾莉欧","10000","31","","上一个这么自由的，还是那个红头巾星条旗裤的男人♂……"
"有生之年能看到吗","男","安徽","315622780","5","","10000","70","","守护传承"
"给岁月-时光-以文明","保密","福建","1638207602","5","异常生物","10000","30","","我预测今天8u要送出，而且我还预测他们要送给的是日本的浮世绘,8u：百度搜索；日本，板，画,好的：浮世绘"
"咱亲爱的爱莉希雅","保密","浙江","1030206337","5","不思议之旅","10000","28","","非遗文化很少出现在科普节目之外，科普节目过于古板无聊，现如今看电视的人也不太多，就算有时间看电视，但看科普节目的人又少之又少，原宝的宣传很棒，且视频制作的也有引起年轻人兴趣的作用"
"商子贝","保密","山东","62382284","6","拉文克劳","10000","29","","山东旅行者跳了跳，露出了脑袋[给心心][给心心][给心心]"
"桑Sun桑","保密","山东","286044951","5","","10000","27","","喔！真的没想到原神居然宣传了下杨家埠木版年画[给心心]刚刚看了鱼灯的我还期待说不定我们这边的传统文化也能宣传一下，没想到就成真了！木版年画真的是需要宣传下了，我前年去了一趟杨家埠，真的是寥寥无人，希望木版年画能在不断创新与传承中发展下去，让更多的人了解到其中的魅力。另外，我们这里的风筝文化也希望原宝有机会宣传下哎[嘟嘟]"
"Cross-ZBuildForm","保密","河北","149458370","6","","10000","41","","前两年我还在博物馆里玩过印年画"
"Livety格子酱","保密","河北","527064825","5","","10000","24","","这就是春节档期的纪录片节目吗，哪个电视频道的"
"天空一号链接","保密","四川","2020402914","4","","10000","32","","8U:那不是人家日本的浮世绘吗！"
"窝下次还敢","保密","江西","356480305","3","","10000","27","","马上就要被8u送给韩国或是日本了。"
