"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"F2·NO","保密","无IP","4025739","6","","10000","4644","6","补充一下这个联动的来历。,,索尼很早就押宝了原神。早到什么时候呢？2019年8月的上古战场，《原神》已经快被批倒批臭的时候。那一句“我2020年最期待的游戏之一”，几乎就是当时国内的支持一方能拿到的最有力的弹药了（泪目）,,原神在全球市场上的成功，同样要感谢索尼的全球化团队。且不提远超米哈游辐射范围的外国游戏玩家，单看国内的雷军、张一鸣这些“和艾伯特同代的上古老玩家”[滑稽]，这也明显是远远超出了米哈游辐射范围的群体。,,护航大作也好，引流也罢。归根到底一句话，投桃报李。"
"纵之Maki","男","无IP","7071165","6","Kizuna AI","10000","2400","","卧槽，居然有这个，虽然pv很简约,给我一种又用心又敷衍的感觉，绝了[笑哭],,希望把握好强度吧，太强太抢眼就不利于代入感和对晚入坑的人不友好了"
"墨柒蒅","女","无IP","523413596","4","","10000","4389","","虽然但是，我想对埃洛伊说：欢迎来到提瓦特大陆，我觉得你很帅很可爱，我会怀着善意与期待去得到你的[原神_哇]（如果2.2我有时间玩原神的话）。,另外，原神B站评分居然6.0了，我刚入坑的时候还是5开头，希望原神能够平稳发展，不要辜负玩家的期待[打call]"
"顾问呀","男","无IP","1279470","6","初音未来13周年","10000","6213","10","个人感觉。,目前来看，埃洛伊在“宣传待遇”上，是一个4星角色，和幸炎，迪欧那，早柚一样。,没有PV，只有“角色演示”，预计之后还会出“拾枝杂谈”。,和PS5的联动，给5星角色还是其次，（但是肯定大量玩家更在乎角色）。,给PS5的专门调整系统才是真的NB，雪山、庆云顶景色的“计算方法”都是重新写的。,提一嘴大家都说烂了的“不要去网上乱绑定别人的PS账号”。,都说烂了，如果还有人上当，只能说没救了。,就和贴吧那群“自充号被盗了，手机邮箱绑定是别人的”一样。,,埃洛伊的 中文配音演员是 @沐霏Moeki_ 。（还是一位舞见）,大家可能比较熟悉的角色，崩坏三里的千人律者（游戏内全部声线）。,“帝君”亲选，是非常厉害的“新人”CV。,现在千人律者杀青，埃洛伊的剧情很少，后续应该会为原神新的角色配音。,或许将来，索尼的新《地平线》可能会做中文语音，到时候，嘿嘿。"
"学渣鸣某人","男","无IP","138477381","6","","10000","8245","","看原版之前：这美工水平有所下降啊,看原版之后：卧槽这美工牛逼大发了"
"语翼yuyi","女","无IP","13561846","6","","10000","687","","我看热评主要是关于埃洛伊原作脸模的吐槽，配音的探讨，以及ps代领的告诫，很少有人来说一说埃洛伊这个角色，其实我也没玩过原作，我想针对这个pv说一说。,埃洛伊真的很有野蛮生长的魅力。脸模相比较其他原神人物比较粗糙，但是有可爱的雀斑，是非常突出的欧美风格；衣服相比其他角色而言颜色不够鲜艳，布料也不够柔顺，有种粗糙的麻布质感，但是非常贴合她的猎手形象；她的pv，是来到了异世界，但是拥有充足的狩猎和战斗经验，所以即使是面对陌生的敌人也十分从容淡定，还有几分坚毅；她的待机动作，其中一个是做热身运动的，这也能更好地塑造她猎手的形象，就是时刻为狩猎，为应对未知的危险做好准备；她的配音，中配有少女的活泼，日配英配有猎手的冷静。总的来说看pv我很喜欢埃洛伊[害羞]，刚好武器池抽了一把雷弓打算给她。（顺便一提，2.1前瞻直播里面有背部特写，可以看出她的臀真不错啊[脱单doge]）,有好奇心，执着，有同情心的埃洛伊，欢迎你来到提瓦特大陆，很荣幸接下来的旅程能够与你同行[给心心]"
"雪人不吃胡萝卜","保密","无IP","359320053","5","","10000","2339","","把御三家永久放星辉商店吧，总有人喜欢的，抽不出来太难了"
"A-Orse","保密","无IP","13833050","6","","10000","223","","虽然我不玩原神，但是不得不说一句，在审美方面，原神比索尼懂太多了[笑哭]，这个游戏挺推荐大家玩玩的，剧情不错，后启示录风格的，也是开放世界，很好玩也不贵，steam上现在也有了。[吃瓜]"
"朽木摆哉","保密","无IP","260940380","5","","10000","626","","只有我很喜欢埃洛伊吗，pv里有种面对危险的坦然和胸有成竹，她不仅已经习惯在危机重重的世界里保护自己而且仍然保持着好奇心，有担当有追求有能力，挑眉和小雀斑也有种野蛮生长的不拘感，外貌和性格都很有魅力，我可太欣赏她了[笑哭],米哈游为什么总是会在pv给人物注入灵魂，明明之前刚爆出来我还无感的[原神_嗯]"
"销魂丶晓梦","男","无IP","82981110","5","崩坏3·天穹流星","10000","7194","","原版的埃洛伊是可以驯服机械动物的，那我是不是能驯服遗迹守卫帮我打啊[doge]"
