"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"灵-墨曦","保密","无IP","481625648","5","","10000","13825","","杨扬：国家一级演员，工花旦。毕业于上海戏剧学院戏曲学院。荀派名家宋长荣先生关门弟子，师从宋长荣、刘长瑜、李秋萍、沈琦琅、杨建芳、王熙萍、方小亚等。,,常演剧目有《卖水》《金玉奴》《乌龙院》《勘玉钏》《尤三姐》，新编现代京剧《浴火黎明》及新编历史京剧《曹操与杨修》《贞观盛事》《成败萧何》等。,,曾获第七届全国青年京剧演员电视大赛“银奖”、第五届全国青年京剧演员电视大赛“荧屏奖”、中国戏曲红梅荟萃“红梅金花”称号、上海白玉兰戏剧表演艺术“主角奖”、上海市新剧目评选展演“新人奖”及入选第七届“上海文学艺术奖”之“青年文艺家培养计划”、2018年上海市青年拔尖人才等。,（我百度的，不知道对不对[脱单doge]）"
"子楚Qinzy哈","保密","无IP","2528889","6","","10000","8692","","“申鹤”给大家拜个早年了！[抱拳]"
"机械降神--","保密","无IP","27210645","6","","10000","5419","","感觉三个深渊高层性格都不一样欸，明明就几句台词却感觉挺鲜明的,深渊使徒是沉稳中带着杀机，滴水不漏的剑客,深渊咏者是神秘中藏着疯狂，走火入魔的信徒,火深渊怪是躁动中夹着怒火，毁坏殆尽的斗士,我们原魔真的越来越厉害了，期待后面出更多这样酷炫的怪物（最好像是隔壁罗志祥那种帅的像我小学中二的涂鸦那样的怪物）"
"Xes丶xx","男","无IP","687310811","5","","10000","1170","","冷知识，申鹤的中文cv秦紫翼配过的角色有lol卡莎，崩三爱因斯坦，原神留云借风真君[滑稽]"
"春熙龙巷","男","无IP","45354395","6","薇尔莉特","10000","2706","8","看到凝光那里说，大不了，我可以再砸一个群玉阁，然后群玉阁飞过璃月上空那一段，我突然想起来之前看到过的一个国漫星游记的名言，“王冠会让戴上它的人高人一头，是地位的象征。但王冠真正的意义是：当灾难从天而降时，我会为你们抵挡一切，永远让你们只看到金色的希望”，这一句话真的特别的应景，金色的群玉阁在漆黑的天空和灾难面前象征着希望！为璃月阻挡一切磨难！  [OK]"
"Shenhe_Simp","保密","无IP","1331671","6","湊-阿库娅","10000","1278","27","作为全球前几个满级玩家之一，可能换别的游戏确实以及厌倦了，对于很多人原神长草严重，游戏核心玩法就是深渊和刷圣遗物这些我当然不否认，可是对我而言原神的核心驱动是内容向的。以前觉得原神用手游的思路去做单机向内容很矛盾，但是现在我发现我最喜欢原神的点就是就是原神的短周期持续内容产出，这样可以让你永远有下个期待节点，版本末期的前瞻直播以及新版本PV去衔接新版本新内容实际体验，会有新地图新主线新支线新养成新机制新玩法，其中也会有新角色甚至新幕后的视频相关内容去增加惊喜，再结合版本内数种体验各不相同的个小体量手游式玩法维持热度，以我的节奏来说基本待目前版本的新鲜感消失殆尽也差不多可以期待下个版本的前瞻直播了。,如果去拿文娱做同类比较游戏的话手游是连载小说or漫画，更新周期短内容上比较扁平化，拷贝制单机游戏是电影，制作精良内容完整但是体量固定，MMORPG类 堡垒之夜 apex这些多人网游是Netflix的电视剧，一次会放全部的12集剧集内容更新周期比电影短，而原神就是那种周五六日会更新的长篇电视剧，一次给一点但是是同时拥有连载漫画的更新速度和电影的视听体验。"
"北黑かわいいね","保密","无IP","477116477","5","","10000","2303","","2.4版本前瞻直播盘点,兑换码：,ZS8NKLRY4VZS,8TQP2LQG4VYE,EA9N3L8Y4VYJ,盘点内容：,1.新角色：申鹤，云堇,2.新武器：息灭,3.新服饰：刻晴135元，凝光活动白嫖,4.新地区：渊下宫,5.卡池：上半申鹤魈，下半钟离甘雨,6魔神任务间章『风起鹤归』,7.云堇、凝光邀约任务,8.活动：,①海灯节活动，登录送十连抽，以及海灯节结束谢礼,②魔药研析,③山海八所巡礼,④风行迷踪（躲猫猫复刻）,9.系统优化：,①深渊限时界面优化,②新增自定义轮盘（手机端可无视）,③地图界面优化,④合成、锻造界面优化,10.尘歌壶系统更新"
"遇上的所有黑暗","保密","无IP","403678188","5","洛天依8th生日纪念","10000","212","","我结合现在已知的剧情有个可能性很大的猜测。主角双子的母亲很有可能是渊月女神，就是掌管死之权能的那个世界五大本源之一。,天理～理之冠,派蒙～时间魔神～时之沙,空月女神～空间～空之杯,赤月女神～生命～生之花,渊月女神～死亡～死之羽,从原神收集来的书籍可以得知，三个女神是姐妹，他们共同喜欢一个人，后来，因为某种事情反目成仇，最后的描述是全死了。但是我觉得渊月可能没死，毕竟是有死之权能的，但估计也是一种特殊的状态。首先剧情对于深渊还有暗之外海的介绍中写是“天空岛也管理不到的地方”，可是天理是世界的本源之一，按理说应该有控制整个提瓦特的能力，但却有管理不到的地方，所以我觉得那管理不到的地方应该是渊月女神的地盘。而且深渊是仇视天空岛的，且在剧情中我们选了双子中的一个，另外一个就会加入深渊，而加入深渊的会被称为（王子/公主），且主角介绍中有写过，旧的维系者正在死去，但新的维系者还未到来。所以我觉得主角双子是提瓦特五大本源权能者之一的后代，而结合已知的信息，唯一可能的就是渊月女神的后代，并且哥哥“空”的名字可以理解为“空间”妹妹“荧”的名字中文也有容光焕发、有生命力的意思，而渊月与赤月和空血一开始是很好的姐妹，渊月纪念姐妹给后代双子取名“空”和“荧”；这更加印证了双子主角母亲是渊月女神的猜测，不然名字叫空和荧其它说法是不能自洽的。,游戏开始的动画，天理抓住双子用的明显用的是空间一类的能力，而这在游戏的书籍中明确写到空月女神才是掌握空间权能的神，那可以推测是空月女神死后天理接过了空间权能。这也与书籍结尾描写的相印证。,时间权能者不知去向，大概是某种原因消失了，从时间线分析的话，主角是500年前凯瑞亚覆灭时醒过来的，而500年前正好天空岛发生异变。由天空岛下令七神联手覆灭凯瑞亚。后来500年后主角遇见派蒙，他以一种失去大部分力量和记忆的形象出现，当然也有可能是装的。B站有视频逐帧分析从雷神手中救下主角的大概率是派蒙。且派蒙的服装与形象上和天理真的很相似，甚至有人怀疑，派蒙就是天理。所以我觉得派蒙是时间权能者，是和天理同级的存在。,（括号内是本人的猜测，不要当真，如果未来真的是原神的剧情那实属流弊，时间权能者派蒙，我觉得剧情里看到的派蒙只是多个时间线的一个碎片，时间权能者因为某种原因改变过去导致多个时间线，而我们选择（空/荧）游戏的时间线只是其中之一）,B站用户：遇上所有的黑暗"
"Foxtail_","男","无IP","229241607","6","","10000","1517","","这个pv的音乐算是陈老师个人音乐特质的“标准展现”了，体现在如下两个方面：,,1.如歌的管乐旋律，行云流水般的管乐织体。建议大家欣赏原神音乐的时候尤其注意单簧管、双簧管、大管、各种笛子等的使用（both旋律和伴奏），你会发现原来不止有小提琴中提琴大提琴可以带给你感动。,,2.不规则排号的运用。开头一上来是(7+9)/8拍（本质还是4/4），渊下宫是四个67123切成5拍。这些都使得律动听起来非常活泼多变。（节奏方面的运用巅峰是蒙德战斗bgm，战斗的秘仪，头铁的可以去数下拍子，数的清的可以直接玩数字摇滚了[doge]）"
"BEANS-页岩","男","无IP","13842342","6","沈剑心","10000","1333","","听到""大不了，我可以再砸一个群玉阁""，很多人想到的是老板大气，可我在这一瞬间却真真切切地感受到了凝光的人格魅力，群玉阁对凝光来说并不是财富的简单堆砌，而是倾注了她半生心血与宏愿的宝物，对她有着极为重要的意义——这样的群玉阁，为了璃月她可以以毫不在意的语气说砸就砸，一次又一次，我只能想到一个字：真特么的太帅了"
