"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"西风大教堂修女","男","内蒙古","518805865","5","","10000","1178","","虽然有点不合适，但是毕竟是一款二游，我也不算什么老二次元，顶多算看过几年动漫的，对于一个故事来说，尤其这个故事是群像故事，因为喜欢某一个人而去辱骂伤害过这个人的人，这种行为和做这种行为的人，都是不受待见的，我知道，因为原神比较火，平时不看动漫的朋友也来尝试这款游戏，既然已经尝试这款游戏了，为什么不了解一下我们这些看动漫人的规矩呢？一定要疯狂秀你的下限吗？ [来古-震撼][来古-震撼][来古-震撼]                        我就在这说了，我是风神厨，但是我并不讨厌女士，作为一个群像的剧情，每个人都是有立场的，她们有各自的执着，不能用单纯好人和坏人来分，即使纸片人没有人权，也不要骂角色，因为，至少要给喜欢那些角色的人基本的尊重，因为人的审美不同，经历也不同，你不喜欢就不允许别人不喜欢吗？这太霸道了吧[来古-沉思][来古-沉思][原神_欸嘿][原神_欸嘿]"
"IIzIIZIIzII","男","广东","11939167","6","","10000","102","","我看大家讨论的时候，好像都在基于坏人不能进卡池的前提，在讨论散兵有多坏？原来大家默认觉得坏人不能作为角色吗[辣眼睛]为啥会有这些想法？游戏这样不是很正常吗。还有好多人疯狂洗白散兵的，散兵就是带恶人这都捶死了，雷电五传白受罪了？你心理创伤杀人就合理了？改过自新就既往不咎了？我觉得散兵就是带恶人，但是卡池可以抽带恶人也没问题呀，不是很正常吗"
"梦里想睡觉zz","保密","安徽","505186770","5","异常生物","10000","423","","我到觉得不是什么懂不懂二次元的事，就算是我来看，散兵也是一个正常设定的角色而已，小丑算是伤天害理的吧，但是一样有很多人喜欢这个电影角色。因为说到底不过是个虚拟角色，我们在现实生活肯定是要收到约束的，但是在虚拟游戏还不能放纵一下自己心理吗。所以人心中都有着沉重的黑暗，总不能视而不见，喜欢羡慕一个伤天害理的反派是合适的，只要你不过当模仿，有时候去想象yy自己是小丑那种哥谭噩梦其实还挺带感的而且也能yy完舒缓一下自己心理。说到底只是一个虚拟角色。"
"MoonCraft_氷","男","北京","180204271","6","Kizuna AI","10000","522","","先表明立场，我不是散兵厨，但黑也算不上,首先，散兵如何获得了神之眼,其次，是什么使散兵和博士反目,第三，小草神对散兵做了什么,第四，剧情里旅行者对于「流浪者」持何种态度,这些都是我很期待在新剧情中发掘的疑点,希望这次的新剧情可以让我们见证这一狂傲反派背后的故事。"
"愚者教会在职眷者","保密","四川","38819187","6","拉文克劳","10000","186","","上次被说太闹腾，这次又感觉太安静了（）龙哥和林老师聊天的时候总有点小尬，后面四个人出场气氛才稍微好一点。……结果真的只是在介绍活动啊！这也太快了吧！我还挺喜欢介绍之后配音演员们的闲聊和吐槽什么的……感觉菊花花刘老师和龙哥完全没有发挥出来（这仨都是逗哏，明显林老师的捧哏能力有点接不上），或许可以看出官方确实有在听玩家意见吧，但是个人觉得早期的几次前瞻效果都还不错，有控场的也有负责气氛的，观感比最近几次要好不少，希望能找到一个更加折中的结局方法呢。"
"等待mhy道歉的米游伥","男","山西","10896289","6","七濑胡桃","10000","46","13","大胆猜测一下吧。,踏鞴砂的御影炉心失控，很可能都和博士有关。,如果散兵加入愚人众，并不是无意，而是被人做局的必然呢？,愚人众通过某种渠道，得知了雷电将军曾经制作过可以存放神之心的人偶，想要将之据为己有，进行改造成为对抗天理的工具，真巧，博士此时正在稻妻提速魔神残渣，知道这件事后便把这件事揽了过来，破坏了御影炉心，释放了祟神的力量，放出了魔神残渣，让踏鞴砂受到祟神力量的污染，然后一步步把散兵逼到万念俱灰的地步以后，来到他面前，问他想不想反抗现在的神明的统治，散兵答应入伙。,这样子，一切的罪责都是愚人众的，散兵只不过是个被利用的笨蛋小孩，博士也完成丑角交代的任务，完美。,不过博士和丑角应该就不用想进卡池了吧。,如果故事真的是这样的话，那这个游戏还真是里外都有散兵被利用了啊。"
"lovluo","保密","陕西","302465263","5","","10000","80","","流浪者的材料其实很简单,1.树王圣体菇要168个,2.破旧刀镡36个,3.影打的刀镡96个,4.名刀镡129个,5.永续机芯46个,6.笃行的教导九个,7.笃行的指引63个,8.笃行的哲学114个；"
"吸狐狸的洛半仙","女","河南","84133384","6","","10000","249","","虽然不是很喜欢散兵熊孩子，不过尊重散兵厨，就是请部分过激散兵厨不要随便冲别的角色厨脸，还有别拿没接住说事了，当时情况真的不好接而且当时是你死我活战斗关系，散兵有他独特的特点，哪怕是反派也使得他受到一部分人的喜爱，但是也别忘了他也是反派，跟公子一样，不用也不需要洗白，散兵是为了证明自己，找到属于自己的心，公子是为了战斗的痛快还有照顾家人，他们不需要洗白，他们也不会在意，新剧情看上去是新旧散兵决战，还有散兵击碎博士的布置，希望这成为他找到自己想要的答案，弥补曾经错误的第一步吧，以后大概会抽吧，但是现在真的没原石，而且也不是太大兴趣，希望新版本散兵在剧情可以给我们呈现一场宏达的演出"
"歪池保底真君白鵺","保密","福建","5045586","6","梦塔·雪谜城","10000","284","","从1.1等到现在，把前面想要的角色抽完了之后现在存了200多粉球，up垫了50，武器池垫了60，按照过往经验来看崩子肯定至少150出，武器池吃满定轨，所以存了这一些聘礼，以及所有材料（200+树王菇，风石头，400+经验书，800w摩拉，80+紫笃行，300+蓝刀镡，专武突破材料，圣遗物狗粮900+），并且爱屋及乌把珐露珊的材料也都凑齐了，希望各位旅行者保佑我，希望这辈子能欧一次（我会来还愿）[脱单doge]"
"okkkkit","保密","湖北","103500277","6","","10000","397","","感觉有些人代入爷太深了，可是有些时候爷想说的话、爷做出的选择并不是我的想法，所以我并不代入爷，也没觉得散兵和雷神一见面想杀爷有什么问题，都有合理的理由和动机就够了"
