"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"依儿依儿唷","保密","无IP","11429476","6","崩坏：星穹铁道","10000","16130","","外网评论：,万叶展示前：我不会抽他的,万叶展示后：人心和海上的天气一样，说变就会变的[doge]"
"Kwinkle_","保密","无IP","108364938","5","","10000","38910","","帝君：我要点菜！,香菱：开锅啦，开锅啦！,刻晴：剑光如我，斩尽牛杂！,北斗：这是斩尽海参的力量！,公子：破绽，烧冻鸡翅！,甘雨：上盘花生。,优菈：煎饼，断绝生抽！,胡桃：吃饱喝饱，一路走好,万叶:   本来就食材不佳，还被这样打扰"
"月见山和","保密","无IP","16040862","6","","10000","38488","7","卧槽，建议大家去康康p2，这pv用心了。,万叶作的是俳句，一种日本的短诗，俳句的特点就是575，五音－七音－五音。而中文版也是对仗工整的五字－七字－五字。不知道先作的是日文版还是中文版，无论哪种，这互译都是相当牛皮的,英翻我就不熟了，有无大佬"
"账号已注销","保密","无IP","33219064","0","","5000","20015","","万叶！牙白！卡酷一！"
"世無眠","保密","无IP","11717812","6","","10000","26701","","这么后排了应该没人能看见了,我现在就想跳进卡池和万叶结婚 我要和他翱翔天际我要和他遨游海洋我要和他蜜雪冰城,距离见到万叶还有1天6小时 可是我的心已经按耐不住了 我好焦躁 我好惆怅 见不到万叶我就像失去了我的未婚妻子一般 我已经想到发疯了 那感觉就像雷锤在我身上砸 火铳的子弹打在我的心上 风拳的风墙在紧紧吸附着我 就如同不同的元素力一波倾倒一样五味杂陈！！！！！！！！！！！我看着电风扇就像万叶使用风元素力给我吹风，我看着辣椒酱也可以想起万叶，我在椅子上扭成个麻花也在想着万叶，我吃饭看到苦瓜也在想万叶！！！！！啊！！！！！！！万叶！！！！！！！！！万叶！！！！！！美人[酸了][酸了][酸了][酸了][酸了][酸了][酸了][酸了]"
"松枕石","保密","无IP","39500672","6","","10000","3869","","迟来的提醒：,不想抽万叶的各位旅行者，这个池子管好自己的手，尤其是有大保底的都悠着点，别到时候 手痒 过把瘾 垫池子 不小心 把万叶抽出来了又破口大骂哈[鼓掌]"
"幽若Kira","男","无IP","3812548","6","","10000","2643","","祝准时等万叶角色演示的旅行者都单抽出金，十连满命！角色和武器都不歪！,我们都有美好的明天！[打call][打call][打call],以上祝福的献祭由在万叶角色演示下刷“男的不抽”等类似言论的旅行者提供。[脱单doge]"
"Haku今天还是咕咕咕","女","无IP","37188897","5","","10000","1475","","第十五期答案：,视频：AD AC,课后：A B ABCD D A B C C"
"馒头请发言","保密","无IP","679291615","4","圣诞节快乐","10000","99502","","懂得都懂，可是为什么单抽出万叶的人要给我点赞？？[疑惑][歪嘴]"
"寮长我就爬墙一会会儿","女","无IP","29583495","6","","10000","4665","","一边激动的看万叶演示一边恰饭的我恰到了一颗花椒，人现在很痛苦[辣眼睛]"
