"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"这只萌猫有猫腻啊","男","安徽","407754640","6","","10000","28629","","为什么梦境的主体是妮露，我觉得很大的原因是贤者认为妮露是在智慧与理性的国度追求虚幻的东西，是最没有智慧的人，是最不可能意识到自己身处梦中的人。但妮露却因为小吉祥草王的信仰自己意识到了这一切是梦境[脱单doge]"
"废宅夹子","女","江苏","25830745","6","","10000","3344","","当在剧情里看到这个动画时，我的第一反应不是妮露有多好看，而是我终于解脱了（双重含义）[大哭]"
"名字就叫大梦一场","保密","湖北","312760509","6","","10000","9990","","优菈跳舞，我648没了,绫华跳舞，我648没了,妮露跳舞，我魂没了！"
"qazwwxed","男","山东","14597477","6","崩坏3·天穹流星","10000","3559","13","每个国家都有一个会跳舞的角色，优菈，云堇，绫华，妮露！做得很好！建议多来点！[打call][打call]"
"祝我一切考试顺利","保密","湖南","354451187","5","干物妹！小埋","10000","761","","这次剧情真的神了，特别是迪娜泽黛意识消失后我们去拿的那个东西，我一看内容直接破防第一次看剧情哭出来，多好的女孩子，以至于后面的花神之舞我也没有认真看一直在想迪娜泽黛，嘴里一直念叨这可是迪娜泽黛最期待的花神之舞，还好她看到了，虽然是人偶，但是迪娜泽黛也经历了机场轮回才身体承受不住了，虽然梦境的空间会一次次消失，但是她也经历了不知道多少次的失望，还好小吉祥草王把她救回来了，能让她最后的梦是一个美梦，也庆幸她活了下来，给了她亲眼真正看一遍花神之舞的机会"
"零归羽","男","山西","317674799","5","","10000","702","11","草神之眼属性：奉献（猜测）,瑶瑶，白术：医学,提纳里，柯莱，拉娜：林业,艾尔海森：知识（存疑）,纳西妲：须弥民众,,仅个人推测，存在后期翻车可能性，欢迎讨论～"
"德艺双飞宋兆阳","男","内蒙古","3947058","6","","10000","891","10","这个风格叫bossa nova，是拉美，巴西那边的风格，是爵士和声和本土打击乐融合的产物，节奏型非常有特点，和弦也会使用非常多的延伸音，大家有兴趣的话，最简单的路线，可以去听小野丽莎[喜极而泣]"
"黛薇阿雯","保密","江西","397724725","5","","10000","169","","我觉得迪娜泽黛死了不好，我只能说原神和崩3是不同的游戏，崩3那套剧情写法不适合原神，崩3科技末世题材，原神童话幻想题材，原神的剧情展开更加考验编剧的自制力。                       不同于崩3里人类面临极端严酷的生存环境，迪娜泽黛在这里没有非死不可的理由，这里更多的是通过主角的视角去展现原神世界观下迪娜泽黛这使魔症缠身的普通人所拥有的信仰和意志，而关于他的遗憾与不甘的情绪在花神诞祭剧情中也成功地与主角产生了共鸣，这就足够了，情绪压抑到此处已经需要疏导，迪娜泽黛的转危为安也变得顺理成章。试想一下迪娜泽黛如果就这样强行死去，意味着什么？意味着即使她在临死之前，依旧是满怀遗憾与不甘，她信仰的神明和到最后也没能回应她的热忱，他的努力在她自身而言最后会变成一个笑话，甚至是旅行者也只能用暴力的方式不对去发泄自责与不甘。年幼的草生信众寥寥，即使是迪娜泽黛这样忠实的信徒，她也无法互她周全，所以她会觉得自己不是合格的神名，迪娜泽黛的死去会对纳西妲造成不可弥补的缺憾和阴影，但纳西妲是草神，这样是不合适的，在剧情的初期，她对迪娜泽黛的回应至关重要，拯救了迪娜泽黛一个信徒，就意味着她可以拯救更多的信徒，就意味着她后续成长的可能性。,       因为原神「相对」轻松活泼的剧情氛围，目前卡池角色主线参与度与自身的成长描写十分有限。此外，日益趋显神与人之间的矛盾主题让普通npc在原神世界观剧情中承担重要地位也是势所必至，可以预想。但是，这不意味着对普通npc命运的铺垫和处理可以草率写就，以所谓“刀”和“煽情”等因素决定人物走向，来否则就会对原神的核心世界观架构造成内伤。,      另外提一嘴，许多人过稻妻剧情时表达过对哲平的惋惜，但不知道本人是心肠冷漠，亦或是共情能力差的原因，内心波澜甚小，我无法在那短短的剧情中体会到哲平作为普通人的无奈，他最后选择斜眼的决定也令我诧异，我不明白他的选择，他的死去让人叹息，但也仅此而已。在过他的剧情时，我甚至对这段剧情产生了厌恶，因为我感受到了来自编剧无名的恶意。事实上，哲平只是稻妻剧情的一面镜子，除了一些关键性得演出比较出彩之外，稻妻主线剧情（支线除外）总体上差强人意——主体晦涩，展开强硬。这是很好的经验教训，吸取了的话，相信原神还会有很多个迪娜泽黛一样优秀的剧情出现。"
"草梅友仁","男","浙江","10822025","6","原神","10000","462","","这次的剧情之所以感觉好，我们会为迪娜泽黛心疼，是因为在整个任务中我们花费了数个小时来认识这些人物，建立关系，了解他/她们的故事。,从见到迪娜泽黛到任务结束至少经过了两小时，这个时候我们已经对这个NPC比较了解了，所以才能共情，如果被刀了也才会更加心疼。,而之前遇到的哲平，我们跟他的交集才十几分钟，没建立起多少关系；相比之下，花了一小时帮忙的花散里就更让人心疼，人物形象也立起来了。,所以说，要写好悲剧的话，先得给玩家足够的时间来酝酿情绪，不然情绪实在调动不起来[OK]"
"阿夏awa","保密","广东","501188429","5","","10000","83","","起初，爷只是在路边看到一个女孩被蕈兽围殴而出于人道主义救了一个女孩,然后……,林中奇遇.维摩庄的孩子,林中奇遇.远足,林中奇遇.迷失的孩子,梦中的苗圃.兰那罗的世界,梦中的苗圃.森林的孩子们,愿为一炊之梦.料理是自然的风味,愿为一炊之梦.料理是快乐的回忆,愿为一炊之梦.料理是思归的香气,愿为一炊之梦.料理是分享的美好,梦中的田圃.通往黯道的曲调,梦中的田圃.新芽迸发的曲调,梦中的田圃.揭示兽境的曲调,正法炬书.星夜之章,正法炬书.月升之章,正法炬书.终章,水天供书.水天供书,水天供书.石头的记忆,水天供书.忿怒的铁块,水天供书.沉睡的根系,水天供书.膏腴土地下的唤雨之曲,吉祥具书.初篇,吉祥具书.罗因贾篇,吉祥具书.加扎里篇,吉祥具书.降迪弗篇,梦中的田圃.新蓓萌生,梦中的田圃.为了更好的再会,梦中的田圃.无忧节,失梦的田圃.为了「果实」「种子」还有「树」,失梦的田圃.为了过去的孩子们,失梦的田圃.为了一切向往生命的孩子们,森林会记住一切：「你好」「谢谢」；最后是「再见」,你以为结束了吗？还没有！,静态风景,新芽蓓生,予人于花,直到桓那痊愈,兰伽鲁的涂鸦,兰纳真的老友,兰纳伽的回忆,回忆终章"
