"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"子尧兄","保密","山西","4421086","5","实验品家庭","10000","8740","11","整个3.4前瞻中让我高兴最感动的不是新地图、新角色、新剧情也不是新活动，是这个非物质文化遗产的保护和宣传的纪录片，希望是一个长期系列项目，也证明了648没白花。传统文化绝不能丢，必须要在现代社会中用更多的方式发扬光大。"
"YYSAAAAAA","保密","浙江","41383646","6","","10000","29273","11","荣誉骑士哥哥姐姐，可莉为你导航：,00:01 《品茗尝清心》音乐演奏 大伟哥出场,02:14 3.4版本磐弦奏华夜PV,05:00 IP编剧老腰介绍新角色,05:35 瑶瑶介绍（中配：刘颐诺 日配：门胁舞以）,08:54 艾尔海森介绍（中配：杨超然 日配：梅原裕一郎）传说任务,12:15 角色祈愿第一期：魈、艾尔海森、瑶瑶 第二期 ：胡桃、夜兰,12:31 新武器五星单手剑裁叶萃光,13:15 宣传小短片1《当然是原神啦》,15:13 关卡设计师千岛、场景美术磊磊介绍新地图和世界任务,17:07 新原魔：风蚀沙虫、镀金旅团,20:20 宣传小短片2《当然是原神啦》,22:53 「庆佳节」短片,24:05 系统设计师小白、关卡设计师大力介绍版本活动（自选璃月四星、签到十连),30:16 神里绫华新衣装(限时折扣）、丽莎新衣装（活动免费）,31:30 七圣召唤娱乐模式（新卡牌可莉、北斗等）,32:35 宣传小短片3《当然是原神啦》,35:05 原神角色主题音乐 《闪耀的群星》3,36:05 非物质文化遗产《流光拾遗之旅》,38:48 新年快乐！《华灯星聚》 音乐演奏 ,兑换码:NAS3K7XR3C46、PST33NFRKVPS、BTB227ERKDNW"
"刀剑抱业","男","河南","1383706769","5","","10000","10413","","绫华的皮肤名字“花时来信”其实是有出处的,花信来时，恨无人似花依旧。又成春瘦，折断门前柳。,天与多情，不与长相守。分飞后，泪痕和酒，占了双罗袖。,翻译一下是应花期而来的风哟，你虽来了，但人已离散去，全不像那花儿依旧。,人到春来瘦，等候着心上人，倚门盼归，折断了门前杨柳。,上天赋予了人多情的心，却不肯给予长相守的机会。自你我分别后，伴随我的，只是相思的泪、浇愁的酒，沾湿了我的双罗袖。,没错，这又是一首情诗，虽然是丈夫思念妻子"
"账号已注销","保密","广东","210562879","0","","5000","2317","","原神每年这个时候必有魈，好多年玩的崩2每年这个时候出加特林(虽然很久没玩崩2了，但我猜还是那个样)，所以魈＝加特林[doge]"
"想不出名称啊啊啊","保密","吉林","1206409241","4","","10000","6816","","你可以再除了蒙德的任何地方，看到巴巴托斯[脱单doge]"
"请输入新的昵你","保密","河南","1440600131","4","","10000","1562","5","11:10 哈哈哈哈"
"晨星一枚","女","北京","16710551","5","","10000","1183","","浮世景色百千年依旧，不过是沙王对花神的思念罢了[脱单doge]"
"老公续费的总督","保密","浙江","14458669","6","","10000","21682","9","现在入坑的萌新将会遇到：,帝君遇刺[大哭],但是全民狂欢[打call][星星眼][鼓掌][惊喜][大笑][歪嘴]"
"消息99加只因我不看","保密","辽宁","406359997","5","","10000","790","","2：21这座位有讲究的啊,胡桃主席，说明是胡桃请客，所以她理应在主席做东。。。,二座左右是旅行者和香菱，意味着这两位是胡桃主要请的人[吃瓜],旅行者自不必说，旅行者到哪都是贵客，和胡桃也是很熟，他坐二座是正常的。,香菱是是胡桃的闺蜜，她是胡桃除帝君和旅行者以外，唯一在剧情里互动过（逐月节）的可用角色，所以她应该是胡桃关系最好的同龄朋友。。。,魈在旅行者旁边的三席，他是仙人，也属于贵客，但他和胡桃不熟，所以排外旅行者的下位。,行秋是香菱旁边的三席，他是胡桃的诗友，和胡桃的熟悉程度仅次于香菱，所以坐三席。,重云是行秋下面的四席，胡桃的语音里仅感叹了他是纯阳之体，再没有其他信息，所以他应该和胡桃只是认识但不熟。。。,帝君末席，他是胡桃的下属，他之所以出现在这里，应该是过来蹭饭的，所以坐末席[笑哭]"
"MWB真鹅心","保密","美国","319854940","5","","10000","58","","原神能不能根据角色模型来平衡一下角色建模之间的不平衡啊?,,萝莉天生腿短跑得慢, 我觉得很正常. 但是能不能考虑小孩子精力旺盛, 然后根据这个来设计成萝莉奔跑所消耗的体力相对较少呢?  ,,我想带着可莉逛新地图[脱单doge]"
"一般路过百田解斗","女","辽宁","418270269","5","","10000","287","","这次PV最戳我的是魈从前年独自在山坡看着霄灯升空，再到去年望舒客栈楼顶看着言笑他们吃年夜饭，再到今年和璃月的大家一起在餐桌边坐着，我真的感动死了呜呜呜，层岩巨渊的经历真的让他改变了不少[保卫萝卜_哭哭],       还有！辛焱的摇滚乐一直不被璃月的主流看好，但是这次海灯节她上台表演了！！！我直接高兴到跳起来[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
"青鹤桑","男","安徽","484782446","5","","10000","281","","最后那段合奏真的听的差点掉眼泪[保卫萝卜_哭哭]老玩家听不得这些，这个味道简直了。每次高潮的音调都是那么熟悉那么亲切，真正有感受到一种浪子归乡的心情，在外旅行了这么久再回到璃月过海灯节真的辛苦所有旅行者了。家乡的味道永远是那么温暖而熟悉。听着音乐闭上眼仿佛真的可以看到飞升的宵灯和千家万户的灯火通明，可以听到烟花声空爆炸开来的轰鸣和人们的欢声笑语，可以嗅到饭菜的香味和真正而令人感动的“烟火气”，可以感受到逝去已久的满大街无处不在的喜庆，感受到浓浓的年味。真的，太美好了。,海灯节快乐，新年快乐，旅行者们，2022年辛苦你们了！！！欢迎回家！！！！！（细心裂肺"
"鲧去学习","保密","四川","661243548","5","","10000","285","","突然想起有人说因为胡桃的身份背景所以不适合过年复刻，可其实今年我家周围已经去世的也有办葬礼，以前也有在年三十，大年初一走的，生活什么时候不是活呢，不也要收拾好情绪继续走下去吗。,悟已往之不谏，知来者之可追"
"帅哥大发","保密","福建","359022145","5","","10000","1099","","温迪终于要和钟离在剧情里见面了吗[打call]，感动呜呜，等这一刻等好久了，欲买桂花同载酒，风岩友谊不灭[原神_喝茶]"
"多次拒绝阿蕾奇诺","男","广东","1879571","6","","10000","1725","","刚进直播间时正好赶上大伟哥从巷子里出来 那红围巾很难不联想红围巾头像[热词系列_知识增加][热词系列_知识增加]当场笑死 还有经典的“伟笑”"
"沏杯阿帕茶","男","吉林","399912820","5","","10000","1562","","有趣的是，游戏比现实更有年味，更有趣的是，我并没有感到什么不对[藏狐]"
"爱了灬爱了","男","四川","1198093756","4","","10000","242","","只有180抽，夜兰跟海哥都想要，看着我任务列表里已经很久没动过的支线，攒了很久的传说任务，稻妻可怜的35%探索度，很多看到都不想捡的神瞳，稻妻的狐狸大树，须弥的超级大蒜，我有了一个大胆的想法[doge]"
"信仰是为长寿之人","保密","广东","361841846","5","","10000","681","","究竟什么样的结局，才配的上等桃人这一路的颠沛流离？,胡桃夜兰的up池，海灯节的c位剧情，属于胡桃的舞台cg，这样梦幻的结局我真的等了太久太久，但这一切一定都是值得的。这会是我最期待，也是最难忘的海灯节，希望各位旅行者海灯节过的开心，也祝愿所有等桃人能实现自己的心愿![打call]"
"鸽某是万叶的狗","保密","陕西","2005567532","5","","10000","158","","给没看过前瞻的总结一波,3.4即将来袭，前瞻直播再降临,大伟亲讲新消息，竖起耳朵仔细听,首先关注新角色，瑶瑶终于等到你,上半海哥加魈宝，下半胡夜并站齐,七天签到送粉球，闪耀群星新专辑,海灯活动一大堆，必备项目全都齐,璃月四星进自选，跑酷烟花结合密,绫华丽莎新衣装，稻妻斗虫别忘记,磨炼剑技不可缺，振刀重现再练习,专业人士来联动，非遗宣传喜加一,须弥后续新任务，出现沙漠新地形,七圣召唤新模式，8点万能开局立,直播间尬剧放送，弹幕刷6总不停,兑换码三则别忘记，2023再迎新！,NAS3K7XR3C46,PST33NFRKVPS,BTB227ERKDNW"
"学子苑屑中屑","保密","湖北","197403671","6","","10000","117","","NAS3K7XR3C46,PST33NFRKVPS,BTB227ERKDNW,大伟哥的红围巾哈哈哈哈哈跟上原友头像潮流我笑死了,月桂好可爱,“这就是文弱的知识分子嘛”,“当然是原神了！”,“地图和关卡设计的强者发量”,“米哈游说旅行者在喜茶买神里家的联动奶茶可以只付小杯的钱”,“和甘雨一起听留云借风真君娓娓道来……”,皮影戏好耶！（是皮影戏吗没听清还是说纸映戏什么的）,紧张刺激的签到活动,“虽孩子气但一斗，正常”,绫华的新衣服啊啊啊啊啊啊！,“八个万能元素，这么刺激，来一局”,“教练，我想玩原神”,闪耀的群星3！,非遗传人传统文化多来点我爱看,旅行者们海灯节快乐！"
"没那么橙","保密","海南","499789020","5","原神","10000","312","","原宝今年能复刻粉球侠吗[星星眼]"
"HomeworkOuOb","男","未知","327723954","5","","10000","70","","):"
"秋风无名","男","广东","9204618","6","橘猫挂件","10000","140","","亲爱的旅行者，新年快乐[脱单doge][脱单doge][脱单doge][脱单doge][脱单doge]"
"Guacodile","保密","浙江","2115286538","3","","10000","135","","啊啊啊啊啊啊啊啊啊啊啊啊啊啊,艹，我防沉迷，玩过头忘了前瞻…"
