"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一念花树吹墨云","保密","无IP","273202731","6","天官赐福动画","10000","15194","8","这广告就跟草神接草史莱姆回家草到家了[原神_躺平]"
"bili_388420777","保密","无IP","388420777","5","","10000","12765","","我在这先提醒各位一下，这个质变仪用一次后需要冷却7天，别等版本更新后一些文盲来对线[无语]，顶我上去，让大家看一看"
"藤和爱利欧","保密","无IP","4108906","6","","10000","5861","","我好怕大伟哥突然嘴瓢把旅行者说成舰长[笑哭]草"
"甜豆拌酱","保密","无IP","320488484","6","","10000","4719","","UP刻晴，暗示全体免疫，这是mhy对疫情早日结束的祝福，这波策划在大气层[doge][doge]"
"紫薯芋圆冰","女","无IP","360766318","6","","10000","3693","","看完之后我只想说,。,。,。,。,。,。,。,。,。,。,。,。,。,原来你也玩原神[doge]"
"不吃饭的小狮子","男","无IP","13022498","5","登乐V计划","10000","27163","","各位抽到满命魈的数量,↓"
"恩斯特-齐玛曼","保密","无IP","399301518","5","多多poi","10000","4809","","用一个海灯节让全世界玩家数着日子等春节——文化输出,用一个周年庆让全世界玩家数着日子等国庆——（            ）[doge]"
"我才不想中奖","男","无IP","66746837","6","","10000","8478","","原神评论区阅读须知,1.如果几乎全部都在骂，那应该是ch又作死了，建议恰一轮瓜合理规划游戏,2.如果评论区在激烈对线，那基本上没多大的事，可以无视掉去玩游戏,3.如果评论区出现了一堆叫好的，那必然是发了原石（（（,[doge]"
"地球人生online","保密","无IP","17013507","6","","10000","10004","10","朋友们 有出现这种症状吗 最近几个月的记忆突然开始模糊 越来越不明晰了 只依稀记得原神很好玩"
"凉风掠尘","男","无IP","8034858","6","","10000","10765","4","等到版本更新，看到那个海灯节的气候，我可能会哭出来，国外疫情迟迟无法控制，为了不给祖国添麻烦，作为留学生也是尽量选择不回国，两年没有见过家人，两年没有没有在家过过年，在这无奈的时代，作为游戏的原神反倒成为了游子对家长精神寄托，希望疫情能赶快结束让我能和家人团聚，希望原神能越做越好，希望国内的朋友们幸福健康[保佑]"
"快乐肥宅-阿伟","男","无IP","211872876","5","","10000","8795","","我只能说冲谁都别冲大伟哥，他真的是全公司最懂玩家的人，只不过大伟的地位现在有尴尬。米忽悠策划作死小能手了，开服作死老传统了，崩三的零点酒吧事件想必老舰长都有所耳闻或者亲身经历过，米忽悠的游戏就是这样只有坚持下来了，才能体验到一定的快了尤其是咸鱼玩家[doge]当然策划作死搞事另算"
"七七-七七-七七七","男","无IP","33229919","6","","10000","5482","","9：12，17：15，30：25。[OK]"
"二浪真菌","男","无IP","287154366","5","","10000","4175","4","怪不得游戏里没有草属性角色呢，原来是去做广告了[doge]"
"花同梦","男","无IP","57691211","6","","10000","7576","13","之前一直说拿策划挡刀，这次大伟哥亲自出场。,之前一直说五星角色出太快，这次只出了一个。,玩法单一，这次添加了塔防。,钟离问题也在开头便说了1.3实装。,这算不算听取了玩家们的意见？[原神_躺平]"
"元素领主墨元素","保密","无IP","22157527","6","明日方舟音律系列","10000","2830","9","这个生草的广告火起来之后会发生燃烧反应"
"芈_芈","保密","无IP","21769864","6","","10000","2706","","问卷调查里写了想见大伟哥结果真见着了，绝了[响指]"
"Mac27Gamer","保密","无IP","381818008","6","名侦探柯南","10000","4334","","《论如何用三十分钟把群情激愤的玩家改变为忠实的mvb》"
"祖国统一日则改名","男","无IP","414580094","6","","10000","2961","","如果只是单纯的在游戏里过过中国的特色节日，那么作为一款全球游戏来说 确实影响力不会特别大，毕竟其他国家不会在乎你中国过的什么节日。但是如果在游戏里架空造一个假的节日，但是刚好和中国的节日是差不多时间，是不是就有那种全世界都在过中国节的感觉了[doge][doge] 比如在春节期间 原神内搞个XX节，搞的和春节很像但是不是春节，这样老外也可以一起热闹过节，不用在乎这个节日有什么传统 属于哪个国家了[OK]"
"GhostRem","男","无IP","34024230","6","","10000","4532","","加强钟。。。啊？送十连？四星任选？。。钟。钟。。中秋快乐！！"
"L丶手套菌","保密","无IP","13403962","6","","10000","2546","","这么多年了，米哈游在玩尬的这方面从来没让我失望过[doge]"
"琰柩玖","保密","无IP","35412817","6","","10000","1948","7","米哈游研究课题：《如何让全球玩家过春节》[doge]"
"羽言言言言w","保密","无IP","484309133","4","","10000","1633","","...............,...............,土味广告,...............,土味广告,...............,土味广告[doge]"
"舰队之盾欧根欧","男","无IP","4687851","6","原神","10000","764","","就这段时间原神各各cv被冲的情况快跟去年的百大暗杀名单差不多了，直接逼的茶会都不办了大伟哥亲自下场直播，这就是友商要的效果吗[OK]"
"崔小小小小鑫","男","无IP","18338880","6","","10000","2275","","NSPT3MBNV9C2,8SNB34SNVQDW,HT7A24APV9VS,照顾一下不方便输入的人们。点个赞吧[呲牙]"
"墨筱叶","男","无IP","19182828","6","三周年恋曲","10000","1948","","1，一旦点开了NPC对话，就只能对话完，不能中途退出。每次跟凯瑟琳领每日和派遣奖励时都要再按一下F。多个对话选项NPC交流时，进出对话模式都有自动移镜，久了会头晕(还记得那个聊天多少次的成就吗？)。,,2，主角不能委派探索，却始终出现在冒险公会探索人物列表里，并且在前列。,另外，每日远征没有一键领取和一键派遣。而且每次重选会自动变成2小时而不是上一次的时间选择。,,3，探索时间缩短的天赋反而增加玩家时间压力，这个设计应该是改成探索收获量增加。,,4，联机副本，非房主打完，只有一个退出副本按钮能点，经常顺手按了，其实是想继续的。联机本重新打的话，如果不提前说，现在的设计大部分情况下是没用的。其他人的界面应该除了退出也该加上个继续，点击后勾上显示准备完成,,5，从副本里退出之后是背对副本大门的，还得自己掉头去点门。另外好多时候离副本传送点太远要走几步，离近了又没副本选项，得跑开再走近才有交互选项。,,6，联机每日委托，不能提交需要手动选择的的物品。,,7，联机每日委托，好感经验只能给到自己出战的两个或一个人。,,8，大世界的打怪经验和摩拉极少，且聊天框无战斗信息一栏，玩家无法查看收获获得成就感。,,9，重击没有快捷键且不能设定按键，长按攻击有时变成罚站。r能给射手却不给其他角色。,,10，有四个预组队栏，却不给切换队伍的快捷键。切换队伍或更换角色极其繁琐，且读条没有时停，组队时切换角色更是繁琐。"
"夏ゆず","保密","无IP","23008884","6","湊-阿库娅","10000","2605","14","刻晴开服超高人气，又上了央视图鉴，正好璃月过节，up一次没什么问题，况且喜欢的抽，有了或不喜欢的攒石头就好了，看到不少人不满，我是有点理解不了w,第一次见一个官方一点消息没给，完全活在角色语音和内鬼爆料中的角色有这么高的人气w 胡桃刚爆料没多久就看到有人评论，如果春节出胡桃比冲米忽悠，真是可怕[原神_暗中观察]"
"Unicorn熊本","男","无IP","487530226","5","","10000","727","","NSPT3MBNV9C2,8SNB34SNVQDW,HT7A24APV9VS"
"见于繁花夏叶之年","保密","无IP","30248431","6","","10000","1148","","地图不能一次性，突出开放世界的优势增加各地区联动，我有几个小提议:,1.每日任务里有护送气球的事件，那么可以延长护送距离弄一个每周一次的护送任务，比如探险队缺物资从蒙德护送到雪山，护送的车也可以装一些可以操纵上升下降，开启的机关护盾什么的，多人配合时长十五分钟左右，或者出了稻妻城地图护送船队到璃月，长途护送可以让玩家感受地图风景渐变的过程。,2.怪物击杀掉落的经验没有任何用处，人物角色升级全靠经验书，那这样可以把怪物经验变成概率掉落“精魄”，品质分金、紫、蓝、白，做一个可以锻造的道具“精魄瓶”可以吸收精魄转化原石，有每日转化上限，金色掉落几率极低可转化160原石，这样能让玩家有重复探索地图击杀怪物的兴趣，还可以增加玩家在线时间，而且能比较好掌握玩家获得的原石数量。想和朋友一起玩原神但是根本没有事情做，材料多的用不完，矿都五千个了，刷本即没多少体力，也没多少意义，都刷的差不多了！,3.加载页面有一个小提示，说提瓦特有七神所以有七天，那么可以按照星期几，强化怪物或者出现特色怪物，或者提升无相boss到需要联机的强度，比如说周一代表火神，所以火元素怪物受到强化，强化爆炎树强度需要组队战斗的程度，掉落保底一金可以是材料也可以是圣遗物，无相boss应该是做了不少动作的但是经常出场被秒杀动作做了都浪费了，不喜欢联机的玩家如果单人打不过可以周二打。,4.骗骗花采到假花触发，奥藏山洞那个地龙是走到附近触发，可以增加怪物触发登场的趣味性，和时间天气相结合，时间设置我用的最多的地方反而是抽卡的时候，杀三头雪猪有雪猪王，杀三十条鱼有条鲤鱼王很正常吧，比如被雷击的地方概率出现雷暴之核之类的。,我觉得原神很不错，特别是音乐，祝好[2233娘_耶]"
"绯色月下自闭人","男","无IP","5923210","6","","10000","3993","1","既然这波把米游社的资料卡搬进游戏了 就借此讲点笑话,,""这司马仓检次次给我出重复五星"",点开一看全部五星都是零命,,""这深渊11层搞这么难就硬恶心人"",点开一看进度7－3,,[吃瓜]都是发生过的呦"
"象鼻de考拉","保密","无IP","485597550","5","百鬼幼儿园","10000","518","","血书要求温迪壁纸1/10000"
"G-Androw","保密","无IP","96472809","6","","10000","2350","2","广告别看土，用浓厚的年味把二次元普遍的避世观给抹去了，真是太妙了！很有先行者的风度。,想想以后不用羞于启齿自己看动漫玩游戏，就好兴奋啊！！！"
"变成光守护柚恩大人","保密","无IP","17030261","6","向晚大魔王","10000","592","","冷知识：广告：,9：13,17：15,30：26"
"凉卿如雪","女","无IP","5677911","6","","10000","1413","","有人注意到那对至冬的笔友终于相见了吗？还一起逛海灯节！！！"
"saber酱の2呆毛","保密","无IP","36222147","6","","10000","463","","片尾动态壁纸已上传至steam版的Wallpaper Engine，搜索原神「明霄升海平」温迪壁纸即可，作者龙骨。"
"撷一两副蛋饼干","男","无IP","34209140","5","","10000","1705","","第一次当课代表，有点紧张，要点如下：,    1.2月3日更新1.3海灯节版本,    2.钟离加强实装进1.3版本,    3.机关奇谭（保卫璃月？）活动,    4.留影机（集五福）活动,    5.新首领怪物（古岩龙蜥）,    6.新绿色单手剑 红色长枪,    7.海灯节活动（主活动）分为3阶段,    8.魈传说任务开放且限时降低参与条件,    9.魈up（2.3）刻晴up（预定2.17）,    10.签到领取纠缠×10,    11.元宵邮件送纠缠×3 脆弱×2,    12.自选璃月四星角色,    13.活动总计可达1600+原石,    14.龙蜥寻踪活动,    15.手柄相关优化,    16.图鉴更新生物志,    17.角色详情优化,    18.新增角色突破素材转化功能,    19.参量质变仪（变废为宝）,    20.限时地脉花双倍（3次·1天）,    21.原神新ost即将发布"
"Lickosup","保密","无IP","304551331","5","","10000","874","","我也希望大世界npc多一点 下雨人们会到屋里避雨 晚上会进屋开灯 骑士团能看到琴团长挑灯处理文件 禁闭室传来爆炸声 诺埃尔在忙东忙西 丽莎阿姨在摸鱼 教堂外的广场上偶尔有芭芭拉在步道 会主动治疗旅行者的伤势 夜里会在城外遇到正义人 进副本前可能遇到凯亚刚从里面出来 在野外能遇到外出执行任务的皇女安伯和正在试图获取炼金材料的砂糖 还能为满身伤痕的班尼特提供一点食物 在风起地的大树上偶尔能看到温迪在弹琴 手边放着几个苹果 敲莫娜的房门她会请我进去喝杯茶一脸傲娇地说自己最近过得不错 奔狼岭晚上能看到雷泽在狩猎或者望着月亮想事 璃月港偶尔能看到刻晴凝光在大街小巷穿梭 郊外会遇到七七在采药 夜间会遇到重云在赶路 偶尔会有盗宝团的据点被行秋清理再留下难看的字 望舒客栈偶尔能看到魈在遥望远处 打冰冻树可能会遇到香菱正在与其厮杀 北斗偶尔上岸采购物资或者陪凝光喝酒 这样才能让人觉得他们也都有在好好地过着自己的生活 而我确实是一个异世界的旅行者不是一个盯着数据代码的玩家"
"夏良驹","男","无IP","105693813","5","王子碰碰球","10000","494","",".                   老人老人,                老人老人老人           手机手机手机,                老人老人老人           手    可丽   机         ,                    老人老人               手机手机手机,           老人老人老人了老人           手手手手,      老人老人老人老人老人老人手手手手手,老人老人老人老人老人老人老人手手手,                  《原来你也玩原神》,17：15"
"低能j0ker","男","无IP","496968046","5","BML2020光明版","10000","1583","","床,      表哥                    菲谢尔（表弟）,      手机                           手机                      jpg.,[doge]"
"爱吃TNT","保密","无IP","12983641","6","","10000","423","","现在开始我的世界一片荒芜，寸草不生、只鸟不飞、无树长果、无怪在图[doge]，锄爆"
"山野下-_-","男","无IP","313797972","6","","10000","1565","","不要用凡人的标准来揣测仙人,翻译：爷强到爆炸，抽我"
"德丽莎天下第一卡哇伊","保密","无IP","358245895","6","良辰美景·不问天","10000","962","8","会第一时间更新兑换码，别忘了点个关注。,求三连求转发，感谢大家的支持。,100原石:NSPT3MBNV9C2,100原石:8SNB34SNVQDW,100原石:HT7A24APV9VS,复制无效的小伙伴试试手打或者删掉最后一个重打就行"
"慕清隆_原铁代肝","保密","无IP","174945001","6","","10000","2077","9","朋友们不要问胡桃啦，多给点时间让咱们攒石头不香吗？再说了，那个时间点也不适合出往生堂的角色，当时候赶在清明节出不是美哉？虽然有点久就是了。[鼓掌]"
"吕老爷子","男","无IP","470168704","5","","10000","780","","我想说如果看到了这个视频还是不喜欢原神就真的别玩原神了，游戏就是为了让大家开心的，如果搞到不开心图什么呢，我个人期待原神越来越好，也很满意大家合力做出的贡献[OK][OK]"
"徳克薩斯","保密","无IP","37640166","6","洛天依8th生日纪念","10000","1345","","13个石头1600原石，卧槽我tm直接幻神米卫兵，小丑竟是我自己？哦，我一直都是啊，那没事了[doge]"
"亦下有心","男","无IP","18709549","6","","10000","443","","300原石[OK][OK][OK],23号12:00之前。,8SNB34SNVQDW,HT7A24APV9VS,NSPT3MBNV9C2"
"一般路过胖子","男","无IP","161365287","6","崩坏：星穹铁道","10000","1571","","我可能不出魈在座的各位必出"
"雀雀鼠","男","无IP","492981990","5","","10000","374","","NSPT3MBNV9C2,8SNB34SNVQDW,HT7A24APV9VS"
"凤渝析","保密","无IP","104387971","5","","10000","1739","","原来你也玩原神！这句话真的把我破防了，原神刚出来的时候，天天和他们高强度对线，贴吧，taptap，b站，到处都是我作战的痕迹[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]"
"芽吆Sora来点Rain","男","无IP","7913699","6","早稻叽","10000","510","","哎，从崩三开始，你们总是这样……玩家情绪高涨的时候一声不发，现在来个重磅炸弹，我留了下来，我感受到了你们的诚意，但我又如何替你们劝回之前愤而弃坑的好友们呢[tv_皱眉]"
