"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"鱼一框","保密","未知","25253795","6","","10000","8973","","我衷心希望不少国内厂商敢这么把自己怎么做游戏的，又为什么要做游戏，做这个项目有什么目的和原因，做起来多么复杂努力，你们在游戏里玩到这些是我们费了多大劲（比如交响乐团）才搓出来的，连一个小怪物设计都得考虑多方因素和设计的这些东西放出来。,我以前只在国外不少厂商看到过这种做法，他会让我切实明白游戏好玩有多么困难，做一个好游戏有多么复杂的系统设计。,这么好提升玩家粘度的付费欲望的东西，你们为什么不做呢？"
"-yuhao-","男","浙江","101338989","6","","10000","7897","","可以，幕后制作多来点，孩子爱看[傲娇]"
"璃月痞子","保密","河南","686429664","5","","10000","7802","","祸津御建鸣神命：“千手覆寂”“终归万劫”！,千叶寂照秘密主：“轮转百劫”！,属于是把技能点全点造型上了[藏狐]"
"莫有名字的孩子","保密","山东","642300356","5","原神","10000","22509","","我仍然忘不了，当时刚玩的时候，在一个下雨天拿着安伯打一个小宝刮了10分钟"
"星渊游士","男","河北","243842102","6","异常生物","10000","367","","其实有没有发现评论区有些人里说怪设计的好不好，其实主要跟机制没太大关系，主要是跟好不好杀有关。,    漂浮灵确实霸体的很过分，但除了这个其实还好。海乱鬼这个其实是我觉得这是原神设计的最让我有实感的怪物，会让我十分着重于他的技能和招式，而不是跟现在这样怪物出场花里胡哨，我看出来有机制了，但实际上忽略了也没关系，打起来的过程和观感上好奇怪的。,     如果把现在的怪boss加强，引导向玩家要研究机制去打，弹幕评论区估计就是另一个状态了。（不过这样的话原神也发展不到现在了吧）"
"顾问呀","男","贵州","1279470","6","初音未来13周年","10000","678","10","“都是原魔设计师，能让原神玩家获得更好战斗体验的努力”。,哎，只能说，“用户群体差分极大”的游戏，真的太难设计了。,现在都被调侃“弱保软”。,,经常可以看到有人说“机制”垃圾，设计的不好。,然而扪心自问一下，真的是“机制的问题”嘛？,,我个人认为：所谓的“机制”，是通向终点的“捷径”，所以“机制是围绕难度来设计的”。,举几个很简单的例子：,债务人的大招很酷炫。风暴之核的“绝缘之地”靠风场下坠攻击击落。,冰莹通过打蚊子来破盾。还有遗迹怪物的“弱点”。,这些都是“所谓的机制”。,然而这些机制有意义么？,只能能被“吸”，在温蒂面前就是纯稻草人。,血量不够“厚”，就是雷神一刀。,机制还有什么意义呢？,,就像《战神》一样，在“困难以下的难度”，,什么QTE，什么地形杀，统统都没有任何意义，斩杀动画的时间，还不如砍两刀来得快。,,“游戏性”，“机制”，“游戏难度”。,这些是密不可分的。"
"蓝-蓝-路哒","保密","浙江","20298935","6","原神","10000","256","","虽然觉得不一定能得到回复但是还是十分好奇：遗迹系列既然可以说是坎瑞亚的技术，那么后世对机械的研究是基于坎瑞亚还是赤王，或者是一门完全从零开始的学科呢。比如卡卡塔的形象虽然说很明显的机械螃蟹形象，但是外壳明显就不是遗迹系列的配色。而赤王那一边的“元能”又是一种什么样的结构？虽然从名字和聚集地看元能构装体的应该是一种类似于建筑工和守墓人的形象存在。那赤王的这份理论基础又是哪里来的。两者之间会有技术的沟通性质，还是说是单方面的谁学习谁呢？"
"普通市民小黄","男","湖南","86481970","6","","10000","101","","这个机器的设计灵感肯定很大部分源自《地平线》，就是原神那个联动过的那个游戏系列，有种生物形体和机械结合的美感，但是原神的模型精度和交互体验都差了很远，因为多平台的兼容限制倒也正常，我觉得未来在大世界可以多设计一些交互性更强的怪，就像地平线那样可以骑的，或者能可以用某种道具可以短时间驯服，不要见面就是动手或者打了掉两种肉，抓到，这样太单调了，抓到壶里是一个进步，但是对于开放世界来说太无趣了。"
"鱿鱼酱配花生脚","女","中国台湾","106036369","6","","10000","50","","我就知道讲原魔评论区会吵架......漂浮灵是不好，但是也不用几个缺点抓住不停放大。。。何况这是讲小宝的设计思路和机制，怪物不仅有机制重要的还有数值也重要，钟离已经让很多怪物的机制被人忽视了，大家理性看待吧"
"_咩酱","保密","内蒙古","22652097","5","","10000","700","","所以每次看到有人说“作者根本没想那么多”“设计师根本没想那么多”的时候都觉得这是对他们付出的不尊重。设计师肯定想的要比大家看到的更多。"
"--仙人球--","保密","浙江","109169960","6","","10000","430","","有些细节就是因为做的太真实了，真实到让人感觉理所当然，所以都没有发现。比如遗迹巨蛇钻地的阻力感，视频里讲到我才忽然觉得：卧槽真的做的好真实！真实到令人发觉不了，或许就是真实感的最高境界吧[脱单doge]mhyNB[打call]"
"羽落星扬","保密","陕西","156341222","6","明日方舟-愚夜密函","10000","296","","for the nation， we can’t forgo this skyborne power， but we failed,,为了国家，我们无法放弃来自天空的力量，但是我们失败了——龙脊雪山的遗迹守卫"
"繁花丶无影","男","广东","31123742","6","公主连结佩可莉姆","10000","108","","建议常驻冒险家试炼，然后每15天更新一次玩法"
"马鹿水手","男","湖北","334313987","6","","10000","847","","好羡慕，一群真诚地做着自己热爱的事业的青年人，齐聚一堂认真耕耘一部划时代的作品。好羡慕"
"嘤短烧酒","女","山东","345071347","6","","10000","66","","好感慨啊，想起自己开服入坑，钟离池子之前，这游戏真的会逼着你研究怪物打法，我当时遗迹怪物和所有开服boss都背板了，不小心还会暴毙。不过有了钟离之后，不管是什么都固若金汤了，或许有空的时候也该让原魔们多一点表演的时间[妙啊]"
"DrEaM-海龟","保密","河北","604186315","5","","10000","57","","感觉对不起原魔设计团队了[笑哭]，老玩家都是一轮或者两轮就秒了根本不能见识到全部技能，我个人也确实没有注意到这么多细节。下次一定好好感受一下原魔设计的伟大[给心心]"
"_木","女","河南","338769160","5","","10000","798","","不过这些遗迹守卫都是生锈的hhh看卡卡塔就知道原来是白色的，其实还蛮好看有高科技那味的，生锈了就真的怪磕碜的…[OK]"
"我们曾誓以为神明","男","江西","44691804","6","碧蓝航线","10000","322","11","大佬：为了方便……我们开发了……研发了……深度改造了……,我：？[疑惑][藏狐]"
"摇曳鹭荧-","女","广东","266743314","6","崩坏：星穹铁道","10000","787","","我强烈建议女士，雷神，散兵以及之后的周本都出一个幕后视频！！有没有人支持[打call][打call]"
"-_1_22_333_-","女","马来西亚","58567953","6","","10000","245","","可以来一期的镀金旅团吗？感觉新出的怪的设计都不错，那个唤鸟和唤鳄鱼的"
"百野栞の书架","保密","黑龙江","88093754","6","还有醒着的么","10000","1602","","曾几何时，孤云阁的F4遗迹还是开服玩家们的噩梦[tv_流泪][tv_流泪][tv_流泪]"
"谨临","保密","日本","23562170","5","","10000","260","","感觉原里的机架画的都挺色的，点名表扬散兵的那个，我三天打了五十多次，要不是第二阶段有虚空我能整天待在副本里不出来[原神_倒]"
"电刀从不漏电","男","福建","471603879","6","","10000","347","","什么时候出漂浮灵，流血狗和空壳的创作幕后[阴险]"
"不算成熟的海胆","男","广西","323737997","6","","10000","760","","我要看漂浮灵的创作幕后，不为别的，就想知道设计师是以一种什么心情制作的[脱单doge]"
"安可家的搞四儿","女","广东","656226","6","","10000","218","","《开发了》《研发了》《又一次改造》用普通的话说出最恐怖的词，研发同学们头发还好吗[2233娘_汗]"
"稻妻第一偶像心海","女","河南","1028813132","5","碧蓝航线","10000","200","11","你们内部怕是真混进去了几个坎瑞亚人，建议查一下[妙啊]"
"天空岛的愚者","男","北京","173323339","6","至尊戒","10000","1650","10","可见每个怪物在设计的时候，制作组都预设了正常的击败方式，找到这些方式需要对怪物有足够的了解。,然后我选择了朴实无华的灌伤害，把制作组的一番苦心当成驴肝肺[笑哭]"
"灵犀杂货铺","男","未知","452698922","5","","10000","255","5","古国护卫者——遗迹系列怪物创作的幕后。,设计参考基本点：「功能主义」（功能决定形式）；「仿生」（地底之下不曾见过地表生命形态的人，基于自己想象的仿生）。,..."
"假面骑士卅骑","男","辽宁","1017920329","4","","10000","447","","《玩家可能体会不到，但做与不做是绝对能体会差别的》,这话是对谁说的呢[脱单doge][脱单doge][脱单doge][脱单doge]"
"摇曳鹭荧-","女","广东","266743314","6","崩坏：星穹铁道","10000","787","","我强烈建议女士，雷神，散兵以及之后的周本都出一个幕后视频！！有没有人支持[打call][打call]"
"我真的没忽悠你","保密","重庆","2323431","6","","10000","259","","说真的，我希望原神官方能注意到一件事情，你不管bgm多好，怪物设计多好，理念多好，机制多花样，但事实是我们体验不到。在游戏里这些东西都活不过十秒。类似这次散兵周本，我真的好期待。来一场爽快的boss战，情绪铺垫好了，氛围铺垫好了，逼格拉满了，我满怀激动的开始打新周本，结果催的跟纸一样，几秒钟第一阶段完事，第二阶段破盾之后也是去十秒以内散兵就噶了，我玩了这么多游戏，原神是我唯一对原魔期待这么大却失望更大的游戏，什么考虑手残玩家，考虑萌新玩家，谁考虑考虑老玩家，高练玩家的游戏体验。我只想有一场不错的对战而已，别说什么你去就上主角。我有成体系的队伍为什么要自降能力让自己不舒服，那只会让自己玩的更难受。说真的散兵第一阶段我看了主播实验，机制还挺多，boss技能也不少。但我真的不能全力去体验。感觉浪费了bgm，浪费了气氛铺垫，浪费了我的队伍强度，就这样。还有类似什么番薯在那带强度节奏。捏死他的心都有了。玩家上限高于现在原魔强度多少自己没点b数？真的，原宝，求求了。加个深渊13层，不分上下半，就放一个周本系列boss，调整一下数值，让我们领略一下boss真正的实力吧[大哭]"
"UnbelievableTan","女","湖北","174833757","6","","10000","158","","道德在哪里？底线在哪里？美术姐姐的联系方式又在哪里？"
"東葉月","保密","上海","165381","6","","10000","357","","遗迹系列最不合理的地方就是模型碰撞，近战各种丢刀打不到，水母把巨大的龙兽顶到天上，本无法移动的骗骗花被其他遗迹怪挤的推来推去，玩家被无相铁的4个小弟残骸挤在中间出不来，这些都是设计如此吗？[崩坏3·光辉矢愿_彩虹水枪][崩坏3·光辉矢愿_彩虹水枪][崩坏3·光辉矢愿_彩虹水枪]"
"Luli_Lumi_","保密","山东","10679592","6","崩坏3·天穹流星","10000","254","","别教了 友商真的不想学 人家做游戏做的是理财产品 不是游戏"
"一派_胡言","保密","山东","275325944","6","2233十一周年纪念","10000","136","11","不是，为什么我们原魔的视频让你们原神发了？"
"马鹿水手","男","湖北","334313987","6","","10000","847","","好羡慕，一群真诚地做着自己热爱的事业的青年人，齐聚一堂认真耕耘一部划时代的作品。好羡慕"
