"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"白银提督叶妈","保密","河南","1465919874","5","","10000","9259","","要须弥幕后音乐制作！！！我要见陈致逸老师！！！受不了了啊啊啊啊啊啊啊！我要见陈致逸老师！！见不到陈致逸老师我要死了！！呜呜呜呜陈老师我是你的粉丝啊啊啊啊啊啊！"
"天上飞鸽","男","湖南","336411075","6","","10000","4955","","看不到3.2版本直播，感觉有迪卢克温迪琴丽莎安柏凯亚雷泽芭芭拉班尼特砂糖罗莎莉亚莫娜诺艾尔可莉迪奥娜阿贝多优菈菲谢尔钟离凝光行秋香菱七七北斗重云刻晴辛焱甘雨魈胡桃烟绯申鹤云堇夜兰公子瑶瑶白术枫原万叶神里凌华早柚宵宫九条雷电将军心海托马五郎一斗八重神子神里凌人久岐忍鹿野院平藏妮露赛诺坎蒂丝迪希雅艾尔海森多莉柯莱提纳里莱依拉纳西妲在身上爬！"
"Elya爱莉","保密","广东","163017704","6","","10000","1324","","每次在须弥城几初的智愿这首音乐一响，不知为什么每次我都去旅行者情有独钟的那个长椅坐下静静听着，这就是音乐的魅力吧。"
"中国平安","保密","广东","651410600","6","","10000","10077","","希望前瞻预告平安[保佑][doge]"
"焼魚姬","保密","广西","2762999","6","","10000","789","6","宝啊，风来人剑2.0和无相交响诗3.0安排一下呗，别整那些有的没的，众生平等debuff，什么5w血钟离8w血妮露，我剑鬼哥一刀连人带盾一起扬了[给心心]"
"安德洛玛琉斯","保密","湖南","174012005","5","","10000","1135","10","「足迹」pv里须弥的音乐叫《树与花的旋舞》,祭司讲故事pv里有一段背景音乐叫《慧光启曙》,奥摩斯港的音乐叫《喧繁之港》"
"世界第一湯川殿下","女","内蒙古","560264421","4","","10000","400","","纳西妲！你就是我命运般的阿芙洛狄忒，塞纳河畔的春水不及你，保加利亚的玫瑰不及你。你是神灵般的馈赠，你是上帝赐予我拯救我的天使，使我的灵魂受到洗礼与升华。你是我黯淡升华中一束光亮，照亮了我黑暗的生命，你为我黑白的世界填满色彩，使我得到新生。看到你，我如临仙境，在厄瓜多尔荡秋千，在夏威夷岛冲浪，在清迈放飞天灯，在希腊梅丽萨尼洞泛舟穿梭，在土耳其卡帕多西亚空中漫步。你的一瞥一笑在我心头舞蹈，我全部的心跳都随你跳。我飞奔，我猛跑，我高举手臂，我欢呼雀跃，我在5号21楼的阳台跳起探戈。太帅了，你是神，我被帅到泪流不止，喷涌而出。我的眼泪从眼眶里高压喷射出来打穿屏幕，飞过珠穆朗玛峰，飞过东非大裂谷，飞出太阳系遨游九天；汇成亚马逊河，汇成银海星汉，在我热烈滚热的心头成云成雾，倾斜而下，席卷四方！"
"小紫的小号","女","江苏","14829832","6","","10000","5180","29","陈老师，永远滴神！[打call][打call]"
"神里家的Eric","保密","天津","382175864","5","","10000","253","10","For Riddles, for Wonders 几初的智愿》   0:15,《Overnight Dew in the Woods 香林繁露之夜》 2:22"
"ThePictures","保密","新疆","31985772","6","至尊戒","10000","2562","","各位，QQ音乐已经首发了，100首，整整100首啊！[大哭]"
"Saber朗","男","陕西","93389289","6","","10000","92","","明晚有前瞻直播吗？宝[热]"
"艾尔海森的老公","保密","辽宁","289903876","5","三周年恋曲","10000","1327","10","前瞻前瞻 急急急"
