"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"璐主","保密","无IP","488173","6","","10000","17009","","温迪:我给琴神之眼的时候也没想到她会长这么高。[笑哭]"
"剪眠","女","无IP","3830985","6","#EveOneCat","10000","20037","","话说原宝有没有考虑过弄个连携语音，就是有羁绊的人同时在队伍里会有特定的对话，比如钟离和魈，钟离和甘雨，北斗和凝光，优菈和琴等等的[Cat_escort]"
"不知名的咸鱼C","保密","无IP","354245013","5","","10000","179","","好像很多人都不理解神之眼是哪来的，我来科普下，根据目前的设定，神之眼的来源只有一个，那就是七神，而一个人想要拥有神之眼，只有被七神中的一个认可，才能得到相应属性的神之眼。不被七神认可的人，是不会拥有激活着的神之眼的，，所以不管一个人是通过什么途径获得激活着的神之眼，都是因为那个人被相应属性的神认可了。比如：凝光那个神之眼空壳被重新激活，是因为凝光被岩神认可了，才会被重新激活，就算没有那个神之眼空壳，凝光也会通过其他途径获得，而最常见的获得途径就是凭空出现。所以凝光血亏一个神之眼空壳[笑哭]。还有根据稻妻剧情对神之眼设定的补充，神之眼是一个人的愿望，而当这个人对于这个愿望的渴望程度很大时，那个人的愿望就会被七神注意到，而当有一个神认可了那个人，那个人的愿望就会变为神之眼，当失去神之眼是，就相当于那个人的愿望被剥夺了。以上，就是我根据自己的理解而整理出来的科普，如有错误，希望有人的在评论区科普正确的。"
"NewStar小新星","男","无IP","25109136","6","","10000","14904","8","来科普吧[doge],1.早柚胸前几个相同的可能是「花菱纹」。所谓「花菱」就是把花朵和菱形进行杂糅, 是典型的传统艺术手法。除此之外, 上衣下侧还有花菱与手里剑结合的复合花纹,2.早柚身上具体是哪种花，还不太肯定。但从花瓣数量为五片边缘偏尖没有缺口来看，我估计是柚子花。,3. 00:15 的背景可以确定是「青海波纹」, 这种由大大小小的圆弧反复叠在一起的花纹，流行于江户时代，描绘海面上波浪的样子,4. 同一时间出现在早柚""头像框""内的花纹，可以确定是「工字霞纹」，所谓的""工字霞""就是把霞画成""工""字型, 体现春季湿度大而霞雾笼罩的意境。"
"越谷こ小鞠","保密","无IP","38889800","6","","10000","1659","","怎样长高最快最有效：,一、每天保证20-40分钟的纵向运动。运动时间必须控制，要注意适量，必须督促孩子每天至少有20-40分钟的有效运动时间，以孩子出汗、发热、面色红润为宜。能够促进身高增长的运动有引体向上、篮球、排球、跳跃、跳绳、踢毽子和游泳等。,二、半饥饿状态反而容易长高。在饮食方面必须保证孩子有足够的营养，因此每天至少要保证喝200ml牛奶，吃1个鸡蛋，以及适量的各种肉类、谷类和蔬菜等。在半饥饿状态下，人的生长激素分泌更多，更能促进身高发育。所以不要老是担心孩子吃不饱，填鸭式地喂孩子，不停的给他吃零食，这样对长高和身体健康反而不利。,三、关灯睡觉，睡眠充足。保证充足的睡眠是孩子长高的重要条件，发育期的孩子应该早睡早起，有充分的8-10小时的睡眠，使体内生长激素和其他生长发育有关的激素，处于最佳的分泌和发挥功能的状态。睡觉的时候一定要关灯，人工光源都会产生一种很微妙的光压力，光压力的长期存在，对孩子的骨骼生长非常不利。"
"propuppeteer","保密","无IP","355621102","6","珈乐Carol","10000","1068","","那一年的对决是五星萝莉对四星萝莉，最终比分2-1。,当时我看见dio娜坐在椅子上生无可恋，,那一刻我就在想如果我能成为进入卡池，,我一定要赢下所有。,如今卡池就在眼前，,我必须考虑这会不会是我此生仅有的机会。,我相信四星萝莉能有过去的霸主地位(并没有)，,dio娜功不可没。,重铸四星萝莉的荣光，我辈义不容辞！"
"灬苏小小灬","保密","无IP","360568993","6","","10000","3795","","黑板黑板黑板,          黑板黑板黑板,                         烟绯,,课桌    课桌     课桌      课桌,早柚    可莉   迪奥娜     七七,.jpg"
"百野栞の书架","保密","无IP","88093754","6","还有醒着的么","10000","1196","","虽然发晚了些，但还是想让大家了解一下,早柚中配：sakula小舞,主要配音角色：,孙鲁育一一一《三国杀OL》,列克星敦(CV-2)、列克星敦(CV-16)、应瑞、安德烈亚·多利亚一一一《战舰少女R》,泰坦妮亚、列克星敦一一一《四叶草剧场》,诺提拉斯、玻莉一一一《幻书启世录》,.,早柚日配：洲崎绫,主要配音角色：,北白川玉子一一一《玉子市场》,花凛(绿发恶魔)一一一《公主连结Re:Dive》,泷壶理后(少奶奶)一一一《某科学的超电磁炮》【剧中item组织的，成员还有北斗和菲谢尔】,满舰饰真子一一一《斩服少女》,橘佳奈一一一《极黑的布伦希尔德》,飞驒翔子一一一《Happy Sugar Life》,八千代命一一一《月影特工》,塞丽娜·沙尔洛克一一一《七人魔法使》,茅野枫一一一《暗杀教室》,M9、西蒙诺夫、艾尔菲尔特·华伦泰一一一《少女前线》,龙骧（枭）一一一《碧蓝航线》"
"小鸟游森凸","男","无IP","238130134","5","","10000","3071","11","恭喜魈终于脱离了风系身高倒数第一[保佑]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","8121","","早柚宝贝太可爱了！我居然才看到"
