"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"断手残废樱满集","男","浙江","21028301","6","原神","10000","12697","10","赛诺：某一天妮露偷偷在绿洲练舞，一不小心摔倒在水里，化了,提纳里：？？什么情况？人还能化进水里的吗！！？？？,赛诺：然后，绿洲的水就变得非常坚硬,提纳里：啊？为什么？这是什么原理？？？,赛诺：因为整个绿洲都变成了——“水妮露”"
"芝士_与希儿分享","男","天津","1903599462","5","","10000","5245","","“虽然大家都挺不喜欢妮露专武的，但是我觉得还好啦。,不仅特效给的强力，外观也很符合历史原型。”,“噢，是正面评价！”,“是的！所以，如果它不是妮露的专武的话，我还是会抽的。”,“欸……突然就变成了很糟糕的评价呢。”[doge]"
"YG羊驼","保密","江西","1953941448","5","","10000","2986","","做一位有素质的网友,发一条友善的评论,,留一个好的评论区环境给其他人,万分感谢[抱拳]"
"健康的软绵绵","男","河北","11966239","6","","10000","7007","","这世间种种纷争的产生，大多是因为无法容许自己不同之物的存在"
"放下也是一种天い","男","天津","525005592","4","","10000","9490","","刚刚抽妮露卡池，当70多抽爆金的那一刻，我的心沉入谷底。然后我的妮露了出来了，她出来了。三段e手感还不错，大招非常漂亮，还可以喊“在此，宣判”。[辣眼睛]"
"妮露睡觉总赖我床","男","山东","288255079","6","","10000","2034","10","抽到妮露的千万别去打直伤，会崩溃，她是打水草反应的（忠告）"
"空间曲率的涟漪","男","湖南","389287246","5","","10000","841","","以后的角色只会越来越专于某几套打法，万金油角色会越来越少，这是有利于游戏长期运营的"
"鹿翡深深图朝暮","女","河北","349663874","6","星座系列：水瓶座","10000","1509","","文案里的丰壤之核什么的，各种复杂的buff他可以表达的更直白一点，设计那么多复杂名字，然后用这些新鲜的名词再一顿操作，真心反应不过，直观点解释一下啊，毕竟刚认识妮露，而不是玩了很久了"
"灰熊幼崽","保密","浙江","38171172","6","","10000","614","","看完之后最深的感触就是：心疼孙晔老师。,然后突然想起当年玩的三国杀。随着武将技能文案字数越来越多，我玩的就越来越少了。,我希望妮露是一个特例，而不是一个开始。如果角色的“特色”需要依赖大量的“限制”来达成，那么最终我们将收获越来越多的“问题”和没有尽头的“修复”。"
"新人才是王道","保密","上海","89296690","6","","10000","302","","“这世间种种纷争的产生，大多是无法容许与自己不同之物的存在”——戴因,这句话当真是把现状从上到下讽刺了一边啊[辣眼睛],从行业看，哪有像米哈游这样做手游的，于是有了纷争[热],从玩家看，就更多了，人也没说你说错了，观点、角度不同，就开始了[热],包容一点，打开心交流一下没什么难的吧[脱单doge],这是第一个限定玩法的角色，如果不好，说出来大家听听，讲清楚所以然，一起去跟官方反馈[OK],我一上来就闻到火药味老不舒服了[热],个人觉得偶尔来一两个特殊玩法的角色其实还行[脱单doge]，不过这次在草系角色、机制不齐的当下这样限定确实有点早[藏狐],但真看强度的话，配队不也差不多限死了嘛[热],玩游戏，开心一点"
"摸鱼的山市","男","湖南","400110679","6","崩坏3·天穹流星","10000","202","11","妮露的传说任务做完啦，说下个人感受吧。,应该算是日常生活中的经常会碰到的“解决难题”类型。内容比较平淡日常，但是剧场和亲情两条情感线交织在一起的感觉，还是挺有意思，挺细腻的，部分细节也算得上可圈可点。把自己带入进角色而不是上帝视角的话，剧情的表现力还是挺有张力的。可惜和别的优秀传说任务比起来逊色一些，不过偶尔轻体验一下这种充满人情味的微剧场感觉也很棒啊[tv_点赞][tv_点赞][tv_点赞]"
"模门太","保密","河南","691165837","5","","10000","89","10","妮露传说任务让人很烦恼，并非是传说任务不行，而是让我联想到现实，无数人的会因为他们一句话而巨变，而下面的人哪像童话故事里有时间和经理抗争强权，就算把事情闹大，让组织发现，第一时间想的的肯定是处理舆情，为了所谓的正能量和某些人的面子而不了了之，可能多看看童话，活在梦里会好点，希望现实中多点妮露吧，唉[难过]"
"太宇可斯","男","未知","27593118","6","","10000","128","","有玩家开始说，原神这款游戏是赚钱越多，做得越差。,从我的游戏体验看，特别是从3.1版本开始，须弥沙漠地图，在游戏体验上就感觉不太好。大地图的设计总体来说是合格的，但游玩性太差，缺乏合理的游戏指引，导致玩家重复探索，浪费时间和精力。然后，在人物形象的设计上，特别是这个妮露和她的武器，不知道人物的设计者出于何种考虑，做出这种设计来。,这款游戏面临很多挑战，如果这后面不正视，未来便会成为企鹅游戏。"
"原靈","保密","内蒙古","281641439","6","咩栗","10000","47","","一命后e无缝衔接，二命增加团队收益，四命提高充能循环增加，六命简单粗暴的双爆。需要高频挂草，目前的三个草元素角色都不能很好的搭配妮露。五星武器绿剑、苍古、圣显之钥，新四星专武[doge]西福斯的月光、原木刀不错，铁蜂刺还能用。这就是用完妮露后的个人感受[脱单doge][脱单doge]"
