"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"陈致逸音乐工作室","男","无IP","11057377","6","","10000","47330","","人生,最美好的时刻往往是第一次……,与天使般纯洁可爱的小朋友们一起拍摄这首音乐Mv感觉很幸福。,记得那时候版本更新的第一时间我就拿起了手机冲进崎岖险峻的雪山探索，听着自己写的音乐，实属美好难忘的回忆。,珍惜此刻幸运对我的眷顾，继续努力用音符点缀原神多彩斑斓的世界吧。"
"Sfuture艺术团","保密","无IP","114206276","4","","10000","24280","","很荣幸能够有机会演唱龙脊雪山OST,每一个音符都是我们用心的演绎,希望能唱到你们的心里去[爱心],,感谢@原神 ,感谢音乐制作人陈致逸哥哥,感谢指挥齐放老师,感谢每一个观看视频的哥哥姐姐们"
"颠那个癫","男","无IP","176088405","6","雾山五行","10000","20213","","虽然在这说不太对劲，但是我要告诫各位1.2以后入坑的朋友，从蒙德城到璃月不要翻雪山！！！！！"
"西暮遥","男","无IP","9105614","5","","10000","13451","10","雪国就是一场悲剧啊，公主，祭司，勇士，人民，都在努力寻找希望，但所有的努力在天理面前就是蚍蜉撼树……雪山到处都是刀子[哭泣][哭泣][哭泣]"
"浑元Rysn","保密","无IP","42561463","6","","10000","16317","","代入感很强，已经快被冻死了[脱单doge]"
"没睡醒の风芜","男","无IP","390528173","6","#EveOneCat!","10000","10123","","你听音乐的样子很陶醉，但你满世界找火把的样子很狼狈[脱单doge]"
"吃纸の蘑菇","保密","无IP","336831448","5","明日方舟音律系列","10000","9194","","小朋友长大后简历：参加过游戏原神的音乐制作"
"FiremanZ","保密","无IP","99306213","6","","10000","10488","","油管热评,你的角色：我要冻死了[难过],背景音乐：啦啦啦～啦啦～啦啦啦啦啦～"
"樱名为良","男","无IP","18432040","6","原神","10000","10890","","想起了二十级的朋友非要进雪山，又当爹又当妈，给我累的半死"
"解毒机f","保密","无IP","334184159","6","","10000","24909","","你滴，地图好好滴做，648大大滴有[doge]"
"御坂17146号","女","无IP","352192552","5","","10000","8432","","发布龙脊雪山OST,玩家稳定度+10"
"语颂源","男","无IP","25150765","6","","10000","7909","","寒冷而温暖"
"间人型夜","保密","无IP","43215949","5","","10000","8010","","你可以不喜欢原神，但是没人能否认原神把国产游戏的审美拉破了天花板"
"小缺缺缺缺","女","江苏","203588844","5","","10000","78","","选了这首歌当做我的婚礼入场曲，而昨天婚礼圆满结束，觉得歌曲真的选对了，真的很完美，谢谢作者。"
"林子末","男","无IP","398852114","6","","10000","6009","11","「假如天性中的胆怯与绝望将你压倒，令你终于不在归来。」,,「请你活下去，请不要与我们共同走向灭亡，湮没于冰冷的遗忘。」,       ——公主对勇士伊蒙洛卡临别前说的话"
"PB白衣少侠","男","无IP","7679753","6","","10000","4472","","原神真的在音乐方面下了大功夫。当时玩的时候进雪山 钢琴一响起来就被震撼到了，那种空灵的感觉，搭配纯洁灵动的童声，真的很有一直探索玩下去的欲望"
"茗一口茶","保密","无IP","48586899","6","碧蓝航线","10000","3727","","雪山藏剑地说是有四副画结果只有三副，因为有一扇是门，门的的那副画是留给勇士开门的那一刻外面是春天的景色。"
"小白鱼唔","保密","无IP","475225559","5","","10000","6115","","建议给气球加“1”点伤害，我想看大佬拿气球打北风狼[doge][doge][doge][doge][doge]"
"取个名字多简单","男","无IP","13902930","6","","10000","3445","","有个细节，风花节更新后，我去雪山做任务，找火堆，我发现锅巴变聪明了，我放歪了，它自己会对准。"
"我想说些啥呢","保密","无IP","87671592","6","崩坏3·天穹流星","10000","1249","","对不起，爸爸，我已经……记不清春天的样子了,,可以的话，我好想再看一次星银花田啊"
"年迈的小顽童","男","无IP","275185991","5","","10000","2321","","原来是用这种方式演奏的吗[doge]"
"拉菲的夫君","保密","无IP","39294515","6","初音未来13周年","10000","1281","","自从把雪山打通得差不多之后，除非是日常任务，不然压根就不想进雪山[笑哭]"
"时间之类","保密","无IP","86123717","6","","10000","3911","","这么棒的雪山，玩家一定天天去吧[doge]"
"智商下线的铃寒菌","保密","无IP","22083544","6","#EveOneCat","10000","1794","","我记得我第一次进雪山开荒那天，正巧宿舍冷得像是进了114514个高能冰爆源石虫，然后再加上耳机里放着雪山的BGM，可谓是体会到了内外一体透心凉的感觉[笑哭][响指][响指]"
"翎修离","保密","无IP","13318020","6","向晚大魔王","10000","1091","8","／ ￣￣ ＼　     ,|　           \　  ———————————,|　             |     |   亲爱的原神               ｜,\　　    　/ ∠     我馋诺艾尔身子        ｜, ＼　　 イ　   ｜  我诚实                     ｜,／　　　\       ———————————,/　|　　　 \   ,|　|　　　 | |"
"爱笑you不爱笑","保密","无IP","348013678","5","","10000","4015","","今天我在公交车上  ,     ,    ,    ,    ,    ,   ,     ,     ,小妹妹比我会玩，我没好意思看她uid。[抠鼻]"
