"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"九敏啦","女","无IP","22881054","6","","10000","9796","","啊啊，看了两遍好像懂了_(:з」∠)_,这是在暗示两个主角吧，王储，主角好像出身也挺高贵的;去寻找珍珠，主角是其他世界的旅行者;一个迷失了自我，一个开始启程。,,第一位王储找到了珍珠，也就是说属于深渊法师阵营的主角，已经的到了要找的东西了吗？"
"黑暗草莓圣代","男","无IP","5687511","6","","10000","7579","12","在这个点看视频的都是玩不到的吧[doge]我也是"
"执剑人王权","保密","无IP","435697484","5","","10000","7782","","好家伙，先公测了不和我们说[doge][酸了]"
"米游姬","保密","无IP","510189715","6","","10000","4487","4","进游戏！"
"老婆是纳西妲","男","无IP","375722908","5","良辰美景·不问天","10000","4473","","从第一个pv放出来到现在一年多了,我们终于等到今天,祝原神开服大吉,希望原神可以和喜欢原神的玩家共同进步,,“ 我们的光芒，终会汇聚于夜空里，成为白昼一般明亮的光 ”[打call]"
"迷路的史莱姆酱","保密","无IP","450905062","5","","10000","1763","10","姆~主题PV来啦！"
"空之律者_琪亚娜","保密","无IP","13374362","6","三周年恋曲","10000","1740","10","提前开服我觉得没什么好说的，毕竟官方没有说过早上10点开服，上面只是写了维护时间到早上10点，提前结束维护挺正常吧？当初测试服的时候大家还巴不得早点维护结束进游戏呢，虽说确实有些不厚道就是了。,再一个，真正想抢UID的都是从3点就开始准备进游戏了，像我今天就是，因为群里一张3点结束维护的图，我从早上3点开始准备进游戏，每打完一把lol就登上去看看，结果早上9点零几进的游戏UID就已经两万多了，说明我还是不够厨啊（笑）[doge]"
"飞翔的丘丘人","保密","无IP","472729452","5","","10000","1022","","本丘来了！[tv_点赞]"
"绯红辣椒油","保密","无IP","107853207","6","","10000","686","9","说明一下:提前开服是为了错开玩家高峰期，不然十点钟十几万人挤在一起，服务器直接给你干爆。"
"工藤铃桜","女","无IP","39848339","6","国民老公带回家","10000","520","","在看视频的都没登原神吧[大哭]只能拿着手机卑微看着[大哭]"
"工藤铃桜","女","无IP","39848339","6","国民老公带回家","10000","388","","在上课的集合[大哭][大哭][大哭]"
"藝外之桃","保密","无IP","214494114","5","","10000","304","11","知道为什么我在这里吗，因为电脑配置不够[热词系列_泪目]"
"和煦windy","男","无IP","86892580","5","","10000","273","","婊过来婊过去，这也婊，那也婊。提前开服不愿意，10点准时开服炸了服也不愿意。id数随缘不挺好，我在学校挂的电车牌的数还是233呢[doge]虽然是临时的牌。"
"莫雪离殇","保密","无IP","43870991","6","","10000","189","","我不相信只有我自己二级的时候去干了19级的怪"
"泠鸢hanser","男","无IP","35955179","6","","10000","184","","真的搞不懂。,当我知道提前开服的时候，我是感觉有点惊喜的，竟然提前开服了。,但是，有些人竟然因为提前开服而喷原神，就因为没有抢到好的UID？？？"
"萌雪绘梨衣","保密","无IP","1300331","6","拜年祭粉丝专鼠","10000","181","","好家伙，这都是是玩游戏呢还是准备以后卖号呢[疑惑]"
"奥兰多KIE","保密","无IP","629272834","4","","10000","253","5","在，wsm提前开服，我uid没了[大哭]"
"工藤铃桜","女","无IP","39848339","6","国民老公带回家","10000","136","","在上课，没ID，已哭死[大哭][大哭][大哭][大哭]"
"幽魂-official","男","无IP","142240953","6","","10000","129","","国产手游黑暗降临了！！我等黑暗之子终于可以崛起了！"
"水银子君","保密","无IP","6429354","6","","10000","113","","公测了才发现原来真的有这么多人把原神当主机游戏期待的。。。在二测之前我都一直当做手游来期待而已，所有当时第一次玩二测的时候真的大大超出了我的期待，以及刚开始的蒙德都是一测时最像塞尔达，最没有自己特色的部分，起码第一次到璃月，穿过绝云间登上庆云顶的时候，我真的是很震撼的。"
"蜂巢饼","女","山西","115421818","5","不吉波普不笑","10000","53","","擦，我才反应过来这是暗示兄妹剧情"
"壁枷锁","保密","无IP","396840381","5","铃芽之旅数字收藏集","10000","37","10","东方的王子被拆分为了旅行者二人，会不会蛇看管的珍珠也有两颗？天理那里有一颗，深渊那里也有一颗，不难看出深渊的那颗在戴因手上，妹妹的旅伴是戴因，因为戴因手上有一个珍珠，所以妹妹走向了深渊，可能哥哥的旅伴派蒙手上也有一颗，就算派蒙没有，那和派蒙有关系的天理那里必定有另外一颗，根据足迹pv的国家顺序中可以看出，哥哥走完七国以后，联合戴因手上那颗珍珠的力量(从世界之外我们取得否定世界的力量)推翻天理，最后登上神座，最后击败戴因，获得两个珍珠，真正获得了创世的力量，拯救了妹妹。"
"空荧一生推","男","江苏","433646005","6","","10000","29","","《珍珠之歌》"
"悦音226声工坊","保密","无IP","437545244","6","赏樱大会·初级","10000","42","","米哈游的PV从来不会让我们失望"
"大头猫咪","保密","广东","8309011","6","","10000","82","","以前：温迪闭嘴；,完成须弥主线后：我得好好看看风神大人说了些什么"
"野首鲜贝","保密","陕西","382460610","4","","10000","36","","草神说过真相都藏在童话中"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","74","","冲冲冲！"
"北夜暮风","男","无IP","586800","6","","10000","35","12","最初觉得就是单纯的PV，后来觉得王储说的是主角妹妹和哥哥，现在觉得有可能是第一王座和第二王座"
"账号已注销","保密","无IP","6340121","0","","5000","40","","说真的，建议出一套或几套地图探索才能获得的，和抽卡高等级物品一样好的御魂、武器啥的，不然抽卡系统太削弱探索欲望了……,地图整体思路做的真的可以了，有些地方后面再改吧……,说跑路远的肯定没玩过其他开放世界，和哪一作比都不算远了啊囧……理论上来说，就是要跑路的过程中享受探索啊……,唉，非酋在哪个游戏都是非酋，我服了"
"一般路过普通玩家-","保密","无IP","252071477","5","","10000","60","","有一说一，现在原神确实不完美。但是现在其实说白了就是一个PC测试，上几个视频不也有热评说了吗？其实原神在我看来最大的优势就是他是网游模式，这个模式在大部分人看起来确实是一种劣势，但在某种程度上也是优势，原神作为一款持续更新的网游，他可以往游戏里面增加新内容。新活动。这确实可以保持一部分玩家的新鲜感，当然还有一部分神秘感指mhy挤牙膏。原神还是一个刚刚公测的游戏（虽然也不算是），一开始东西当然没有一些游戏多，当初崩三不也是这样吗。有缺点但是潜力相当大。对了，不要扣我帽子mwb哦。只是希望原神越做越好[吃瓜]"
"HyAcinthuSss","女","无IP","12970605","6","战双帕弥什","10000","55","6","来了，他们来了，QQ空间抄袭警察大队开始出警了[doge],草我说真的消停点吧，一天天出警看着是真的烦。,顺带一提从未定公测的那波出警程度我就知道原神公测的时候抄袭警察出警肯定更厉害，绝了。"
"一个路过的常","保密","河北","335119866","5","","10000","44","","提瓦特真正的历史被掩藏于童话故事之下"
"井上阳水","男","无IP","422359712","6","#EveOneCat","10000","64","","今天刚玩原神，出了个刻晴，卖了500，然后买了塞尔达，感谢原神让我玩到了真正的塞尔达[支持]"
"绘空僮","保密","辽宁","85228264","6","时光代理人收藏集","10000","43","3","这个PV应该就是官方明示主线了,①各个版本的PV都是由风神CV配音的，蒙德是提瓦特旅途的起点，很有可能也是终点。温迪作为时间魔神的碎片（时与风），同时也作为吟游诗人来讲述这个故事。,②以官方这个视角来看，第一位王储是荧（公主裙有胸），为了找“珍珠”（阿贝多剧情里的世界）。,②“荆棘”指代深渊，“大蛇”是一个很重要的意向，估计就是这样荧的命运才被改写，记录到了世界树里面。"
"Aurula","女","四川","506637723","5","","10000","32","","这是整体的主题pv啊……连“足迹”都只是“提瓦特篇”的pv"
