"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"洛天依的隐藏老公","保密","河北","140408115","6","天依游学记·歌行","10000","4503","","以后会不会给小草神专门出一个活动，就是带着小草神去其他三国旅游，毕竟没怎么出过远门，见一见其他三神，向优秀的三位前辈好好学习一下，去其他国家吃点当地特色！就开着雷大炮的机甲去，让玩家体验一下开机甲的感觉，不要机甲的第三人称视角，要htpy那种驾驶舱的感觉，前面一个大的显示屏，用玩家的第一视角，不要传送，就是直接起飞，飞过去，飞机场就选在教令院的废墟上就好了，璃月那边提前和凝光打个招呼，避免被归终机干下来，停车场随便找个山头就行，蒙德那边就好说了，找个平坦的地方就行，稻妻就有点棘手了，没有多少平坦地方，就停在神樱树那边就好了，想听听其他三神对小草神的评价，也想看小草神对这三位优秀前辈有什么看法，要是小草神不愿意走路，抱着她也是可以的，再不行的话，骑在派蒙头上也行"
"茗羽辰风","保密","四川","383305171","5","","10000","15875","","当时看完这段是真的难受，千年以前为配合赤王对付禁忌知识，把自己整得像孩童一般，500年前，为保护世界树，又耗尽自己的生命和力量，现在又让小吉祥草王抹除她的存在。唉，如果不是前面的故事中揭晓了真相，沙漠的子民估计还记恨着太慈树王吧！这下全大陆都不再记得她了，就真的难受。"
"光之晨曦LBZ","男","黑龙江","678301845","5","","10000","10631","4","过完这段之后，大贤者彻底成了个背叛神明的家伙，博士得到了神之心，散兵得到了进池子，纳西妲成为了须弥真正的神，旅行者获得了很多东西，旅行者团队成了英雄，沙漠子民获得了新生活，雨林人不用担心被抽取脑海，魔麟病患者得到了康复，大慈树王完成了使命，只有大贤者真正成了背叛了神明的,[脱单doge][脱单doge]"
"春熙龙巷","男","日本","45354395","6","薇尔莉特","10000","17275","8","人的死亡分三次,第一次是断气，宣告生物学的死亡。,第二次是葬礼，棺盖定论后你就彻底死亡。,第三次死亡是遗忘，直到世界上最后一个还记着你的人彻底把你遗忘之后，人就会面临最终极的死亡。,她是一位伟大又智慧的神，她来时带来了知识，文化和信仰，走时用自身最终极的死亡带走了病痛和苦难。,作为最后一个还记得的大慈树王的人，作为见证者，我们会铭记发生的一切，将一切带到旅途的终点。,死是一件无须乎着急去做的事，是一件无论怎样耽搁，也不会错过了的事，一个必然会降临的节日。愿森林记得一切，记住这位温柔的神明。[大哭][爱心]"
"流光纯水","保密","河南","1225474959","5","","10000","3264","","你一细想小草王的操作是真的厉害啊：获得一批忠实追随者，逃出贤者禁锢，迅速取得须弥实权，惩罚贤者大仇得报，拯救世界树，削弱最大隐患博士，了解世界真相。这么多收获，而付出的两颗神之心，雷神之心用不成，草神之心关闭虚空后也失去作用，基本不算什么代价。这就是智慧之神的权谋吗"
"账号已注销","保密","河南","1825297830","0","","5000","10313","","好心疼纳西妲，她变成先前唯一的草神了。她再也不会知道其实自己才五百多岁，再也不会知道当初拯救完世界树出来后问我她为什么好像在哭，她为什么心里感觉很难受，再也不会知道那股温暖的热流来自哪里，不会知道曾经有一位自己那么仰慕的榜样，有一位那么好的“妈妈”……,她再也不能认识最真实的自己（自己的寿命、过往、成长经历）或许对草神来说，整个世界树永远都是最真实的自己吧。[保卫萝卜_哭哭]"
"追夜星辰","保密","安徽","433437931","5","洛天依·最美的夜","10000","6316","","她继承了树王的因果和过去的功绩，但是没有过去的记忆，因为世界线被修改之后草神的设定从树王死去后新生的神明变成了过去本就伟大的神明，但是在坎瑞亚灾变后失去了记忆和力量，所以才被教令院捡回来关起来。纳西妲没有大慈树王的人格。,这段剧情中事实上为了世界牺牲的是大慈树王，其存在本身被彻底抹除，但是对小吉祥草王同样很残忍，她彻底成为了大慈树王的影子，失去了作为新生的神明被世人认可的可能性，人们只会知道她是原本就很伟大的神明，修复世界树只是她无数功绩中普普通通的一件。纳西妲作为新生的神明，第一次以自己的身体行走在须弥的土地，有了属于自己的最初的贤者(旅行者)，但这些经历都不再属于她了，某种意义上，纳西妲是成为了一个名叫小吉祥草王的大慈树王。"
"蓝发奶茶水","女","黑龙江","627463418","5","","10000","2295","","柯莱……我好像忘记了什么，不想了！我的魔麟病竟然好了!我要给安柏写一封信!,Unit 3,习作题目：,假如你是柯莱，你是化城郭的一名巡林员，请以“Just recovered from a severe illness”为题写一封信给你的好朋友安柏，并表达你对大病初愈的激动以及对她的想念"
"依沫芙","保密","河南","454962636","5","原神","10000","593","","曾看一部小说讲,低维在高维面前极其脆弱，高维可随意改造低维，但低维的某些特征依旧给高维带来了巨大影响,这就是他们的文化,作为「见证者」与「观测者」的玩家，我们比旅者更忠实的记录着这一切,若干年后，“低维”的原神即使消失了，旅者也到达了旅途的尽头，,但他们的文化依旧能在这个宇宙中留下信息，也许不能久存，但一定比他们的认知更加更加久远,因此，高维生命固然高等，但一个高维个体，真的绝对比一个低维世界更加珍贵吗？,这就是低维世界存在的意义，生命的意义，文化的意义"
"雪茉莉的秋天","男","广东","336277521","5","原神","10000","142","10","大概也是我比较淡漠，这个游戏陪伴我782天了，我看到了她的成长。一开始因为好奇也因为温迪的一句“用你的眼睛，好好观察这个世界吧”我留了下来。这么久的旅行生涯中，唯有风起鹤归中的一句“曲高未必人不识”（我当时看到这一句鼻子一酸，但并不是因为这个剧情，我第一个想到的，其实是原神在回应那些不好的声音：你们可以随意带节奏，作为一部好的游戏作品，我们会有像我们的知音一样的一批玩家）。以及［真］离开时的一句“这次，是真的再见了”让我有一点想流泪。3.2的剧情中，从大慈树王的那句“我乃命题之人，亦是求解之人”开始，音乐画面还有那位伟大的神明的最后的声音交织让我差点没忍住。直到我在阿b当伥鬼的时候，本来去看嗦面，结果自己却没有绷住还是跟着哭了，唉。也许，伟大的牺牲，世界的遗忘，旅者的铭记；也许森林会记住一切，沙漠会忘了一切，森林也记不住一切，也是一种米哈游式的，悲喜交加的浪漫"
