"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"半路的观众","保密","江苏","475893062","5","原神","10000","18138","","我现在好难受，感觉这个主线后劲太大了[无语]，第一天做完感觉明明还好，第二天醒来脑子里全是剧情，全是芙卡洛斯和芙宁娜和那维莱特。,我现在看到芙芙一点都开心不起来，不管是传说任务还是大世界队伍里，明明她还是那么活泼啊...但我见到她我就开始水元素充盈了[难过][难过][难过]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","20571","11","真的是最完美的人类,堪比智慧之神的智慧,堪比契约之神的笃行,堪比永恒之神的意志,践行着世间最终极的正义,最想要的只是自由之神的自由,只有用伟大才能形容她"
"八时酒","保密","安徽","28463767","6","罗小黑战记","10000","31319","","芙卡洛斯说的特别对，扮演神明的难点不是在演出神性而是对抗人性，芙芙和人性对抗到了最后一刻，她在旅行者的劝告下已经动摇了但最后还是坚持住了，在她说出“没关系，我可是神明芙宁娜”的那一刻她毫无疑问就是真正的神明 "
"猫猫头oi","保密","广西","358984866","5","泠鸢yousa登门喜鹊","10000","28664","","“我愚弄了自己，愚弄了友人（那维莱特），愚弄了世界和它之上的规则（旅行者等降临者），只为了给予那唯一真实的你们（枫丹众人），以第二次生命。"
"咚德鲁","男","广东","12819267","6","","10000","26674","","影的语音：「雷电将军」曾与我在意识世界中进行数百年的决斗，以确定我的意志不曾动摇。而你所说的这位芙宁娜，虽是人类之躯，但五百年间的表演也无异于每时每刻都在进行精神上的「实战」。我认可她，此等意志，可谓已臻神境"
"企鹅带带北极熊","女","安徽","551188239","6","","10000","22137","","芙门！[墨镜]"
"雪辰沙","保密","广东","352751792","5","","10000","21166","","随着剧情的进展，风岩两国是越看越阳间了[doge][doge][doge]"
"那个蓝人来了","男","广东","333056852","5","","10000","18055","","本来都以为水神是最老实的一个，打着“唯有天理不可与之为敌”的口号。,结果连自己带着神座都一锅端了。,其他神得知消息表示“水神没想到你玩这么大”，连水龙王都惊了。"
"木梢残月垂莹琇","男","安徽","44796398","6","","10000","17057","","「罪人舞步旋」倒过来就是「宣布人无罪」"
"Strangic","保密","澳大利亚","257214431","5","公主连结可可萝","10000","11942","","话说主线最后那维莱特说自己掌握了荒芒能量，芙芙也有自主切换荒芒的技能设计，接下来的剧情有没可能解释一下枫丹角色能拥有始基力呀[笑哭]会不会也是类似神之眼那样基于什么愿望或者性格被赋予的不同属性"
"影厂ShadowStudio","男","上海","32469312","6","","10000","8419","","很喜欢MV最终的结尾，终曲散尽，舞台上CC消失，打下的灯影仿佛欧庇克莱歌剧院里的天平，诉说着表演者面对空无一人的座席的独白。芙芙的自我牺牲最终换来了这个无比珍贵的平衡。CC的表演真的很赞，音乐剧演员的舞台张力无与伦比。"
"千斗五十莲","保密","湖北","155596111","6","黑潮之上","10000","7137","","成为神明，就意味着隐藏秘密，经历痛苦，与孤独相伴....,即便如此，你也愿意吗？"
"嗜元兽","男","湖南","52940647","6","","10000","7078","","求此作品出处谢谢[保佑]"
"羽开少一","男","河北","646151367","4","崩坏：星穹铁道","10000","6563","","台词：,啊，若化水复回归途,令故土朝暮如初,啊母亲可否将我宽恕,向四季流溯，引万籁驰骛,所过处百废复苏,亦充盈挚爱的心湖,爱，就将这酣梦深埋,诀别如繁花盛开,似你我往怀，愉快悲哀,爱，我会在过去未来,注视这世间精彩,一切从未改，未改……"
"左天都","男","江苏","88002554","6","三周年恋曲","10000","5113","","芙宁娜：我唱歌好听吗，旅行者！"
"倚竹听溪","保密","广东","88850855","6","","10000","4093","","水神，水神，别哭啦"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","3185","8","枫丹本质上已经变成了人救人的故事，这个故事中旅行者作为世界外力量没有做出什么“关键性力量”而古龙王的力量也是神芙芙和人芙芙的一枚棋子。最后方舟出现时脑中一时间闪过了后来等一系列影片（甚至有唐顿庄园）,只不过作为一个爽文脑袋我有点希望所有人都分外感激芙芙，也不要像大慈树王一样忘记神芙芙，也不要忘记人芙芙的付出，要是能对芙芙道个歉就更好了……（我承认我偏心芙芙）"
"小白是狐狸哦","保密","四川","24202988","5","","10000","2519","","这牌面有点大哦，芙芙[脱单doge]是第一个这种牌面的神把"
"冥风落雨","男","江西","293988774","5","","10000","1736","","真不错，就是剧情不够刀啊[墨镜]"
"木子きご","女","江西","2140551","6","","10000","1198","10","原宝原宝，我家小可莉和满命满精优菈都能噶掉吞星之鲸（两个都发了视频不信的可以康康），她们都有光明的未来对不对(^o^)，所以，可莉啥时候复刻啊！"
"Rye恕","男","陕西","484186416","5","欧皇","10000","1038","","预言有三点：海平面上涨，枫丹人溶解，水神哭泣。,芙卡洛斯的计划里没有阻止海平面上涨，因为海平面一定会上涨，主要是在后面两条预言里找漏洞。,因为枫丹人是由纯水精灵捏出来的，血管里包裹着胎水，所以含有胎水的海水可以溶解枫丹人，解决方法是让夺回古龙大权的水龙王给枫丹人换血，这样被天理判处有罪的血管里是胎水的枫丹人确实都被溶了，只是已经没有这种人了。,怎样让水龙王愿意给枫丹人换血，解决方法是让水龙王当四百多年的大审判长，让水龙王对人类产生感情。,怎样让水龙王拿到古龙大权，已知神死去并不能归还古龙大权，因为厄歌莉娅死掉并没有归还古龙大权而是产生新的水神，所以只是芙卡洛斯死掉也不能归还古龙大权，需要直接把水神这个概念处死，这样绑定在水神身上的古龙大权就会因为水神死掉而且也不会有新的水神诞生而回到水龙王身上。,怎样能杀死水神这个概念，因为水神这个概念是天理定的，所以杀死水神这个概念需要有逆天理的能量，怎样获得这个能量，解决方法是通过谕示裁定枢机收集枫丹人对水神的信仰，一小部分用于给枫丹提供日常生活所需的能量，另一部分去攒五百年攒够能够逆天理的能量。,水神这个概念被处死之后预言的最后一句水神哭泣就没有水神去可以完成了，解决方法是分离出人格芙宁娜去扮演水神，让所有人和天理都以为芙宁娜是水神，神格芙卡洛斯负责收集能量和被处死，人格芙宁娜负责扮演水神和最后的哭泣。,神格芙卡洛斯连带水神这个概念通过攒了几百年的能量被处死归还古龙大权让水龙王给枫丹人换血对应预言第二句枫丹人溶解，人格芙宁娜上演最后一句预言水神哭泣，这样预言都实现了的同时枫丹人也保住了。"
"兜里尚有十块钱","保密","江苏","194227","6","","10000","872","","这个剧情后面应该还有大的，纳西妲认为引爆第三降临者的遗骨（神之心）会唤醒沉睡中天理，而水神则证明只要不去干这种大事，常规的魔神死亡甚至权能流动都不会让天理有太大反应，换句话说不论是世间魔神的生死与元素权能的交接都不会让天理有太大反应，而第三降临者的力量会真正的惊动天理，或者说天理与第三降临者有很大的关联"
