"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"DB小左","男","无IP","59520952","6","","10000","912","","感觉大家都小看2.2了[藏狐],目前官方对鹤观几乎没有透露具体内容。作为与主线不相关的岛屿，绝对是在玩法解密和暗线上下了苦功夫[原神_欸嘿],不透露任何信息极可能是因为2.1有关系到原神核心设定的内容，同时整个岛屿内容相互关联，如果早早剧透会极大破坏游戏体验，所以我也建议大家留出一整块时间来探索鹤观，懒得了解暗线的坐等大佬整合信息了[原神_嗯]"
"游牧民族的希望","保密","无IP","156840496","6","","10000","6058","","一：角色UP池子,①托马（四星，胡桃池子里有，原话是胡桃池子里《也》有。cv:张沛，火元素，长柄武器，有盾，钓鱼概率双倍掉落）,②公子，胡桃,二：武器UP池：冬极白星，恶玉丸，断浪长鳍，曚云之月,三：邀约事件：早柚，托马,四：稻妻新地图：鹤观,五：新怪物：兽境猎犬，兽境幼兽,六：新活动,①谜境悬兵,②古时孤影,③镜花听世（音游，七首音乐，与绫华，雷神等人合奏）,④梦里生花（诚哥壶里种，旅行者之间可赠送）,⑤地脉花三次双倍掉落,七：诚哥壶（新洞天形态，新摆设图纸，操作系统优化）,八：圣遗物背包上限提高至1500,九：周边联动,①：联动雷蛇（鼠标，鼠标垫，人体工学椅）,②：联动1+手机oneplus,兑换码：,JARHE4CR6A52,HS8HXMCR6A46,SAQHWLVRPTPS,图文总结：cv13436797"
"准时不早退的原神","保密","无IP","1985761632","5","","10000","796","12","从开服至今，大致能用一句话总结:钟离之前盾基本没人用，钟离之后奶基本没人用，貌似下个版本就会有所改变了。,之前打深渊还要带个七七或者琴，现在一边带钟离一边带班尼特就够了，这两个角色比起纯奶妈功能性更全面，也让深渊难度降低了不少，钟离开个盾基本就可以无脑输出，操作的简化对大部分玩家很友好，但也让游戏的玩法变得略显单一，基本不需要考虑怪物的机制。,最近几个版本设计师也一直在着力于改变这个状况，比如说稻妻的雷毒、女士本的冰火值、深渊十一层的环境，以及下版本要出的怪，与其说是抬，不如说是平衡盾奶，也让钟离的六命有了用处，琴和芭芭拉这两个姐妹花也能再上场了。,针对不同环境不同怪物让不同角色来发挥自身的长处也更能丰富游戏玩法，哪个游戏能一招鲜吃遍天？不过也不是说老角色就不能用了，只是用得没有当初舒服了，比如从开服陪伴我至今的迪卢克，除了这一期深渊，之前基本都是一次满星的（剑鬼简直就是手残党的噩梦，胡行钟要去打无相铁）。"
"麻幌碱","男","无IP","10735447","6","","10000","3079","","我不理解为什么策划要复刻公子这么多次，我也不理解为什么公子复刻了就要喷公子"
"一生挚爱冰阔乐","保密","无IP","168597530","5","","10000","1738","","看到那么多人说“璃月战犯”，我还是想说一下，喜欢一个人（特别是二次元或者影视剧里的）很多时候并不代表着我认可他的三观，简单说我喜欢他不代表我三观不正,我喜欢一个人物，是因为他的人设丰富，性格饱满，有自己独一无二的魅力。他做的每件事不一定符合我的立场，但我能理解，也可以去共情。我当然希望结局是美好正义的，也希望我喜欢的反派有个好的结局，不论改邪归正也好，得到应有的惩罚也好，堂堂正正的死去也好，这些在我看来都是好的结局，只要不留遗憾，无愧自己所做的选择就行,我喜欢蝙蝠侠里的小丑，喜欢汉尼拔，喜欢神夏的莫里亚蒂，所以我天生就是个杀人狂？我喜欢反派是因为他们没有被脸谱化，让我成功记住了他们，而非简单的“三观跟着五官走”（顺便说下，公子的脸的建模在我看来真不算精致）,（备注保命：只针对反派这一条说，第二次复刻的事我自己也不希望）"
"我不知道-bz","男","无IP","38125144","6","","10000","7131","","提醒大家 2.2还有免费5星埃洛伊"
"星梦lotus","保密","无IP","348488625","6","拜年祭粉丝专鼠","10000","3939","","看了一下胡桃up第一天是农历十月一 寒衣节，中国三大鬼节之一 原宝有心了[妙啊]"
"不器_未央","男","无IP","472661220","6","崩坏：星穹铁道","10000","428","","提一个点吧，穿盾怪是一个特别好的尝试，以一种避开数值的方式，提升奶妈地位，使得这个群体出场不至于一定要靠深渊buff，避免了盾角色可以完全替代奶妈的尴尬情况，同时不需要动怪物或人物数值，是一种能够避免数值膨胀的平衡方式，个人觉得真的很好。（可是我这个被钟老爷子养废了的人，还操作的动吗？[笑哭]是时候拿出二命的七七和琴来了[笑哭]）"
"见到请让我丨去读书","男","无IP","666662700","5","","10000","126","","真伤怪只能说情理之内意料之中，原神不可能让钟离的盾一直无敌下去的，难道无脑提高怪的数值？不现实，那就只能从机制入手，要么护盾易伤要么无视护盾。,另外也没必要因为这种事闹情绪，毕竟原神之前也不是没盾不能玩，而出了真伤怪也不会让护盾一无是处，除非以后的怪全都带真伤，要真那样我带头开冲。"
"亿郁丶","男","无IP","56118186","6","","10000","491","12","只能说有些人想带节奏的想法被提前知道了，所以音乐会结束直接放了个说明:音乐会分线上线下两场音乐会，线下音乐会由上海爱乐团演奏，表演完录播也会上传给全体玩家观看。"
"半世符华","男","无IP","13770064","4","","10000","700","","为什么这次复刻公子？因为大概率公子是有剧情的。剧情里公子出场，难道公子不复刻？,,说1.4版本公子没剧情也复刻的，请你想一想1.4版本，复刻了温迪（1.0角色且有剧情），另一个能复刻谁？可莉？她有剧情被安排在了1.6版本。钟离？他有剧情被安排在了1.5版本。所以1.4只能复刻公子，你不可能复刻1.2版本的两个角色吧？才两个版本就复刻？,,而这次是大概率出公子剧情，所以不得不复刻。"
"秋盡明月夜","保密","无IP","620397374","5","","10000","6161","","听说公子最近的风评又变糟了不少，但像他这样的人，一定会用积极的行动去扫清那些对他的怨言吧。[原神_喝茶]"
"岃犾","保密","无IP","496925052","5","","10000","103","","话说你们都没人讨论新怪物的故事吗，新怪物是莱茵多特创造的，在莱茵想要让巨大的魔兽出现是，这些怪会大量出现在世界边界，溶解世界边界打开通道。之前这些怪物被杀到几乎绝迹，现在又大量出现在鹤观这个世界边界，是不是意味着莱茵要放新的巨大的魔兽进来了。我先预言一波，过几个版本鹤观会出一个新boss，也是莱茵造的可以溶解世界边界的魔兽，然后再过几个版本就有传说/主线/世界任务讲这个巨大的魔兽入侵，然后让我们去击退它。（感觉这种埋线索的方式有点像若陀那个时候）中了回来刀我。"
"与重要之人重逢","男","无IP","496633418","5","","10000","3255","","你可以因为剧情不好人设不好讨论这个剧情，但是不能因为ch设计的卡池乳这个角色"
"戏夜_","保密","无IP","2775510","6","","10000","2052","","[辣眼睛]为啥对公子恶意这么大啊，每次都能找[辣眼睛]而且越来越过分了，真不知道那些人是真的坏还是啥[辣眼睛]没人喜欢看别人说自己喜欢的角色死吧，能想想其他喜欢公子的玩家的感受吗，阴阳怪气的在那说什么“以后都不复刻了”，“说不定和女士一样”，多攒原石给自己喜欢的角色不好吗[辣眼睛]我还两个版本就抽了万叶和飞雷那，女角色都很好看我还羡慕那，（都是好妹妹）恶意能别这么大吗。"
"那恩恩恩","男","无IP","87818851","6","","10000","332","7","话说这次复刻节奏这么大吗？公子这个人物我觉得塑造的挺好的啊[疑惑]我平时不看直播这一进来就是属于那种戾气特别大的[疼]"
"The_Wbkmkk","保密","无IP","121932367","5","原神","10000","27482","","1.1:暂别冬都,1.4:再别冬都,2.1:乐不思冬都,[doge]"
"我的好兄弟心夏","保密","无IP","7076570","6","","10000","2802","","这是公子的最后亿把专武[藏狐]"
"好日和_","保密","无IP","283344456","5","","10000","10624","","公子厨一听公子复刻第一反应就是公子又要被骂了，然后仔细一想公子一直都在被骂[跪了]"
"蔷薇小姐拜托了","女","无IP","97320043","6","","10000","314","","公子厨不要太紧张啊，有些只是在说复刻不合理而已，至于骂角色的，他们骂就骂呗，伤不到谁，我们自己喜欢就成，一直骂下去什么时候才会休战，有这时间多刷点水本或者看看电影，别跟讲不通理的人浪费时间啊"
"吾心向之","女","无IP","104257811","6","","10000","1202","","成男！！成男！！！我太饥渴了托马和公子也不在一个池子里面，mhy你太过分了[大哭][大哭]"
"不器_未央","男","无IP","472661220","6","崩坏：星穹铁道","10000","428","","提一个点吧，穿盾怪是一个特别好的尝试，以一种避开数值的方式，提升奶妈地位，使得这个群体出场不至于一定要靠深渊buff，避免了盾角色可以完全替代奶妈的尴尬情况，同时不需要动怪物或人物数值，是一种能够避免数值膨胀的平衡方式，个人觉得真的很好。（可是我这个被钟老爷子养废了的人，还操作的动吗？[笑哭]是时候拿出二命的七七和琴来了[笑哭]）"
"与重要之人重逢","男","无IP","496633418","5","","10000","3255","","你可以因为剧情不好人设不好讨论这个剧情，但是不能因为ch设计的卡池乳这个角色"
"秋盡明月夜","保密","无IP","620397374","5","","10000","6161","","听说公子最近的风评又变糟了不少，但像他这样的人，一定会用积极的行动去扫清那些对他的怨言吧。[原神_喝茶]"
"甘甘楠","女","无IP","9946507","6","","10000","1220","","您是完全没做万叶的传说任务是吧[藏狐][藏狐]"
"五鹿大魔王","保密","无IP","120172322","6","","10000","4498","11","我，男的，喜欢公子"
"星辰-雨主","男","无IP","501142904","5","","10000","1375","12","邀约的出现，表明版本更新的节奏再次到了平缓的地方。各位开始长草了[藏狐]"
"张强就是强","保密","无IP","614689962","4","","10000","228","","达达鸭！！！！！！！！！(破音:)我的达达鸭！！！！！！！！！！！[囧][喜欢][嘟嘟][给心心][笑哭][哦呼][酸了][嫌弃][喜极而泣][惊讶]"
"珂学技术是第一生产力","女","无IP","19956471","6","星座系列：金牛座","10000","1576","12","香菱问辛焱她做的菜怎样，辛焱回答她缺一点节奏，原神最不缺节奏了[doge]"
"净奉孝","保密","无IP","667415082","5","","10000","679","","你们还在争吵复刻，我却在担心新怪入深渊[大哭]"
"空中劈叉の睿智舰长","保密","无IP","259211898","5","","10000","1037","","周年音乐会由线上音乐会和线下音乐会两场组成。 在中国上海由上海交响乐团演奏的原神线下交响音乐会，待正式演出举办后，也将以录播的形式和大家见面。"
