"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"顾准格式_official","男","无IP","299695015","6","拳皇","10000","17284","","指路,00:40 开始播放PV,4:39  优菈爆料,8:48 烟绯爆料,11:56 1.5版本池子,12:17 新武器和新圣遗物,13:34 邀约第二辑,13:45 新传说任务,15:17 若陀爆料,17:10 无相之冰爆料,18:38 深渊咏者爆料,19:37 家园系统,23:36 导能圆盘活动,25:36 迷城战线活动,26:50 折箭觅踪活动,28:35 精通移涌活动,29:17 风寻迷踪活动,31:12 新的系统优化内容,34:18 彩蛋"
"合金辣条来一套","保密","无IP","13898313","5","","10000","26816","","后续能出个结拜系统吗，我想跟立本拜个把子"
"_游皓贤_","男","无IP","92865690","6","黄绿合战5th","10000","11059","","又是无敌的萍姥姥冲击波，又送我们尘歌壶，我宣布萍姥姥为原神最佳女配角，谁赞成谁反对[脱单doge]"
"结晶星宝","男","无IP","383981728","5","绽放收藏集头像框","10000","9131","","希望各位修房子时修的像个碳基生物做的[doge]"
"语颂源","男","无IP","25150765","6","","10000","7251","","我丘丘语解析视频都录好了，你竟然被刺我[大哭]"
"丰饶星神-药师","男","无IP","351735029","5","原神","10000","6539","","你的家园,版本开放前你以为：《阿房宫赋》,版本开放后修建中：《项脊轩志》,实际盖完的效果：《茅屋为秋风所破歌》,好友眼中的效果：《吊古战场文》[脱单doge]"
"レミスカレット","男","无IP","158110094","5","","10000","9088","","／ ￣￣ ＼　  /  ￣ ￣ ￣ ￣  ￣\,|　ー　ー \　|    我做了个噩梦  \,|　　  |    |   1.5出了家园系统|,\　　　/ ∠  我大保底出了五  l, ＼　　イ      \     星家具，淦！丨,  |       |     \        \______________/"
"凌梓依","男","无IP","302366815","6","","10000","10966","7","阿晴，他们都是骗你的，怎么可能有角色有两章传说任务，甚至4星角色还有两章邀约呢[doge]"
"爱晒太阳的小青鱼","保密","无IP","170278448","5","星座系列：双鱼座","10000","19550","","记得当初才十来级，抽到了一只甘雨。,甘雨:“为了岩王帝君！[打call]”,我:“是我旅行者待你不好吗？好心痛呜呜呜[酸了]”,现在五十多级了。,甘雨:“为了岩王帝君！[打call]”,:“给我滚嗷，钟 离 是 我 老 公！[滑稽]”,点赞的各位一发出帝君嗷！[打call][打call][打call]"
"炮姐一生推一生追","保密","无IP","24509762","6","","10000","6164","","这家园系统出来我直接去苏州园林抄作业了[doge]"
"无屑魔女伊蕾娜","男","无IP","25409646","6","2021拜年纪","10000","13878","","快进到御影炉心意外泄露，成吨的雷元素污染附近海水，蒙德和璃月强烈谴责，巴尔将军鞠躬道歉，八重神子绘制雷史莱姆吉祥物取名雷宝遭各国抵制，至冬国愚人众执行官建议发射一个群玉阁，让岩雷反应成结晶[doge]"
"蚊香鱼xy","保密","无IP","434560177","5","2021拜年纪","10000","6015","11","今日闲来无事。本想寻只晶蝶赠与你，装饰在你发间，想来……应该不错。,一回神才发现…抓得多了些，望你不要介意。,如欲相见，便唤我名。,…我并不在意什么生辰、庆贺，也不想去人来人往之处。,只要是和你共度一段时光便好。"
"Tarunx","保密","无IP","165551800","6","","10000","4184","11","看到家园系统那我第一个想法竟然是“哪个混球杀我家里养的野猪！？”[笑哭]"
"MQ浅唱吖","男","无IP","147949166","6","#EveOneCat","10000","6048","","看完前:我觉得戴因说得没错，不要相信七神,看完后:不要相信戴因！[热词系列_知识增加]"
"千灯Nya","女","无IP","9040246","6","原神","10000","5343","","亲爱的米哈游，既然我能收集材料了，那我能不能把铜雀的庙修一下"
"_久世响希_","男","无IP","342108951","5","","10000","4228","","十个晶核？！我TM直接跟魈"
"落枫Hw","保密","无IP","100973084","5","RNG战队","10000","3792","","岩神：食岩之罚,盐神：食盐之罚,烟绯：食炎之罚,璃月的谐音梗，彳亍[脱单doge]"
"sssnnniiippp","保密","无IP","35028181","6","","10000","6606","","家园系统几乎完全免费，新活动还可以体验五星角色，跟网易腾讯一对比，什么叫格局啊！"
"吃枣药丸的节奏","男","无IP","28536960","6","","10000","5885","8","不要相信七神,,笑了，摩拉克斯的信誉你敢不信？[妙啊]"
"メモリーモモ","保密","无IP","179106802","5","三周年恋曲","10000","3877","","《彭导的网速在一瞬间从3G变成了6G》"
"無敌杀人王","男","无IP","1112648137","5","","10000","3030","","玛德，兑换码出来之后就发给了室友。然后自己忘记领了。"
"雪辰沙","保密","无IP","352751792","5","","10000","1507","","八重神子：好久不见了，旅行者，你可还记得休伯利安舰畔的狐耳少女吗？,屑旅行者：什么狐耳少女，我只认识某个长着驴耳朵的老百合女巫（抠鼻）,八重神子：…………樱花，散！,[doge][doge][doge]"
"大坨灵魂沉淀物","保密","无IP","289502937","6","","10000","2623","","其实直播里彭导第一次说再见的时候弹幕全是失望，结果后边彭导皮了一下接着说稻妻要出，然后弹幕全变成了卧槽[笑哭][笑哭]"
"每天和克拉拉一起醒来","保密","无IP","413156277","5","","10000","2109","11","很多想当然的家伙看了这几张稻妻图，就觉得稻妻没做好,我来提醒一下，原神开始发璃月图是去年一月初，二测是三月份左右，照这么说，米哈游三个月就开发完了璃月？,而且，这几张图不能算是概念图，真正的概念图就只有一些大致的轮廓（不是从立本那里知道了须弥只有雨林和沙漠吗？那你给我画一张像稻妻这么详细的概念图出来）与其说是概念图，不如说是按照地图实景画出来的前瞻图,按mhy的性格，发图不是为了拖延玩家，是稻妻已经做好了才来告诉玩家做好准备的[OK],至于为什么稻妻做好了mhy不出，我就问一句，后续的地图呢？须弥就不花时间了？有内容能水一个版本为后续须弥这些地图开发留下更多的时间，为什么不做？"
"一念花树吹墨云","保密","无IP","273202731","6","天官赐福动画","10000","3418","8","女人和新图哪有彭导的欧尼酱刺激[doge]"
"鸽子别咕咕了","女","无IP","512048016","5","","10000","4553","","“新版本爆料看了，真不怎么样”,“呵呵，钟离复刻后，优拉能赚多少钱？”,“你确实这是原神？不是崩坏？”,人们对着优拉冷嘲热讽，她一言不发，默默走到了不看爆料的人群中。,但也有不少人不看好她。,“切，劳资上班这么辛苦 忍着不看爆料，结果等来了你？”,……,优拉轻咬下唇，她左看右看，在这些人群中，有不同阶层的人，他们嘴脸一致，优拉睁大眼睛，她清清楚楚看到了几个大字：“内鬼！”“优拉这还五星？”,优拉在一片唏嘘中跑出人群。,几天来，人们没能找到她，或许说，人们因为太过于关注钟离而忘记了她。,优拉销量究竟如何呢？但这不是重点，人们在不经意之间变成了内鬼，人们对1.5的态度各不相同，但我只知道要抵制内鬼。"
"丰饶星神-药师","男","无IP","351735029","5","原神","10000","5713","","我觉得稻妻地图最大的挑战之一，就是与璃月区隔开，因为文化同源，特别是古代风，两个地图必须有强区别性。,而且如果有人故意带节奏的话，稻妻不如璃月，节奏党：原神在退步，要凉了。,稻妻比璃月好的话，节奏党：米哈游株式会社,还是先做好迎接节奏的准备吧[捂脸]"
"七鹦鹉","男","无IP","381283074","5","崩坏：星穹铁道","10000","1497","","听说若陀出生没有视觉，是钟离给了他视觉；,特瓦林出生无法说话，是温迪给了他说话的能力；,我预言一波，稻妻如果有元素龙的话，它出生一定没有听觉，并且是雷神给了它听觉（中了刀我）"
"行星级崩坏兽-迦娜","女","无IP","14779820","6","","10000","2607","","戴因告诉我不要相信七神，但我一看见钟离和温迪就想把所有的事情都告诉他[笑哭]"
"黑漆漆的剑","男","无IP","19185158","6","","10000","2429","11","你要觉得还行就再观望观望，要觉得不行就卸载玩别的，早一年原神没出的时候，打游戏不是挺乐趣多的吗，,没必要委屈了自己，恶心了别人。"
"林中之姜","男","无IP","456124901","6","","10000","4612","12","开始:,,                ,           ,                ,,,结尾:,,                ,           ,                ,,"
"芊羽丶凝煊","男","无IP","128139452","6","良辰美景·不问天","10000","1863","3","不说别的，天天催地图的人，咱不说美工、文案、剧情什么的，你们难道以为陈致逸老师创作符合某地区的一整套音乐很容易吗？编曲很容易吗？录制一套完美的OST很容易吗？我宁愿这些东西拿出来的时候是用足够长的时间和足够多的精力做出来的精品！上一个龙脊雪山地图你们以为到现在才多久？单单只创作那一个地区的音乐花了多少时间、写了多少首曲子？同理，文案、美工也是一样的道理！所以别催了行不？"
"一个完美的落地","男","无IP","178881616","6","原神","10000","2001","","今天是我的生日，正准备登录原神拿个生日蛋糕，发现魈送了我一个杏仁豆腐和十个晶核，哦，原来今天也是魈的生日啊,可是又和我有什么关系呢[大哭]我又没有魈[大哭],大家可怜可怜这个氪了一堆648还全出保底的官服非洲旅行者吧167182041"
"战争之魔神","保密","无IP","3590945","3","","10000","1922","","我是一个微氪手游玩家，也许有人说氪了金就应该有相应的游戏体验，可在同样微氪玩的情况下，原神给我的体验(那一次次惊喜与触动，不管是来自游戏内还是外部的pv等)都已经远超其他手游。有时候带节奏只需要几句话，可开发一个图背后却是漫长的反复打磨。我觉得开服至今，我们一直都欠全体开发组们一句“你们辛苦了”[打call]"
