"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"郭晨影","男","无IP","383188582","5","小主安康","10000","4309","","2.7【荒梦藏虞渊】前瞻节目省流,1.新增角色：五星：夜兰（璃月水系角色），固有天赋：在璃月执行20h的探索派遣时奖励增加；四星：久歧忍（稻妻雷系角色），固有天赋：在稻妻执行20h的探索派遣时奖励增加,2.新武器：五星：若水（弓，限定祈愿），四星：落霞（弓，版本活动限定）,3.卡池：上半：夜兰/魈；下半：荒泷一斗，久歧忍为陪跑四星,4.传说任务：夜兰传说任务“幽客之章”第一幕；邀约任务第六辑：久歧忍邀约任务第一章,5.版本活动内容：1.危途迷踪（送落霞）；2.深泥奇谭（层岩地下矿层有关）；3.荒泷极上盛世豪鼓大祭典（音游，但是是打鼓）；4.炉心机造（造机器人耍）,6.其他内容：1.高等级圣遗物副本增加“挑战特性”；2.角色养成界面增加“天赋养成参考”“圣遗物养成推荐”；3.新专辑上线,7.兑换码：UAK2VSX9376A,KS4XTXB96MPA,CS4WBFBQ6LPW"
"君肉丸_君偷笑","男","无IP","178372940","5","","10000","12729","","2.7版本前瞻兌換碼 注：5.21 12点过期,国服,（适用uid：1、2、5开头的玩家）,第一个UAK2VSX9376A,第二个KS4XTXB96MPA,第三个CS4WBFBQ6LPW,國際服,（適用uid：6、7、8、9開頭的玩家）,第一個LANVJSFUD6CM,第二個DTNUKTWCC6D9,第三個HSNUKTXCCPWV"
"武灵潇","保密","无IP","5434988","6","","10000","25017","","玩家：“又是风系少年，希望他的友人活着。”（看平藏）,米忽悠：“好的，那我们先来刀别的风系少年。”（看魈）,玩家：“？？？”"
"韩东瓜","男","无IP","37900724","6","","10000","6897","","有些人已经准备冲夜兰了，而有些人还在被凌华折磨[妙啊]"
"西湖光","女","无IP","335340736","6","徵羽摩柯","10000","10219","","科普一下，虞渊是中国神话里的日落之地的意思，最早可以在《淮南子》看到这个词：“至于虞渊，是谓黄昏”，传说太阳之子会在天空行走，行走到虞渊这个地方就到了黄昏的时候。所以虞渊可以指日落之处或深渊[脱单doge]"
"枫糖不是蜂糖","保密","无IP","415171835","5","崩坏3·天穹流星","10000","8197","","请各位在制作乐谱的时候，「请」做的像个人做的[崩坏3_七][崩坏3_十][崩坏3_米][崩坏3_长][崩坏3_刀]"
"独步寂天_香胖无限","保密","无IP","363768571","6","","10000","1334","","情侣都在过520，只有米家人冲完设定集然后大呼魈kun牙白卡酷一[脱单doge]"
"菲谢尔德","男","无IP","35681412","6","拉文克劳","10000","733","","Mhy：我开放自由谱曲功能了，音游佬们来谱魔王曲吧,音游佬1：《国际歌》,音游佬2：《色彩》《untitled world》《lost princess》《as a route of ray》,音游佬3：《一般男性脱█》,音游佬4：《威风堂堂》《3》《shoop》,音游佬5：《青天白,第二天策划组开会：活整得很好，下次不要再整了"
"艾赛克丝","保密","无IP","44991314","5","","10000","1357","","你们发现了吗，现在的层岩小队成员的元素是风（魈）火（烟绯）水（夜兰）雷（久岐忍）岩（一斗），刚好对应五个夜叉"
"行惡為禍不在乎","保密","无IP","477904585","5","","10000","1199","","有人问我520是什么意思，我笑了。5代表5个浓缩树脂，2代表两个金圣遗物，0代表零提升_(安详)"
