"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"铷锶钇锆","保密","无IP","133081237","6","圣诞节快乐","10000","28507","5","“烟绯，你是学法律的，那你一定是个律师吧”,“不，我是个法师”[doge]"
"老吴家的大掌柜","男","无IP","265695347","6","","10000","35707","","甘雨：羊角,烟绯：鹿角,再来个老虎,漓月车迟国说成了"
"风灵gr","男","无IP","406747892","6","","10000","17347","","／ ￣￣ ＼　 ,|　～　～ \　 ／￣￣￣￣￣￣￣￣￣￣＼,|　 　 |   |　        亲爱的原神，烟绯戴的 \,\　　 　/ ∠  是假发吗，为什么学法的   \, ＼　　 イ　 \  这么多头发                                       \,／　　　\        ,/　|　　　 \      ,|　|　　　 | |"
"罗德岛恶博士","保密","无IP","300326689","6","","10000","16546","","烟绯原型:獬豸，又称任法兽，古代中国神话传说中的瑞兽，相传形似羊，黑毛，四足，头上有独角，善辨曲直，见人争斗即以角触不直者，因而也称“直辨兽”，“触邪”。当人们发生冲突或纠纷的时候，独角兽能用角指向无理的一方，甚至可以将罪该万死的人用角抵死，令犯法者不寒而栗。"
"雪辰沙","保密","无IP","352751792","5","","10000","32460","","顶级律法专家？冒昧打搅一下，隔壁往生堂有个客卿没事就赊账，还带着一个旅行者天天胡吃海喝，四处收刮。甚至和愚人众的公子有密切来往，建议逮捕起来，然后严加审问[doge][doge][doge]"
"余丶灰","男","无IP","55726699","6","","10000","10393","","我觉得这里必须有这个[傲娇],蓝色 蓝色 蓝色 蓝色 蓝色 蓝色 蓝色 蓝色 ,蓝色 蓝色     璃   月   法   考     蓝色 蓝色,蓝色 蓝色 蓝色 蓝色 蓝色 蓝色 蓝色 蓝色,              ,                    烟绯,                 话筒        水杯,, 桌子 桌子 桌子 法典 桌子 桌子 桌子 桌子"
"FANBROTHER","保密","无IP","24953340","6","","10000","14307","","■■■■■■■　 ,■～　～ ■■■ ／￣￣￣￣￣￣￣￣￣＼,|　 □-□    |      |　      亲爱的旅行者        \,\　　 　/ ∠       我走之后不必想我       / , ＼　　 イ　 \        因为我们终将重逢      /,／　　　\        ,/　|　　　 \      ,|　|　　　 | |"
"苏子芜呜呜呜呜","保密","无IP","16293742","6","","10000","19979","","天呐～～～这么快就要出来惹！鸡冻！！！！！！感谢导演感谢米爸爸～～希望大家都能喜欢小烟绯[羞羞][羞羞][羞羞]～～～～"
"瓶行宇宙","男","无IP","22755489","6","雪未来","10000","17377","","角色演示出来之后，有热评说烟绯原型是獬豸。作为法学生，感觉和我印象里的獬豸有些差别，所以我稍微查了查资料，个人觉得烟绯的原型应该是獬豸和狴犴的结合。,烟绯的命之座“法兽座”，其中“法兽”指的是獬豸应该是毫无争议的。我国上古时期有皋陶治狱的传说：“獬豸’一角之羊也，性知有罪。皋陶治狱，其罪疑者，令羊触之，有罪则触，无罪则不触。故皋陶敬羊’”。《说文解字》中“灋“（即今天的“法”）的意思是“平之如水，故从水。廌所以觸不直者去之，故从廌从去。”强调法律的公正。中的“廌””就是獬豸。獬豸的形象有说似羊、似鹿、似麟，不管是哪种描述，共同的特点都是独角。,狴犴常出现在狱门，因此一般认为与刑狱有关。但其也有记载其“仗义执言，平生好诉”等特点。mhy可能把这里的“诉”作了引申，从古代主要指的是刑诉引申到现代的“诉”。关于狴犴的形象，有些说法是其身似虎，有的说其类似于土狗，总的来说都是猛兽。关于其是否有角我没有找到有关文字资料，而图画中一般都有两个角。考虑到狴犴的身份是龙之七子（也有说是第四子），那么其继承些龙的某些特征（比如两角）也说得过去。烟绯是魔神战争之后才出生的，其父母一方的身份应该也不一般，可能也有些联系。,而烟绯是两角，手杖，重击落下的玉玺也都是两角，和狴犴的特征类似。帽子则应该是古代獬豸冠（也称法冠）的魔改。重击留下的文字和开大出现的文字应该是篆书，具体的我也不了解，等待以后出现大佬解读。[原神_期待],以上是我个人的观点，欢迎大家讨论，补充。第一次尝试这种考究，存在很多不足，希望大家谅解[崩坏3_拜托了]。"
"瑶瑶住在白鹿巷","保密","无IP","362103754","5","原神","10000","11528","7","为什么不请罗翔老师配音[doge]"
"随波逐流的淋雨","保密","无IP","194110238","6","","10000","19548","","日配配的很好，这个优菈声音很好听，很有御姐风。唯一不足的就是为什么放的是烟绯的画面[doge]"
"篝火tabiku","保密","无IP","11658477","6","夏诺雅","10000","13087","","这次出了日配感觉都很棒[爱心],都好可爱。,至于为什么感觉日配不合适?,大概就是那种,看到从罗翔老师口中发出萝莉音的违和感吧[霜叶-疑问]"
"觉浅--","保密","无IP","25821143","6","","10000","2298","","你说的这位律政佳人，她木头吗[doge]"
"冰淇淋症候群","男","无IP","39521909","6","","10000","18603","","我们应该明确一个事实：,米哈游是一个中国公司，总部也在中国，它要给他的游戏找配音，找国内的配音是最简单的，沟通协调也方便，所以，中配肯定是最贴合米哈游要求的。,当外国配音跟中配意境相差较大时，肯定就是米哈游跟国外配音的沟通出问题了，当然你也可以说这是“另一种对角色的诠释”，所以我们要看实际配出来的效果如何。,那就这次烟绯的日配来说，属实不行，这么活泼机灵的“小姑娘”，给配出一个成熟慵懒的感觉，违和感太强了，就仿佛人物的灵魂跟躯体不匹配一样。这明显是日配方面对于角色的理解有偏差了，我觉得这应该是配音负责人的锅。上次钟离PV日配那句“天动万象”也给我整麻了，整段下来总体都还好，就这一句给毁了。帝君沉稳、神秘、大气，你能想象他说“天道万象！”吗？突然热血了起来，急躁了起来。对比一下中配或者英配，中配“天、道、万、象”那是突出一个从容不迫游刃有余尽在掌握；英配“I will have↗oder↘”，跟中配有出入，语速也稍微快了，但还好最后oder给收了一下，语气沉了下去，效果也不输中配，至少跟日配差距是拉开太多了。所以从这点来看，外国配音跟中配有差异是可以的，但是你不能偏离角色来配。"
"大咸鱼凌空酱","保密","无IP","14151875","6","","10000","7315","","来了来了来谈谈音乐[2233娘_大笑],什么叫璃月风的角色啊短短1分钟味道就浓的离谱,从一开头就是琵琶二胡带着鼓点组合，挑明了这就是个纯纯的璃月角色,然后遵循米哈游pv的三段原则（角色介绍 转场 演示），在0：30的时候开始进入转场，弦乐铺垫了一下直接升调，回到原调的时候0：38进入了一个节奏鲜明的鼓（咚哒哒哒～咚！哒哒）随后在0：49开始，乐器开始分庭抗礼，竹笛琵琶各显神通，瞬间百花齐放，伴随着画面强调的三下重击，画面归于平静,简单点的话 就是4个字 震撼人心。传统国风的恢宏大气在1分钟内起承转合被完美的展露出来，我有理由相信后面优菈的音乐也能一样震撼到我们，有机会我们优菈见[2233娘_大笑]"
"会霏的月亮","男","无IP","76761843","6","","10000","4513","5","希望认为法学生必须“死板”“老气”的固有印象可以少一些吧。,法庭之上，必须严肃地据理力争，但是下了法庭，女律师也是普通的女孩子。职业从不决定性格。"
"の尼桑","男","无IP","39788079","6","","10000","2682","13","[热词系列_知识增加]:我在璃月 银行里抢了20万 算不算犯法？[doge]"
"祈瑞丶nerd","保密","无IP","172749436","5","约战：精灵再临","10000","2564","3","温馨提示！！！,下周一请务必不要刷周本！！！,等周三更新完了之后再刷！！！,可以节省90体力！！！ ,还有声望任务也不要做，不然1.5通行证第一周拿不到经验！！！[打call][打call][打call]"
"AlmondBlossom_","保密","无IP","32947533","6","","10000","4251","","罗  翔  老  师  v u p  形  象  流  出[doge][脱单doge]"
"一只内向的西瓜虫","男","无IP","192661828","5","","10000","1601","8","烟绯懂法律，又懂估价，想象一下：,旅行者拿着三个匣子：烟绯老师，能估个价吗,烟绯：吆，这匣子不错啊，大开门，哪来的啊,旅行者：耕地时捡。。捡的,烟绯：宝友，这东西不兴捡啊，这是帝君留下了东西，根据璃月法令，这东西不能交易,旅行者：那。。能估个价吗,烟绯；这东西怎么着也得（伸出手）值个大四年啊"
"--ZING--","男","无IP","11247439","6","","10000","2826","","咋都在讨论日配，没人夸夸这次的bgm么，有钟离pv音乐那味了"
"NOEL_Mantra观测者","女","无IP","8140186","6","","10000","874","","花守由美里配过各种萌豚番，露营，anne happy各种，活泼女孩子的声线她肯定有的而且很擅长，而且配过辉夜大小姐的早坂爱，烟绯声线压得比小火龙还低了。,推荐去听她唱歌，音色很亮，不知道为什么导演要这么安排。"
"贰鼠","保密","无IP","22245854","6","橘猫挂件","10000","4717","","中: 18岁,日: 35岁,英: 25岁,韩: 15岁"
"一只斗魔","男","无IP","405318267","5","沈剑心","10000","5928","","这波真不是mhy和花守的锅，要怪就怪日配导演，花守姐姐的声线是很多变的（方舟小火龙，史莱姆的静，辉夜的早坂爱），绝对能配出可爱萝莉的感觉，所以你们要冲就去冲日配导演去，别在评论区冲mhy和日配cv"
"Zahlen离","男","无IP","168759238","6","古守血遊","10000","1603","","你们懂什么[doge],人家mhy让日配导演故意让cv配的大龄一点 这样国际服的烟绯单推人就会选择换语音,那么就有可能换成中文,这样mhy就可以再做了一波文化输出,mhy在第二层[doge]"
"永生长梦","保密","无IP","37390149","6","","10000","1425","10","/ ￣￣￣＼,|　 I    I     |  / ￣￣￣￣￣￣￣￣￣￣￣＼,\           /           原宝PS5的庆云顶           \, ＼       イ  \       我酸了，啥时候把PC       /    ,  ／        ＼  \  的画质技术升级一下呀     /,  /   　      \    \ _____________________ /,/                 \"
"道化鱼","男","无IP","5406708","6","","10000","1639","","日语配音导演有大病。。选的什么声线，帝君那次也是[辣眼睛]"
"高木_Official","保密","无IP","43886806","6","嘉然今天吃什么","10000","1446","","提瓦特知名女配角:七七[原神_暗中观察]"
"三七_XXI_","男","无IP","510952272","5","","10000","2069","8","日配并不是不好，但对不上角色，感觉很违和。,不要硬吹日配，别的都是活泼可爱，这是御姐，我感觉不太好。看着活泼的小女孩，结果说话是成熟大姐姐，觉得舒服吗？"
"CP3","保密","无IP","329408","6","","10000","4579","","很难理解日配那么拉胯总有人硬洗，连人物年龄都能拿来做理由。按照他们逻辑，钟离、甘雨和魈的人设年纪都比烟绯大，那应该按萍姥姥的标准配才对。"
"曦夜汐","保密","无IP","22545690","6","2020拜年祭（鼠）","10000","1352","","啊这，魔怔人怎么回事，怎么蔓延过来了[辣眼睛]明显的配音事故怎么怪到mhy身上的，这不是日配导演的锅？"
"名字是七个字呢","保密","无IP","89650459","6","","10000","3182","","日配导演早就拉胯了，抓住一个特点放大，完全不管别的，早期砂糖的配音就很有这种味道，本来是羞涩给人家整成社恐级别的了。这次抓的点歪的有点离谱了，摁住一个女律师声线发力，估计又是经典某某文化圈地区的管理模式，无能老必登搞一言堂被捧得太高，搁这翻车了"
"双眸里的璀璨星光","保密","无IP","309560418","6","EveOneCat2","10000","878","10","／ ￣￣ ＼　 ,|　～　～ \　 ／￣￣￣￣￣￣￣￣￣￣＼,|　 　 |   |　        亲爱的原神，我想要  \,\　　 　/ ∠   两只史莱姆仙灵（一蓝一    / , ＼　　 イ　 \    绿），希望你不要不识好歹/,／　　　\      \   否则我就跪下来求你 。  /,/　|　　　 \       ￣￣￣￣￣￣￣￣￣￣,|　|　　　 | |"
"嘿嘿嘿黑塔","保密","无IP","35196795","6","原神","10000","7248","10","呼呼，有删除语音包的功能，所以请别在评论区发引战评论。总有喜欢不同的风格，呼呼。"
"皓月連天","保密","无IP","88686531","6","","10000","2752","","有没有和我一样只用中配的。。。"
"回到现实世界的宅男","男","无IP","17651502","6","原神","10000","3944","","中韩英的配音导演都不约而同地选择少女声线，就你日配导演理解深刻呗[呆]"
"湛蓝的印记","保密","无IP","26227744","6","","10000","1016","","人家活了千年又怎样，最年轻的仙人，也没经历过战争，俏皮可爱不对？这也能喷，笑了"
"墓涯","保密","无IP","293618514","5","","10000","768","","3小时，我要看到整活哥用罗翔配音的视频[doge]"
"奏者无音","保密","无IP","1685217","6","","10000","822","","这次看很多人说韩配赢过日配了，但要我说韩配只是语种吃亏，单就把握角色来看其实我觉得韩配都不差，整体基调都跟中配在伯仲之间，反倒是日配问题挺多的，这配音导演是甩不掉锅的，不过另一方面也是日本CV界自身的问题，他们的配音方式适合番剧但是游戏的配音真的都存在问题，比较典型的就是会去刻意提高语气，人物性格在声音上的表现偏向单一化，结果就是某些场合让人物看起来有些急躁偏激"
"落枫bv","保密","无IP","399435219","6","","10000","2294","","据说在日本甲方不好插手配音，但是这自由度是否有点太高了，人设都割裂了[辣眼睛]"
"NicoviTo","保密","无IP","89376428","6","","10000","1095","","以前的遊戲大多來至日本，被逼聽日文太久，現在中配愈來愈好就聽著都高興多了"
"野生的孢子","男","无IP","487729","6","崩坏：星穹铁道","10000","1185","10","送原神玩家,                              ／ ),                           ／　／,                         ／　／,　　　          ／　／,                   ／　／,　　　    ／　／,　 　　 ／　／ ,           （_   /,麻辣火腿肠 ，一个赞两个。[doge]"
"林中奏","保密","无IP","441676374","4","","10000","497","","如果仅仅是国内有意见那肯定不会有什么事情。,但是日推PV下面最高赞的五条评论：,,この低音ボイス癖になる,逃すには惜しい1品だろう,引くに値する,95喜欢,,Sad..I thought her JP VA will sound more playful and cheerful..it's not what I expected and maybe other fans also will agree with me. Honestly, I feel quite disappointed.,22喜欢,,Not the voice I expected, but I absolutely love it.,31喜欢,,Her English voice suits her slightly better I’d say,20喜欢,,I like the character but his voice in Japanese still does not convince me, he feels very out of the character I hope the actress can modulate it so that it sounds more cheerful and fun,21喜欢,,希望日配可以重置，就像英配芭芭拉那样。"
"裴十木木林","男","无IP","349286441","6","hanser","10000","780","7","谁说学法律只能成为律师，烟绯就告诉我们，还可以成为法师[脱单doge]"
"重生的囧","男","无IP","44999","6","","10000","933","","当英日韩的派萌都在激动地痛骂“诶嘿是什么意思！” 时，只有中配表情与语气不对应。,当中日韩的七七都在用小可爱的冰冷声音时，只有英配用了个老奶奶僵尸音。,当中英日的配音都不错时，没人关心韩配如何。,而这次是当中英韩的烟霏都是少女音时，而日配完全不同。,在我看来这再怎么辩解维护也是个失败，就像之前那些中英韩例子一样[疑惑]同样的角色、相似的文化，地球对面都能配对，这边怎么就非要有自己的解读？无非是在有些人眼里日配是权威、是神位，不存在错误罢了。"
"日落渐隐地西泮","保密","无IP","364382615","6","","10000","2472","","一人血书日语重配，花守由美里作品我看过不少不可能配成这个鬼样子，日配音导演犯病了吗？？"
"丶詸醚","女","无IP","35115695","6","","10000","669","7","动态里烟绯档案都说了少女了[捂脸]日配是怎么想到用这种声线的啊，少女音又不难找，还是说故意的？"
