"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"风逝丶影","保密","无IP","73450461","6","赏樱大会欧皇","10000","8329","","1、钟离、公子、迪奥娜、辛焱,2、新主线,3、捕风、随身锚点、随身厨具,4、声望系统,5、大伟丘"
"Lazybird懒鸟","女","无IP","454605519","6","原神","10000","7854","","龙哥没了[热词系列_知识增加]"
"王多於","保密","无IP","15137907","6","良辰美景·不问天","10000","4590","","录播的录播来了[doge][doge]"
"相泽梓_","保密","无IP","202462107","5","拜年祭粉丝专鼠","10000","4273","","某种意义上确实是和直播播的一模一样[doge][支持]"
"Adobe_7","男","无IP","9464609","6","原神","10000","2466","","复制一段我前一次写的：,,加强一下雷元素吧球球了！！[大哭][大哭],       雷元素现在尴尬的地方有3个：,1后期感电输出完全比不上蒸发、破冰的倍率,2打啥啥免疫，触发元素反应除了感电都是别属性的元素伤害,3超导倍率低但是有降物抗，但除了雷泽其实别的雷c都不适合纯物理流，菲谢尔勉强可以，丽莎法师搞物理流得用法杖敲吗？刻晴的技能机制注定绝对走不了物理路线。,    而根据小道消息称，下个版本将会'加强'超导反应，将降物抗改变成降魔抗。,    这个改动说实话是本末倒置的。雷c为什么弱势，主要就是这个蛋疼的反应机制。现在把降物抗取消了，那么首先目前常见的雷泽菲谢尔,物理流就倒台了，菲谢尔前段时间的暗削加上这次更新后完全变成奥兹发射器。刻晴说是加强，但其实不然，刻晴为啥弱？为啥刮痧，因为单手剑不破盾，雷系反应不出雷伤，'自身也打不了物理流。该被盾挡住的地方仍被挡住，再高的雷伤，遇到个史莱姆，遇到个带盾的愚人众先遣队，任你雷伤再高，刮痧的数字可能都出现不了。唯一加强的就是丽莎了，但雷系的固定反应伤害（不吃暴击）到后期且不说倍率完全跟不上蒸发破冰的等级线性提升，在高层深渊不会有人指望有体力给丽莎用重击输出吧？,     所以雷元素的改动应该在反应机制的地方下功夫  比如：,     反应伤害的伤害计算由触发者属性计算，雷碰火将出现雷系超载，为跟火系超载区分，可以将爆炸改成小范围连锁闪电或者0.5秒的麻痹效果，cd两秒,       超导的可以保留原先的降物抗，给物理雷c活路，触发位雷上，而反之挂雷碰冰将触发冰系超导，伤害倍率为0.5，但无视护盾造成真伤，在目前无冰c版本下这个效果还算合理,      感电伤害的计算改为固定3.5，前期伤害提升但也限制住了后期的伤害，不算超格，但闪电触发麻痹效果，可以打断持盾怪物的举盾效果，面对大丘丘人的时候不会一个大招下去无事发生。但为了保证游戏的元素反应的机制顺利进行对愚人众和深渊法师的元素护盾不进行改动，保留原先用克制元素破元素盾的合理机制，增加游戏机制的全面运用。这一点到是还行，想强行破盾可以用刚刚所说的低倍率冰系超导进行刮痧，至少这个刮痧是能慢慢刮死的，不像原来雷系打元素盾伤害是0。,      希望希望策划能看见吧求求了，雷c现在太痛苦了，下个版本可莉一出，真就火c满天飞了吗？[大哭][大哭][大哭]"
"步及阁大学士","男","无IP","40648897","6","","10000","2621","","声优们都挺健谈的……直播效果我觉得倒是并不尴尬，也挺有趣的,但……内容着实少了些……,这么多人的大团队，游戏内容开发的进展未免太慢了些，应该是遇到难题了罢（我估计是优化，无论是手机性能，还是网络优化）,元素烘炉的活动也真的是让我反感，玩法感觉太过无趣是一方面，活动获取的资源也有些吝啬……量是一方面，更让我煎熬的是选择太少了，只能一直刷经验书……,我明白经验书后期也很缺，但在那时候我用不了啊！刚刚升到40级，把菲谢尔拉到80，香菱拉到75，金币没了，经验书用不了，去刷金币，也觉得亏……感觉异常煎熬……我从未如此期望一个活动赶紧关闭掉……"
"Hogne","女","无IP","11524003","6","","10000","3049","","录像X,直播√"
"欧洲细作zz","男","无IP","19115195","6","","10000","2529","9","本来不就是录像吗，再录一遍哈哈哈？"
"他们叫我小斐","保密","无IP","279761154","6","","10000","7877","","求求你加强一下锅巴的智商吧，为什么总要去喷喷不到的怪"
"双击放大","保密","无IP","21193926","6","","10000","1483","","36:09 36:56 钟离开大，公子没盾，证明钟离2命以下；37:38 37:54 钟离放第二个柱子，第一个柱子消失，证明钟离1命以下，也就是0命；38:18 牛头人石头模型从倒计时的28秒维持到了21秒，证明0命钟离至少有6秒及以上的石化时间。而这个是官方宣传并非内鬼爆料，那么解释下为什么玩家手上的钟离和你们的官宣差距甚远吧？也没白字说明测试服数据和最终版本不符啊"
"米姬游","保密","无IP","18321277","5","","10000","1276","","一天两次上线，共三英四常五星好评，觅六箱七波屠村，得八石九面十分推荐[doge]"
"七海脆鲨鲨","保密","无IP","375348334","6","","10000","1859","","一次版本直播能顶半次深境螺旋结算的奖励了 就离谱[无语]"
"茉香奶绿有没有QAQ","保密","无IP","59476606","5","","10000","778","","没啥，还是希望游戏能越来越好，毕竟这美工这人物真的让人赏心悦目。能冲才能往里冲啊[tv_流泪][tv_流泪]要不然怎么得到快乐，命座吗？"
"于细微处","保密","无IP","31187777","6","崩坏：星穹铁道","10000","896","","我是月卡党，每个月投入100元左右，一个月可以凑30多连，一个保底80连，大保底160连，即2-5个月可以确保一个五星，我简直不敢相信白嫖党是过的什么日子，半年一个五星吗？当然有偶尔的福利估计可以少花上几个礼拜。我不反感和氪佬之间巨大的差距，但是这是不是有点过了。发点福利还要朝四暮三，我只是想说，除开重氪，就这个概率，不氪的人还是不会氪的，即使是一个648也不能逆天改命的时候其实没有任何动力让人花钱的。还有优化问题，升级圣遗物的时候居然看不到狗粮的具体数值，打龙的时候必定掉到龙下去，体力问题，真的令人迷惑。顺便运营这个抠抠索索的感觉很糟糕。我喜欢原神，即使这个状况一直持续下去我估计还是会玩下去，但是一月30不会更多了。我相信这是大多数平民玩家做出的选择。我真的希望原神在任何意义上都对玩家更友好一点。别来杠我，我没力气杠，就当你是对的好了。以上。[微笑]"
"②bit","保密","无IP","386608","6","三周年恋曲","10000","145","","说老实话 确实第一次玩mhy的游戏 头一回见到时效这么短的码[热词系列_知识增加]之前玩过的手游端游最短的也有一天"
"鹤の犬生","保密","无IP","386988439","6","还有醒着的么","10000","455","","22.58分看到，立马打开游戏加载了一分半，输完兑换码，已过期[阴险]"
"埋在96年的糯米粥","男","无IP","2649668","6","","10000","930","","七神死五个，剩俩个，那后面的剧情 就是无限出角色吧，都是神选之人[小电视_赞]"
"bui哒哒叮","保密","无IP","244455078","5","","10000","332","","唉，我想要的不是联机，也不是啥活动，我想要可以自己住的小屋，就连丘丘人都有自己的屋子，玩家就真流浪者，一个冒险者在外冒险 最后搏杀，但是有个温暖的小家，多有意思，增加游戏归属感，强行联机，反正我没有一点兴趣，上次的炉石啥活动都没有参加，我的世界为什么要和别人一起玩"
"迷之悲鸣","男","无IP","3157612","6","","10000","385","","上班党对限时很不满意，短效限时码更像是筛选粉丝，而不是回馈玩家"
"一个有尊严的隔壁小孩","男","无IP","285295865","5","","10000","325","","36:09 36:56 钟离开大，公子没盾，证明钟离2命以下；37:38 37:54 钟离放第二个柱子，第一个柱子消失，证明钟离1命以下，也就是0命；38:18 牛头人石头模型从倒计时的28秒维持到了21秒，证明0命钟离至少有6秒及以上的石化时间。而这个是官方宣传并非内鬼爆料，那么解释下为什么玩家手上的钟离和你们的官宣差距甚远吧？也没白字说明测试服数据和最终版本不符啊"
