"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"白糖黑茶","女","无IP","67254913","6","","10000","8373","","我整理一下目前阿贝多老师身上的伏笔,1.温迪对阿贝多语音里有“这么危险的古老技术，如果在蒙德失控……”，雪山剧情结尾阿贝多说过他自己可能失控，可以得出阿贝多自己就是“危险的古老技术”（阿贝多拾枝杂谈里戴因斯雷布也说过，阿贝多有任何异动他会亲自下场）。,2.阿贝多的天赋“瓶中人的天慧”，暗指阿贝多自己是“瓶中人”，也就是炼金台上诞生的人造人身份,3.阿贝多角色故事表明，他没有任何血缘关系的记忆，从出生起就跟着他的导师四处冒险，阿贝多知道导师不是他的生母，但毫不怀疑自己的生命源于她（也就是说阿贝多应该是知道自己是人造人的）,再来看看戴因，戴因斯雷布的角色卡介绍有这么一句“白垩追逐着黄金”，坎瑞亚覆灭是名叫“黄金”的炼金术士堕落为了罪人，“太阳”在炼金术中对应的就是“黄金”，阿贝多的e技能炼成阳华也提到了追逐太阳，这里“白垩追逐黄金”也许就是对应了阿贝多追寻他师父的道路，这个过程对戴因斯雷布来说也是有特殊意义的。阿贝多的白垩身份在多处都被强调过，如戴因在拾枝杂谈里说阿贝多的炼金术源流是毁灭了坎瑞亚的黑土之术，角色故事里导师说阿贝多自身就是白垩，对应阿贝多“白垩色王子”的称号和他的天赋“白垩色的威压”"
"白烟梦泽","男","无IP","442459161","6","原神","10000","34727","8","——阿贝多，你想干什么？！！,——时代变了，我们不用做其他角色，可以做自己了......对，真正的自己——过去的我……经历失败，受过背叛，失去所有，而现在……呵呵呵呵……我将掌控一切……这就是完全的白垩，完全的炼金，完全的……我！[藏狐],,我将，扭转万象！！！！！！[doge]"
"游牧民族的希望","保密","无IP","156840496","6","","10000","2917","","路过的旅行者们，顶我一下[脱单doge],版本开启时间：11月24日,一：角色UP卡池,1.荒泷一斗（荒泷天下独尊一斗）,2.五郎（狗是人类的好朋友？）,3.阿贝多，优菈（两个池子，保底共享）,二：荒泷一斗传说任务,三：北斗，五郎邀约任务,四：新武器，新圣遗物（图示）,五：新怪物：黄金王兽（可叠加侵蚀状态）,六：新活动,1.皑尘与雪影（可诚哥壶堆雪人）,2.万端珊瑚事件簿●犬武者（可将大世界动物带回诚哥壶）,3.导能原盘●跋尾,4.迷城战线●光界篇,5.好兄弟立本！！！！！,七：派蒙入驻诚哥壶！！！！！增加互动语音！！！！,详细图文介绍：cv13973992,,最后：如有遗漏，错误，感谢补充，订正！"
"诺非olb","保密","无IP","616262425","5","","10000","2080","","双up大体上是好事，不过原因还是因为我优菈已经有了，可以放心抽阿贝多，要是以后魈和甘雨同时复刻就会挺头疼，胡桃池子第一次大出血，一命全程大保底，护膜歪了终末，准备最后一天不出再充点搞个护摩，希望别让我终末二精，所以我真的不想给mhy氪金了，但是俩合我xp却一起up就挺搞我心态的（我习惯把事情往最坏的地方想，因为基本上我所有游戏都是非酋），不过大体上肯定是好的，毕竟一些想要的角色能快点复刻了。最后再问一句，一命卢卢卢能用终末吗?"
"濯水清竹","保密","无IP","507554024","5","大理寺日志","10000","11824","11","有一说一，阿贝多疑似黑化的那一段之前，听到了杜林心脏的跳动声，该不会是杜林心脏残留的力量加上遗失的笔记（有可能是1.2研究杜林的那一部分），被人利用，控制了阿贝多吧.......,先猜一波，中了回来刀我[Cat2_Boom!]"
"第三太阳_哈瓦玛玛兹","保密","无IP","357657229","6","神乐七奈","10000","7253","","也没什么才华，就给大家吟诗一首,,未归熄星陨石迷，,,白垩黑龙雪山寒。,,明霄海平霄灯明，,,风花邀约琴声扬。,,玉扉尘歌若陀震，,,盛夏海岛冒险欢。,,不动鸣神泡影灭，,,韶光抚月天人间。,,雾海迷境式将忆，,,皑尘白雪霜又现。,,十个版本十四月，,,再盼原神创佳业！"
"洛琪希零贰六花希露菲","保密","无IP","321356919","6","","10000","8887","","一斗我是抽定了,1 建模很帅,2 主要还是大招我很喜欢 开大切换武器且附魔 ,而且还可以靠普攻重击输出 玩起来一定很爽"
"林子末","男","无IP","398852114","6","","10000","1660","11","阿贝多黑化伏笔有几处明显的：,第一个阿贝多传说任务结尾：“如果失控的我把蒙德把一切都毁灭的话，能期待你来阻止我吗？”,第二个是戴因斯雷布在对阿贝多的拾枝杂谈中提到“那是来自坎瑞亚的黑土之术，黑土创生白垩，无垢之土创生原初之人，如果阿贝多有任何异动，恐怕我就无法置身于世外了。”阿贝多本身就有太多的秘密，盲猜旅行者和尤菈他们进雪山是阿贝多设的局，感觉黑化也情有可原吧。"
"账号已注销","保密","无IP","443453610","0","","5000","1825","6","属实给我整不会了。复刻的慢，喷，复刻加快，喷，这相当于自选池了居然还有人理解成双up在这喷。照这样2.4大概率也是双复刻池加一个新池，这对玩家不是好事吗，尤其是新玩家，老玩家也可以补武器补命座。喷的点在哪呢我想问问"
"抒离故池意","男","无IP","567826113","5","","10000","642","","阿贝多失控，被主角击败,可莉寻找母亲，在世界边界发现了骸骨,兄妹再次相逢，刀兵相见,凯亚面临蒙德与坎瑞亚两难的抉择,雷电追寻的永恒破灭,风神被禁锢于无风之地,岩神于磨损中逝去,深渊与天理开战,七神被剥去权柄,神之眼暗淡无光,派蒙挡刀,双子二人一人成为了另一个人眼底的沉淀,提瓦特成为历史,终章成为一个人漫无目的的旅行"
"泠桓绫","保密","无IP","159277610","6","咩栗","10000","378","","虽然可能沉了，但是还是想说，阿贝多会不会是“成功品”，同时有许多“失败品”，就像崩坏一样，雪山这个隐秘的地方就是掩埋失败品的地方。"
"脱非入欧的改名","保密","无IP","100456435","5","","10000","1088","","加快复刻节奏，一定程度上是可以解决限定周期长的问题，对于一直期待复刻的玩家其实还不错，不用等一个复刻等半年，但是不按顺序插队的话，打乱节奏。但是规划乱的话就乱这一波，对于大多数玩家其实还是友好的，毕竟从胡桃流水也能看出，新玩家数量真的在增多，等一个角色复刻得猴年马月。新复刻机制总体还是利好新老玩家，不过对xp比较广泛的玩家来说，就只能氪服困难了。综上，我是站这次“双池子”的[藏狐]"
"油麦油麦菜","保密","无IP","1921285009","5","","10000","2412","","2.1直播我以为会刀万叶，万叶不仅没被刀还帅了一批,2.2直播我以为会刀公子，公子不仅没被刀还萌了一批,2.3总结，嗯，阿贝多，问题不大"
"海天工作室","保密","无IP","421276293","6","","10000","2038","","来晚了[捂眼]来认领荒泷一斗的中文配音演员，海天工作室的@刘照坤Jock ，代表作有《赛博朋克2077》强尼银手、《英雄联盟》阿克尚、《王者荣耀》司空震、《最终幻想14》爱梅特赛尔克 等，期待坤哥在原神中不同以往的演绎！[给心心][给心心][给心心]"
"山崖复远望","男","无IP","19104000","6","","10000","3479","","这次的up池怎么看都是一个对玩家的利好，会感到难受的只有我这种选择困难症又没有钱的玩家[藏狐]"
"世界特级保护动物","保密","无IP","234337777","5","#EveOneCat","10000","933","","能不能有个小小的请求。就是像我这样学生党真的刚放学回到家吃完饭就差不多到八点了，对这样的直播活动有时候会忘记，导致错过了兑换码。所以可不可以兑换码期限延迟一天呀，就一天，球球了[Cat2_Nyampage]"
"你思故我在","男","无IP","6594920","6","三周年恋曲","10000","399","","我真的惊了，ch好不容易做了一回人干的事竟然有节奏，这种保底继承的双up已经是良心到极点了。即使是最糟的情况，阿贝多、尤拉你都要，原石不够，你就先拿下最想要的，比如阿贝多，尤拉因为双up的原因下一次复刻也不会等太久，如果和原来一样分池，歪了一个角色就要等到不知猴年马月，多一个up就多一个选择。"
"雪零沙","保密","无IP","65420041","5","","10000","323","","阿贝多黑化只能说情理之中的事情。他是黄金炼金术士，莱茵哈特的人造人。莱茵哈特之前可是坎瑞亚天理之乱的中心人物，毒龙杜林也是他的造物，这一波，只能叫做五百年前那场反叛的余音[藏狐][藏狐][藏狐]"
"森空島","男","无IP","470374310","5","","10000","162","","跟你们讲一下吧，双复刻意味着你可以拥有五星，并且这个五星你可以选择，但是只能选择一个（对于平民来说），保底不变，,比如，你在阿贝多池子抽歪了，你就觉得阿贝多不爱你，你也可以选择把大保底留给优菈；或者你抽了十几抽阿贝多池，又抽了几发优菈池，结果歪了别的角色，那么阿贝多池垫的全部白费，但是你可以用大保底抽出阿贝多,不是双up，双up可是无底洞"
"Collapsar丶Echo","保密","无IP","290338319","5","","10000","302","","啊哈哈哈哈哈哈哈阿贝多黑化了，幸福来的太突然了（期待很久了，还以为要到走完七国才会黑）,放纵吧，恣意吧，撇开社交和拘俗，肆无忌惮的感受自由，任意妄为的奔赴梦想的彼岸，无论是炼金术的极限还是触动心底赤成情感的那个人，所期待和追寻的一切，不再顾虑，无拘无束，尽情释放深渊之底的“白垩之子”——做最单纯最锋锐的你自己吧，阿贝多"
"丿Sky灬冥战将军丨","保密","无IP","1939657341","3","","10000","20157","","别代表老子,双复刻对我来说纯福利,老子很高兴"
"屑小荧","保密","无IP","50405728","5","还有醒着的么","10000","7604","9","有人说双复刻对平民玩家不友好，我不想被代表，我觉得挺好的，我不想一个角色等一年半载的，抽不抽还是看自己喜欢哪个，没有什么骗不骗氪的 ,脑子 全都要 白嫖 只能三选二[藏狐]"
"可乐先加冰","男","无IP","81570599","6","","10000","4624","","不是说双up对平民不友好，是对什么都想要的人不友好[OK]你要真是出一个就要一个，你这原石也攒不住啊，然后就说骗氪？[藏狐]"
"霏雨418","保密","无IP","2085565948","5","","10000","6410","","不是，复刻慢了不满意，快了也不满意，没有氪佬的资本想有氪佬的体验，某些人差不多得了昂[抠鼻]"
"人间白乐天","保密","无IP","22896127","6","","10000","1605","","我觉得应该开另外一个池子，叫重逢之缘之类的，把复刻两次以上的五星放里面常驻，up池再定期更新。米哈游搞双复刻你们现在一个个拍手叫好，到时候甘雨钟离魈放一个池子的时候，这群人我希望你不会翻脸骂人，因为米哈游这波变相想拉流水的心已经有了，现在不过是试试水，以后就难说了…"
"鲜の每日曦","保密","无IP","40585910","5","原神","10000","169","10","坨宝，他们骗你的，这么会有狼比你更像龙呢"
"KKOMDA","女","无IP","1740827542","6","","10000","2615","","不要啊！我的阿贝多！"
"明灭灬炎","保密","无IP","93651991","6","2233夏日冰品","10000","3056","9","弹幕那边看到一个“原来是班尼特在这，怪不得雪崩”哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈做个人好不好"
"山崖复远望","男","无IP","19104000","6","","10000","3479","","这次的up池怎么看都是一个对玩家的利好，会感到难受的只有我这种选择困难症又没有钱的玩家[藏狐]"
"鹿喑kana","男","无IP","302145","6","多多poi","10000","2206","11","一斗配音都太贴了[大笑][大笑][大笑]又帅又憨又热血！！我爱了！！！！,把嘴给我闭上！！我说一个数…10连，7个一斗！！！！[生气][生气][生气][生气]"
"海天工作室","保密","无IP","421276293","6","","10000","2038","","来晚了[捂眼]来认领荒泷一斗的中文配音演员，海天工作室的@刘照坤Jock ，代表作有《赛博朋克2077》强尼银手、《英雄联盟》阿克尚、《王者荣耀》司空震、《最终幻想14》爱梅特赛尔克 等，期待坤哥在原神中不同以往的演绎！[给心心][给心心][给心心]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","2036","","诶嘿！"
"油麦油麦菜","保密","无IP","1921285009","5","","10000","2412","","2.1直播我以为会刀万叶，万叶不仅没被刀还帅了一批,2.2直播我以为会刀公子，公子不仅没被刀还萌了一批,2.3总结，嗯，阿贝多，问题不大"
"小紫的小号","女","无IP","14829832","6","","10000","2419","29","阿贝多老师——"
"杨昕燃","保密","无IP","1048614730","4","","10000","1084","","诶嘿！大家的好朋友出现啦[羞羞]"
"晨曙LZC","男","无IP","76800495","6","","10000","761","","拾枝杂谈的最后，谜语人戴因说：“如果阿贝多有任何异动，恐怕我就无法置身事外了”，所以说新版本会不会有戴因的戏份[藏狐]"
"烟花归寒浮生寂","男","无IP","6504452","6","","10000","862","","阿贝多厨大可不必担心，一定是旅行者救了阿贝多被他以身相许的美好结局[doge]"
"沃尔德丶方","男","无IP","419751574","5","","10000","1525","","卧槽兄弟们我要说一件很神奇的事情！ ,前几天我做了一个梦，梦到优菈复刻，我攒了几万原石抽优菈池子，然后后的来我忘了，再然后我就醒了,最神奇的是我从来没看到过也没听说过优菈要复刻，但是我做梦梦到了！！今天版本前瞻直播也确定了优菈复刻！！我真是激动的要死！！,我是不是觉醒新能力了兄弟们？？！！"
"personaaaaaa_","保密","无IP","21473836","6","2233幻星集","10000","413","","原宝啊，我求求你给阿贝多老师加一撮刘海吧，建模是真的有点子秃啊（但他还是很帅！是我老婆！）"
"takiたき","保密","无IP","24453789","6","","10000","446","","早柚：怎么可以有这么吵吵嚷嚷的家伙[生气],曾经的我：能有多吵？我想见识一下,现在我的脑子里：哈哈哈哈哈哈哈哈哈（荒泷笑）,[囧][囧][囧]"
"风荷醉_子音追","女","无IP","22152819","6","","10000","323","11","[捂眼]好耶，去雪山玩，堆一个大～～～雪人咯！但是…阿贝多看起来奇奇怪怪…不对不对…都很有问题，得去瞅着他们[思考][思考][思考]！"
"帅旧暮","男","无IP","409724275","6","","10000","465","3","盘点一下我觉得很燃的台词,你看着本大爷的眼睛再说一遍!,给我砸～,给我把嘴闭上～!,还有阿贝多好像黑化了,贼期待阿贝多剧情"
