"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一坛喵","女","无IP","16806294","6","","10000","28468","","去过陕西山里看傩戏，因为人数不够人家不开演，内容据说是有上刀山下火海一类的，只记得演戏的场子一片萧条，山中空气安静，浅淡烟气缭绕徐徐升天，戏台边挂着黑的红的鬼怪面具，奇诡神秘。票价20一人，可惜游客寥寥，能借游戏对传统文化有所宣传也算好事"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","59770","10","说书听多了自个儿来过把瘾[tv_doge]"
"IceCamel_冰骆驼","男","无IP","363900262","6","星座系列：摩羯座","10000","46614","","给一些懒得看书和NPC对话的小伙伴们补充一下璃月和魔神战争的一部分背景故事和设定，以免产生不必要的误解：,（转载自贴吧）,1.璃月的地形也是经由岩王帝君之手改过的，最早的璃月先民曾生活在轻策庄和归离原，后南迁,2.归离原大战,岩王帝君好友魔神归终所管辖的区域，归终设计仙家机关归终机防卫，归离原曾是璃月中心地域，后发生诸魔神入侵，归终战死，岩王帝君杀死诸魔神之后璃月中心南迁,3.轻策庄,这里是在魔神战争期间是螭的领土，轻策就是螭的古璃月语发音，岩王帝君击败螭后将其封印,4.地中之盐,盐魔神是个过于温柔且爱着人类的魔神，为保护自己的子民，她带着他们躲入地中之盐以躲避魔神战争，最后被自己深爱的凡人之王杀死,5.夜叉魔神,魈等人的前老板，控制了夜叉众为坐下大魔，后被岩王帝君斩杀，夜叉得以解脱,6.天衡山,魔神大战后期，大魔神曾与移霄导天真君在此决斗，魔神打断了天衡山，真君为保护居住如此的民众，自断仙角支撑山体，最终战死，死后其血化为碧水源，淹没地中之盐,7.孤云阁,岩王帝君于此用岩枪击败大量魔神并将其埋葬于此，传说璃月各大灾难和妖物都是战败魔神灭不尽的怨恨形成,8.遁玉陵，灵矩关，青墟浦，三大遗迹,璃月千年元素汇聚成岩陀龙王，在理山叠水真君，留云借风真君和一未知仙人的帮助下，岩王帝君将岩陀龙王镇压于“洞天”之中,9.运来海，孤云阁,能驱使螭兽的海之魔神被岩王帝君击败，并镇压在孤云阁，可莉妈在此有感受到海之魔神仍在孤云阁的深处不屈的挣扎,10.仙众夜叉,夜叉是璃月仙兽，大多生性凶残，最强的五大夜叉是浮舍，应达，伐难，弥怒，金鹏，因为岩王处死大量魔神，魔神遗恨会形成妖物，夜叉在处理魔神尸体和妖物时也饱受魔神遗恨侵蚀之苦，最后逃的逃死的死入魔的入魔，现在只剩金鹏夜叉了。。。"
"梧桐澪","保密","无IP","12360339","6","","10000","33103","","你能从任何地方见到温迪，除了在蒙德"
"提瓦特艾琳","保密","无IP","10068956","6","","10000","34112","","怕有些人说魈的面具像日本那边的，这里说一下，魈的大靖妖傩舞，带的面具是中国传统的傩面具，傩戏用的。,傩戏，又称鬼戏，是汉族最古老的一种祭神跳鬼、驱瘟避疫、表示安庆的娱神舞蹈。,傩戏起源于商周时期的方相氏驱傩活动，汉代以后，逐渐发展成为具有浓厚娱人色彩和戏乐成分的礼仪祀典。大约在宋代前后，傩仪由于受到民间歌舞、戏剧的影响，开始衍变为旨在酬神还愿的傩戏。       傩戏是历史、民俗、民间宗教和原始戏剧的综合体。广泛流行于安徽、江西、湖北、湖南、四川、贵州、陕西、河北等省。"
"SouryuuAsukaLangley","保密","无IP","1425953","6","","10000","25272","","火夜叉刷了三千年火本全是渡火，发狂而死[辣眼睛]"
"kinsen","男","无IP","755370","6","","10000","13209","2","啊啊啊！！！魈宝贝！！！太帅了太帅了！！配着阿笨的介绍！！！太合适了！！！！[哭泣][哭泣][哭泣][哭泣]我一定要拥有他！！！！"
"lopunny丶","女","无IP","3721440","5","琉晶之礼","10000","21290","","雷夜叉是不是免疫打多了自闭了，走火入魔了"
"万象罗生","女","无IP","398449342","6","EveOneCat2","10000","12032","","我可以抽不到，但看到这个评论的人一定可以抽到[OK]"
"梦里青衣尚少年","男","无IP","35268435","6","hanser","10000","26526","","魈:干完这一票，蒙德就是璃月的了[doge]"
