"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"那是谁_","女","河南","1375003947","4","","10000","1128","","这大概就是我为什么那么喜欢这款游戏的原因，米哈游真的在实实在在做事，不管是公益慈善还是宣传非遗技艺，都是认认真真的做，每次都给我惊喜，让我觉得我的喜欢没有白费，希望米哈游继续保持哦！！！！（另外，能不能少歪几次哇，非酋真的伤不起哇哇哇哇哇）"
"索雷弗拉尔","男","陕西","950735","6","","10000","1667","","感谢原神对民间非遗及类似技艺流传的传播，让我觉得我也为了国家文化保护和发展做出了贡献[doge]"
"yky懿","男","广东","178317814","5","碧蓝之海","10000","2640","","想知道完整的蛋壳怎么获取，有人科普一下吗"
"自动人偶伊芙加登","男","广东","1015684927","5","","10000","141","10","不用说有多牛逼，光看都知道，要坚持下来也是非常不容易，这种文化传承人手下的艺术和艺术品，会是中国文化的瑰宝，原宝在发扬中华民族传统文化的贡献又添一笔，很欣慰"
"OL冰糖葫芦","保密","江苏","321248369","5","","10000","1713","","光与影交错，虚与实相间，蛋壳上的图景栩栩如生，仿佛这片烟火人间近在眼前。,,旁白：刘北辰"
"是Hermione呀","男","未知","27642437","6","","10000","2029","7","蛋雕还是第一次听说，有点意思"
"亭曈灵泽下独饮忘忧君","保密","广东","1398078562","5","","10000","3522","","还有米雕，一粒米上雕刻出精细美图，现在很少看见了"
"屋檐下的刻俄柏","男","日本","142332981","6","崩坏：星穹铁道","10000","1257","","以前学过核舟记，但蛋雕比核雕难得多"
"dnty","保密","广西","73810376","6","星座系列：双子座","10000","418","","我觉得入门可以灌滴胶在内壁裹一层，增加厚度减少难度[藏狐]"
"芽衣姐我不想下岗","保密","河南","1737941959","4","","10000","375","","如果没有现代化的机械工具能雕出复杂的蛋雕吗？"
"虾人鱼饼","女","山东","630231821","5","","10000","1458","","在家试过，感觉一不小心就戳破了，裂了，这个真的不容易[支持][支持][支持]"
"未有之源-梦","保密","天津","456759279","5","良辰美景·不问天","10000","3250","","蛋雕是在飞禽类蛋壳上刻琢成画的一种民间手工艺品，可在飞禽类蛋壳上刻琢成画，融和了绘画与雕刻，以浮雕、阴雕、阳雕、透雕、镂空等雕刻手法体现出各种精美的图案。近几年逐渐兴盛起来。,来自百度[doge]"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","392","","我记得还有一个雕刻，我忘了叫什么名字，原宝要不要考虑一下联动，这个难度估计可能比蛋刻还大，叫什么鬼什么来着，这个雕制品是一个圆形的，是一层包一层，听说现在靠木头雕刻能雕刻到几十圈，可以说又耗费精力还有耐心。而且好像是听说从内雕刻，一直雕到你能雕的极限圈数"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","361","8","光与影交错，虚与实相间，蛋壳上的图景栩栩如生，仿佛这片烟火人间近在眼前。,旁白：刘北辰"
"AI视频小助理","保密","上海","1141159409","4","","10000","360","","一、中国民间艺术——蛋雕。通过刻刀在蛋壳上创作出各种图案，需要精湛的技巧和创意。作者蒲德荣是蛋雕行业的一名从业者。,00:20 - 提笔纵横 刻画入微 游刃 宝可雕镂繁华 刻刀翩跹起舞 迷人的艺术创作正在蛋壳表面上演,01:07 - 机子传承至今 成为方寸之间雕梁画栋的手工技艺,02:43 - 需运用弹雕里最难的深浮雕和镂空技法,二、蛋雕艺术，以及如何通过明暗关系和厚薄程度表现立体感和层次感。此外，还介绍了底座的制作方法和蛋雕的难度。,03:00 - 利用明暗关系呈现立体感，鸵鸟蛋无法用颜色区分层次,03:33 - 表现出群山和港口的距离，人物蛋雕更为复杂,05:51 - 璃月港口的建立为海上贸易打下基础，商贸与财富或许是乘船远道而来之人,三、璃月这个城市，以及与原神的合作。蛋雕是一种表意的艺术，适合发展为手工体验活动，具有广泛的社会用途，期待其在未来能够大放异彩。,06:00 - 璃月市井繁华，百姓各司其事，各得其乐,06:15 - 与原神合作，希望能焕发璃月的生机，鼓励更多人现场观看实物,07:03 - 做好每一件与石雕有关的事，让古老技艺继续留存，展现刀锐,--本内容由AI视频小助理生成，关注解锁AI助理，由@blackca21 召唤发送"
"青叶0v0","男","湖南","509445224","5","小试身手","10000","170","","原神，一款更适合年轻人的准点报时器"
"不被之代表人","保密","河南","404442747","5","","10000","98","","这下是真真正正的文化输出了"
"萦HM","女","内蒙古","1194060684","4","","10000","60","","蛋雕是在飞禽类蛋壳上刻琢成画的一种民间手工艺品，可在飞禽类蛋壳上刻琢成画，融和了绘画与雕刻，以浮雕、阴雕、阳雕、透雕、镂空等雕刻手法体现出各种精美的图案。近几年逐渐兴盛起来。"
"落木求花","保密","江西","386924726","5","","10000","53","","每年有两个大节，蒙德风花节和璃月海灯节"
"最后的格拉朗日点","保密","上海","3546383428618553","3","","10000","51","","把传统技艺与手游结合，米哈游是一家文化产业公司"
"只要通宵就不是熬夜","保密","广西","4406512","6","","10000","31","","新时代了，能不能用蚀刻，或者激光雕刻[脱单doge]（当然我知道非遗重要的是手艺）"
"姬如千泷月","保密","广东","3272801","6","","10000","16","","这种蛋壳需要硬化工艺之类的处理吗，开起来很容易碎"
"榴芒峰","男","意大利","320769043","5","","10000","7","","需要极强的控制力度才可以，美术功底真扎实[打call][打call][打call]"
"秩这么强不削能玩","保密","广西","351604670","5","崩坏：星穹铁道","10000","2","","有点像3d打印浮雕原理"
"FCG心殒","男","江苏","111170071","6","","10000","1","","立体感还真不错"
