"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"用户257651","保密","吉林","1335326389","5","","10000","1485","","我来说吧，感觉越传越离谱了。,团雀在本文中的最大作用毋庸置疑是,塑造彰显流浪者的性格特点。首先团雀很明显是粘人的，依赖的，一直在粘着流浪者。第一次落到脑子上第二次落到肩膀上，这时流浪者忽觉天要下雨因此没有拒绝团雀，此处表面流浪者是怀有善念的，对路上遇见的麻烦可以顺带帮扶一下的。然后，打完架后麻雀飞回来，流浪者挥手赶走，展现的是流浪者不愿在愚人众面前流露出温情的一面，是一种傲娇，要面子，装逼被打断但是还要装下去的感觉。因此此处只是挥手赶团雀，而不是打。,,团雀的第二作用，我认为是与雷神照应，即使很多人主观上不想流浪者与雷神有关联。第一种照应是与雷神演示中开头与结尾出现的乌鸦照应，运镜和出现的时机类似，作用也类似，首尾呼应穿起整个演示。第二种照应是与雷神八重待机动作出现的团雀照应，更类似于一种可以当做彩蛋，也可以当做巧合的东西，毕竟七七的塑造也有团雀元素，这个仁者见仁智者见智。,,关于监视说，我认为无论是雷八，还是草神，都不成立。主要原因就是团雀太粘人了，团雀在演示中，处于一个厚着脸皮寻求庇佑的位置。我不认为以上三位强者需要寻求流浪者的庇佑。监视有吗，或许有，可能是哪草哪木，但不会是这只团雀。关于雷神八重，首先他们不会对这位流浪者如此上心，其次他们不具有这样的能力。关于草神观察万物，我更倾向于草神把自己放在“静”的位置，来观察世间“动”的万物，这只团雀明显过于聒噪好动了。,,另外顺道提一下pv里的风散纳西妲说和风散温迪说，这个比团雀更加离谱一些，信的人也比较少。简单来说解铃还须系铃人吧，自己的心结只有自己能解开，所以这是一个关于自己救赎自己的故事。而不是什么“纳西妲创造的”或者“温迪来给他发神之眼了”。,,一时兴起打的字，没检查，希望不要有太多错别字，崩门[傲娇]"
"星末一夏","男","浙江","65318227","6","","10000","1041","","流浪者：我发射的风刃怎么样,赛诺：6,重云：3,赛诺：？,重云：？,赛诺：我这里问号的意思是我在夸人家特效，不是说我要发射得六命你只要三命，这个问号的笑点在……,刻晴：崩,赛诺/重云：绷,散兵：喊我？"
"雷雨必须亖","保密","河南","1664805040","2","","10000","1899","","正常人抽散兵的理由：,1独一无二的帘子衣服设计一眼万年,2满足长达15个版本的期待和好奇,3配音优秀,4飞天机制独特,5性格傲娇毒舌,6新角色抽新鲜感,一些人以为抽散兵的理由：,1拿来塑造我们的现实三观,2评选感动中国最佳人物,3抽到之后拿来辱骂虐待以隔应喜欢该角色的人"
"按E剑豪_","男","河北","1979039184","4","原神","10000","488","","散兵这个角色我一开始是非常厌恶的，后面逐渐改观，现在综合强度我也是愿意去抽一个，这个角色目前给我的总体感觉有点像柯南里的灰原，一开始是黑方角色，性格并不是很讨喜，包括灰原一开始吓柯南还有散兵的嚣张态度，但转变为正派之后又会发现深处一些难处，而灰原选择了保留，并没有过多的透露，而是自己去承担，确实挺让人觉得可怜的，散兵或许也是如此。真正注入灵魂的是灰原从一开始的emo到后面逐渐成为一个比较正常的女孩，甚至会和毛利大叔聊开，你可以真正看到一个人如果有一个更好的起点会变的更美丽，从散兵的动作展示我觉得后面他可能也会变的活泼开朗起来，成为一个完整的人"
"贝据瓦内","男","浙江","513393197","4","","10000","140","","这么说，我认识一个学霸，散厨,从开服攒到现在，10来万原石，为抽满命（现在已满命）,这学霸现在高中（从初中开始等散兵），以后要去做AI方面，为的就是做一个真正的散兵（之后还想做仿真实体啥的）,这就是大佬的厨力（女生）[脱单doge][脱单doge][脱单doge]"
"心流正念","男","广东","424110648","5","","10000","294","","散兵作恶大合集,1.帮高塔孤王作战，一箭射死卖唱小男孩,2.教唆凡人刺死盐之魔神,3.怂恿坎瑞亚攀科技树导致覆灭,4.特瓦林和杜林分出胜负时偷袭特瓦林，并把污血注入特瓦林体内,5.教唆冰深渊法师，让它们主动在周围放置篝火,6.双子离开提瓦特时把行踪透露给天理,7.为了不被卖唱的寻仇，往武士盔甲里灌铅使其不敢踏进稻妻一步,8.拿走神之心后拿来给愚人众下象棋,9.给冒险家协会挂上护送热气球的委托以折磨冒险家,10.调包安东尼妹妹的药方，然后加上各种不影响药效的成分，使得药方以一传百，一大批人吃上了自己的恶作剧药方"
"魔女小姐艾露迪","女","江西","2960594","6","","10000","2429","","流浪者日记：,第一天：终于加入旅行者的队伍了，说什么我也曾几近神明，还有这种独一无二的技能机制，不知道会有什么样的挑战和强敌等待着我呢？,第二天：艹，旅行者让我捡了一天沐风蘑菇"
"黑野喵","女","山东","67670200","6","","10000","102","","现在这个网络，有自己独立思考的能力很重要，对于角色和剧情都要有自己的判断和理解。如果你通过了解一个角色从而慢慢喜欢上他，不用在意别人的看法，你喜欢上的就是最好的。哪怕他只是一个虚拟人物，但你要相信，被爱着的事物会逐渐长出血肉。,但不管是喜欢也好还是讨厌也好，彼此之间都应该学会互相尊重和理解。这并不仅限于纸片人，而是作为一个人最基本的道德和三观[给心心],希望大家游戏愉快，不要因为一些事和人，而忘掉自己的初心[给心心]"
"总悟乐乐籽","女","福建","256234799","6","罗小黑战记","10000","171","","自己定制的生日蛋糕～路过的散厨们都来吃一口～[未定事件簿_星星眼][未定事件簿_星星眼]"
"在下身价70亿","保密","陕西","1995225720","5","","10000","906","","只能说官方太懂我这个腿控。演示里多处给到特写的腿部，又白又长——很符合人偶的身份吧——但是没有夸张成竹筷那种，还保留着少年体型应有的肌肉感。同时在膝盖这种关节处还有淡淡粉红，增添生动，不禁让人心生怜爱……"
"涩之魔法使-枫糖","保密","安徽","255828948","6","初音未来13周年","10000","133","","也许愚人众是单纯没认出来，散兵最后说再见代表自己和愚人众说再见，一语双关，然后作为曾经的同事所以手下留情"
"万锋一映碧寒渊","保密","四川","2895171","6","至尊戒","10000","1078","","不喜欢阿崩但是演示是真帅。魔怔人和黑子退散，喜欢的不用去洗，承认过去和缺点自厨即可。黑子不用去黑，自己不抽就是了，发什么病。最后祝大家抽到想要的，玩的开心才是玩家。"
"天结华衣","保密","北京","267464","6","","10000","155","","最近知道了一个所谓交换人生的笑话，想不明白谁会想不开来交换你的人生，但明明是这样的命运了，你还是会说这世上没有值得你后悔的事"
"二烯烃了捏","女","澳大利亚","328986530","5","原神","10000","10810","","这个pv让我想起那个梗图,散兵：我今天阻止了一场谋杀。[OK],纳西妲：是吗？那你真厉害，怎么做到的？[鼓掌],散兵：良好的自我管控。[阴险]"
"在下玉宣","保密","河南","1430658377","3","","10000","142","","头一次遇见和我那么像的二次元人物，一样都从小缺爱，一样都很孤独，一样说话都实话实说，现实生活中也经常有人说我说话直捅心窝子，就连我妈都说我说话就像子弹一样，还说我就是因为这个原因才没朋友，所以我现实生活中都很少说话，生怕得罪到别人，因为我就只会说实话，但我说的实话老是直捅别人心窝子，其他人都说散兵对其他角色的评价语音攻击性很强，我去看了一下，感觉攻击性没多强啊，[思考]可能是因为他的说话方式和我很像的原因吧。"
"流汗钟表头","保密","黑龙江","354299494","5","","10000","1752","","为什么我的注意点在，他似乎力气很大,这算是人偶的一种特性吗？,而且他是浮空把雷锤提溜起来了？这小马达功率还挺高的……,而且胳膊好细真的怀疑会被雷锤掰折，但是没有，看来身体很结实呢……"
"无三四晚","男","河北","545119608","4","","10000","5789","","原宝知道有人不喜欢流浪者吐舌头。所以特地放到了封面，快说谢谢原宝[doge]"
"説飛就飞","保密","黑龙江","1802092212","5","","10000","106","","原石：停服白送150，月卡给一天没领取时间，过12点-4点开服做完每日40+20相当于150+60=210原石,体力：假设你23点59树脂为0，8分钟回一点，24小时的体力是180，最少亏二十，然后补了240相当于有160+240=400体力"
"鸢尾花的徽章の微亮","男","广东","56174747","6","","10000","1307","","散兵不得不抽，不然别人全在天上飞，我在地下追，萌新都随便骑在你头上[doge]"
"凤梨终于不缺钾了","女","山东","39345735","6","","10000","60","","可爱的小人偶，今天也在须弥好好读书吗？今天去了咖啡馆吗？今天有在为因论派研究困惑吗？今天遇到了几个人又是以怎样的形式将他们都挡在你的流浪之外的？今天看了几次神之眼？今天有吸引到小团雀吗？今天回想起踏鞴砂的火与铁吗？今天会做怎样的梦还是压根儿不睡了？最近好像喜欢你又多了一点点，被你捕获大概是我这种情感内倾的人的宿命吧，明明是因为被爱和获得爱而生，却要经历所有亲缘的失去，明明渴求这的东西就在身边，却要一无所知地绝望追逐。明天也会喜欢你，看你的考据，看你的二创，看你的那些笨拙和痛苦。今天快结束了，愿你今夜安宁。"
"玉子穗","女","未知","352447169","5","","10000","1041","","这几张图！这几张图！那种疯狂混乱的感觉！！！！！"
"Souniqueee","保密","江苏","15422584","6","星座系列：摩羯座","10000","1944","","我太社恐了，路上看到散兵甚至不敢上去亲嘴[委屈][委屈]"
"FYSQDK","男","未知","5492733","6","","10000","895","","散兵·公鸡登场…"
"_冬极白星_Official","女","吉林","16840911","6","","10000","1757","","在空中的时候雷锤哥握着散兵细细的小手臂，还给个挺长的特写，mihomo不太对劲哦[脱单doge]"
"落雪寻花_","男","内蒙古","526127078","5","救赎","10000","1600","","点赞的七七，莫娜，迪卢克，琴，刻晴，提纳里全都歪我身上[脱单doge]"
"阿部是部不是布","女","未知","12680818","6","2021拜年纪","10000","766","","注意看，这里是我的手"
"HEYTEA喜茶","保密","广东","405285618","6","","10000","1289","","愚人众：为什么每次演示受伤的总是我[大哭]"
"肆野无樱","保密","江苏","10275853","6","","10000","1286","","人后：小鸟依人,人前：肘开，我装逼呢[生气]"
"__Pythia","保密","天津","18269082","6","EveOneCat2","10000","1211","","刚刚看华馆套头的描述，文案的最后一段是“一个异国装束的女人站在岸边，远远地向少年抛出一枚小小的晶球”,tmd我第一反应竟然是爷把粉球扔给散兵，后来才我想通是女士扔给他邪眼[原神_哼]"
