"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"绯空kousora","男","无IP","40092904","6","湊-阿库娅","10000","5415","10","第一次遇到服务器爆满需要排队的情景[笑哭]"
"粤利粤全家桶","保密","无IP","367469692","5","不思议之旅","10000","5196","","我提前十分钟进去，垫了60发，攒了40发，成功抽到胡桃，心满意足了，尤其是开大招时候的语言：在此，宣判！[给心心][给心心][给心心]"
"登影畔","男","无IP","398505408","5","","10000","1137","","好家伙，刚刚拿着20级托马在我8级世界逛，发现一个很有趣的事，托马的普攻最后一击击退效果很强，七八十级的普通丘丘人和小史莱姆一下就被干湖里淹死了[笑哭]我宣布托马成为我这个仪式有史以来击杀数最高的角色[笑哭]"
"历史课老师","女","无IP","88255809","5","","10000","13377","","就在刚才我听见了痛苦回响：,“胡桃！胡桃！胡桃！胡桃！....七七！！！！！！！！！！”,我在遥远的宿舍感受到了绝望"
"床前栞那光","女","无IP","547398633","5","","10000","873","","托马真的强啊。。。全身上下没一个废技能，上一个这么完美的角色还是行秋，就算是被称为火神的班尼特，天赋12和4命也几乎用不上，但是托马每一个天赋每一个命座都是实打实的提升，看好托马[微笑]"
"林子末","男","无IP","398852114","6","","10000","11749","11","这是我见过拾枝杂谈中戴因夹带私货最多的，表面上介绍完托马，然后以托马来宣泄自己的对神明的恨，不愧是戴因[笑哭]"
"diueci","保密","无IP","28736657","5","一周年纪念装扮","10000","2898","","263抽零托马前来还愿[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]"
"上什么课都睡","保密","无IP","511033914","5","","10000","6197","","试用关卡（使用托马放大招）,托马：小心着火,（切换凯亚放大招）,凯亚：小心着凉,[妙啊][妙啊][妙啊]"
"方旭茕","女","无IP","352880694","5","","10000","2405","7","话说，戴因怎么不念技能名了，之前的“不倒貉貉”多有意思啊[doge]"
"Moon三一","女","无IP","168915973","5","","10000","2333","","骗人，你告诉我池子是不是里面根本没有托马[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]胡桃都出了，全是猫猫和早柚"
"就是爱摸鱼","保密","无IP","352577707","6","","10000","592","","没抽到托马的兄弟们集合了[笑哭]"
"龍井茶香","男","无IP","153461759","5","","10000","652","","我赌胡桃池不会是史上最高流水，但绝对是玩家投入最多纠缠的池子[藏狐]"
"离语rua","保密","无IP","507368581","5","春原庄的管理人小姐","10000","764","","没关系，虽然没有抽到胡桃，但是我不缺长枪角色的我还有别的角色用的,胡桃，幸亏你不在乎我，不然你左右为难的话，耽误你一辈子,你保重啊，再见，还会再见吗?,胡桃?再见的时候你要幸福!,好不好？,胡桃！你要开心！你要幸福！好不好？,开心啊！幸福！,你的世界以后没有我了没关系你要幸福！！,在别的旅行者手里你好好生活好吗?,胡桃！胡桃！,没有你我可怎么活啊!,胡桃！我的胡桃！,啊啊啊啊啊啊啊,胡桃，你把我带走吧，胡桃！,呜呜呜呜呜 "
