"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"千川雪饼","女","无IP","12808879","6","罗小黑战记","10000","13720","7","独独对神里和宵宫，谈恋爱的时候如此有“青春”的韵味来。,神里是“花开堪折直须折”，和羞倚门嗅青梅。少年人懵懂不自知，却掀开了白鹭笼身的浣纱，撞见那一只失措娇羞的小兔...总之，留下都是懵懂情愫，无限青涩，无限幽香......,宵宫，则是闯进夏天的怦然心动。是一分一秒都在绚丽着的言语欢笑，是火药爆炸，是神魂颠倒，高歌着拥抱青空之巅......总之，相爱是相互辉映，释放一切，然后华丽谢幕，转身只余酣畅的感觉。,,(总算把这些天对两个女孩子的心里话写出来了啊淦[热词系列_泪目])"
"百野栞の书架","保密","无IP","88093754","6","还有醒着的么","10000","1736","","宵宫中配：金娜,主要配音角色：,迦娜一一一《崩坏学园2》,卡萝尔一一一《四叶草剧场》,夏玛希一一一《幻书启世录》,.,宵宫日配：植田佳奈,主要配音角色：,琥珀一一一《真月谭月姬》,远坂凛一一一《Fate/stay night》，《Fate/Zero》等系列,宫永咲一一一《天才麻将少女》,固法美伟一一一《某科学的超电磁炮》,不破优月一一一《暗杀教室》,安娜塔西亚·合辛一一一《Re:从零开始的异世界生活》,零余子(下弦之肆)一一一《鬼灭之刃》,松永沙罗一一一《Ever17:the Out of Infinity》(打越经典神作之一),胡桃一一一《公主连结Re:Dive》,伊什塔尔、埃列什基伽勒一一一《Fate/Grand Order》(弓凛：你也是拿弓的？),蟹姬一一一《阴阳师》"
"荆棘四季","保密","无IP","11874314","6","","10000","1715","11","emmm可能是个人观感不同吧，我觉得这个PV比神里的更吸引我。,然后有一点我要反驳一下，人物刻画单薄这个我不太认同，这短短几十秒，从多个角度对宵宫的形象进行了刻画。,众人认为的夏天的象征是她,她认为的确是是烟花。两者相互映衬，这种热爱自己所从事的事务，热情，大方，谦虚，开朗的形象刻画的非常好。,作画我不懂，我觉得l2d还是很惊艳,时间的话，确实是短了点，但是个人觉得已经要表达的全都表现出来了。,以上,害，各有各的想法吧，但是我看见别人做出的挺好的成果老是被人说敷衍还是挺难受的，所以还是忍不住帮它说两句。"
"看见我的火力大喵了吗","保密","无IP","170927362","5","星座系列：处女座","10000","6938","","宵宫的无论是传说任务还是pv都采用了大量侧面描写，传说任务中的事件跟pv中的问答，都很好的烘托刻画了宵宫。,正如pv里寓意的，宵宫以为烟花会为大家带来欢乐，殊不知众人眼中绚烂的烟花就是她自己。,我这个人性格比较阴暗，对宵宫这样的性格完全没有抵抗力，就像冲向火光的飞蛾一样。[羞羞]"
"浮尘之心","男","无IP","14252193","6","原神","10000","11284","","日漫里最经典的恋爱桥段就是烟花大会上的告白，然后放烟花听不见声音了，这个pv可太会了"
"十亩闲田秋放鹤丶","保密","无IP","370455406","5","","10000","18011","","为什么有人觉得宵宫开头在干饭呐，那是在做烟火，里面黑色的是火药"
"大漠飞沙愁断肠","男","无IP","241381828","6","","10000","1210","","明白了，为啥这个pv比其他pv普遍短几十秒，是因为宵宫啊！她如烟火般绚烂，烟火，却是美丽而短暂的，所以短一些也正常，不是吗？[A路人-14]"
"账号已注销","保密","无IP","596376822","0","","5000","72771","","宵宫:不如你先去四处问问吧！,你好，请问鸣神岛夏.....,士兵:你是通缉令上的那个人！！！"
"芭斯特-nett","男","无IP","680332","6","","10000","64441","","原宝，多做几个npc的脸吧，到处都是常九爷，我要蚌埠住了[笑哭][笑哭][笑哭]"
"白日空想家V","男","无IP","38555931","6","","10000","28421","","突然明白了逆飞的流星是什么意思，就是烟花啊，原宝你好浪漫啊亲亲＾3＾[傲娇][傲娇][傲娇]"
