"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"YukiZ-","保密","江苏","384939310","5","","10000","9711","","3.6前瞻,主持人多莉,0.兑换码 SAUM5V69AV22  AAV5MDNRSCKN XAU44UP8SDMA,1.新角色五星草法师白术，定位盾奶生存双辅，四星草大剑卡维，定位打绽放,2.上半（妮露）（纳西妲），下半（白术）（甘雨），卡维,3.新地图佑灵砾漠，有甘露池供奉和新跟随小跟班,4.新五星法器碧落之珑,5.两套新圣遗物，甘露套：提升生命值，受伤给eq增伤，水仙套：提升水元素增伤和攻击力,6.新世界任务和新秘境,7.新周本 草龙王,8.纳西妲传说任务：智慧主之章II,9.须弥活动：圣典与伟业,（1）拼图,（2）跑酷,（3）搜物,（4）海龟汤,（5）打怪,（6）操纵角色吃金币,出场角色：赛诺，卡维，珐露珊，莱依拉，提纳里， ？？？,10.送珐露珊,11.新原魔 深渊高级使徒 丘丘风游侠，丘丘水游侠,12.莱依拉邀约任务,13.击退沙虫活动,14.打怪活动,15.天赋双倍,16.跟班强化活动，需要完成前置任务,待补充,17.须弥音乐专辑II，范围为3.1-3.6,18.白术传说任务——悬壶之章,求置顶"
"米学长114514","保密","浙江","689277865","5","","10000","3611","","今天多利主持的这种角色主持人模式我太爱了，哈哈哈哈，好棒，希望以后都能让角色来主持[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼]"
"camellia的愿望","女","江苏","660559528","5","","10000","30351","","比赛逐渐白热化，卡维选手才姗姗来迟,艾尔海森你别太好笑啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
"批判现实主义者","保密","河北","520513847","5","","10000","14415","10","为什么白术会来前瞻？,因为三缺一(医)"
"冰淇淋の雨","保密","广东","159929359","5","","10000","1305","","·前瞻兑换码,SAUM5V69AV22,AAV5MDNRSCKN,XAU44UP8SDMA,·卡池信息,上半:纳西妲  妮露 ,下半:白术 甘雨 卡维,·传说任务,白术,纳西妲（第二幕）,·邀约任务,莱依拉,·新地图,伴随物—斯露莎（花灵）,·活动,①学院庆典（大活动—赠送珐露珊）,1.明星聚画,2.建筑木材,3.考古研究,4.药剂应对法,5.仿生募行,6.巡林员回答（海龟汤？,②沙虫活动,③合剂演进,④精通移涌（双倍天赋）,·新怪物,深罪怪物,丘丘风/水游侠,草龙（新周本）,·新圣遗物,水仙之梦（2套装效果水伤）,花海甘露之光（2套装效果生命）"
"voidwatchers","男","四川","39876771","6","","10000","21277","","听好了，巴巴托斯!布耶尔这版本会有一个超吊的传说任务，所有风云人物都会参加，但你猜，谁还没有传说任务第二幕？,,你！！,[笑哭][笑哭][笑哭]"
"观察者a263","保密","河北","24009914","6","星座系列：双鱼座","10000","2521","","注意cv表里「吞噬神躯的巨龙」阿佩普，在目前游戏文案里，阿佩普被称为「吞噬太阳的巨蛇」，文案中也提及赤王的肉身被巨虫吞噬。,而赤王的原型之一正是太阳神拉，眷友阿佩普（阿波菲斯）在神话中则是拉的兄弟与宿敌。,综上所述，阿佩普生病的原因或许是吞噬了受到禁忌知识污染的，赤王的身躯。"
"有币不投哎改名玩","男","山东","1086981597","4","","10000","388","","米哈游独爱的2+4台词结构[藏狐],,白术：       且尝，苦尽甘来,,阿贝多：   此既，诞生之刻,莫娜：       命运，在此显现,尤菈：       坚冰，断绝深仇,达达利亚：破绽，稍纵即逝,枫原万叶：可叹，落叶飘零,珐露珊：    真理，复始周转,七七：        真名，度厄真君,纳西妲：    知识，与你分享,莱伊拉：    星辰，为我降下,赛诺：        判决，如期降临,雷电将军：此刻，寂灭之时"
"鼻孔吃拖鞋","保密","福建","30579227","6","","10000","1757","","[惊讶]卧槽卡维的特效好惊艳，科技辅助测绘,突然就直观感受到了卡维的才能,“以我之眼为尺为矩，以我之手划定方圆”(v2v),,猛然意识到这人是主修机械和建筑的妙论派顶尖学者,这家伙整的一直都是改变地形的大活[辣眼睛],,这是一种区别于幻想世界附魔类特效的特殊表现,简直就是，将现实中的建筑设计师具现在魔幻世界！"
"雪-解け","保密","北京","7661223","6","","10000","1369","","2:21散已经不是空手接白刃了，直接手臂硬刚x 不愧是坚固的人偶啊（所以你的抗打断呢.jpg）"
"巫师不失误","保密","加拿大","128944450","6","","10000","1954","","盲猜最后要赛跑角逐冠军，赛诺流浪者遥遥领先，珐姐小提莱依拉紧随其次，最后卡维来晚了，处于最后一位。赛诺流浪者互看不爽，大打出手，珐姐觉得新奇，也召唤出风多面体助助兴。没想到的是，多面体居然打中了卡维，并且托着他一下子超越了所有人，最后让我们恭喜卡维的妙论派夺得大赛冠军[doge]"
"没错我没有名字","男","山东","19118990","6","","10000","410","","须弥又在渡劫了，让我们看看是哪个国家在过节,哦也是须弥"
"阿散yyds","保密","四川","550291169","4","","10000","1013","","阿散靠手挡赛诺的枪可太行了，终于等到散出场了，倾落伽蓝过后简直度秒如年，看来果然是去因论派了[脱单doge]"
"阿季___","男","安徽","1985264560","4","","10000","54","","cv刘三木不换我个人觉得可能是时间不够（有cv说过角色配音一般是一至半年配的加上试音等会更久 加上当时过年加很多cv阳了没法找）也不够黑（其实也就差一点点黑）相比较李某他发生的时间更早没现在这么严并且原配也没有闹的太狠加上他的角色没有李某那么火和多 所以一九年后也配了一些角色也可以看出人缘关系很强  不过卡维cv后续可能会换 前瞻直播多莉cv说内容仅限参考 很明显也是留了个心眼"
