"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"XY大甘蔗","女","无IP","44243","6","","10000","16289","","日复一日，必有精进！"
"迷路的史莱姆酱","保密","无IP","450905062","5","","10000","21775","10","是刻晴！！！[tv_微笑]"
"神里绫夜","保密","无IP","232117822","6","夏诺雅","10000","42924","6","你怎么又出新角色辣，都还没开服呢。[笑哭]"
"零区绝","保密","无IP","49285811","6","","10000","26282","12","「我是刻晴，璃月七星中的玉衡，变革的时机已经到来，维持了千年的秩序即将被改写，这历史性的时刻 你愿意和我一起见证吗？」,,「无论是冒险还是做生意，机会都稍纵即逝」,,「觉得自己是正确的，就要大声的说出来，坚决去行动，这是我一直以来都贯彻的人生理念」,,「帝君？哼，说句不好听的，他真的什么都懂吗？」"
"冰地沧雨","保密","无IP","148048095","6","","10000","14504","","这个刻晴有没有别墅小岛啊？[doge]"
"局外有秋千","保密","无IP","110898994","5","","10000","11226","4","有些角色很强，所以我选刻晴[doge][doge][doge]"
"果蝇轰","男","无IP","8469526","6","","10000","6883","10","刻晴！刻晴！,刻晴真的太美太好看了！,我愿意一起见证！[tv_大哭]"
"萌萌的圣骑吃米皮丶踢","女","无IP","51761245","5","","10000","8123","","兄弟萌，提醒要要提醒下:,,1.9月15号，就是公测。,,2.15号官服PC端登录，数据是互通的，这个互通指的是PC，iOS，安卓三端的游戏进度，氪金数据皆互通,28号后手机端继承PC的所有数据。,,3.必选官服，必选官服，必选官服,,官服是""天空岛服务器""，15号提前半个月就能玩，而且只有官服的三端数据互通，还能与其他平台（PS，NS）的玩家联机，所以28号的新玩家有大佬带。,,4.别玩渠道服,,渠道服是""世界树服务器""，渠道服首先可能没有PC端，数据也不互通，游戏进度落后半个月，最重要的是不能与官服联机，俗称""*儿服""，类比崩3应用宝服，联机都找不到人，而且没有生日祝福等等的彩蛋福利。（还没开服就已经出了几档子事儿了，该选哪个服不用我说了吧）,,5.兄妹双子，虽然技能等一样，但由于原神的隐藏细节设定，哥哥跑步速度略大于妹妹。(但因为荧太可爱了，当然选妹妹啦，哥哥?哥哥不要也罢。),,最后祝大家游戏愉快，一起等待15号开服吧!"
"江蝴の","保密","无IP","25717170","6","","10000","197","","／ ￣￣ ＼ ,| 乀    √  \ ／￣￣￣￣￣￣￣￣￣￣￣￣＼,|        | |       啥时候加强刻晴                 |,\ /  皿 \ / ∠      给一个传说任务也行         |, ＼    イ \   \_______________________ /,／       \,/      |    \ ,| |          | |,@原神"
"茶壶PpCup","女","无IP","12105954","5","初音未来13周年","10000","178","","「我是刻晴，璃月七星中的“玉衡”，耽误太多时间，事情可就做不完了，走吧，时间紧迫。」,「变革的时机已经到来，维持了前年的秩序即将被改写。」,「这历史性的时刻，你愿意和我一起见证吗？」,「去吧！瞬影无间！」,「可别眨眼！」,「剑出，影随！」,「心有所向，日复一日，必有精进。」"
