"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"对羧基苯乙醇","保密","无IP","3925965","6","首批购买年度大会员","10000","24096","10","介绍一下这几位重磅演奏者：,三味线：小山豊（男性那位）,从19岁开始，就在《日本民謡協会津軽三味線比赛》中连续三年获得优秀奖。22岁就在日本红白歌会（日本春晚）上出演。23岁在英国公演。之后多次参加国际公演，和日本团体偶像“嵐”也多次合作，其中也有嵐的出道曲【El Japones】。日本三味线最大流派之一的小山流的三代目。（趣事：其姥爷是中国人，母亲也在中国生活过，他本人放松自己的方式是包饺子，经常包一大堆吃不完）,駒田早代（女性那位）：,7岁开始演奏三味线，16岁在日本全国参加比赛，基本参加的比赛全部为第一名。最重量级的是第9回津軽三味線日本第一女性决定战，第一。2018（19岁）考入日本东京艺术大学，目前在学，期间多次参加日本电视节目和全国各个大型乐团在日本各处出演,尺八：寄田真見乃,小学三年级开始从师日本都山流尺八竹琳軒大師範（日本乐器等级：最高级→免许皆传→准师范（既可自己开私塾）→师范→大师范），她本人初中三年级取得师范头衔，成为日本最年轻师范。（日本准师范平均年龄63.5岁）。15岁在『第101回 尺八本曲全国献奏大会』上作为评委演奏。同年从师日本人間国宝 青木鈴慕。2009年入学东京艺术大学（19岁），21岁开始全世界公演。她本人并未获得什么奖，是因为她15岁获得师范，但是很多比赛的评委都没有达到师范头衔，她想参加比赛的时候，官方只允许她作为评委参加了"
"思水涵","保密","无IP","397233735","5","崩坏3·天穹流星","10000","140","","原神，不知你看不看的到，但我还是说下，我想到草元素的反应了，                                      草对冰叫硬化，按一定比例提升草或冰的伤害            草对水叫缠绕，像冰冻一样困人，并提供很长一段时间的草元素附着,草对雷叫导电，像超导一样的伤害模式，提供雷元素伤害，并降低雷元素抗性,就这些了"
"大咸鱼凌空酱","保密","无IP","14151875","6","","10000","4231","","我超！ost来了！[2233娘_大笑],稻妻的战斗音乐很强势的选择了纯稻妻乐器，而不是以管弦乐作为基底，这对于编曲的考验是非常大的。在缺少了弦乐的情况下，太鼓组做节奏，日本筝和三味线撑起紧张氛围，尺八作为点睛之笔引导了整个音乐的走向。稻妻跑了这么久音乐真的和璃月一样的绝[2233娘_大哭]"
"芙列雅吉欧拉尔","女","无IP","85114049","6","","10000","75","","尺八演奏者：寄田真見乃。本人15岁取得师范头衔，成为日本最年轻师范。15岁在『 尺八本曲全国献奏大会』上作为评委演奏。同年师从青木鈴慕。19岁入学东京艺术大学，21岁开始全世界公演。她本人并未获得什么奖，因为很多比赛的评委都没有达到师范，她想参加比赛的时候，官方只允许她作为评委参加了,,复制自网易云"
"卖艺的老易","男","无IP","22796869","6","","10000","694","","全民乐编制，厉害了。民乐音色极富特色，导致在演奏特定风格的主旋律上十分出彩，但在和声和低音部分上是硬伤。之前的原神音乐——包括大部分的类似风格游戏音乐，都是管弦乐为基底，由民族乐器提现地方文化特色。但这首的配器只有民乐——两把三味线，日本筝，尺八，太鼓。在配器只有民乐的情况下能够让曲子有如此完成度，可见陈老师深厚的功底。"
"阿云昏睡中","女","无IP","498363229","5","","10000","9311","","笑死我了，我家长正好吵架配这个音乐实在是…应景[笑哭]"
"HMSDido","保密","无IP","179597175","6","","10000","20411","","十分钟后，弹幕将会变成报技能名大赛[tv_doge][tv_doge]"
"锏桧矢","保密","无IP","471129144","5","","10000","4053","","玩了这么长时间原神后，我发现火系角色的性格分为两种,活泼和迪卢克[藏狐]"
"白露好可爱","男","无IP","12731684","6","","10000","4536","","这战斗音乐听着人特别着急，尤其是那几个副本，感觉就是在催着你赶紧往下一间屋子走，我估计我宝箱都落下了。"
"雲依与陪伴","保密","无IP","471345703","5","","10000","343","","冷知识：日本传统乐器尺八原是中国乐器。,冷知识2：中国传统乐器唢呐原是波斯乐器。,,来自评论已不存在"
