"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"提瓦特整活频道","保密","上海","3493089586972896","6","","10000","7244","","克洛琳德好强！！！[给心心]"
"uni_Liz","女","安徽","400157864","5","原神","10000","11983","","这次主线支线传说的节奏都很好。主线很清晰很能抓住人的感情。更别说支线，支线简直……无敌，是做了这次支线会后悔之前国家的支线没做的那种好。再接再厉！动画打戏也很流畅！"
"私の思い出","女","湖南","2109409528","4","","10000","4479","","旅行者用一把无锋剑从蒙德杀到枫丹[打call]"
"久离致","保密","浙江","1530484948","4","","10000","5821","","提瓦特人的肉体上限是真的离谱啊，那俩跟班没神之眼都能手拿无锋剑和一堆机器人对砍[笑哭][笑哭][笑哭]"
"民国豌豆","保密","湖南","484465441","5","","10000","6097","","我想着她之所以是枫丹最强带理决斗人，是不是因为她藏了一把枪。[doge][doge][doge][doge]"
"茉莉pikake","保密","广东","363709006","5","","10000","6866","","一觉醒来迎面就是枪林弹雨，当时真的 #查询旅行者心理阴影  哈哈哈哈"
"原农舟三批顶聚","男","河北","662390962","4","","10000","2144","","请问b友们，克洛琳德多会有啊？太帅了[星星眼]"
"小小刘某","保密","福建","381667825","5","#EveOneCat!","10000","11929","","出现了!超强的没有神之眼但是战力不弱的两个帅气保镖![小黄豆加减法_左手荧光棒][崩坏：星穹铁道_心][小黄豆加减法_右手荧光棒]"
"我是银枝大人的呜呜伯","女","四川","310764365","5","格兰芬多","10000","8891","","蛋，糖，杏仁，我都带了"
"夏祭绷带真君","保密","湖北","2004724944","4","","10000","5723","","我以为的水神：歇斯底里，爱看热闹且喜欢血流成河的乐子神,剧情里的水神：胜负欲强，爱立人设且内心戏十足的憨憨傲沉吉祥物,我：唉，可怜的水之神呦，在审判庭时说不过我屑荧，走又走不脱，又拉不下脸，只能在心里又哭又闹，嘤嘤嘤好可怜[藏狐]"
"沙漪","男","湖南","19750800","6","","10000","4361","7","[思考]愚人众怎么至今都没获知旅行者的致命弱点：眩晕抗性低？"
"申鹤的良人","男","山东","544194087","5","格兰芬多","10000","3277","","扣子：我不能退，因为我的身后，就是万家灯火[doge][doge][doge][doge]"
"豆奶粉好喝啊","男","河北","1642305964","4","","10000","3187","","老爷子实力好强啊，看起来五六十岁 的样子，拿把单手剑能跟机械守卫打的有来有回"
"我太正经了怎么办","男","上海","2122911627","5","","10000","3057","","这场战斗中表现最完美的是谁？答案是旅行者。因为娜维娅和克洛琳德她们击败了所有的警卫机械，旅行者“无械可击”（无懈可击）了[脱单doge]"
"KKOMDA","女","安徽","1740827542","6","","10000","2845","","克洛琳德太帅啦！[星星眼][星星眼][星星眼]"
"语核","保密","上海","3493130724706733","4","","10000","2115","","就喜欢这种剧情在重重大军包围下的濒危之际被自己以为是仇人的帅女人救下，然后眼神对上时略带羞涩地转过眼去不敢对视什么的反差真的太棒了"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","2026","8","这次的传说任务做的太好了[大哭]我特么直接哭[大哭]"
