"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"月既不解影","保密","江苏","35999417","6","","10000","11774","10","这画中风景，我曾去过"
"HG-mty","保密","山东","576481139","5","","10000","13360","","大家的主题不要偏离啊，这是守护非遗视频，先看看这个视频吧。这个内画真的很美啊！！！！手法做工什么的真的很精致，细腻，用心！！！大家多关注关注这些非遗文化。[保佑][脱单doge]"
"冰霜叶","男","河北","649982302","5","","10000","1672","","内画，是我国一种特有的传统工艺，它的产生起源于画鼻烟壶。内画的画法是以特制的变形细笔，在玻璃、水晶、琥珀等材质的壶坯内，手绘出细致入微的画面，格调典雅、笔触精妙。内画艺术分为京、冀、鲁、粤四大流派。其中冀派内画出自京派叶氏内画，叶氏内画鼻祖叶仲三及其子孙叶菶祺，叶澍英为内画事业的传承和发展做出了不可磨灭的贡献。---来自百度"
"晚柠知意欢","保密","河南","1915160452","4","","10000","13900","","内画，又称内画鼻烟壶，是中国一种特有的传统工艺，它的产生与高度透明玻璃的炼制、掏膛技术的成功是分不开的。内画艺术分为京、冀、鲁、粤四大流派，是国家首批非物质文化遗产"
"薇薇-萤石眼之歌-","保密","安徽","474595497","5","总之就是非常可爱","10000","301","","支持宣传非遗，这才是真正的文化继承与发展"
"为什么总是我洗碗","保密","山东","343836465","4","","10000","1968","","将万里山水浓缩到一个小小的瓶子中[星星眼]有一种好浪漫的感觉！像是神仙把玩自己的小小盆景一样[鼓掌]"
"听风夜吹笛","女","湖北","214301824","6","崩坏：星穹铁道","10000","3868","","即便看了，还是很难想象，在瓶子里（也算瓶子吧）作画，不管从哪方面看都是难上加难的，而且真的好看，画质比我手机都高[原神_欸嘿]"
"tasuuu","女","宁夏","1318216366","5","","10000","603","","好好看啊壶里可不可以搞一个这个哇[原神_哇][原神_哇]"
"DIO碗里的面包人","保密","河北","46063430","6","三周年恋曲","10000","1370","","我家里还留着那年旅游时候买的定制名字的内画小葫芦[星星眼]"
"墨珩OVO","女","四川","13195989","4","","10000","917","","请大家关注内画！拯救非遗！"
"我就只笑笑不说话","保密","河北","214746859","5","","10000","117","","本人00后衡水本地人，小时候经常提衡水四绝，内画就是其中之一，但是现在基本上已经没有人说了，没想到mhy这么有心发掘出来了，真的希望我们的国风文化要兴起，不仅仅要对外传播，更要去找到那些日渐式微似乎失去光彩的文化宝藏，用新的形式新的文化让它们重现生机与活力[给心心][给心心][给心心]"
"MSR_霖川","保密","江苏","506400714","4","","10000","514","","内画是我国特有的传统工艺，它的产生起源于画鼻烟壶。内画的画法是以特制的变形细笔，在玻璃/水晶、琥珀等材质的壶坯内，手绘出细致入微的画面，格调典雅、笔触精妙。现代内画艺术源于京派，分为京、冀、鲁、粤、秦五大流派，其中尤以冀派内画、规模最大、发展最快、影响最大，不久前已入选国家非物质文化遗产保护名录，冀派内画的发源地——河北衡水，还被文化部命名为“中国内画之乡”。[傲娇]"
"风太大听不清啊啊啊","男","辽宁","5120782","6","","10000","24","","原宝，非遗项目接受玩家推荐不？我老家庄河那里也有一种非遗，就是用面做的属相灯，惟妙惟肖，每年正月十五家家点亮，祈求新一年的风调雨顺，正月十五要是放出来，那特别应景了"
"你的影月月","男","辽宁","431073645","6","","10000","135","25","[星星眼]画的真的一模一样诶！"
