"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"不明觉厉的神仙","男","无IP","400507268","5","泠鸢yousa登门喜鹊","10000","28345","","深山踏红叶，耳畔闻鹿鸣,“深山”对“耳畔”由远处的深山转移到了耳畔，营造了一种空间上的转移感和诗意的空灵，让人感觉身临其境；,“红叶”对“鹿鸣”山上的红叶视线转移到了林中的鹿，丰富了诗句的视野，而鹿也使得整幅画面化静为动，冲破了静止的状态，而鹿本身也有神秘的象征，更加凸显了画卷的诗意；,“踏”字写出了在林中行走的缓慢和享受在林中的一切，也增添了本句的空灵感，同时也与下句的“闻”相对，暗示了将听到鹿鸣声，使逻辑合理，通顺;,     总的来说，整句对仗工整，文辞典雅，逻辑合理，诗意营造适当，留以读者足够想象空间。"
"该账号已注销520","保密","无IP","1337479661","5","","10000","11325","","真的好美啊...面对这种动人心魄的美丽时总是词穷...,叶子与其他角色相比有个很大的特点是眼角会微微下垂，初看是温柔无比，再看是稚水般悲伤：家族没落，友人离去，漂泊离乡，看似自由的他背负了多少伤疤与孤独。“海鸥别叫啦，从今天起，我也是漂泊者呀。”,,但他仍旧待人温柔，仍旧在自然中漫步，感受凌凘与烈日，仍旧愿在落叶纷舞时，随手撷起一片，将最情长的一曲吹予你听...,所以请在枫一般的游子偶尔眉头紧锁，落寞时给予他最柔情的陪伴吧。即便只是为了能看到他卸下重担般，初霁般的笑颜。"
"贴贴神里小姐","保密","无IP","99964959","5","","10000","8312","","万叶的传说任务,第一章 振袖秋风问红叶,第二章 直面无想的一刀,第三章 镜花听世,第四章 光华容彩祭,第五章  仲夏！幻夜？奇想曲！,第六章 枫红之章·第一幕「陌野不识故人」,[doge][原神_欸嘿][原神_哇]"
"异议-wanderer","男","无IP","278521628","6","","10000","612","","谁无暴风劲雨时，守得云开见月明。花开复见却飘零，残憾莫使今生留。"
"陆茗枫","女","无IP","19539501","5","原神","10000","16819","","wocwoc,这次的ep不是实机，是动画啊！！！！！！！！！"
"好想吃汤圆啊","女","无IP","491648693","5","一周年纪念装扮","10000","20767","","至冬建筑大概样子和执行官全都见过了，这提瓦特我一秒也待不下去了！我要去天空岛！"
"我挚爱的时光_","男","无IP","345686410","6","","10000","1906","","今天的华莱士依旧稳定"
"紫電青霜","男","无IP","10940944","6","","10000","859","","听君一席话，奉先如拨云见雾，茅塞顿开[微笑][微笑][微笑]"
"放下稚念","男","无IP","495909973","5","","10000","11854","","万叶：航路漫漫，为喵做伴[doge],差点忘了，还有旁边的海鸥桑[doge]"
"是歌姬叭","保密","无IP","2123892823","4","崩坏：星穹铁道","10000","726","","这次ep太赞了，完全可以做动态壁纸的[原神_干杯]"
"锅巴本巴","保密","无IP","7685996","6","碧蓝之海","10000","377","11","第一次一整首曲子，第一次live2dEP，第一次看见他笑[滑稽]"
"Will木哈哈","男","无IP","6602323","6","格兰芬多","10000","53304","","原宝你是自由的，要不咱们商量一下直接跳过2.7吧，希望原宝你的版本更新也能像昨天的PV一样自由[崩坏3_路过][崩坏3_路过]"
"芝士年糕板栗鼠","女","无IP","456259995","5","","10000","3015","","萌新提问，下个版本是3.0吗，迫不及待的想去须弥了[doge]"
"-橙色肥猫-","男","无IP","523389730","5","","10000","310","","当初抽万叶的时候根本没看强度，只是喜欢他这个人物的人设，pv里的那几句日本诗给我兴奋了好久。,现在他人气高了，很高兴又失望，高兴的是我的选择没错，失望的是抽他的都是为了强度。,很多人花几千几百甚至几十玩这游戏我都替他们觉得亏，真正细致入微的东西从来没有欣赏过，就被游戏里那几个数值耍的团团转。"
"凉介え","男","无IP","472726978","5","","10000","2383","","我们一起说，谢谢你华莱士"
"ZYongS-","男","无IP","406015481","5","","10000","532","","谢谢你，华莱士"
"新世纪哐当战士","保密","无IP","1162326949","5","","10000","45","","还是那个少年，模样依旧，眼中却多了一丝坚韧，跟着北斗的船队经历了很多事吧，成长了许多。失去友人的离别之痛，被追杀的漂泊之痛，为天下之忧，青涩的少年承担的责任，心事太重，忍不住心疼他。迫切想和万叶携手作战旅途相伴。加油干，鹏北海，凤朝阳，又携书剑路茫茫[高考加油]"
"我是你老婆呀绫华","男","无IP","526497453","5","","10000","182","","看到这么多评论，我要是华莱士厂家真是哭笑不得[笑哭]"
"小光焰","女","无IP","325323162","6","还有醒着的么","10000","30","","爷：喂！靠在船边的那个小伙子，看什么呢？这么着迷，你这样子让人感觉有点寂寞啊！来，到我这来，听说你还要去四处旅行，旅行的途中怎么能没有同伴呢！走，我陪你一起去看看这个世界！陪你一起记录这旅途中的所有！来，和我一起走下去吧！！"
"来由l","保密","无IP","453424744","5","","10000","21","","什么时候能出个二级密码啊，比如强化、分解、精炼、升级天赋的时候需要输入密码，这样的话密码万一泄露被人登录的话也不至于损失多少，而且忙的时候找人带管一阵子也放心[藏狐]"
"小衣又","女","无IP","89063813","6","","10000","3994","","我看你也挺急的，要不下一个版本开至冬吧[原神_欸嘿][保卫萝卜_笔芯]"
"陆祎枝野","保密","无IP","9347903","6","沈剑心","10000","189","","上都上了，你这人工桌面怎么不更新啊"
"锅巴本巴","保密","无IP","7685996","6","碧蓝之海","10000","377","11","第一次一整首曲子，第一次live2dEP，第一次看见他笑[滑稽]"
"黑剑得竹","保密","无IP","317814192","5","","10000","6423","","还好海岛的时候就把万叶抽出来了，享受了一年多成功的人生"
"沐柒染","保密","无IP","1650789037","4","","10000","152","","小保底不歪玩到入土！！！兄弟萌等着我的视频！！！[来古-注意]"
"72陆仁贾","男","无IP","412871705","6","洛天依9th生日纪念","10000","303","","啥时候再得个音乐奖，我等原石呢[tv_doge][洛天依_许愿]"
"橙柚柠子","保密","无IP","37600036","6","春原庄的管理人小姐","10000","132","","这首是游戏里哪里的音乐呀 我不太记得了"
"邦布住了","男","无IP","1227377328","4","","10000","158","","看来华莱士的药效还没有过，原宝加油！[脱单doge]"
"林氏林姓","保密","无IP","6242517","6","","10000","145","","天帝排面啊，不是游戏内录制[脱单doge]"
"听风吹雨来","女","无IP","26069194","6","喂，看见耳朵啦","10000","115","","米哈游我想要这个动态壁纸希望你不要不识好歹[大哭]"
"萌麋耶","保密","无IP","279940975","5","泠鸢yousa登门喜鹊","10000","291","","谢谢你，华莱士[热词系列_知识增加]"
"希望人没事666","保密","无IP","440375953","5","崩坏3·天穹流星","10000","267","","原宝要不咱把必胜客丢了跟华莱士联动咋样[doge]"
"温迪快到我碗里来","保密","无IP","485106227","5","","10000","103","","叶子午好，明天11点带你回家[星星眼][星星眼][星星眼]"
"红瞳夜猫","保密","无IP","389007","6","原神","10000","91","","须弥2.0？3.0版本pv呢！！！[星星眼][星星眼]"
"小笨蛋笑笑","女","无IP","26489347","6","原神","10000","620","10","首先我不是男同，真不爱万叶，不喜欢这些，男孩子能帅起来固然是好事，但是怎么说，一看到风系男孩子互动，心里就痒痒的，但是我不是男同，类似一种原始冲动，就像看到影视剧里看到多年未见的老友的重逢，一段崭新情缘的开端一样，激发人向美向善最淳朴的一面。就像登上山峰，目睹潮汐那般自然，仿佛冥冥之中自有天意就是一种朦胧的感觉，像伟大的革命友谊一样，令人憧憬。最后，我不是男同[脱单doge]"
"红魔游戏手机","保密","无IP","427487966","6","","10000","73","","明天就可以公费抽卡了，舒服了[doge]"
"一加手机","保密","无IP","9535164","6","","10000","430","20","齉龘靐齉齾爩麤龗灪龖厵爨癵驫麣纞虋讟钃鸜麷鞻韽韾顟顠饙騳騱饐龗鱻爩麤灪爨癵籱麣纞钃鸜麷鞻鬰靊飝虪齺魕爧蠿齺虪龘轟襲鱲麡喜欢万叶靐齉齾爩鱻爨癵籱饢驫麣纞虋讟钃鸜麷鞻韽韾顟顠饙饙騳騱饐靐齾龗鱻爩麤灪爨癵籱麣纞鸜麷鞻鬰靊讞鑱飝虪齺魕爧蠿齺 ,,你除了喜欢万叶 什么都不会 [脱单doge]"
"璃花若几荷","保密","无IP","352091352","5","总之就是非常可爱","10000","171","","华莱士什么梗[热词系列_知识增加]"
"凉介え","男","无IP","472726978","5","","10000","2383","","我们一起说，谢谢你华莱士"
"拾野小狼","保密","无IP","510053673","5","","10000","73","","来自双黄万叶玩家的祝福，点赞万叶必双黄[脱单doge]"
"-橙色肥猫-","男","无IP","523389730","5","","10000","310","","当初抽万叶的时候根本没看强度，只是喜欢他这个人物的人设，pv里的那几句日本诗给我兴奋了好久。,现在他人气高了，很高兴又失望，高兴的是我的选择没错，失望的是抽他的都是为了强度。,很多人花几千几百甚至几十玩这游戏我都替他们觉得亏，真正细致入微的东西从来没有欣赏过，就被游戏里那几个数值耍的团团转。"
"雷雨Lyy","男","无IP","17603188","6","","10000","71","24","我准备好了！[滑稽]"
"爱吃冰淇淋的干也","男","无IP","346346642","6","崩坏：星穹铁道","10000","901","12","原宝昨天吃了华莱士，今天还有余威[doge]"
