"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"等待mhy道歉的米游伥","男","山西","10896289","6","七濑胡桃","10000","2716","13","大胆猜测一下吧。,踏鞴砂的御影炉心失控，很可能都和博士有关。,如果散兵加入愚人众，并不是无意，而是被人做局的必然呢？,愚人众通过某种渠道，得知了雷电将军曾经制作过可以存放神之心的人偶，想要将之据为己有，进行改造成为对抗天理的工具，真巧，博士此时正在稻妻提速魔神残渣，知道这件事后便把这件事揽了过来，破坏了御影炉心，释放了祟神的力量，放出了魔神残渣，让踏鞴砂受到祟神力量的污染，然后一步步把散兵逼到万念俱灰的地步以后，来到他面前，问他想不想反抗现在的神明的统治，散兵答应入伙。,这样子，一切的罪责都是愚人众的，散兵只不过是个被利用的笨蛋小孩，博士也完成丑角交代的任务，完美。,不过博士和丑角应该就不用想进卡池了吧。,如果故事真的是这样的话，那这个游戏还真是里外都有散兵被利用了啊。"
"Zero_Hacker","保密","河南","1000562300","4","","10000","6024","","省流：,卡池：上半：散兵＋一斗 （珐露珊）,         下半：雷军＋绫人,新魔神任务间章：倾落伽蓝,新圣遗物：,乐园套：两件加80精通，四件加绽放反应伤害,史话套：两件加风伤，四件重击后加普攻重击下落攻击速度和伤害,版本活动：,试胆大会（送单手剑）,跨野寻踪（找气球）,风行迷踪（躲猫猫）,迷城战线沙域篇（打怪）,地脉移涌,常驻玩法：七圣召唤（打牌）"
"空之歌者","保密","重庆","342493479","5","","10000","19263","","3.3 七圣召唤,3.4 七圣召唤,3.5 七圣召唤,旅行者啊，旅行者啊，你不能再这么堕落下去了，森林书沙漠书你都还没做，还有剩下几个国度的秘密等着你去探索呢，你还要找哥哥/妹妹呢！,……,3.6  NPC:要来一场紧张刺激的七圣召唤吗？,旅行者：那你可看好了，我从赛诺那里改了一张牌的我的最新最强卡组！"
"超萝卜","保密","江西","213283266","6","刺客伍六七","10000","5316","","希望大家能多多享受游戏，享受一些简单而又快乐的事情[虎年]"
"静听夜虫鸣","保密","天津","16073765","6","良辰美景·不问天","10000","1531","","散兵喊多托雷那里我好像听到了一段层岩倒立城市的音乐，不知道是不是故意加进去的[思考][思考]"
"南山阴","保密","山东","345846011","6","","10000","19511","","刚刚才发现，珐露珊的cv曾经配过祺贵人！现在我的脑子里已经全都是那句“臣妾要告发熹贵妃私通”了[奸笑][奸笑][奸笑]"
"映月青锋","男","上海","303183801","6","","10000","254","","与其反对散兵进卡池，身为一个剧情党，我更害怕米哈游整失忆或者系统重启之类的烂活去洗白。目前看pv片段，还好不是这个展开，剧情质量有保证。那我个人对散兵的态度就完全中立，到时候剧情打动我了我就抽，打动不了我就不抽，角色本身进卡池没啥问题。有争议也是正常，毕竟散兵可能是原神真正意义上第一个反派进卡池(公子性格刻画的太容易让人忽略他其实严格来说也是反派了)[笑哭]"
"VowYD","保密","湖南","432319494","5","","10000","659","","二游厨一个角色从没有要求过这个角色必须是正派，必须一生光鲜亮丽。在游戏即使是反派的故事以及人设也是经过打磨的。我同样不喜欢散兵熊孩子以及这份狂妄的性格，但激进的将现实的价值观代入游戏用道德制服对方是否不妥？"
"封神星昴","保密","江西","3402238","6","","10000","670","","作为一个超爱纳西妲的人，我对散兵进池子是欢迎的，我仍然记得那句“我把他藏了起来，像藏了一片羽毛一样。”须弥的背景是古印度，结合纳西妲佛教背景，佛与神明给每一个人悔过自新的机会，散兵曾做了错事，但是不是坏人就没有变好的机会呢?如果坏人变好是洗白，那么善意与引导人向善的意义又何在?散兵终究是伪神的非适格者，他坠下之后面对我们的是流浪者，再借纳西妲的评价:“一切不确定性均是他未来道路的基石。”我很期待后面散兵的剧情。"
"Aky09","保密","北京","238029","6","","10000","61","","纯正面塑造的角色都会有人讨厌，更别说散兵这样的了。要我说目前所有主要人物都有进池子的可能，包括死之前的女士（后面如果有各种形式的秽土转生的话另说）。很多你认为无法忍受的东西，在剧情的操作下其实都可以放到一边（当然，这不影响你自己的喜好），比如这次很可能揭露散兵的过去是博士或丑角他们一手操作的，但要因此就正当化散兵的一切或者宣判博士和丑角不能翻身，都是不成熟的。,我对散兵其实没啥好感，对愚人众一行其实也差不多（他们目前还没啥具体内容），但我认一点：喜不喜欢角色另说，原神是个内容游戏，一定要看剧情。虽说我也不是对所有剧情都满意，而且不满意的点可能还和大众不太一样，我还是觉得一切的核心都是剧情和人物塑造，外加理念传达，只要能为这几点服务，哪怕是再俗套的展开我也能接受，反过来这几点要是哪部分差点意思，其他做的再好，我也会有些不满意。,所以啊，无论厨还是黑，好好看剧情吧，你无论是喜欢还是讨厌，都是以此为基础的，不要浪费口水了吧。"
