"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"YYSAAAAAA","保密","无IP","41383646","6","","10000","16319","11","蒙德可莉为您导航：00:01 各CV一周年特别祝福,05:03 大伟哥开场,06:00 2.1PV 稻妻主线后续+璃月逐月节,09:31 动画美术和IP项目组：逐月节活动相关（刻晴、香菱等剧情） 大伟哥：哈哈哈，好耶,14:53 异世相遇，尽享美味。原来你也玩原神（可莉蒙德第一可爱）,17:00 魔神任务第二章·第三幕（散兵：原来还记得我啊？）,22:03 新角色介绍 雷电将军、珊瑚宫心海、九条裟罗祈愿预告,30:24 新武器、 新地图,32:35 新原魔（女士你终于亮血条了）,35:23 原来你也玩原神。,37:44 雷电将军CV菊花花、珊瑚宫心海CV龟娘、九条裟罗CV杨梦露一周年特别祝福,40:31 钓鱼系统（钓鱼佬永不空军！）,43:34 新活动：月中王国、百人一揆、漂浮秘灵等,46:28 原神音乐总监：原神音乐会,49:03 陈老师：稻妻OST、稻妻音乐录制现场,01:00:50 原神嘉年华,01:01:46 林簌（甘雨、琴CV）和谢莹（刻晴CV）：联动角色埃洛伊介绍、立邦联动、天猫精灵刻晴语音音箱、刻晴手办,01:06:27 原来你也玩原神。（芭芭拉冲鸭！）,01:08:45  提瓦特冒险志周年特刊（国内外各玩家采访。走路区UP主你俩还真出镜了）,01:17:16 下期再会！,这2.0我是，我是，还打算待一待，绝对不是因为没有原石了（我还要宵宫姐姐教我做烟花）。"
"夏酒楠梅","保密","无IP","359524777","5","","10000","4092","","想起来神樱大社的山脚下很特别的位置插着一把很特别的刀,那里环境幽深，显得肃穆,那是一道山谷，一条狭长的山缝,它的尽头，是一把旧武士刀,没有任何的交互，却又如此特别,现在想来，不由得恍然大悟,,那是万叶友人的刀"
"伪_文艺青年","男","无IP","448931532","5","","10000","497","","弱弱的说一句，觉得内容少可能是因为原神这是周年庆以及逐月节、稻妻后半部分剧情三合一，与预期里的大量活动不符，这次版本更新的重点主要在稻妻后半部分的剧情，导致逐月节的内容与之前占了一个版本的海灯节、羽球节相比就跟个小活动一样，说实在的，我是真不明白这加上逐月节是图啥，逐月节没有足够的篇幅来进行塑造，你现在问我对逐月节有啥印象……额，做菜?又不是说这个版本缺了逐月节不行。还有周年庆，可以看出米哈游将周年庆的重心放在了线下，就导致了大部分人周年庆的参与感极低。其实整个2.1版本这三个部分随便着重塑造一个就能成功，但米哈游想将三个放在一起就使得一个版本40天不够用，篇幅分配严重不合理，才出现了这种情况，关注重点在逐月节（比如我）和周年庆的玩家就会觉得这次版本更新内容较少。"
"不会打游戏的强鸣","保密","无IP","108736091","5","","10000","322","","我觉得mhy绝对藏东西了 直播中也只是说了活动内可获得原石 关键点在联动角色上 mhy绝不可能莫名其妙让一个角色出现在邮箱里让你领而不去做剧情让你体会这个角色的塑造 这不符合mhy的风格 而且联动的还是一直帮助自己的 所以我大胆推测绝对藏东西了 中了刀我 不中就算了（挺奇怪没人在意这点）"
"--正常的人--","男","无IP","225471260","6","原神","10000","763","","其实吧，很多时候，怨恨与争端的来源不是由于对事物的争论，而是各方人在争论中暴露出的戾气,说话别那么冲，别阴阳怪气，不要看到夸mhy就打成孝子，也不要看到提意见的就打成,这样和和气气的讨论才让人舒服，每个人的标准不一样，咱们也不应该把这里变成一言堂，不应该拒绝合理的讨论"
"加冕战死","保密","无IP","12185276","6","","10000","216","","作为常规版本来说，很完美一个版本。线上，主线+节日活动+至少一张图+三个boss+钓鱼+其他零零碎碎活动，线下，两个音乐剧+各种周边+嘉年华，很充实很让人期待的一个版本。,作为周年版本的话，真的有点差强人意，我不想说福利就是一切，但就十连+充值双倍真的是一点周年庆味道都没有，线下嘉年华可能会搞得很有意思，但线上部分也是需要内容来纪念的啊，你最少最少给个活动发个纪念章什么的吧？"
"赫连铉铭","男","无IP","24168461","6","","10000","73","","感觉大家有点偏了，这样总结一下吧,   新地图，新剧情，这说明原神产能变高，这增加了玩家2.1版本的游玩乐趣，不容易出现1.3版本无聊的现象，同时也给了玩家对这个游戏的期望和信心。,   但关于周年庆部分有些让人不满意，让人没有感觉到周年庆的存在。因为大部分手游的周年庆都是最丰富的，然而原神这次前瞻内容对比海灯节是差不多的，却没在游戏内给有纪念意义的物品以及更多原石福利。至少前瞻里面是这样的，玩家会有不满是能理解的。,   可周年庆还有大半个月才会到来，大家有足够的时间去通过合理的手段向厂家表达诉求。,  在评论区大家也可以积极讨论自己的不满与见解，但希望大家不要戾气那么重，也不要对着评论区阴阳怪气，因为看到阴阳怪气话语的同样和你是玩家。,   部分玩家也不要心急，看到有人说原神一点不好或者发言有一些阴阳怪气就攻击他，大家都是一起的玩家，和和气气讨论，一起面对问题才是比较好的氛围。你也不希望你以后不小心说话急了一些就被人追着骂吧。,   在最后呢希望大家游戏愉快，共同建造良好的讨论环境，加油！"
"爱摸鱼的老大爷","保密","无IP","698541304","5","仲夏幻想","10000","1907","","究竟是来自故土的刺客，还是妄图侵扰清籁之雷的人？,无论什么形态都能变换～这就是雷的力量!,不懂得雷的可贵～自然也不理解雷的恐怖!,但，只要万雷奔流～雷就不会消失～[脱单doge]"
"两色风景喵","女","无IP","88826710","5","","10000","2617","","发现了一个很可爱的小细节，上个版本直播是大家不是都在吐槽大伟哥的“感受嗯典”吗_(:з」∠)_,这次大伟哥的话就多了，（甚至是捧哏(ω)hhh"
"瑞雪山林","保密","无IP","291221512","6","","10000","1816","","我的眼里只有那条咸鱼，我太喜欢这种了[笑哭]"
"ZeroreZeroreZ","保密","无IP","256258409","6","","10000","199","","亲爱的亲爱的旅行者们好～,本次特别节目中的兑换码将于8月21日中午12:00失效，旅行者们要尽快兑换哦~ 【PT8SG36HK4X6】,【SS9SYKNHKLHS】 ,【QAQTHJNY35HW】,游戏主要内容：,签到十连,逐月节（刻晴香菱，没说是不是传说任务） ,首冲双倍重置,雷神+九条，心海,新地图,无相之水,女士周本,钓鱼系统,尘歌壶重复摆设概率减负,联动角色埃洛伊（白嫖）,如果有漏欢迎补充，祝大家都能抽到喜欢的角色和武器[脱单doge]"
