"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"火锅汤配饭","女","江苏","56309658","5","","10000","7067","","每次看到这一代因为魔鳞病而死的人就很难受……明明只要再坚持一段时间，就一段时间……[大哭][大哭][大哭]"
"超级蛛蛛侠","保密","山西","206909146","6","","10000","10137","","游戏最好的配置永远是伙伴"
"硝烟食炊火","男","广东","403808448","5","原神","10000","5071","","旅者啊，无论如何都不要忘记旅行的目的与意义[原神_欸嘿]"
"fossiling","女","四川","19046079","6","","10000","1547","","说实话，我一直对秘典之盒(牌盒)打开就能寻找附近牌手的原理很好奇，这也太先进了吧[笑哭]，感觉比GPS还厉害点，毕竟不用联网[doge]"
"鹿摇芝麻粒_","女","浙江","698051165","4","","10000","1939","","伽吠毗陀要是有机会进卡池应该也是个风系吧[脱单doge]"
"零批","保密","北京","327892752","5","","10000","3031","4","强烈建议加入圣骸兽原魔牌，我玩爆"
"桃小仙仙","保密","河南","71180199","5","","10000","1275","","[捂眼][捂眼]眼睛里进沙子了，快把防沙壁加高"
"民国豌豆","保密","湖南","484465441","5","","10000","827","","一个很简单又很快乐的故事。哈哈"
"可以中奖的可爱名字","女","河南","103985366","6","","10000","2215","10","我很喜欢七圣召唤这个游戏！"
"为什么网名被人用","保密","山西","396088710","6","崩坏：星穹铁道","10000","13403","10","对一些新人来说可能觉得剧情莫名其妙而且老套生硬，但是老家伙们应该都知道是致敬游戏王,“如果「遊戯王」这一共同目标，能让你多结交到哪怕一个朋友，我都会觉得‘画出这部作品真好啊’。那是最让我开心的事。” ——高桥和希,  这是游戏王的作者，因为救人去世了。英雄般的走法"
"BV1134y1o7hi有惊喜","保密","重庆","486106105","5","嘉然今天吃什么","10000","4389","","伽吠毗陀为什么要拍掉那个秘典盒子吗，因为“拍中秘宝”[tv_doge]（pv名字，牌中秘宝的谐音）"
"沧濯足","男","上海","438832274","5","","10000","2408","","如果「遊戯王」这一共同目标，能让你多结交到哪怕一个朋友，我都会觉得‘画出这部作品真好啊’。那是最让我开心的事。——高桥和希"
"杏叶豆腐","女","重庆","281667238","5","","10000","1178","","我很喜欢七圣召唤！有我喜欢的宝贝们[保卫萝卜_哇],这个剧情也好好哭[保卫萝卜_哭哭]很有意义,感觉玩得更有深度了[保卫萝卜_笔芯]"
"MoOlock","保密","广东","10689923","6","","10000","154","","古拉卜[委屈]伽吠毗陀[大哭][大哭][大哭]我对这种故事一点抵抗力都没有[大哭][大哭][大哭][大哭][大哭]"
"半颗小月饼","女","四川","12279473","6","","10000","120","","向友谊致敬"
"異鄉人のTrumanShow","保密","广东","11751090","6","异常生物","10000","761","","米哈游不是为了刀你来的，这个pv的重点是给这个游戏内常驻的玩法填补了一个属于它自己的背景故事。我不会说这个剧情跟其他故事线相比有多么惊艳，但在原神这个世界观里至少是逻辑自洽的，这就足够了。"
"菲特金色闪电","男","江西","497362254","5","雪未来","10000","186","","我觉得这次活动传达的：,无论七圣召唤对你而言是什么，是打发时间的手段，是广结良缘的方式，是推动外交的媒介，亦或只是纯粹的爱好。倘若七圣召唤能让你感到快乐，多交一个朋友，那便是再好不过的事情了。"
"WSAD82460","保密","上海","3295590","6","#EveOneCat","10000","653","","须弥相关剧情太要求共情和联想了，如果一定要以旁观者视角来看剧情，就如同看新闻播报，“很感人，但是关我啥事”,但有经历的人以己度人，正因为经历过苦难，反而会有所触动。,你觉得不感人，没感觉，那很好，说明你现在的生活很美好，请继续保持下去。"
"泠映月","保密","广东","300323542","5","良辰美景·不问天","10000","779","","看剧情是很主观的东西 前面铺垫了七圣召唤创始人 就会引起一些感兴趣的玩家的好奇心 你共情不了不意味着别人就不行 不要攻击谢谢"
"Hyacinth_yt","保密","广东","26682475","6","","10000","258","","有一些人可能会说，这一次的剧情有点过于强硬，为了刀而刀，但是我个人是非常吃这一套的，因为在我的人生中曾经结交过很多朋友，但是有很多曾经关系都很好，现在都不欢而散了，所以友情的刀还是很戳我的。看到朋友之间一个人为了照顾一个人的寂寞，竟然设计出了一款游戏，这真的是让人感觉到身为他的朋友是一件非常幸福的事情了[委屈]"
"希律尔Hirule","女","广东","38675867","5","名侦探柯南","10000","52","","最近一直在医院养病，刚从icu转出来，看到剧情的时候非常难过，但不知道为什么，又有一些开心。,我也有很好的朋友，很好的亲人，虽然病痛让我变得有时很烦恼，很痛苦，很暴躁，但有时候又会让我变得非常平和，试图让自己去接受这个事实，因为我知道朋友和亲人就在身边——我不想让他们感到难过，希望他们能从我的身上得到快乐，而不是因为我无法医治的疾病和死去感到抑郁寡欢。,谢谢你，原神，谢谢你，米哈游。,我真的很感动，为这个简单又朴素、却依旧击中了我的心灵的故事。"
"仙界丶破晓","男","青海","334746253","5","原神","10000","574","","我说实话，这次七圣活动里有关打牌的原石奖励门槛极低吧？参与就能拿。不喜欢打牌就随便拿完原石就走不就行了？每次活动玩法都不可能所有人都喜欢玩，你不喜欢这个那个，那别人还不喜欢那个这个呢，众口难调，各个活动都各会有人不喜欢，但别抱着怨气好吧？有本事你去让策划每次活动都直接一次性把原石都邮给你[藏狐]"
"KKOMDA","女","安徽","1740827542","6","","10000","412","","他真的很倔强，倔强到不愿相信朋友患有重病这个事实，他是重视友谊的人！ 使用最新软件版本请及时续费。"
"素碗里盛雪","男","北京","436221116","5","原神","10000","56","","为什么一定要死一个人才能印象深刻呢[笑哭]我觉得这次剧情换成旅行者在须弥或者别的国家旅行的时候，看见两个须弥学者边旅行边讨论怎么设计牌，然后再展开关于七圣召唤的来源灵感什么的，最后再让他们和旅行者来上一局，对我来说观感都比这种煽情的好"
"剑侠之大者","男","广东","349122503","6","原神","10000","265","","说实话，这次的剧情给了我一种无力感，因为哪怕我们解决了魔鳞病的源头，但我们依旧无法救那些病入膏肓之人"
"月照花林皆","保密","安徽","111142166","6","","10000","42","","不是让人哭就是好故事，可不可以少些一下这种所谓感人的剧情，生离死别确实很刀。但是奋斗和努力，相聚和交往，搞怪搞笑，我想看很多很多不同类型的故事，而不是每次都是友人死了，你看看提瓦特多少朋友死了，朋友付出了太多了。"
"半颗小月饼","女","四川","12279473","6","","10000","120","","向友谊致敬"
"布丁奶冻不可得兼","保密","安徽","33783680","6","星座系列：摩羯座","10000","777","","这句话真的好好[委屈]"
"魔法少女千叶酱","女","四川","183952829","6","年度猫片","10000","759","","赛诺：为什么总是让我上大号说话？"
"闪耀的小江","保密","河南","593735174","5","多多poi","10000","474","","我一直和她们一样，相信友谊的存在啊[保卫萝卜_哇]"
