"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Phrasmas-Spark","男","广东","180639680","6","","10000","25760","","现场部分民族乐器科普:,1.乌德琴，是北非、西亚和中亚等地区使用的一种传统拨弦乐器。,乌德琴被认为是我国琵琶、欧洲鲁特琴的前身。由于现代吉它延自鲁特琴之一种类，是以乌德琴也被视为吉它之祖。,2.西塔琴，可以说是印度最具代表性的印度古典乐器。印度西塔琴大师 Ravi Shankar（拉维香卡）无疑的是印度西塔琴推向西方听众，甚至于推向全世界的最重要的功臣。,3.班苏里笛(Bansuri)，亦称之为(Bansi/Murali/Venu.)是印度的竹笛，印度古迹寺庙的刻画，印度古典文学、文献中，班舒李笛无所不在，其中数奎师那神吹横笛的画像，令人印象深刻。班苏里笛大部份是竹做的，也有用芦苇做的。传统上有二种班苏里笛，横笛和直笛，横笛尺寸小于直笛，竹管长短不一，从28公分到50公分不等，一般笛有八个笛孔(前段七个后段一个)音高、音程也不同。在印度古典乐出现的均为横笛，直笛仅在某些民歌谣中被使用。 ,（欢迎补充，伙汁们顶我上去）"
"千夜comic","保密","湖北","1602747135","4","","10000","12682","","说实话，我知道了我氪的金被拿来做了一场牛逼的音乐会而且所有人都可以听，这感觉比纯粹的游戏内数据好多了[热]"
"隼岳唐卿","保密","河北","478574065","5","","10000","6489","","最后登场的四种特色乐器：,乌德（短琴，声音低沉）：中东乐器，广泛应用于阿拉伯、土耳其等民族音乐,班苏里（类似笛子）：印度乐器，耍眼镜蛇的经常吹这玩意（雾）,西塔尔（长琴，嗡嗡声）：印度乐器，在南北印度音乐中都很常见,坦布拉（手鼓）：印度乐器，北印度更多见"
"粉岚色的海原","男","浙江","5438266","6","明日方舟","10000","3204","","布祖奇琴（Buzuq）（来自地中海地区（巴勒斯坦、约旦、黎巴嫩和叙利亚），是一种与希腊布祖基琴（Bouzouki）和土耳其萨兹琴（Saz）有一定”血缘关系“的民间长颈弦乐器）,弹布尔（土耳其/奥斯曼帝国传统弦乐器，是构成土耳其古典音乐四重奏的乐器之一）,西塔琴（印度最具代表性的印度古典乐器）,奈伊笛（阿拉伯最重要的吹奏乐器）,达夫鼓（最早出现在伊朗波斯地区（公元224年），如今主要流行于中东、中亚、伊朗、印度等地区，是苏菲派的重要乐器之一）,乌德琴（被称为“中东乐器之王”，是北非、西亚和中亚等地区流行弹奏的一种传统拨弦乐器。它也被认为是琵琶、欧洲鲁特琴的前身和祖先。）,暂时搜了这些~[脱单doge]"
"荔枝味的好喝","男","美国","618062","6","","10000","496","","感觉好多人难以接受印度是须弥原型之一，可能不太了解历史中印度的经济与文化地位。,印度文明实际上在众多古文明中是非常辉煌灿烂的，一方面极好的光热条件造就了世界顶尖的农业生产力，另一方面希腊，波斯与本土文化的碰撞诞生了大量的文学，艺术，以哲学思辨为主的宗教流派。尤其是后者对整个世界都产生了深远的影响：,1. 传承自希腊的造像艺术在印度与本土宗教相结合，后来传入东亚和东南亚，直接影响了我国的造像艺术。融合自波斯文化的壁画，绘画艺术也同样影响了我国。,2. 诞生了世界上影响最大的无神论宗教：佛教。佛教在诞生之初是以哲学思辨为主的无神论宗教，或者说是一种对世界的认识，但是后来传承过程中逐渐变味。但不可否认其先进程度已经高于同时代的主要宗教。,3. 以梵语写作的大量文献，其上承载的数学知识以及哲学观点，对其周围国家都有强烈的辐射作用。例如我国存有大量梵语佛经的翻译本，以及大量梵语借入词汇（比如刹那，涅槃）。在探讨古汉语发音的过程中，梵语的发音和对应的汉译词汇起到了至关重要的作用。"
"黑泽密花","保密","贵州","501495619","5","","10000","2298","","统一解释一下，须弥参考对象主要涉及文化对象为古埃及 古印度 古波斯，宗教涉及波斯国教和阿拉伯伊斯兰文化。地域范围包括：北非，西亚，中亚，东南亚。所以音乐风格极其丰富。须弥智慧之意有表彰阿拉伯帝国时代阿拉伯人对亚欧非的文化交流融合做出的突出贡献。"
"格林GrS","保密","北京","1720644375","5","","10000","335","","须弥的主题（12345），是一个强动机，相比璃月更偏向和声化的主题（1235）和稻妻哀伤的下行主题（6563），显得昂扬、有力。在主题曲《须弥》里也能听到很多很多次12345，甚至在结尾连用3次，不厌其烦，远超其他三国的主题曲。这个主题使用比较阿拉伯风味的Phrygian dominant调式，特征音2音下降，所以创造b2-3之间的增二度，而增二度经常被用于描述“中东”风味，还可以在小调的导音与6音中见到。本曲的b2-3用法在圣桑第五钢协“埃及” 的第一、二乐章中也可以见到。如果各位有兴趣去听，可以将其与《须弥》在1:56之前的部分进行对比。,须弥国的主题在《足迹》首次出现，但其和声却未做太多改变，始终是1-(b)2-1 的模式循环。这个和声自然沿用到了提瓦特战斗主题（小调632753）中，而后者在《师尾之舞》中的形式是D调的D bB A F bE C，即1 b6 5 b3 b2 b7，可以发现F（b3小三度）的出现奠定了小调色彩，与原动机吻合，却与须弥的主题（小调还原三级的「类大调」）相冲突。如果将两个动机叠置，须弥主题的3则会出现在战斗动机的b3之后，这便造成了一种大小调交替的听感。值得注意的是，在F出现前，鼓点伴奏的节奏恰好行进至一个响亮的音色，引导小调色彩的出现，这可能印证了这个戏剧性的主题的交替过渡。,民族音乐区别于西方古典音乐，主要依赖的是民族乐器，评论区已有列出。还可以依赖律制的不同。十二平均律之外的音被称为微分音，在西塔尔演奏的3:16 处可以明显听到微分音，有一种“跑调”的感觉。此外，节奏也是一大利器，在视频两首曲子中可以感受到332节奏的动感，这也是古典音乐做不到的。"
"王猴酱象_","保密","山东","589842671","5","","10000","78","","其实很多时候有的弹幕或评论会说“啊，ta好开心啊”或者“他们好认真的样子”，实际确实是这样，首先就是乐团，出场费是一回事，再者就是你的音乐必须达到一定的水平才能请来这些乐团（光有钱还不行），民乐艺术家们也是同理。再就是为什么这么开心的问题，对于交响乐团的人来说，演奏这样的乐曲不仅仅是工作更是一种享受，就是说会真正的把自己代入音乐所表达的一种氛围里去，把自己的情感和理解融入乐谱中；对于民乐艺术家们来说，无论是蒙德，璃月，稻妻还是须弥，能听到并演奏属于自己国家的文化的乐曲无疑是一大幸事（省流：专业对口），比如西塔琴大叔和演奏战斗旋律的小黑，还有打鼓的小姐姐都是很开心的，因为这确实承载着他们的文化。"
"肆無-忌憚-","男","山西","22794594","5","时空穿越头像框","10000","84","8","我觉得须弥音乐让人惊艳的很大原因是异常突出这种平时很少听到的的异域风情和像西塔琴这样的民族乐器，而枫丹虽然也有特殊乐器但是并没有特别突出，或者说欧洲的很多乐器在交响乐里都很常用，能让我留有深刻印象的也就那个水杯乐器了（仅从普通听众的角度来说，非专业人士）[脱单doge]"
"这节操的味道","保密","上海","874791","6","战双帕弥什","10000","754","","从这音乐该让世界知晓，阿拉伯不是人肉炸弹、恐怖袭击、基地组织的混乱国度，而是也拥有璀璨文化的璨烂文明"
