"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"兰花先生与他的迷妹们","女","湖北","208790868","6","","10000","6077","","我看到原子昨天晚上发的福利，我甚至都觉得是不是米哈游要倒闭了[笑哭]我全身都是那种铁公鸡居然拔毛了的那种惊悚感一直到直播结束，我都在那种各种消息的震撼下完全不能回神，什么登录送十连抽？首充重置？和飞碟社合作了？小狼崽要找到家人了？七圣召唤？我都觉得我还在梦里哈哈哈哈"
"0醉梦仙霖0","男","广东","25241654","6","","10000","17649","","感谢氪佬投资的音乐会和长篇动画[脱单doge]"
"做客服冲业绩迎娶胡桃","男","四川","405638450","5","","10000","2704","","一开始我并不太喜欢须弥这个地区，但到奥莫斯港的时候，我变了，我现在没事就去那闲逛，就为了听听那的背景音乐"
"溯梦mtxd","保密","山东","1243741053","5","崩坏：星穹铁道","10000","4161","11","原宝是真正的来回馈玩家啊，优质内容，音乐会，动漫，以后再盖个主题乐园也不奇怪[星星眼][脱单doge]"
"到底是很萌","男","安徽","15629552","6","","10000","672","","这波宣布项目，再结合米哈游一贯的风格冷静分析一波，3.0主线剧情演出效果的大幅提升，是不是已经从顶尖的动画团队那里学到东西了[崩坏3·光辉矢愿_吃西瓜冰]"
"peatant桃","保密","四川","631524839","5","","10000","1387","","旅人的着急——《原神》须弥音乐的幕后[脱单doge]"
"江夏Coca","女","广东","8793400","6","EveOneCat2","10000","702","","会有兰那罗大合唱的对吧[星星眼]"
"o星星知我心o","女","广东","2126421183","5","原神","10000","1288","","原宝你可还记得3.0的时候说的，版本PV音乐的OST还没有发[妙啊]"
"招商银行信用卡","保密","上海","517461175","6","","10000","5719","","[原神_哇]哇！好精彩的演奏！！原宝贴贴~,话说我的新歌你听了嘛？[原神_欸嘿]没听我给你链接哦（小声）"
"亿仟","保密","湖北","438346631","5","异常生物","10000","1512","","记得一开始在游戏里面听到奥摩斯港那段音乐的时候，内心的愉悦加上心灵的放松，沉醉在音乐中摇头晃脑哈哈，已经开始在期待ost上线了[保卫萝卜_哇]希望原宝越做越好 [原神_欸嘿]"
"小航学空间物理","男","北京","278374121","6","","10000","4046","","演奏很惊艳[脱单doge]"
"三四yyyyyyle","女","安徽","517585798","6","","10000","376","9","这两天算是仰卧起坐个不停了（第几次垂死病中惊坐起来着？）"
"明心_呃呃","保密","广东","337078053","5","至尊戒","10000","39","","原神让我认识了陈致逸，这个人太绝了"
"充满力量的椅子","保密","山东","122400680","6","","10000","140","","新图会不会有沙漠书呢？[妙啊]"
"你们的洛洛","男","重庆","87793921","5","","10000","66","","希望我未来能够像旅行者一样踏上现实的这些国家"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","271","","绫华：这前瞻一放呐，我发现我老师（平冢静）、哥哥（博人）、喜欢的人（石田将也）都来提瓦特了[滑稽]"
"Wales科技","男","湖南","18224825","4","","10000","12","","各位原神玩家们大家好！,鉴于有很多玩家非常喜欢《Hustle and Bustle of Ormos 喧繁之港》这首奥摩斯港BGM，我们决定先官方一步发布OST，我们从原神包体中抽取了无损音乐文件，供大家离线试听,Onedrive下载链接：https://1drv.ms/u/s!An-7JXN4cTdKgQMITdMqiDQt35Ac?e=6Rb4Fy,（PS：,1.《Hustle and Bustle of Ormos 喧繁之港》版权为miHoYo及HoYo-Mix所有，严禁用于商业；,2.本文件只用于离线试听，不得侵权；,3.原神音乐源文件名为Music4.pck，解包后为Music4_17.ogg，我们还提供播放更方便的mp3，wav，flac文件；,4.本文件由Onedrive负责，下载可能有点卡，敬请谅解.）"
"小坏蛋xy","男","江西","662891248","5","","10000","212","","在原神，基本什么都可以怼两句，唯独音乐的地位不可撼动[脱单doge]"
"绀海遗梦","男","上海","1753476390","5","","10000","79","","舰上的梅比乌斯已经开始扭了[doge]"
"口若悬河浅夏君","保密","河南","486112581","6","","10000","258","","特别喜欢现在的活动密度 有一种谁都别想活下去的美感。jpg"
"江夏Coca","女","广东","8793400","6","EveOneCat2","10000","702","","会有兰那罗大合唱的对吧[星星眼]"
"天黑后的凄凉街头","男","海南","431312134","5","","10000","141","","哎哎哎！数据线怎么自己扭起来了！"
"G_major","男","海南","37877073","6","","10000","80","","有本事你继续发，发一个我三连一次看谁怂！"
"闻琴0707","男","北京","331355750","6","","10000","60","","住手！！！我下午考六级  脑子会停不下来的[大哭][大哭][大哭][大哭]"
"琉兹Ryuzz","女","四川","454174725","5","","10000","59","","看到我不用担心，你的兑换码今晚才过期[脱单doge]"
"夏目楓嵐","保密","中国台湾","371985716","6","","10000","66","","我好快乐，好期待更新,吃完前瞻大饼，顿时只觉得一切节奏都只是浮云,遇到节奏，我的建议是该把ich liebe dich拿出来刷了[给心心]"
"飞絮轻尘","男","安徽","38866225","6","","10000","58","","奥莫斯港配乐能感受到历史的厚重与岁月的沉淀"
"百野栞の书架","保密","黑龙江","88093754","6","还有醒着的么","10000","1682","","兑换码：世界....还有12个小时遗忘我.......,NTWQ4ZGDNC7N,DBF9MHHU7U8E,5TXRMZHU6V9S"
"今天出门突然-_-","保密","广东","62434764","6","","10000","57","9","兑换码今晚12点才结束，没换的别忘了，刚刚12点才想起来发现还能换[脱单doge][脱单doge]"
"一日浪歌","保密","广东","14870172","6","","10000","420","","关于氪金，大家不要有压力。自古以来我国的规矩就是“有钱捧个钱场，没钱捧个人场”"
"零式红莲ED","保密","新疆","8367890","6","2021拜年纪","10000","52","","小伙伴们冷静一下，除了动画还有音乐会呢！"
"口若悬河浅夏君","保密","河南","486112581","6","","10000","258","","特别喜欢现在的活动密度 有一种谁都别想活下去的美感。jpg"
"混沌邪曜","男","河南","497094516","5","","10000","51","","奥摩斯港太对味儿了[脱单doge][脱单doge][脱单doge]"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","271","","绫华：这前瞻一放呐，我发现我老师（平冢静）、哥哥（博人）、喜欢的人（石田将也）都来提瓦特了[滑稽]"
"开袋即食","男","辽宁","511890","6","","10000","50","","怎么说呢，原神的bgm我一直都是吹爆的，loading的吟唱，风魔龙剧情的变奏，璃月家乡の小曲，轻策庄绝云间的唯美，还有若陀，稻妻，充满地域特色的bgm一直让我耳目一新，但是就在那天我第一次进入奥摩斯港做主线的时候，我居然被它的bgm震撼到停下手中的操作去听曲…[保卫萝卜_哭哭]那种感觉就像是有人在人来人往的集市中大声喊你的名字一样，太震撼了，米爸爸牛的！"
"账号已注销","保密","广东","1116240391","0","","5000","148","","蛇：这已经不是什么生物习性的问题了，你听你也扭[脱单doge]"
"MgOHCl","保密","浙江","18700100","6","","10000","45","","什么时候把大梦的曲调也搬上来[脱单doge]"
"充满力量的椅子","保密","山东","122400680","6","","10000","140","","新图会不会有沙漠书呢？[妙啊]"
"断桥_-_残雪","保密","山东","470821391","5","","10000","103","","我是赤王，目前正在复活，神力虚弱，只要你V我50吃个肯德基疯狂星期四，让我恢复神力，助我夺回神位，事后我把大慈树王和小吉祥草王送给你当老婆"
"明心_呃呃","保密","广东","337078053","5","至尊戒","10000","39","","原神让我认识了陈致逸，这个人太绝了"
