"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"七尾加奈","保密","山东","130644646","6","","10000","3798","11","谁家照相机拍照还有后坐力啊[笑哭]"
"摆烂好文明","保密","广东","521378093","4","","10000","291","","你们有什么头绪[微笑]"
"繁花丶无影","男","广东","31123742","6","公主连结佩可莉姆","10000","4296","","纳塔是龙之国度,而明年又是龙年"
"assweff","男","湖北","325804318","5","至尊戒","10000","198","","关于芙芙的情绪渲染部分，编剧真的把冰山理论贯彻到了极致，几乎没有写任何情绪宣泄，只有一句那维转达的“她累了，需要休息”，“她已经收拾东西像普通人搬家那样搬出歌剧院了”。几近残忍的克制笔法，笔者写得越少，读者心里的声音就越响越大，我到现在还没缓过劲来。"
"铃兰的野生小狗","男","福建","2006426327","5","","10000","406","","夏洛蒂:戴因先生你好，今天的采访你可以自由发挥,戴因（掏出日月前事）:在很久很久以前……"
"liie","保密","广西","2166294","6","","10000","109","","希望多点芙宁娜的剧情，好喜欢芙宁娜。然后提高下旅行者的情商。"
"锐似荒","男","上海","138650248","6","全职高手","10000","231","","那维莱特满成长完美生命沙[墨镜]"
"胡稻鲤","保密","四川","1025177758","4","","10000","88","","可以到我了吗。。。。[保佑]"
"蹭蝗","保密","福建","33430123","6","","10000","305","","球球把边缘OB的蟹老板索敌机制改一下吧"
"源起白音","保密","安徽","238759106","6","","10000","1658","","池子里好多雷系和草系的夏洛蒂啊"
"求金光","保密","吉林","1434863865","4","","10000","295","","悄悄的对自己说一句生日快乐"
"镜流镜流流","男","四川","443836582","5","","10000","796","","剧情过完了，室友问我是不是失恋了[墨镜][墨镜][墨镜]"
"初然Fina","保密","湖北","472425450","5","","10000","282","","夏洛蒂：把天理从提瓦特的数据中删除吧，很简单的哦，启动对天理武装型号666[doge]"
"炖汤的排骨","女","江西","2101621647","4","","10000","44","4","超级好玩，虽然我很拉胯，但是这个普攻真的很好玩，刚刚出来一天拉88了，真的这个池子好难出夏洛蒂啊"
"吾欲恣欢谑","保密","山东","381671261","4","","10000","151","","米哈游刀人时特有的神明特写[墨镜]"
"安德烈赛格鲁斯","男","黑龙江","473096467","6","花丸晴琉","10000","327","","夏洛蒂武器明明拿的是法器，战斗的时候确是照相机[笑哭]"
"Vanderbom","男","广西","305748155","4","","10000","376","","这不发个1888星琼？"
"我和钟离贴贴ノ","保密","湖南","436619011","5","原神","10000","123","10","我有一点没看懂，大家为什么不审判那维莱特而是芙宁娜呢，一个首相一个吉祥物，出了问题该找谁不是很明显吗[笑哭]求大佬解答"
"Kirakira四季春","保密","日本","554767736","5","","10000","549","","能用相机拍照造成伤害的角色好像不多，上一位我还是在妖怪之山上见到的[脱单doge]"
"茫-情","保密","江西","630444142","5","琉晶之礼","10000","182","4","可爱的记者小姐"
"糸藥","男","浙江","313749283","5","","10000","34","","撰写新闻的技巧可以后天学习，但对珍贵情报的敏锐性似乎与生俱来。,当你发现一个粉色头发的身影出现在附近时，也许就快有大事情发生了。,,CV：,「坎瑞亚的拾枝者」——孙晔,夏洛蒂——阮从青"
"茫-情","保密","江西","630444142","5","琉晶之礼","10000","182","4","可爱的记者小姐"
"雷霄云亭","男","山东","170167472","6","","10000","35","","谢谢你，mhy，190抽，一个七七，芙芙0+1[给心心]"
"安德烈赛格鲁斯","男","黑龙江","473096467","6","花丸晴琉","10000","327","","夏洛蒂武器明明拿的是法器，战斗的时候确是照相机[笑哭]"
"bing冰橘板鸭ya","女","四川","252347707","6","RNG战队","10000","21","","本台记者……"
"初然Fina","保密","湖北","472425450","5","","10000","282","","夏洛蒂：把天理从提瓦特的数据中删除吧，很简单的哦，启动对天理武装型号666[doge]"
"90度绝灭大君","保密","美国","1572179662","4","","10000","38","","有一说一还是感觉主线后半部分有点赶，感觉对吞天鲸还有丝柯克及其背后势力在主线中的引入有点突兀，铺垫略有匮乏。但情感氛围的渲染还是比较到位的，也有可能是因为前面的剧情太神导致我有点擅自过分期待了，剧情本身还是不错的……"
"assweff","男","湖北","325804318","5","至尊戒","10000","198","","关于芙芙的情绪渲染部分，编剧真的把冰山理论贯彻到了极致，几乎没有写任何情绪宣泄，只有一句那维转达的“她累了，需要休息”，“她已经收拾东西像普通人搬家那样搬出歌剧院了”。几近残忍的克制笔法，笔者写得越少，读者心里的声音就越响越大，我到现在还没缓过劲来。"
"岍祓笫","保密","广东","3493109505722794","4","","10000","19","","玩纳西妲玩多了，不知道夏洛蒂e期间居然可以移动"
"白橙yx","保密","加拿大","1758629599","5","","10000","21","","粉毛小记者[脱单doge]"
"零号-玩家","保密","湖南","477132968","5","","10000","14","","夏洛蒂你根本没在卡池里，你到底在哪？！"
"叁悅柒","保密","四川","28795609","6","","10000","135","14","神之心是第三降临者的遗骨？那冰神集齐七颗神之心是要复活祂还是要干嘛？"
"取啥名好咩","保密","广东","3493117237922736","3","","10000","12","","确实是原神有史以来最强主线,稻妻＜蒙德主线≈璃月＜须弥主线＜枫丹主线（间章不算主线）"
"我和钟离贴贴ノ","保密","湖南","436619011","5","原神","10000","123","10","我有一点没看懂，大家为什么不审判那维莱特而是芙宁娜呢，一个首相一个吉祥物，出了问题该找谁不是很明显吗[笑哭]求大佬解答"
"幕布吉街","保密","福建","3546378600974559","2","","10000","10","","冰系，四星，会拍照，是三月七[鼓掌][鼓掌]"
"聻言风","男","重庆","487303796","5","","10000","108","","我的池子全是科莱，你有没有什么看法[doge]"
"Zeroの浮云","男","浙江","179211261","6","#EveOneCat","10000","15","","我比较好奇，明年四周年的全神贺图加上火神后，你们还会不会带上芙宁娜[Cat_pressure]"
