"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"玛卡贝斯","保密","无IP","59757554","5","初音未来13周年","10000","2886","","坐等大佬讨论，托马原型会不会是三浦按针[藏狐],三浦按针（1564年9月24日－1620年5月16日）是英国航海家，英文名威廉·亚当斯（William Adams），1600年来到日本，并成为日本第一位外籍武士。他是第一位来到日本的英国人，曾做过德川家康的外交顾问，领有一块250石的领地。也是《仁王》男主的原型,摘自百科"
"无瑕い","男","无IP","22692111","6","","10000","1111","6","托马给人的感觉，很平和，不在乎别人的看法，只做自己该做的事，邀约任务也表现了托马待人待事的准则，被人误会整天摸鱼毫不在意，心疼小动物，愿意陪主角到处闲逛，看到家乡风车菊的震惊与怀念，像一个个远离他乡的人，主线给一个角色塑造了型，通过各种日常，比如传说，邀约，活动让我们更好了解一个角色，赋予角色魂"
"这就是老戏骨","男","无IP","291387689","5","","10000","20601","","冷知识:托马是原神开服后出的四星角色里第一个男生"
"漫社的无名氏","男","无IP","178385890","6","","10000","14612","","托马这个角色刚曝光的时候人气还很低迷，结果三个版本的塑造就让大家彻底爱上这个男人，真有你的米哈游[笑哭]"
"小井两字好多人用啊","保密","无IP","26797237","6","希萝Hiiro","10000","6949","","看到弹幕“蒙德人不用长枪吧”“蒙德第一个枪系角色”，我[热词系列_问号]罗莎莉亚被除出蒙德了嘛[笑哭][笑哭][笑哭]"
"泠鸢hanser","男","无IP","35955179","6","","10000","5741","","米哈游角色演示的文案一直有一手的，“只盯着别人弱点的人，自己的弱点也很容易暴露出来”"
"柚子查夜","女","无IP","401328623","5","崩坏：星穹铁道","10000","14636","","以前不懂丽塔诺艾尔女仆人设哪里吃香为什么受欢迎……现在我懂了，这谁不喜欢"
"Unclebucket","女","无IP","38871364","6","","10000","381","","Brave dragon！,「曾经有一只获得了毁灭一切伟大力量的神兽。」,烈火，拔刀！,「Brave Dragon」！,「烈火一册！当勇气之龙与火炎剑烈火交汇之时，真红之剑将贯穿邪恶！」,「火炎剑烈火！」"
"三津音","保密","无IP","248493629","6","","10000","2679","","神里:,第一次，有了喜欢的人，还得到了一生的挚友，两份喜悦相互重叠，这双重的喜悦又带来了更多更多的喜悦。,本应已经得到了梦幻一般的幸福时光，然而，为什么，会变成这样。,是我，是我先，明明都是我先来的，跳舞也好，逛祭典也好，还是喜欢上那家伙也好。,,托马:,混蛋，为什么跟过来了……混蛋，为什么能找到……,,神里:托马?,,旅行者:,托马——!!!,,托马:别这样……旅行者……停下来，大小姐在看着,,旅行者:,托马……,,托马:,对不起，大小姐，对不起……"
"雨亦晴sama","男","无IP","11715812","6","","10000","45260","","托马：“找个时间一起吃个好的怎么样？我请客”,钟离：“托马，你现在就是我的好兄弟了”"
"珊瑚咕咕咕","女","无IP","3323174","6","","10000","2407","7","和擅长交际的托马一起，总是能遇到许多热闹又开心的事情。,只是这种热闹，偶尔也会引来一些不怀好意的不速之客…,但是不必担心。因为，托马会保护你的。[原神_躺平][原神_躺平][原神_躺平][原神_躺平]"
"超高校级多串","保密","无IP","2123851","6","","10000","5292","","我建议以后的邀约剧情全都按托马的思路设计，每条线分别展现一种角色特质，最长的线给角色背景"
"要不还是改个名吧","男","无IP","18087185","6","初音未来13周年","10000","3974","","《原神》角色演示-「托马：烈火焊脚」[微笑]"
