"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"CV斑马","保密","无IP","7664567","6","","10000","41670","","风，带来缘的味道，不久的未来见。"
"鹭点烟汀洲无浪复无烟","保密","无IP","18250773","6","","10000","31571","","温迪，魈，万叶，这说明了男生吹风是真的长不高啊。[笑哭]"
"一朵爆秤的祥瑞","保密","无IP","409733359","5","","10000","30728","","他好适合肯德基联动翅膀啊哈哈哈"
"兔腿nong","男","无IP","399724687","5","","10000","28817","","我要去输液了,输得什么液。,枫原万叶"
"鹿喑kana","男","无IP","302145","6","多多poi","10000","28566","11","看着万叶pv，作的午饭都要甜上分。[脱单doge][脱单doge][脱单doge]"
"愀愀今天学习了ma","保密","无IP","437534284","5","","10000","15105","","传下去温迪喜欢矮个的[doge]"
"KKOMDA","女","无IP","1740827542","6","","10000","14692","","storm is coming！！！[来古-呆滞][来古-呆滞]"
"冰霜骗骗花","女","无IP","1833664","6","","10000","33392","","[doge]又来看PV了啊  单抽出万叶的旅行者"
"梦见了只猫","女","无IP","271523325","6","小主安康","10000","5890","","热度过去了,我要跟舌吻万叶的人舌吻[歪嘴]"
"天蓝绣球_尺v尺","男","无IP","312699183","5","","10000","36607","","／ ￣￣ ＼　 ,|　ー　ー \　  ／````````````````````````````````＼,|　 　 |   |           我亲爱的原神            |,\　　 　/ ∠  我想帮铜雀把破庙修好       |, ＼　　 イ　   \  任务可以没有任何奖励   |      ,／　　　\         \  倒贴也没问题          /,/　|　　　 \       ```````````````````````````````````,|　|　　　 | |        ,|    |           | |,（转）"
"iQOO手机","保密","无IP","429643625","6","","10000","30557","","宝，今天很热，哪里热？枫原万叶[囧]"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","8288","10","B TW，里面被砍的龙套是@kinsen [OK]"
"-半城盛夏-","男","无IP","394530673","6","","10000","7762","","厨力这东西真就是一个PV的问题[笑哭]"
"小埋丶233","保密","无IP","267715467","5","","10000","6976","","还有弹幕对神之眼有误区……其实可以这么说，天空岛是批发商，七神是超市，不同的人去不同的超市买东西。雷神要做到所有人都没有神之眼，只能自己从中阻断雷神眼，其他属性的神眼都是照发不误且不是由雷神派发的，所以雷神阻断不了，只有物理没收"
"南宫仁卿","保密","无IP","435507199","5","","10000","8376","","万叶，,你是意大利和中国的混血儿嘛？,要不然怎么长得这么像我的意中人[害羞][害羞][害羞]"
"青豚最喜欢柒七7","男","无IP","358558260","5","初音未来13周年","10000","7738","","魈:“ugo，你也玩原神?”,万叶:“是啊，kirito。”[doge]"
"樱桃思慕雪","保密","无IP","19539594","5","","10000","4093","","风系角色里最高的居然是琴，温迪是不是见不得比他高的男人啊[tv_doge][tv_doge][tv_doge]"
"CAPTAlN","男","无IP","19437670","6","至尊戒","10000","5048","","米哈游的pv一定不能看，一看之前下的什么决定都白费了。"
"走开走开啦","女","无IP","1773479254","3","","10000","8362","","大保底决定给万叶了，太涩了，还是小男孩。米忽悠都让我怀疑我是不是楠桐。别赞要脸"
"ExplodeDast13","男","无IP","352168571","5","","10000","6562","7","热度过去了,我要跟万叶舌吻[doge]"
"奇斌","女","无IP","4338215","6","","10000","3208","","／ ￣￣ ＼　,|　__   __ \　    ／￣￣￣￣￣￣￣￣ ＼,|　 　 |       | 原宝，你真的不出新的 |             ,\　   　/  ∠ | 三星武器了吗？没别的意 | ,＼　    イ　      |就是想看看稻妻有没有如 |,   |       |            |飞天御剑公子般的奇才|   ,／　　  \           |____________________|,|　|　     | |     ,|   |         | |"
"人生难免有遗憾sqy","男","无IP","19616519","5","洛天依·最美的夜","10000","23806","","不玩原神，但我是真的讨厌腾讯，进来给您增加点播放量。[脱单doge]"
"利尔维塔","保密","无IP","123289182","6","冬季","10000","7775","","温蒂是专门挑着小男孩发风神之眼的吗[嗑瓜子]太棒了温蒂和我xp系统兼容"
"丿Sky灬冥战将军","男","无IP","303607392","5","","10000","6045","","方才听评论区有人说王者荣耀新英雄云缨语音互动跟原神角色互动一模一样，直接照抄。,,我看了一下，是假的。云樱的配音是胀胀，是一个up亚食人的妹妹，做过很多原神视频，有人反串带节奏，别信。各位请务必保持理智，别瞎冲。"
"夜泽君sf","男","无IP","688605957","6","","10000","2124","","不知道大家有没有注意到，这是第一次在预告片里，角色说话时可以对上口型，而不是像之前那样一直张着嘴。"
