"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"YukiZ-","保密","江苏","384939310","5","","10000","5192","","3.7版本 前瞻：决斗！召唤之颠  版本地址：稻妻-须弥,主持人爷，枫丹角色夏洛蒂，宵宫，绮良良,0.兑换码7C38QBV4Q2YW LDJ99BUM9JG2 SV289BD48KZN,1.新四星绮良良，稻妻草系单手剑，有造盾能力和特殊爬墙能力,2.上半八重+宵宫+绮良良，下半艾尔海森+万叶，对应武器神乐之真意+飞雷之振弦，菜叶吃光+苍古自由之誓,3.七圣召唤大活动，秘典华焕。四国均有。角色凯亚，心海，胡桃，绮良良，赛诺，夏洛蒂，枫原万叶，八重神子等,4.七圣召唤卡池，四神等更新,5.送一把弓,6.恒械动画，诸景巡礼，零时召唤，秒骰战法,7.溢神的论证II——溢神的猜想,8.离垢者肃心旅宴，打超级雷音权现，究极飞天龙兽和高级深海龙蜥,9.神工天巧宝录之章，以及自定义秘境，可联机分享,10.卡维邀约,11.宵宫传说——硫金之章II，首位非神传说任务II,12.七圣召唤胜冠之势等特殊模式,13.科颜氏（不知道是什么）联动，角色为柯莱提纳里，兰那罗,（从3.2就坚持总结的玉米汁YukiZ永不迟到）"
"果蝇轰","男","未知","8469526","6","","10000","20031","10","宵——宫——————！！"
"雕出没","保密","上海","349888458","6","","10000","13292","","你玩真的是吧！还真有水下世界啊！,,另外，其实我还挺喜欢这种轻松愉快的小版本的，偶尔没有新地图也没有苦大仇深，可以暂时忘了背负的责任和压力，可以轻轻松松的沉浸在这个世界，和朋友们说说笑笑，打打闹闹。,啊，跟着宵宫姐姐和绮良良妹妹全提瓦特环游，感觉也挺好的啊！,,再另外，绮良良好美，技能跑图好强，冲！往死里冲！,,再再另外，非七神角色都已经开始有传说第二章了，好事。那么到底是哪个初代七神还没有自己的第二章呢？[doge]"
"起名好麻烦啊g","保密","江苏","304692551","5","","10000","25677","","赛诺强行把镜头掰回来真的笑死我了，很符合牌佬，只不过铁血大风纪官的滤镜可能要碎一地了"
"我必须立刻开始摆烂","保密","广东","383236040","6","","10000","15893","","宵宫：你知不知道我从实装到现在打了多少把高端局？每一把！答案是每一把！实装到现在每一把up都是高端局，这场传说任务是应得的！是对我没有放弃的回报！泰裤辣！！！,[妙啊]"
"妲咩-","男","山东","511394212","4","","10000","7984","","宵宫:超越神明了家人们（指比某个爱摸鱼的神多一个传说任务）[脱单doge]"
"虚无-默默看着你","男","广东","262533209","5","原神","10000","2137","","前瞻最后一幕[思考][思考]看来是真的会有一个可以游泳的地下世界了[抠鼻][抠鼻]"
"紗嵐_","保密","北京","280037621","6","EveOneCat2","10000","6903","","1.我是提厨+绫华厨,2.我神鹤队没万叶  提八队没八重,3.我刚抽完草神还没攒好石头,4.[藏狐]"
"漂亮石头爱跑步","保密","广东","1212752378","4","","10000","1139","","7C38QBV4Q2YW,LDJ99BUM9JG2,SV289BD48KZN,卡池上半：宵宫+八重神子+绮良良,卡池下半：枫原万叶+艾尔海森[OK]"
"非著名海盗爱德华蒂奇","男","辽宁","2673797","6","明日方舟","10000","2625","","绮良良的日配是孤独摇滚的虹夏和辉夜大小姐的白银圭哦"
"杰帕德单推人","女","湖北","8527627","6","","10000","1937","","最后的水下世界太吊胃口了[保卫萝卜_哭哭]"
"晴空天启","男","山东","32856379","6","","10000","1069","11","经典结束了来波大的，枫丹有水下了兄弟们[崩坏学园2_花痴]"
"一只叫苦力怕的苦力怕","男","安徽","475945660","6","","10000","98","","我们打算出一个第二章传说任务,温迪察觉到了一丝问题,他是一个弓箭手,温迪有点按捺不住,它的第一章做的非常优秀,温迪几乎要喊出来了,它的名字是两个字,温迪：没错就是……,宵宫[doge]"
"上官序","保密","湖南","73807100","6","","10000","5287","","3.5风花节赛诺,3.6教令院赛诺,3.7直接安排了一个打牌盛典。,赛诺：我的幸福人生，柯算莱了。[OK]"
"钟离","男","北京","55655","3","原神","10000","611","18","旅行者，近来可好？[原神_喝茶],日前璃月港中新出现了我未曾见过的七圣召唤卡牌。旅行者游历四方博闻广识，若你得闲，不如回璃月小聚，同我略探讨一二。正好你我可就七圣召唤切磋一番，顺道查验在下牌技是否有所长进。"
