"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"低配芙兰达","男","广西","7146841","6","崩坏：星穹铁道","10000","10830","11","注意一下时间，赤王死的时间是几千年前，大慈树王就是在那时变小的，小吉祥草王诞生的时间是在五百年前[doge]"
"三三_exe","保密","四川","396395364","5","","10000","25704","","教令院抛弃了他们的神明，而神明却仍守护者自己的子民,神明帮助了子民，子民却将她视为大敌,须弥的剧情真的很讽刺"
"青衣灯下锁红娘","保密","安徽","354849729","4","","10000","6862","","雷神快给草神激化，我要大慈树王[脱单doge]"
"天空岛的愚者","男","北京","173323339","6","至尊戒","10000","9007","10","好可惜啊，赤王没展示个人形"
"我是矛盾集合体","保密","江苏","424807182","5","","10000","4349","","钟离说初代七执政只剩下自己和温迪，我信钟离，那树王和草王不是同一人。你们信钟离吗？"
"A哈哈咳咳","保密","陕西","310624223","6","","10000","2670","11","这个PV和小草神没有关系，时间线对不上。,大慈树王出手之后透支力量变小应该还是大慈树王，因为时间是千年前，而不是五百年前。"
"平安夜前夕","男","山东","272026777","5","","10000","127","","那个金字塔顶的眼睛，和后来树王手里的眼睛应该代表舍弃肉体的赤王吧。,我看到弹幕有说那个眼睛和艾尔海森差不多，特地去米游社搜了点艾尔海森图看，好像真挺像的。,不会艾尔海森和赤王的灵魂体有关系吧，这么一想其实艾尔海森本来就挺神秘的，不可能一点伏笔都没有。"
"铭刻于心的梦","男","山西","189952076","5","泠鸢yousa","10000","248","","我说一个可能，大家听听就好，从视频可以得知大慈树王力量消耗过度就会变小，但视频里明显比纳西妲大，而纳西妲是五百年前出现的，那很有可能是大慈树王经历了坎瑞亚那一战元气大伤从而二次变小，并且从兰那罗献出记忆让那片地区变好这种方法来看，明显大慈树王也会，那么有没有可能，大慈树王发现自己变得这么小，并且须弥也被坎瑞亚如此破坏，所以大慈树王将自己的记忆作为代价去修复须弥之类的，从而导致大慈树王本身变成了婴儿，并且记忆也和刚出生的小孩子一样，就像把记忆祭献出去的兰那罗一样。"
"bayTong桐小白桐老鸭","保密","山西","471263570","5","","10000","247","","我觉着这段动画并不是在说纳西妲就是大慈树王，当然是有这个可能但却不能完全确定,首先赤王这段历史究竟发生在什么时间点似乎没有确定（我没找到明确记载，有知道的伙伴可以提醒下），而草神的换代从甘雨、狐狸的口中得知是发生在500年前坎瑞亚事件，无论是时间点还是事件地点都对不太上,当然有一种猜想可能是树王牺牲了两次，根据兰纳罗的设定，记忆就是力量，树王耗尽力量身形变小失忆，这种猜想是合理的，但是有一个问题在于，这段影像是旅行者和派蒙也可以看到的，他们看完也只是在感慨树王最后变得好小，而没有直接意识到树王变小很像纳西妲,而剧情中总提到”真正的太阳早已不在了“，500年前贤者们找到了新生的草神，既然当时找到能确定纳西妲是新生的神灵，那么承认树王已经不在了这一点应该是前提，否则很难去相信找到的孩童般大小的小吉祥草王是新生的神灵，感觉小草王更像是树王临终前留下的枝条（类似忍冬之树）这样子可能更合理一些,当然了如果纳西妲就是变小的树王，对于教令院来说是极大的讽刺，对整个故事的表达有不小帮助"
"枫染风红","保密","浙江","1895345592","5","","10000","344","","关于大慈树王是不是小吉祥草王，我认为不是。一点参考：,兰耶师：这是树之王、草之王的石头，是很重要的！,兰耶师：无忧节结束了，无留陀也被打败了，桓那兰那安全。,·旅行者：再见。,兰耶师：再见，树之王、草之王会看顾那菈旅行者。,我们来复习一下兰那罗这种草神眷属的逻辑：,什么失忆、失去智慧、退化成种子在兰那罗的语境下，和死亡是没有关联的。,拿记忆换力量，兰那罗还是兰那罗，不会因为兰那罗不记得了就不是兰那罗。,连兰那罗这种变成种子、失去记忆、变成树都不认为是死了的物种，都认为有两代神。,那么到底有几个神呢,另外是有几个外国长生种提到五百岁的草神的，当然并不清楚她们信息的来源。,如果将可信度较高的兰那罗的逻辑作为参考，再看看主流的树草同体观点，比如：, 1.教令院觉得树王不全知全能所以树王死了（即教令院信仰的实际上是全知全能）。, 2.树王用尽全力失去全部记忆变成新的人格，由少女退化为萝莉（即物理上是一个人，精神上不是，或者说灵魂不同）。,以上是以教令院和神明本身为角度，提出的假说。,但是，这样假设按照兰那罗的思考方式，都应该得出“树王没死，只有一代神”的结论，而不是有两代神（树之王、草之王）的结论（包括灵魂不同，这对于兰那罗来说是不可测的，兰那罗没有这个权能）。,当然，这套理论也不能百分百肯定。比如，如果兰那罗得到了错误信息，比如我们的解读出现偏差。,                                          ——————米游社"
