"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"钟莉莉呀","保密","辽宁","2110201866","4","","10000","36275","10","你们知道为什么林尼这么有礼貌吗,因为他有礼帽"
"民国豌豆","保密","湖南","484465441","5","","10000","10460","","我猜测他的剧情应该是和他妹妹在路上一起遇到了旅行者并结识，但之后仆人要搞事情 旅行者坚决站在要被搞的那几个枫丹官员身后，林尼之后还特意把旅行者找过来约谈 希望他能退出被旅行者拒绝后 双方彻底决裂。一旦追杀之后到最后一刻 仆人却不打算放过他和他妹妹 因为他们是唯一知道所有真相的局外人 他们的死就应当视为对愚人众最后的贡献[doge][doge]"
"Lo-uis","男","广东","2141324030","4","","10000","5253","","魔术师的使命，是挑战想象力的极限。,皎月之光洒向他的掌心，照亮那个汇聚奇迹的宇宙。,,中文CV：,林尼——锦鲤,,日文CV：,林尼——下野纮,                                                                           ---讲介石"
"配音演员虞晓旭","男","未知","10772844","6","","10000","7547","","喝酒壮汉打卡"
"十八岁的九局下半","女","四川","168006962","5","","10000","5032","","热知识：林尼的英文cv和刃是同一个[脱单doge]"
"蓝圆柚子","女","河北","168794532","6","","10000","2216","","啊啊林尼，等了你pv这么久你终于来！ 林尼！！从两年前就开始喜欢你了！林尼！（一巴掌创死天理）（把天空岛砸了）（一拳干废维系者）（统一提瓦特）（放飞提米的鸽子）（给龙脊雪山解冻）（和风神卖唱）（炫飞群玉阁）（帮岩神付款）（跑到鸣神大社抽签）（吹飞鹤观）（与雷神御前决斗）（一板砖呼死大贤者）（烧了教令院）（砸了净善宫）（跟草神跳房子）（扬了世界树）（复活大慈树王）（拆了赤王陵）（和水神谈判）（抢回冰神手中的神之心）（让坎瑞亚复国）"
"落樱梦","保密","山西","4098366","6","","10000","27883","","非常好魔术，爱来自枫丹"
"奔向梦想的彼岸","保密","江苏","410718607","5","赏樱大会欧皇","10000","19753","","这魔法我也会，不就加一个图层嘛[傲娇]"
"符箓篆津映真天君","男","河南","434452292","5","原神","10000","14007","","林尼和甘雨在一起挂水效果更好，因为怪物会淋雨（林雨）"
"-夜雨声繁","男","湖北","77207087","5","","10000","7848","","欢迎来到，（）（）剧场！"
"BV1134y1o7hi有惊喜","保密","重庆","486106105","5","嘉然今天吃什么","10000","6172","","林尼立绘为什么要把手放在后背？,这样大家就可以看到牌的正面，还有牌背[tv_目瞪口呆]（牌放在后背，简称牌背）"
"小鲁H2LuN3O10","保密","浙江","371733066","5","","10000","6012","","NPC越来越精致了[星星眼]自机角色在人群里不再像显眼包了"
"毁灭_还是叫刻晴吧","男","广西","1531330351","4","","10000","5682","","我将，扭转万象！"
"阿拜多斯星野","保密","河南","1759046506","5","","10000","5575","","我只要一听林尼的日配我就想起那句弹丸V3经典:这个世界是王马小吉的！[doge]"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","3914","8","从序曲pv就很喜欢林尼了，他的一身礼服就很有魔术师内味了[脱单doge]"
"爆炒神里绫华_","保密","湖北","647716789","5","原神","10000","3504","","你知道林尼没有帽子会变得怎么样吗，会变得很冒失（帽失）[doge][doge][doge]"
"咕O-O","保密","内蒙古","590002288","4","","10000","2675","","00:33  00:35 这怼脸拍有点帅"
"飞莎儿的十年老粉","保密","湖南","1085501381","5","","10000","1586","","亲爱的林尼，见字如晤,当我写下这封信的时候，你我早已走散在人海，自此我的世界已无四季，只剩寒冬。,每逢夜深人静，我总会不自觉的浮现出你的身影，脑海中不断放映出你的一颦一笑，你的笑容，像是破开冷冽雪天的一缕春风，那一瞬间，我这颗寸草不生的心，突兀生长出无穷无尽的鲜花，时至今日，余香仍存。,曾有一百种表达爱意的方式，却总因时间而遗憾错过，悔不当初的间隙，又深感悲伤，你我相识太过匆忙，草草几句未能概括全部。,很难说人生当中有什么出其不意，很多事情往往都是始料未及，谁也不知道眼下与往后，我们唯一能做的，只能在失去中找寻曾经拥有的一切。,当我幡然醒悟的一刻，已然追悔莫及。你我的记忆，永远不会随着时间的推移抹平，它会一直存在我的生命里，在我漫长的岁中，直到生命的最后一刻，我依然会想到你。,请原谅我的擅作主张，这么多年以来，你已经变成我对抗生活的信念，当我陷入人生低谷，灰暗迷茫时，你会变成我人生中最亮的星星，指引我前行的方向，让我拾起遗落的信心。,如果有一天，你我能再次相遇，希望能由衷的对你说声谢谢。,我很想你，信中所言，不及我万分之一的一。,这封信我会时常发给你，也希望这封信能成为我对你相思的表达吧。"
"-极限反杀-","保密","新疆","442818175","5","格兰芬多","10000","1214","3","魔术师的使命，是挑战想象力的极限。,皎月之光洒向他的掌心，照亮那个汇聚奇迹的宇宙。"
