"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"无悔中国人","保密","广东","229484138","5","","10000","1499","","以前的线索全都指向白术心怀不轨，收养七七也是觊觎不老不死的僵尸体质。我之前觉得可能是觉得人生短短几十年，仙人却近乎不死不灭，所以愤慨怨怼？又或者与长生有了什么人蛇情未了想永世相伴？,唉……没想到是这样的大爱啊，医者仁心，医者正心……[保卫萝卜_哭哭][保卫萝卜_哭哭]"
"-Phaeton-","男","吉林","275531601","6","总之就是非常可爱","10000","163","","以前的线索全都指向白术心怀不轨，收养七七也是觊觎不老不死的僵尸体质。我之前觉得可能是觉得人生短短几十年，仙人却近乎不死不灭，所以愤慨怨怼？又或者与长生有了什么人蛇情未了想永世相伴？,唉……没想到是这样的大爱啊，医者仁心，医者正心……"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","819","","问卷推荐过很多次白术的生日定在中医节（3.17）这天，毕竟白术是中医嘛，生日定在那天，符合设定，也能让大家知道这个节日（可惜知道这个节日的人好像真的很少）。4.25这天是计划免疫宣传日，也行吧，也与医学工作者有关，就是可惜生日得等上一年了[笑哭]"
"又子别嘴硬了","女","山东","692105976","5","","10000","4861","","说白术身体不好时，我还想仙舟人不是都长生不死吗，后来反应过来这是璃月[辣眼睛][辣眼睛][辣眼睛]"
"手磨仙人","保密","广西","349193845","5","","10000","559","","温馨提醒：不要在卡池期间做传说任务，因为你可能会被他的人设吸引下卡池"
"想取名字怎么好办","保密","陕西","3493106716510846","4","","10000","201","","有点离谱白术的盾，他在体验里80级小宝有盾双手拍一下扣1580血，我在大世界86级小宝拍一下才扣四千多血，相当于盾没有两千，埃攻击几乎必掉血，只不过可以速刷而已"
"时坂风璃","保密","浙江","81412","6","","10000","568","","兄啊，你白朮拉到了多少啊？,九十啊,白先生当医生的目的是什么啊？,救世啊,那白朮什么时候救得77啊？,旧时啊,打完白朮传说任务要后要干嘛啊,酒食啊,兄啊，你是只会说这一句吗（恼,soudayo（便乘"
"氨基酸不肯吃饭","保密","江苏","172012147","5","","10000","2188","","白术，存护丰饶双命途[doge]"
"SSSSSattention","保密","四川","439394628","5","","10000","1202","","这句话真的有打动到我,逐火之蛾（考.jpg）"
"回忆不想取名","男","广东","90911948","5","","10000","254","","（3.0时期）,白术：“须弥了，草系版本了，还不让我上班吗？”,提瓦特：“录用未通过”,（3.3时期）,白术：“瑶瑶都出立绘了我咋还不能上？”,提瓦特：“录用未通过”,（2023.2.24）,白术：“我在隔壁被琪亚娜干碎了”,提瓦特：“恭喜你被录取了”"
"戏在雨中","男","安徽","297134245","6","","10000","1121","","真的，如果白术早几天实装，那我只能说他的愿望是痴心妄想。,但是现在不一样了我的朋友，可曾听闻慈怀药王，加入药王秘传，拥抱丰饶药师吧"
"简笔人_Peter","男","浙江","335769025","6","","10000","1438","10","冲刺语音是咳两下……,要不咱还是慢慢走吧,（内心：白大夫啊！哎！白大夫啊！）"
"原之溯","女","内蒙古","2125186","6","","10000","74","","对不起，过白术传说任务最后一段我满脑子都是丰饶星神[笑哭]"
"HO是一种单质","保密","湖北","1365222187","3","","10000","2147","","04:17 ,不愧是帝君，地处璃月的角色PV里总会出现"
"卡维老婆啾咪啾咪","保密","重庆","508643832","5","","10000","529","","呜呜呜呜呜传说任务一既如往的好"
"雨中幽兰Lancy","女","湖南","389618682","5","","10000","80","","白术：【气味】甘，温，无毒。,【主治】风寒湿痹，死肌痉疸，止汗除热消食。做煎饼久服，轻身延年。主风眩头痛，流眼泪，消痰水，逐皮间水种性结肿，利腰脐间血，益津液，暖胃消食。治腹部胀满，腹中冷痛，胃虚下痢，多年气痢，除寒热，止呕逆、反胃，利小便。主五劳七伤，补腰膝，长肌肉。治潜匿于两胁之间的积块，妇人腹内积块，除湿益气，和中补阳，消痰逐水，生津止渴，止泄痢，消足胫湿肿，除胃中热、肌热。辅佐以枳实，可消气分痞满；辅佐以黄芩，可安胎清热。理胃益脾，补肝风虚，主舌本强，食则呕，胃脘痛，身体重，心下急痛，心下水痞。冲脉为病，逆气里急，脐腹痛。——出自《图解本草纲目》"
"笙弥儿叽","女","吉林","19537914","6","","10000","1924","","耳朵：草系法器角色,脑子：虚数丰饶角色"
"-好__耶-","保密","山东","700054699","5","EveOneCat2","10000","992","","大家聊了这么多啊刚才白术歪小提昏过去了刚醒"
"熊熊也想要粉红肉垫","保密","天津","138535","6","星座系列：射手座","10000","1989","8","顺利满命，欢迎白老师[领结猫_感动比心]"
"言之并","保密","安徽","215216657","4","","10000","171","","白术的传说任务我吹爆，真的超级感动[tv_大哭]"
"有生之年能看到吗","男","安徽","315622780","5","","10000","129","","好，已经出了[doge]"
"LongCluod","保密","河北","3461564547992048","4","2233幻星集","10000","4320","","“生死虚实，一念之间，洞天幻化，长梦一觉”[脱单doge][脱单doge]"
"Fushimi_Inari","保密","山东","2045186708","4","","10000","1046","","卡维为什么是大剑角色，因为他是大建筑师[doge]"
"夜蓝星人","保密","重庆","8258912","6","","10000","74","","白术的故事真不错，很令人动容，就是他的服装，你看他师父，太师父，太太师父，太太太师父，太太太太师父穿的不都挺好看的吗[笑哭]怎么到他这就设计的……"
"原之溯","女","内蒙古","2125186","6","","10000","74","","对不起，过白术传说任务最后一段我满脑子都是丰饶星神[笑哭]"
"手磨仙人","保密","广西","349193845","5","","10000","559","","温馨提醒：不要在卡池期间做传说任务，因为你可能会被他的人设吸引下卡池"
"零陵不是零零","保密","广东","8065211","6","","10000","17","","你做的好啊。你做的好啊。,中医情节人被狠狠击中了,呜呜呜呜, 02:00"
"assweff","男","湖北","325804318","5","至尊戒","10000","462","","后续：嘉良一家在门口贴了一张留言，说是去纳塔了，纳塔的温泉有可能能治疗嘉良的先天性心脏病,难得啊，纳塔居然有信息了，我还以为提瓦特人已经忘了有这么个地方了[笑哭]"
