"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"想个昵称要老命了","男","河北","12394426","6","","10000","3181","","不知道主线还会不会有妮露戏份，就跳个舞不太得劲啊[脱单doge]"
"最可爱的怪物","保密","海南","1472275","6","","10000","2150","","让我看看须弥第二女主角的含金量[脱单doge]"
"dEmo丶蝶梦","保密","浙江","620124354","5","","10000","14864","","冷知识：蒙德那个卖花的小女孩的配音和妮露的是同一个[doge]"
"笑死中不了一回","男","湖南","389917613","5","","10000","29235","","提瓦特又多出了许多名叫斯汪的旅行者[doge]"
"阿鲁提亚","男","广东","19255","6","","10000","117","","我之前已经把四国语音都听了遍,,共同特点是好听,,其中中配偏向少女，气不足，但声音很甜,,而日配偏萝莉音，小恶魔或者带点楚楚可怜的感觉，被打时有声 呜~,,英配最对味，职业舞娘的声线，特别战斗技能语音，有气场。,,而韩是最软妹，如果说要求战斗时的妮露是一个认真坚强的角色，韩配挺适合。"
"Revolver_L","男","湖南","9043465","6","公主连结可可萝","10000","2526","","妮露真的好美啊[喜欢],但是这个PV的气氛是不是有点诡异啊[思考][思考],剧团温馨的晚餐场面接一个意义不明的妮露转身的长镜头，还有略显诡异的话语，镜头最后是妮露眼睛里诡异的光……然后最后是妮露一个人在舞台上享受独舞……[囧][囧],怎么说呢，有点细思极恐的感觉，剧团的人们真的没事吧……[囧][囧]"
"百野栞の书架","保密","黑龙江","88093754","6","还有醒着的么","10000","4352","","科普下妮露的中配和日配cv,中配cv：紫苏九月,主要配音角色：,格蕾修、吼美、八重凛、丹朱———《崩坏3》(不穿鞋的角色+1),克拉拉———《崩坏：星穹铁道》(不穿鞋的角色+2),莉莉娅———《英雄联盟》,芙萝拉、贝雅特丽奇———《原神》,阿鵺伦、托奈兰———《复苏的魔女》,伊丽莎白———《幻书启世录》,姚枫怡———《真恋~寄语枫秋~》(galgame),林璃———《回忆忘却之匣》(galgame),海棠———《看不见的恋人》(视觉小说),艾莉丝———《锚点降临》,艾莉卡———《雾境序列》,.,日配cv：金元寿子,主要配音角色：,维尔薇———《崩坏3》,赤司淳子———《碧蓝档案》,神通、肯特———《碧蓝航线》,姬塔———《PCR》《碧蓝幻想》,乌贼娘———《侵略！乌贼娘》,空银子———《龙王的工作！》,海伦娜、巴御前———《FGO》,白面鸮———《明日方舟》,羽泽鸫———《BanG Dream! 》系列,友纪(梅儿·舒特珑)———《这个是僵尸吗？》,喀秋莎、星野———《少女与战.车》,两仪未那———《空之境界未来福音》,桐山唯———《心灵链环》,黄濑弥生 / Cure Peace———《Smile光之美少女!》(第七代),可儿那由多———《如果有妹妹就好了。》,伏原小姐———《社畜想被幼.女幽灵疗愈。》,日南葵———《弱势角色.友崎君》,塞妮丝·格雷拉特———《无职转生》,后藤爱依梨———《剃须。然后捡到女高中生。》,渡边彩花———《我们大家的河合庄》,秋篠姬香———《我女友与青梅竹马的惨烈修罗场》,琴浦春香———《琴浦小姐》,南宫那月———《噬血狂袭》,仓桥阳菜乃———《暗杀教室》,桃子———《处刑少女的生存之道》(粉毛),千代田樱———《街角魔族 2》,薙切绘里奈———《食戟之灵3～5期》,小舒———《甜梦猫》,“我”———《恋与制作人》(中配是坎蒂丝),涂山容容———《狐妖小红娘》(日配版),一之濑晴————《恶魔的谜语》,穗月枫———《别当欧尼酱了！》,桐谷雪那———《最近，妹妹的样子有点怪？》,绿川缬———《希德尼娅的骑士》,折原九琉璃———《无头骑士异闻录》,空深彼方———《空之音》,【如果有没提到的，求帮忙补充一下】."
"羅巉","保密","重庆","14432402","5","","10000","119","","妮露最近有很多人喜欢，这个现象不得不说惹人深思。在这个信息化的时代，人们想当然的认为媒体平台的发展能够得到更加丰富的信息量，这也意味着可以有更加全面和客观的认知，即便是隔着冰冷屏幕。但这条论断忽视了人性的因素，因为人是很容易受欲望支配的动物。举个例子，大家以为通过他的动态可以触及到他内心最为柔软的角落，全方位了解这个人。其实不然，大部分人是无法了解事物的全部的，就如同她现在对着屏幕笑，但屏幕那端的观众却无法看到躲在她桌子下面戴着项圈的我"
"君才修","保密","西藏","1794033727","3","","10000","327","","首先，温柔不是要断气了，说话不用那么温吞，也不用掐着说话，语调可以平缓一点，语速正常说话，语调起伏真的太大了"
"神无月的土豆","男","重庆","204545","6","","10000","126","","妮露哼的调子，是“沙中遗事”00:30秒开始的背景女声同款，伴随讲述的灾厄和死亡降临，显得非常瘆人和克系。,是不是在暗示妮露的故事没有单纯跳个舞那么简单呢,但愿我是想多了..."
"Franthy_","女","辽宁","8688987","6","明日方舟音律系列","10000","362","","其实角色pv光是选择展示了角色日常的一面倒还好，这个我能接受，但这个pv还是让我感觉怪怪的，就从妮露离桌转身之后那里开始，有好长一段不露脸的长镜头，总给我一直她有什么其他秘密的感觉，但结果又只是展示了一遍她热爱舞蹈和剧场就收场了，好像有点突兀"
"爱吃桃的桥墩儿","男","湖南","183248691","6","","10000","2388","","大家好，我是斯汪[妙啊]"
"yuki姫様","保密","江西","593556877","5","","10000","458","","日配声音很好听，但太幼了，似乎不太贴脸，英配我觉得最好，完美诠释了灵动的少女这个形像，中配其实声线不错，但就是吸气喘气有点严重，可以不用刻意去压声线的"
"skywalker312","保密","陕西","297287652","5","","10000","191","","来说一说我对比之前比如甘雨或者凌华PV的一些看法，在这个PV的前半段所展示出来的，是大家在一起把酒言欢，其热融融的景象，然后所用的背景音乐也非常温馨，突然来了一段黑屏转场，画面展示出来的从暖色调逐渐变成了冷色调，并且曲风突变，给人一种暗藏危机的感觉，从这个角度来说，我觉得也许在3.2妮露的剧情中会出现重大转折，也许这个女孩远没有现在展示出来的这样，仅仅是一个热爱舞蹈的普通女孩，正如同她会作为花神诞祭的梦境中心一样。"
"蘅乐","保密","湖南","2092561089","4","","10000","276","","本来以为pv会不一样，但吸气这问题还是有，好在这段逗号比较少，没主线那么难受"
"Hibiscuss-H君","保密","福建","443411476","5","","10000","2473","","你问赛诺现在在哪里？应该在赤王陵吧,你问为什么？因为赤王陵里面有很多大风机关啊[藏狐]"
"渺青菓","男","河南","8292634","6","","10000","465","","[笑哭],信仰:草神,衣服:花神,专武:赤王,破案了，妮露之所以这样设计，是心念旧恩，为了让三个老祖宗重归于好，策划他真的，我哭死[doge][笑哭]"
"荧之空-我们终将重逢","男","陕西","424163759","5","","10000","190","","刻晴是单手剑,绫华是单手剑,妮露也是单手剑,[原神_嗯]：似曾相识的感觉"
"是笙音不是声音","保密","河北","355916907","5","","10000","213","","英配妮露好绝啊，尤其是最后哼唱部分，能明显听出来气息控制的相当好，很空灵的感觉，很有舞者艺人的感觉了[喜欢]"
"小敢","女","上海","642228","6","","10000","123","2","啊啊啊啊啊啊啊啊好漂亮[热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆]"
"念北风_","男","山西","432072948","6","","10000","2711","","哇[保卫萝卜_哇]"
"焰天-","男","广西","505049938","5","","10000","3805","","寻人启事,QQ曾用名，帅气、开朗的龙哥，喵☆恋，一起待过的群，原神b服聊天群（几个月前突然被封了，一点消息都没有）他是管理员，群头像好像不是有关原神的，人数好像一直都是19~22人。最后一次看到他的账号，57级以上，胡桃头像，优菈练度特别高。,麻烦大家帮我顶一下，球球了[酸了]"
"Yuki凛","保密","广东","1825503","6","天官赐福动画","10000","1529","9","这个pv到底想表现妮露什么性格和设定啊，团结？温柔？情商高？跳舞好看？……我什么人物特质信息都没提取到，在我看来好像说了什么，又好像什么都没说[疑惑]一斗的演出改剧本pv就非常有趣，那种水平还能不能再现一次？[辣眼睛]"
"星野家の子ども","保密","四川","295204812","5","洛天依8th生日纪念","10000","1168","","古巴比伦统一后，国王汉谟拉比决定制定一部法律来管理国家，于是他找来一块木头，准备在上面编撰法典。但木头容易腐朽，不利于法典保存，于是有大臣便提醒汉谟拉比:别在这立法典，于是汉谟拉比又找来一块石头说：就在这立法典嘿嘿嘿我好爱你啊妮露嘿嘿嘿嘿[喜欢]"
"星越_耶","女","四川","504834370","5","时光代理人","10000","961","8","那些又觉得小草神可以先放放，先把妮露老婆带回家的人，在哪呢？出来探个头[脱单doge][脱单doge][脱单doge][脱单doge]"
"名字就叫大梦一场","保密","湖北","312760509","6","","10000","662","","妮露的嫁妆已经准备好了，圣遗物也打好了，妮露快到碗里来！[喜欢]"
"叶小笛YXD","保密","山东","234106273","6","","10000","511","","在教令院的压迫之下，美丽的少女依旧温柔善良，在舞台上翩翩起舞传递给观众快乐的情绪，妮露小姐并不在意金钱与荣誉，哪怕是在自己主宰的梦境中，跳一曲最美的花神之舞，便是她最奢侈的心愿...[tv_难过],别拦着我，我要把教令院拆了当舞台！[tv_发怒]"
"知道好名字再改","保密","湖南","19773640","6","原神","10000","462","10","古巴比伦王颁布了,,汉摩拉比法典,,刻在黑色的玄武岩,,距今已经三千七百多年,,你在橱窗前,,凝视碑文的字眼,,我却在旁静静欣赏,,你那张我深爱的脸,,祭司神殿征战,,弓箭是谁的从前,,喜欢在人潮中,,你只属于我的那画面,,经过苏美女神身边,,我以女神之名许愿,,思念像底格里斯河般的漫延,,当古文明只剩下难解的语言,,传说就成了永垂不朽的诗篇,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,几十个世纪后出土发现,,泥板上的字迹依然清晰可见,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,用楔形文字刻下了永远,,那已风化千年的誓言,,一切又重演,,祭司神殿征战,,弓箭是谁的从前,,喜欢在人潮中,,你只属于我的那画面,,经过苏美女神身边,,我以女神之名许愿,,思念像底格里斯河般的漫延,,当古文明只剩下难解的语言,,传说就成了永垂不朽的诗篇,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,几十个世纪后出土发现,,泥板上的字迹依然清晰可见,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,用楔形文字刻下了永远,,那已风化千年的誓言,,一切又重演,,我感到很疲倦离家乡还是很远,,害怕再也不能回到你身边,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,几十个世纪后出土发现,,泥板上的字迹依然清晰可见,,我给你的爱写在西元前,,深埋在美索不达米亚平原,,用楔形文字刻下了永远,,那已风化千年的誓言,,一切又重演,,爱在西元前[doge][doge][doge],,爱在西元前"
"干物喵了个咪","男","福建","112385240","5","","10000","347","","终于明白绫华为什么要说好好看着她了，这外面的诱惑实在太多了[笑哭][笑哭][笑哭]"
"猫宫又奈","保密","江西","368893740","6","猫又","10000","279","","老婆我来辣"
"让我安静的狗带","女","浙江","2296830","6","","10000","198","10","[再见]说妮露没肚脐的，她的裙子是高腰，当然不会有肚脐显示出来，OK？"
"小霖QL","女","湖北","36047134","6","","10000","251","","哦哦哦哦老婆！"
"细雨燃烛","保密","广西","82551845","5","","10000","269","","为啥总有人说眼狩令?人家不是把裙子提到了腰部而已嘛？现实中又不是没有这么高的裙子[无语]"
"-漆黑的子弹-","男","广东","1350631446","5","","10000","247","","是否献祭ch兑换妮露？,接受    丨     拒绝"
"好困我要睡觉_","保密","上海","517953906","3","","10000","165","","为什么我觉得妮露中配有点怪 说不上来的感觉[热]"
"洛采菱","女","江苏","24358415","6","洛天依8th生日纪念","10000","594","","是我的错觉吗？貌似自从进入须弥以来，角色PV、演示的情节就变得平淡和不完整了？感觉没什么能记忆深刻的情节……也没有角色耍帅或超美的片段……"
"北穗君","男","广东","1868694","6","","10000","153","","妮露你带我走吧﹎妳已成為我生命中的主綫，主宰了我的夢，_﹏ゥ≒妳煶硪嘚ㄝjιё，亦煶硪嘬大嘚財冨。/／.らヤ1﹎.為了妳，我可以不顧壹切，相互給予彼此的所有。ㄣ`.缯泾蒾惘dé訫蚛，⒋袮縴引我走黜寂寞。.♀妳在我眼中是壹滴涙。我従來不哭，因為我怕丢了妳。♂ˇ原來等待也可以如此的美麗，因為愛妳。ㄝ◆無論妳身在何處，無論妳為何忙碌，我都會在此守候◇ぼ妳可千萬不要抛棄我，妳是我第壹次愛的人，也是唯壹愛的人!ゆ』喜鸛閉上目艮睛мīssㄚòひ，洇為在挖的億識鲤，時颏都侑ㄚòひ的裑影。"
"手手阿","女","上海","7399914","5","","10000","112","","中配很可爱但是不太适合妮露（你杠你对）"
"帕哩子","保密","广东","23344093","5","","10000","243","","妮露的台词说的也不像当家一样啊，像个格格不入的客人似的"
"wyr_tv","男","天津","561724849","5","","10000","802","","还往下翻呐，十连三黄真君[脱单doge]"
"砂のこども","男","陕西","218811385","6","","10000","243","","我是纳西坦，我现在被关在教令院，v我50让我找回树王力量突破牢笼，事成之后新的教令院院长就是你。。"
"恰是花月","保密","广东","403487466","5","明日方舟","10000","940","","情书是抄来的 情话是看来的 套路是学来的 玫瑰是偷来的 勇气是借来的 但对妮露的爱是与生俱来的！！！[tv_害羞][tv_害羞]"
"Hibiscuss-H君","保密","福建","443411476","5","","10000","2473","","你问赛诺现在在哪里？应该在赤王陵吧,你问为什么？因为赤王陵里面有很多大风机关啊[藏狐]"
"爱吃桃的桥墩儿","男","湖南","183248691","6","","10000","2388","","大家好，我是斯汪[妙啊]"
"木兮enn","保密","湖南","399227028","5","","10000","103","","中配真的好普。。"
"佛系抽奖人士","保密","山东","451979411","5","","10000","100","","有点赶工的感觉"
"洛瑾怀","保密","安徽","36811064","6","明日方舟-愚夜密函","10000","560","","感觉最近的pv……虽然能看出来确实用了点心，但是都有一种说了什么但有好像没说的感觉……………[无语][热]"
"汉克丫","男","福建","12219917","5","","10000","88","","新鲜的，热乎的，老婆的[脱单doge]"
"龙仔绘画","男","广东","609680694","6","","10000","225","","1分钟1分钟，我终于涨记性啦！弟兄们，我妈刚屯了一屋子的木棍。[脱单doge]快顶我上去被我妈打吧[妙啊][妙啊][妙啊]"
"shourei小N-","保密","广东","319129929","6","","10000","81","","哇老婆来了，老婆抱抱，老婆贴贴，老婆[喜欢][打call]"
"凯米斯之锤","保密","山东","499273467","5","","10000","77","","最近的pv感觉好奇怪啊，没有那种“劈咔”的感觉[tv_思考]"
"grundfarbe","保密","河北","105172679","6","泠鸢yousa","10000","88","9","说起来有点羞耻，尼禄脚出现的时候我咽了一口口水[辣眼睛]"
"月光分我一万字","女","山东","190198772","5","","10000","118","","很喜欢妮露但是中配为什么…一股二次元虚拟主播的味儿……上一个是心海的人设…哎……人无完人，老婆无完老婆[tv_难过]"
"枫叶原_","保密","广东","493291708","5","","10000","72","","我120岁的时候接受记者的采访：“这位爷爷你长寿的秘诀是什么？”我掏出包里妮露的照片颤颤巍巍地说：“这辈子亲不到她我是不会闭眼的。”[脱单doge]"
"赵一页页页儿","男","北京","435531914","5","hanser","10000","681","","很荣幸在妮露pv中参与了配音，希望大家可以喜欢我配音的角色斯汪[害羞]"
"血小板很微妙","保密","山西","10534608","6","","10000","90","","好……好…好普通[笑哭]"
"余亦","女","四川","237220042","6","","10000","67","","她的人设和剧情是否有点太过单薄，米忽悠改改你女角色的深度吧"
"东风风灵","保密","浙江","372302879","5","赏樱大会欧皇","10000","67","","最近总是突然心脏痛。吃饭的时候，看电影的时候，走在大街上的时候，总是没来由的突然抽痛一下。医生说我这可能是熬夜太多，没啥大问题，但以防万一，还是建议我做一个详细检查。这一做检查就查出病了。检查显示我心脏里有异物，我一看片子都差点吓晕——一个金属块，一直藏在我心脏里。医生问我是不是以前受过枪伤，因为那个异物看着像是一枚子弹。我一脸懵，说没有啊，我就一普通的人，怎么可能！医生仔细检查了我的胸口，哪里有伤口。医生也觉得奇怪，说从医这么多年没见过这种情况，如果是吞下去的子弹，不可能会到心脏里；这么粗的子弹也不可能是通过血管进入心脏的。但是有一点是确定的——如果不尽快取出来，我就会有生命危险。——————手术后，我摸摸自己的左胸，那里还缠着绷带——医生的技术很好，伤口开得不大，但还是会留下无法消除的疤痕。护士端来一个托盘，里面盛着一枚子弹，上面还带着我的血。我把子弹洗干净带回家，做成了吊坠。到家后，我打开了哔哩哔哩，看见了我的妮露，我突然感觉心脏被狠狠击中。我这才想起来，那不是子弹，是我第一次见到妮露时，她明媚的笑容。"
"小镜子Xjz","保密","河南","179472954","6","碧蓝之海","10000","223","","这个PV守住了我的钱包"
"磨墨的菇","女","浙江","28780414","5","","10000","490","7","有一说一啊，人设有点薄，米哈游真的只想推一个可爱的舞蹈少女吧？"
