"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"猫宫又奈","保密","江西","368893740","6","猫又","10000","49571","","大家都是股东，硬气点[Cat2_Nyampage][Cat2_Nyampage][Cat2_Nyampage]"
"镭-226","男","江苏","99001806","6","","10000","3907","","飞碟之前财务出大问题，这回米哈游属实是给回了口大血，这应该是飞碟财务问题之后除鬼灭外第一个关于动画的pv，感觉就是等鬼灭新篇章做完，就能看到原神动画的进度了，那时候应该就能是集全社之力全力制作，现在估计只是分了一小部分在去进行架构方面的初期工作。关于“长期项目”这个说法也非常值得一提，为什么不用“长篇动画”这种说法？个人感觉，是会类似fate系列那样，不止要做游戏内发生的剧情，还要做类似fate/zero那样的原创外传，也许会是前传？也或者是后传？甚至于涉及到崩坏系列？,当然这些纯属个人脑补，飞碟社画面效果这块不用担心的，只是剧情方面最近的HF和鬼灭都没有fate/zero那时的一鸣惊人，让人有些担忧。画面好的优点可以吸引更多的非游戏玩家和轻度玩家，特别在意剧情方面的原学家确实时少数，我想米哈游选择飞碟社一定有自己的考量，只能说敬请期待吧。"
"慵懒的貔貅","保密","河南","57537032","6","","10000","2890","","内部消息,原神的长篇动画是一个长期项目，已经酝酿了很久，估计有十八个月。,和飞碟社的合作是一个双向选择的过程，对方对于能和mhy合作也是非常乐意的。,合作中mhy有非常高的话语权，并不是那种把ip一卖就不管了的情况，可以说这个项目其实是以mhy为主导的。,烧了不少钱。[doge]"
"尔西大帝","保密","未知","18194067","6","","10000","3269","2","除了哭也想不到其他表达感情的方式了。,我在很久以前，给自己的工作室想了一个很蹩脚的口号：“做最有爱的游戏”。可是至今我没有实现这一点。,一起做游戏的小伙伴们，我希望你们的人生无论走到哪一步，都不要忘记一个游戏的初衷。,游戏的初衷，既不是玩法也不是剧情，既不是画面也不是演出，游戏是一种内容的创作，是把人们需要的东西送到人们的手里。能触动你的灵魂，这就是有爱的游戏。,小伙伴们，你们正站在中国游戏开始伟大征程的起点之上！,米哈游！我心中永远的神！"
"会梦游的鱼儿","保密","山东","411652022","5","","10000","447","","没有恶意，提个建议，关于这次原神动画化，由于是和飞碟社合作，有人担心会为了对口型，可能只有日配，个人感觉这绝对不可能[微笑],但毕竟不是国内公司，为了未来避免节奏，希望未来原神动画能在“配音口型”等诸多细节问题上，多重视，多注意，毕竟魔鬼都藏在细节里……[微笑]"
"別熬夜了姐","女","中国台湾","415466578","5","","10000","536","","真的太激動了[委屈]平常玩遊戲我都是堅持不充錢，因為深知這種消費只要一開頭就很難收尾。而且原神零課兩年了十隻限時卡池角色根本也不成問題，零課只是需要取捨而已。可是每當我看到原神不斷的成長，進步，甚至真的實現了玩家開玩笑的做了動畫，我都會感覺到原神並不想只是擺爛吸錢，而是真心想要做出更好的內容，更好的遊戲去回饋每一位玩家。這種精神真的很打動我，想著自己也可以課個月卡什麼的支持一下，這種支持，並不只著眼於卡池或角色，而是對原神這個遊戲的未來展望[原神_哇]"
"海豹Koucha","男","广东","22070778","6","","10000","3996","","官方：OK！OK！全体二创向我看齐！我宣布个事！看得出来大家个个都是人才，所以我找了个帮手来，他就是ufotable！欢迎欢迎！,ufotable：在下不才，仅有区区Fate，空之境界，噬神者，情热传说，卫宫家今天的饭，鬼灭之刃等作品，见笑了。,二创：？？？,[doge]"
"企鹅带带北极熊","女","安徽","551188239","6","","10000","260","","啊啊啊啊我只会叫了啊啊啊[tv_大哭]"
"昵称is泥城","保密","陕西","172305286","5","洛天依·最美的夜","10000","360","11","收到内鬼消息，原神动漫做的是魔神战争，一季一个国家，结局到旅行者双子降临。项目很早之前就立项了，做了有大半年了，目前蒙德已经做好了4集，特效炸裂，也就是说在璃月篇我们可以看到年轻时桀骜不驯的老爷子，还有胖成球的甘雨，甚至有可能看到五夜叉一个一个被刀[doge]"
"哲学家小啾啾","男","广东","399181558","5","","10000","690","","ufotable,日本动画制作公司,ufotable是日本一家动画制作公司。除了动画制作外，也有动画企划及版权管理业务。ufotable是由出身于Telecom Animation Film，当时为第二代东京电影（后改称TMS娱乐有限公司，TMS Entertainment, Ltd.）的制作人近藤光，透过住友商事旗下的Step映像与内田勤于2000年创立。 主要业务包括动画的企划和制作、系列构成、场景制作、电视剧实物影像的企划和制作、CG制作及黏土动画制作。【1】,公司名称,ufotable有限公司,外文名,ユーフォーテーブル有限会社【1】  ,成立时间,2000年10月【1】  ,总部地点,东京都中野区 野方1-38-11【1】  ,经营范围,动画影像作品、企划及版权管理【1】  ,公司类型,株式会社【1】  ,年营业额,3,000,000円【1】  ,员工数,約200名【1】  ,市场资料,非上市公司,重要人物,近藤光（执行董事）,别名,飞碟社【1】"
