"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"登影畔","男","无IP","398505408","5","","10000","20135","","这个pv竟然看的我差点哭了，不是因为我很了解的那些自机角色，而是那些平常我经常抱怨建模，抱怨任务的那些人，当那一个个熟悉的npc闪过时，妈妈离开的一弦一柱，和我打过亦和我一起保卫璃月的千岩军，轻策庄卖过我高价琉璃百合的磨坊老板，望舒客栈的老板员工还有钓鱼的，北国银行的那对情侣.....一张张画面闪过，才发现这个世界我已经经历了那么多。,或许，帝君他们当年的奋战，就是为了这样的海灯节吧，这盛世真的如你们所愿。"
"正在旅行与开拓的舰长","保密","无IP","241881491","6","","10000","38842","","我个人觉得这次的海灯节简直是完美的，尤其是那些小细节，像那对愚人众情侣，男方会因为比女方晚到而感到不好意思而挠头，也会因为是一路跑过来的所以撑着膝盖喘一下气；香菱向行秋打招呼的时候，会因为中间有重云遮挡而做出向前俯身的姿态，当然，还有很多很多细节。游戏里的大家在一起过年的行为也让我很感动，远游的朋友回家，一起吃饭，一起看烟花等等，这让我感觉人物都活了过来一样，第一次觉得在游戏里可以这么的感觉有年味。[打call]"
"在星铁里等阿魔的阿元","保密","无IP","628944344","5","","10000","17928","","胡桃和钟离太有父女的感觉了！胡桃调皮地拍钟离一下，钟离先是惊了一下然后发现是胡桃，最搞笑的应该是：“快看，那里有朵烟花的形状像小猪！”“如此甚好”。他俩对话实在是太好玩了。懂还是mhy懂。[原神_喝茶]"
"酱紫0o0","保密","无IP","179024674","5","","10000","8006","","虽然原神里没有现实节日，但我们都知道海灯节就是对应我们的春节，而璃月也充满着各种我国的元素，动画里的各种人物和对话，都能有对应的人事物，这次的海灯节做得非常用心，甚至觉得游戏里比现实更有年味，真的非常感动。祝各位小(旅)伙(行)伴(者)们，新(海)春(灯)佳节快乐[福到了]，刷圣遗物把把出极品，活动祈愿抽抽出金色！[呲牙]"
"撷一两副蛋饼干","男","无IP","34209140","5","","10000","7011","","以前每次问卷都抱怨阿晴不出传说任务和服装 但是之前的逐月节加上这次海灯节 阿晴戏份这么多还有一套超好看的礼服 这次剧情还有爷陪她看烟花！！！ 她身穿礼服在烟花底下展露出的笑颜实在是太美了！！！ 作为一名阿晴单推人真的已经相当满意了(=ω=)以后问卷就填希望能在每日委托中见到阿晴吧,,另外本想看看视频底下有哪些夸赞这次活动的评论 结果翻到一堆用不知死活的梦想骗赞的评论 虽然我自动过滤掉了 但就感觉挺煞风景的 有点不吐不快[辣眼睛]"
"兮涒","男","无IP","472252986","5","2021拜年纪","10000","3426","","怎么说呢，看的时候确实控制不住自己的眼泪，总感觉现实中永远拥有不了这样的年味，每个人都能和自己志趣相投的人在一起谈天说地，刻晴也听了派蒙现“编”的故事，放下工作，陪旅行者一起欣赏自己辛苦布置的烟花。不仅有各种角色，还有一些不起眼的NPC其中的一些充满细节却又丰富情感的小事，每一位在璃月的人都能够充分享受这次近乎完美的海灯节，他们每个人的经历与感受甚至能与我的内心共鸣，以至于我被深深的震撼到了，总之，这是我今年过过的最好最棒的节日！"
"清梨婳素盏","女","无IP","17549886","6","","10000","44451","","刻晴传说任务第一章：韶光抚月 天下人间,刻晴传说任务第二章：飞彩镌流年,刻晴厨站起来了！[呲牙][妙啊]"
"Luck_pig","保密","无IP","241639869","5","星座系列：狮子座","10000","12428","","游戏的年味比我现在的城市年味还更好，想念零几年的新年假期有花灯、满街灯笼、市的牌坊公园初一的舞狮和各种庆贺新年的节目，当时候的景色就永远定格在那个年代,,泪目"
"齐天小圣Monkey","男","无IP","352454890","6","2233白色情人节","10000","14220","","我单方面宣布，今年最有年味儿的地是璃月！"
"Dante但丁","男","无IP","150981831","5","","10000","13544","","看到白术和七七还在出诊 立马感慨万千啊 。今天第三年除夕在医院值班了。真是感慨万千啊"
