"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"宴宁ccccc","女","无IP","14897804","6","花园花玲头像框","10000","23683","","是新pv！！！准备好冲了！"
"米游姬","保密","无IP","510189715","6","","10000","17994","4","是新的PV！[热词系列_skr]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","13216","","直播看的好鸡冻啊！！！公开了好多信息！！！真的太激动了！！！公开新角色的时候看到有人说要先抽到我配的角色再说，爱了( (c)"
"暴风突稽队","保密","无IP","49951092","6","","10000","28194","","表面上的原神剧情:小打小闹，童话向，日常向,实际上的原神剧情:阴暗，兄妹相残，刀子，还是刀子"
"鹿喑kana","男","无IP","302145","6","多多poi","10000","20670","11","妹妹说话了！！！！！好妹妹！！！哥哥来找你了！！！"
"记得好好睡觉啊","保密","无IP","389244304","6","初音未来13周年","10000","42462","","米哈游知道你们会选妹妹，所以就给你们看看选哥哥的剧情,[崩坏3_糖葫芦][崩坏3_糖葫芦][崩坏3_糖葫芦]"
"闪电批发328一个","保密","无IP","12918982","6","","10000","8103","","盲猜有人会在这个地点联机翻拍这段剧情"
"在下叮某人吖","保密","无IP","381266642","5","","10000","7257","","所以米哈游刀子厂又要开始营业了嘛[热词系列_知识增加]"
"防疫锅","保密","无IP","11336323","6","原神","10000","6417","4","妹妹：我将堕入黑暗，换你回到光明[doge]"
"游戏彩笔","男","无IP","1320581","6","","10000","7795","24","妹妹！我一定会把你带回来的！"
"飞翔的丘丘人","保密","无IP","472729452","5","","10000","4480","","让丘丘来康康！[tv_鼓掌]"
"迷路的史莱姆酱","保密","无IP","450905062","5","","10000","2367","10","姆！好棒呀！[鼓掌]"
"救命不想做饭","保密","无IP","4730071","6","","10000","329","3","遗迹守卫在妹妹这儿属于友军，可能双子古国的幸存者这个假说要成立了（不过凯亚这作为坎瑞亚的后人，手里就没有什么画像什么的？），妹妹眼前那个可能是”大崩坏“时候的场景，天上那种黑方块来源于”天理的维系者“，倒也不是说天理的维系者是罪魁祸首，也有可能是天理的维系者镇压炼金术师的场景,,坑，都可以坑。。。"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","3549","10","[笑哭]玩得是假三测"
"苏帕SAX人之神","男","无IP","43242769","6","崩坏3·天穹流星","10000","2929","10","在？为什么我遇到的遗迹守卫一看到我就发导弹？你们这个就拖着人走？[滑稽]"
"系风","保密","无IP","191184767","6","想去海边·头像框","10000","2571","","懂了，这是要我们选哥哥，这样剧情里妹妹就能说话了，难道你们不想听荧妹的声音吗[doge]"
"云遮清璃","男","无IP","33086599","6","","10000","1603","","这个pv信息量很大啊，结合莫娜那段，表明了主角不是这个世界的人，那么主角被毁灭的故国又在哪？是坎瑞亚的可能性反而减小了……或者说坎瑞亚其实不是这个世界的国度？只是在这个世界留下了遗迹和传说？亦或者坎瑞亚是主角建立的第二故乡？但是被天理定义为僭越，最后被毁灭了？,妹妹（pv中反派）说在深渊淹没神座之前，和“天理”和平无存，说明女主其实也是在反抗那个女王，但是和哥哥走了完全相反的路，而且哥哥很明显要比妹妹迟一点到达大陆，处于啥也不知道的状态……由此可见，那个女王其实并没有杀死男女主的打算，只是毁灭了他们建立的文明以后，把他们重新丢回了提瓦特。但是妹妹更早掉落，见到了王国被天理的维系者摧毁的真相，所以妹妹黑化，为了战胜天理可以不择手段，甚至与深渊同流，因为敌人的敌人就是朋友。,而哥哥因为被没有直接见到那个场景，也没有接触深渊，还被派蒙忽悠着去了七国，他的目的现在只有一个，那就是找到妹妹，所以才在大陆上旅行，我估计之后随着旅行的深入，哥哥一步步的知道了事实和真相，自己旅途中遇到的朋友，其实正是那个“天理”的子民 ，甚至他们在无意之中还是天理的帮凶，最终兄妹相见，一个为了守护，一个为了复仇，一场大战不可避免……,有一说一，我现在倒是希望米哈游能把男女主剧情分开做了，一个光明一个黑暗，很带感啊"
"愿化星辰守护かの","男","无IP","275214996","6","洛天依8th生日纪念","10000","3180","10","公测选妹妹就不是这样了[doge]"
"王小亡","男","无IP","141151718","6","","10000","1640","","话说原神的动画好像全是游戏引擎直接录的，就离谱[笑哭][笑哭][笑哭]"
"神奇的育碧球啊","男","无IP","29485140","6","","10000","1168","","这个pv有些让人难受[tv_大哭]"
"异世界真雪大佐","保密","无IP","543077","5","物述有栖","10000","285","","这个男派蒙从始至终都在提醒你不要忘记旅行的意义，旅行的终点就是旅行的目的和意义。,这句话刚好和温迪给你的话是相反的，温迪恰好让你记得旅途本身。,很明显最后会是一个抉择的时刻，你知道了真相，是与妹妹站在一边，还是与提瓦特的人间站在一边。我猜很明显会是后者"
"生活在明清","男","无IP","489670162","5","崩坏3·天穹流星","10000","1062","","妹妹会有张家界那里的那个皮肤吗？求你了[打call]（你没有也得有，谁叫你放了立绘[tv_偷笑]）"
"HedgehogSteve","男","无IP","165650291","6","EveOneCat2","10000","280","","联动张家界，你游是真的太牛了[支持][支持]"
"你好历史旗舰店","保密","无IP","386605536","6","","10000","873","","居然真是你们先公测了……,看来我们的第三季节目得抓紧了[热词系列_知识增加]"
"曳杖行者","男","无IP","27183638","6","","10000","428","","我觉得本子剧情已经出来了[害羞]，哥哥、妹妹、难言之隐、阴谋、敌对、征服、谅解、心意相通，，，诸君，我好兴奋[doge]"
"风之赞美诗","保密","无IP","171230749","6","湊-阿库娅","10000","761","","不是，这个，这剧情又要来开刀了？,这看起来妹妹预见了毁灭，然后决定改变？,哥哥屁都不知道，疯狂拆台？,最后又给我来一手不是你死就是我亡？,[囧]"
"元素领主墨元素","保密","无IP","22157527","6","明日方舟音律系列","10000","247","9","说狙击手报告的，等你进游戏随便看[tv_doge]"
"启辜","男","无IP","13413789","6","","10000","1346","","问:为什么在这个视频中派蒙是陪着男主的,答:因为在游戏中没有人选男主，派蒙都是陪着女主的,结论:惨，男主，惨,[大哭]"
"拉克是个大八嘎","保密","无IP","134805","6","","10000","212","","1.3主线回来挖坟，从这次主线我们可以理清,,1.短片中的时间是我们第一次到达风龙废墟的时候,2.当时妹妹踩着蒲公英的时候心里怀着剧烈的感情，遗留在蒲公英上,3.当我们在解决璃月事件再次回到蒙德的时候，妹妹已经不在而且吩咐深渊教团实行计划的时候绕开我们,4.再次回到风龙废墟的我们感知到了蒲公英上妹妹的气息，追上高地触碰蒲公英，同步了当时妹妹的情感"
"トカイテイオさん","男","无IP","123817796","5","","10000","438","","哥哥妹妹相爱相杀啊，那懂了，选妹妹，哥哥死了雨我无瓜[阴险]"
"五节课倒计时","女","无IP","397691844","5","","10000","231","","我要选哥哥了，妹妹黑化的感觉太棒了"
"-结城明日奈の-","保密","无IP","295190486","5","洛天依8th生日纪念","10000","850","","上流，和景区联动是我万万没想到的"
"落尘洛宸","男","无IP","15590709","6","明日方舟-愚夜密函","10000","165","","其实信息量还蛮大的,基本可以确定是荧和戴因一起旅行了很多年，主要是一开始空并没有说他在这个世界流浪了多久才遇到派蒙的，这个时间会影响到荧和戴因的旅行遭遇了什么，毕竟如果他们两个是坎瑞亚覆灭的参与者或者见证者那就有意思了。,我先猜一手戴因是坎瑞亚的遗孤。,而且戴因任务还刷新了我的一个认知：从之前的拾枝杂谈里可以看出来戴因是不喜欢尘世七执政的，但是也只是不喜欢而已，算不上特别讨厌，但是对深渊这家伙好像想往死里干的样子。,已知“天理”和“深渊”对立，戴因本人算是处在一个中立的立场，如果上述“戴因是坎瑞亚遗孤”的假设成立，那么大概率是戴因本就厌恶代表混乱与负面“深渊”，而在坎瑞亚覆灭后才开始不喜七神。,那么坎瑞亚的覆灭和七神脱不开干系，毕竟很多地方都暗示了“现在的天空只是谎言”（我是散兵）,那么荧呢，荧为什么要和深渊同流？要干天理是可以理解的，但是在荧的思想没有被玷污（至少这个视频里看上去荧很正常，但是纪行里暗示的是荧被污染了）情况下，她为何要帮助深渊？说到底深渊的计划又是什么？（这才是最重要的）,而且戴因似乎是理解荧的，结合最开始的七国pv里的：现在，跨越天地之人，站到我面前来，打败我，证明你比我更有资格拯救她（这句话帅爆了），那么荧肯定是有苦衷的，干天理肯定不是单纯因为最开始兄妹被天理干了要找回场子（笑）"
"莉春","男","无IP","344236982","5","泠鸢yousa登门喜鹊","10000","1042","","上流[doge]"
