"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"胡桃たえ","保密","日本","3100189","6","","10000","57864","","米卡是可以成为神的角色，只要他倒立就可以了。,因为他倒过来就成卡米了。"
"养鸽人LC","保密","四川","147940472","5","","10000","11624","","在米卡诸武精通的同时，hoyomix似乎也弄到了新的乐器"
"以礼ie","女","云南","23160533","6","请吃红小豆","10000","5248","","虚假的诸武精通：公子,真正的诸武精通：米卡"
"星宇StarryCosmos","保密","美国","47670018","6","原神","10000","11457","","米卡角色演示的背景音乐真的好听，手风琴，爱尔兰哨笛，羽管键琴，弦乐器，这些乐器衬托出一股欧洲的味道，再加上和爵士鼓替换掉了军鼓，显得更有些现代风格和中世纪配乐融合的感觉。,如果喜欢的人多的话我可能会考虑做一期米卡的角色演示钢琴改编[原神_撒花]"
"三十年的四季豆","男","北京","39774318","6","凹凸世界","10000","23683","","米卡：可莉前辈，我这块地图画错了[大哭],可莉：蹦蹦炸弹"
"夢殤之徒無顏月","保密","加拿大","1250330128","4","","10000","3568","","这个米卡感觉好帅呀！不但和散兵一样是那种小少年的建模，攻击方式和给人的感觉就很好。在龙脊雪山这样的场景演示，好像把他当成方糖陪着手磨热咖啡一起喝下去暖暖身子[保卫萝卜_笔芯]。并且技能感觉也很强的样子，尤其是战技释放的碎片好像感觉有着很强的攻击性。"
"河边野猪子","保密","四川","284906968","5","","10000","39830","","米卡：“可莉前辈”,可莉：“米卡哥哥”[妙啊]"
"想取个好名字都难","男","广东","39420510","6","公主连结可可萝","10000","14812","10","虚假的绘图员：米卡,真正的绘图员：可莉，爱丽丝，温迪[doge]"
"小小不笑猫","男","福建","29077732","6","","10000","1361","","可莉都已经当上前辈了，我真的没想到[笑哭]"
"裂羊座","男","湖北","514375728","5","快把我哥带走","10000","435","","这BGM杀疯了"
"aoonooino_","男","河南","435230989","5","","10000","195","","「前进测绘员」听上去简单，但并不是一个只需要测绘和领路就能胜任的职位。,侦察、医疗、战斗与生存…各种意想不到的状况，都是在实际工作中会面临的挑战。,好在米卡是名低调又细心的少年。在大家还未注意到的时候，他已经悄悄成长为可以让大家依赖的优秀队员了。"
"一笑失莞尔","男","河北","420385686","6","星座系列：水瓶座","10000","501","","弩：水准仪,枪：水准尺,书：测量手簿,懂了，米卡在测控制点高程[微笑]"
"Kahjo","男","山东","169487603","6","","10000","700","","配音这个东西简直太神了，四个语种简直就是四个人设，中配社恐但是干练的初见上班族，日配小正太，英配地道爱尔兰人，韩配女生[脱单doge]"
"VoodooBanana","男","宁夏","4415565","6","请吃红小豆","10000","906","","中日英韩完全四中人设了。。,中：深藏不露的社恐狠人,日：沉默的努力家,英：搞怪的平民科学家,韩：阳光正太"
"ID已禁封","保密","湖北","164275700","5","","10000","168","","[微笑]看之前听说中配被喷惨，自己点开一听这不挺好的嘛？就是很贴脸的少年音啊，日常语音带着一点胆怯感，战斗语音就多了一些利落。"
"YAUME-SELAU","保密","江苏","180896691","6","雪未来","10000","74","","博人君，忍界接纳不了你，就由提瓦特来接纳你"
"白云沧月","男","贵州","25917617","6","沈剑心","10000","127","","哎...我想到了志琼...他和米卡一样，也是地图测绘员。只不过她没有神之眼..我再一次看了一次她留给爷的信，希望她没事。只是去其他地方探索去了！米哈游你别刀我哈！志琼一定要好好的活着。  ,志琼的精神正如这句名言——“人类的赞歌就是勇气的赞歌！”[热词系列_优雅]"
"临安0An","保密","福建","660514379","5","","10000","1723","","为什么旅行者在须弥会很卡呢？,因为原神出了弥卡[藏狐]"
"食食物者-卫骏捷","保密","山东","426216429","5","","10000","196","","米卡，WGS84坐标系怎么转换CGCS2000坐标系啊,米卡，蒙德在UTM投影里面选择几度分带啊？,米卡，璃月航海图都是用什么投影绘制的？,米卡，蒙德的大地水准面怎么测量啊,米卡，你测绘蒙德用的什么坐标系？,米卡，你测绘员出门怎么没看见你用全站仪啊！,米卡测绘员大佬，带带徒弟我吧！[脱单doge][脱单doge]"
"你长得怎么那么可爱","女","安徽","37301512","5","","10000","238","","米卡的配音进步挺明显的，我还记得第一次听见他说话差点没被夹死[笑哭]"
"charon_v","保密","江西","1961692817","4","","10000","257","","米卡:看好了达达利亚，这才是真正的诸武精通[doge]"
"太郎丸の小金库","保密","河南","3493134700906677","2","","10000","2635","","不能说一模一样，只能说完全一致[滑稽]"
"雨中幽兰Lancy","女","湖南","389618682","5","","10000","2837","","米卡命之座里「林鸽」的相关原型, 结合名称和米卡外形配色来看，可能有以下几种：,图1-斑林鸽(点斑林鸽),图2图3-斑尾林鸽,图4图5-灰林鸽,图6-黑林鸽,【非专业人士，欢迎指正！有些贴了两张图是因为搜到的图片跟文字描述有所不同，猜测是光线明暗的问题。】"
"网恋被骗一百万","男","河北","436874388","5","","10000","1968","","捡个米卡家人们，这也太好看了吧，他想跟我回家"
"青羽散","保密","河南","434054117","5","","10000","1916","","像啊，太像了[奸笑]"
"是桦喵","保密","福建","163128113","5","星尘","10000","1519","13","官方教你拿武器：西风长枪[doge]"
"浩炎SSr","男","湖北","409055247","5","","10000","1463","","米卡要不咱用这个吧，正好省了换武器的时间[妙啊]"
"圆周率小数点前一百位","女","辽宁","69928073","6","灵笼","10000","1069","","感觉真人比照（立）片（绘）好看[支持]"
"奇怪的向心力","男","河北","401539312","5","","10000","848","","00:18 没有人发现这里给了天空岛一个镜头吗[脱单doge]"
"吃西瓜的群众大大","男","山西","386774428","5","公主连结凯露","10000","1975","","这就是原型嘛[笑哭][笑哭]"
"liu-nian-","女","江苏","1405666160","4","","10000","770","","世界名画之,《可莉在炸鱼》,《琴团长在抓可莉》[脱单doge][脱单doge]"
"五蕉悟","保密","山西","397816663","5","","10000","437","","哈哈可莉炸鱼被琴团长逮到了"
"转发个鬼动态","保密","广东","1307559137","4","","10000","191","","首先BGM真好听。,其次米卡，帅！"
"叶小笛YXD","保密","未知","234106273","6","","10000","272","","米卡:一个不想成为一名好枪手的弩兵不是一个好法师(=^▽^=)"
"涡轮增鸭冲呀","保密","浙江","438799561","5","2021拜年纪","10000","342","","可莉和米卡的角色演示pv是一起拍的吗[崩坏3_路过],画面都对上了[tv_白眼]"
"十年间渡限时狂想","男","江苏","621852255","4","","10000","128","","01:04 嘿嘿嘿"
"吔丸的人间道","保密","广东","1377495256","5","","10000","295","","小黄鸟对视[doge]"
"陆沉的兔子精","男","广东","239904831","6","","10000","96","","我觉得更像这个[脱单doge]"
"帅酷炫拽小鲨鱼","保密","山东","451054710","5","EveOneCat2","10000","176","","策划，新深渊你自己打了吗[笑]"
"木子きご","女","江西","2140551","6","","10000","341","10","好无聊哦，原宝还不更新下一个视频，我可莉都闲到学会靖妖傩舞了，芭芭拉班尼特都学会一键秒怪了，芭芭拉主c满星这期深渊之类的。。。再不更新我甜甜花都快薅光了[热词系列_饮茶先啦][热词系列_好家伙][热词系列_我故意的]"
"っ琉璃玥","女","山东","247915590","6","","10000","138","","女生可以配少年音，但这不是韩配直接搞个女声米卡的理由[tv_笑哭]"
"Cxp豌豆","男","福建","39659905","6","明日方舟","10000","1709","11","01:08 此时一个小可爱从旁边路过"
"羏患KriA_01号","女","天津","623636910","5","","10000","221","","21世纪玫瑰泛滥成灾，廉价的爱布满了街道。,米卡，与我联手向这个快餐爱情肆意横行的年代宣战吧。[初音未来_喜欢]"
"一抹朝阳Z","女","浙江","565144456","5","","10000","98","8","像你这样的小正太生来就是要被姐姐吃掉的~嗷呜~[原神_哼]"
"_北极兔","保密","辽宁","46298416","6","EveOneCat2","10000","37","","这下不得不抽米卡了！[Cat2_CatAMail][Cat2_CatAMail][Cat2_Launch!][Cat2_Launch!]"
"小时了了T_T","女","浙江","21413541","6","赫奇帕奇","10000","58","","初代，姐姐一定会在壶里好好养你的[原神_得意]"
"是Dengdeng吖","保密","吉林","2012716408","5","","10000","51","10","太短了，而且那么多实机，原宝你又偷懒！[傲娇]"
"一言为定丿","女","江苏","308156783","6","","10000","24","","01:09 被琴团“追捕”的可莉！哈哈哈哈[笑哭]"
"十四行_诗","保密","辽宁","323023450","5","","10000","47","","[吃瓜]"
"星屿樱","女","吉林","386267896","5","快把我哥带走","10000","559","","说，你俩什么关系[未定事件簿_躲墙角]"
"user_undefined","保密","辽宁","38116376","6","异常生物","10000","36","","可莉害得米卡重画地图，米卡为什么不生气，还尊敬她为前辈？因为「冰」不厌「炸」"
"浮夂","保密","江西","286719949","6","","10000","69","","可能是我先入为主了，觉得米卡就是社恐小男孩[原神_嗯]不管你们怎么说，反正我觉得中配声音很贴，只有中配给声音有社恐的感觉[原神_喝茶]，其他三个声音（特别是英配和韩配）都给我感觉太活泼了。"
"iceshade","保密","北京","2030707","6","","10000","57","","呆毛太粗，万叶没揪动[脱单doge]"
"萤惑真君","保密","上海","2015374","6","春原庄的管理人小姐","10000","23","","也只有米卡的靴子才能配上我的嘴[热词系列_肥肠自信]"
"一只大肥陀","保密","山东","157477503","6","雪未来","10000","28","","虚假的诸武精通:鸭子,真正的诸武精通:米卡[脱单doge][脱单doge][脱单doge]"
