"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Wonder4ever","男","山东","15710788","6","公主连结佩可莉姆","10000","12730","","摩诃善法大吉祥智慧主 布耶尔大人，您忠实的旅行者已经准备好了，时刻都可以迎接您的到来"
"灬白色恶魔","保密","浙江","1692523","6","古守血遊","10000","1639","","这次纳西妲的角色演示真的没想到这么让人泪崩。一开始我还担心同为七神的角色演示，温迪的潇洒自由，钟离的稳重，雷神的威严，纳西妲的演示到底会用什么样的方式呈现。,这次纳西妲的演示，真的可以说是mhy铺垫了好久，花神诞祭的轮回，一整章森林书，整个3.0和3.1玩家酝酿下来的情绪直接在合唱响起时爆发出来。,只有经历过主线剧情，还有认认真真做完森林书的玩家才能体会到这种看纳西妲演示边笑边流泪的感受吧[笑哭]"
"帝垣琼玉","保密","北京","13932346","6","","10000","4138","","第一重梦境（荡秋千）：倒数321,第二重梦境（秋千上睁开眼）：纳西妲和兰那罗玩捉迷藏,第三重梦境（进水）：纳西妲和须弥的孩子们在梦中游戏,第四重梦境（开大之后）：纳西妲让兰那罗和孩子们一块嬉戏,回到第三重梦境（过水）：梦醒之时察觉欢乐已逝,再回到第二重梦境（和兰那罗嬉戏）：落到兰那罗上面,回到第一重梦境（荡秋千）：自己刚刚未曾睁开眼，兰那罗也消失不见,现实（一闪而过的世界树）：纳西妲蜷缩成一团，被飞走的鸟惊醒"
"来回奔走的包子","保密","天津","6644775","6","","10000","1482","","希望大家不要简单的去说刀或者扬了教令院，森林书的时候我就发现很多人标签化的去喊刀，整个剧情乐观和阳光的基调和兰那罗的纯真和勇敢却很少有人提及。这次演示也是同样，小草的梦幻世界与其说是欲抑先扬倒不如说是她内心的具象。面对一个有这么美好内心世界的人，我们只去哀叹她的遭遇而不能从她身上汲取力量，小草她会伤心的"
"Iris_Aprighte","保密","四川","20941960","6","罗小黑战记","10000","5768","","纳西妲的角色演示诠释了何谓孩子的想象力。她从诞生起就没有机会去看过世界，只是在虚空中游走接收她能接触到的理论知识。但也正是因为这些“理论知识”她从未实践过，她才能在自己的脑海中不受现实的约束，编织出天马行空的梦：孩子们在知识之海中遨游，巨大的鲜花载着她满世界游荡，只在渊下宫生存的遥鲲突破沙海带她飞向天空。她的幻想像是第一次扇动翅膀的离巢幼鸟，自由而充满生机……即使她的本体始终被囚禁在笼中，她真实的翅膀未曾真正地令她飞翔。不知以后她将双脚踩在土地上，用属于自己的眼睛去感受这个世界时又是什么样的心情呢？"
"きひろとあきり","保密","安徽","290963512","5","","10000","689","","其实之前对纳西妲还是比较无感的，即使是看了祂的角色PV也只是觉得“教令院你给我等着”那种感觉，但是看完了角色演示，不知道为啥突然对小草神的感觉就上来了，等我有时间入坑之后一定抽爆祂！（没错虽然我看完了原神所有的PV，但是依旧没有入坑……主要没时间哈哈哈哈）,,想了一下，突然上头应该是这个原因。,,“真正天真的人不是单纯的如一张白纸，而是经历过世事，看过悲喜，体会过生活的五味杂陈，依旧相信真情，眼里只有美好，心存感激，不抱怨，不记恨。人生本是一场修行，你只需用心的感受。”"
"默默无闻潜水人","女","湖北","247540649","5","","10000","521","","十分让人动容的角色演示.......个人认为演出是今年最优秀的，抛开米哈游一贯优秀的音乐（但是兰那罗合唱真的绝杀），运镜，叙事，表达，确实像儿童节目一样让人很容易就get到点。细节也是绝杀.......合唱对应森林书，在梦境中穿梭对应在须弥只有小孩会做梦，有一段纳西妲的剪影包含着须弥丛林生态，我喜欢理解成纳西妲一直关心这她的子民......结尾的转场真是太丝滑了，被兰那罗们高高举起，再到回归现实，其实只有纳西妲一个人。我曹米哈游也太牛逼了吧"
"吾肆织朱","保密","江苏","600116996","5","","10000","1301","","赛诺：你知道清理了死域后我们会化成什么吗？,旅行者：化成什么？,赛诺：会化成锅巴...因为提纳里说，清理了死域后我们回化城郭吧"
"清越有声","女","山西","22935919","5","","10000","177","","所以说，我觉得“笑容”是人类最难看的表情，你看，笑容需要牵动的脸部肌肉实在是太多了，整张脸被神经扯动，再娇俏的脸都变得如同酒后发病，难看至极,,但从文献中我看到了各路诗人对“笑容”的赞美，白居易说“回眸一笑百媚生，六宫粉黛无颜色”，苏轼说“美人微笑转星眸，月花羞，捧金瓯”,,老实说，我理解不了，我在生活里从未对这个表情有如此夸张的反应，实际上就连那“咯咯咯”的笑声，也令我十分心烦意乱。对，或许我是讨厌“笑”这个概念本身,,但我总是对理解不了的事物充满探索欲，我便开始探求这其中令这些诗人沉迷的地方。既然从现实无法探求，我便随作品出发好了,,一路上，我看过了蒙娜丽莎，酒神巴克斯，犹太新娘，一笑倾城。不，它们都无法诉说我想要的“美”，我迷惑了，我的旅途还未抵达终点，却已宣告终止,,我跌跌撞撞回到家中，打开app，食指似卡壳的机械般滑动着界面，手机的微光打湿了我的眼睛。我不甘心，我又一次失去了探求美的资格，正在我泣不成声时，这个视频就出现在了我的首页,,我仿佛听到了命运之钟的摇摆声，咔嚓咔嚓，一切因果于此时收束，一切缘由在此刻得以揭晓，旅行的旗帜被重新纺织,,纳西妲，她便是因，是果，是我旅途的最终答案,,她的笑容，就是我的答案,,若是此时李白，苏轼，达芬奇等人与我把酒言欢，谈及他们对“笑容”的赞美，现在的我或许可以认可了,,但是，或许我也会起一些没有缘由的攀比之心，“或许你们几位大诗人大画家应该见一见三一。” "
"云澜与周","女","山东","190160118","5","全职高手","10000","1803","","最开始来须弥我以为是童话故事风格，小吉祥草王这名字一听就是被人民宠爱的小孩，听着都顺心……,谢谢米哈游。"
"褪色的旧相册","保密","贵州","545871","6","","10000","1737","","四神区别,岩神：我虽无意逐鹿，却知苍生苦楚,风神：我无意逐鹿,雷神：我让苍生苦楚,草神：我苦楚"
"哼-我想当御姐","保密","山东","291279976","5","","10000","3031","","我是真的会信，米哈游角色设计的人蹲在幼儿园门口观察。。。。,谢谢mhy，带我做了一场美好的、有童心的梦[委屈]"
"好多只睡睡","男","河南","27113875","6","","10000","259","","回坑老玩家不懂就问,有这么可爱又充满童趣的小草神,须弥的剧情是不是特别温馨"
"夜之遮阳伞","保密","天津","388222367","6","早稻叽","10000","3062","","这次的更新：,1.修复了部分旅行者不想抽纳西妲的bug,2.再次增强了旅行者想扬了教令院的决心"
"人活着就是为菈妮","保密","广西","131263915","6","","10000","966","","游泳哪段是不是枫丹的伏笔，能在水下游泳。米哈游加把劲啊，须弥地底挖空了，枫丹整个水底世界吧。"
"小小孜孜呀","女","福建","477248756","4","","10000","62","","大家得得把纳西妲当成神来看待，而不是一个在高位之上的普通人，她的绝对智慧决定了她绝对理性，使她从头到尾展现出来的都是从容的一面，不管散兵如何折腾，一切依然尽在纳西妲的掌控之中，这才是一位神明该有的能力，也是她的魅力所在。至于流浪者这个角色，他已经不是散兵了，原先的散兵已经死在世界树里头了，想挽回友人，挽回曾经被自己伤害过的人，但没有成功而已。网上很多人觉得散兵是想改变历史来脱罪，但他其实只是想消除自己在世界树里的印记，这样他就不会和丹羽相遇，不会和小男孩相遇，不会被雷神当作次品抛弃，过去引起命运纠缠的一切都不会发生，这样丹羽就不会死，小男孩说不定也不会死。但他不知道的是想改变提瓦特的命运对神来说都举步维艰，对这个已经不是神明的散兵来说更是难以撼动的，不管有没有散兵，丹羽还是会死在博士手中，小男孩也会死，雷电五传必然没落。被散兵从借景之馆带到须弥的流浪者（散兵想出的使流浪者不会与小男孩和丹羽相遇的方法）在接受了散兵的记忆之后，选择替散兵赎罪，心甘情愿被纳西妲禁足于须弥，并且帮助须弥整理学术文件来尝试一点一点弥补过错。但是仔细想想，散兵做过的事与现在这个流浪者又有什么关系，他什么都没做过，只是接受了一段几百年的记忆，就像是做了一场梦一样，但大家都对他说这是真的，于是他选择相信并为之赎罪。所以现在的情况是原先的散兵为了救人已经死去，流浪者接受了他的记忆替他赎罪，但细思极恐的是这一幕也有可能是纳西妲一手策划的，让原先的散兵死去，换一个纯洁的流浪者回来，所以她始终保持着从容，这也可能是她智慧的另一体现。这才是原神倾落伽蓝间章所要表达的内容，并不像大家在网上看到的那样散兵无脑怨恨知错不改只会逃避、纳西妲大圣母白莲花的人设。希望大家以后认真过剧情，不要在对剧情一知半解的情况下被节奏带偏，他们都是一群不好好过剧情的人罢了，我还看到一个带节奏的人说草神早就在世界树里被消除人格了，现在的草神是缝合怪，emmm，大家懂得都懂。"
"斑马没有睡123","保密","辽宁","39821230","6","","10000","1078","","风神眷属:做点正事吧，巴巴托斯！,岩神眷属:摩拉克斯，是时候清算一切了！,雷神眷属:影，你个小土妞,草神眷属:我们藏好啦:]"
"朱兆丰","保密","江西","245421684","4","","10000","66","","个人观点，3.3间章纳西妲招安散兵的原因,1，纳西妲刚上任时，须弥内部问题非常严重，短期内不可能实现中央集权，国防力量（执政神，高端战力，正规军）和纸糊的无异。纳西妲自身情况不乐观，又不擅长正面战斗，急需一个能24h待命的高端战力（赛诺海森旅行者均做不到）,2，外交风险。虽然纳西妲意识到散兵已被抛弃，但至冬仍对外保留着他“愚人众第六席”的高层身份，一旦纳西妲处决散兵，至冬和愚人众对须弥发动军事制裁时，可以把须弥危机的锅全部甩给前大贤者阿扎尔，再以“杀害至冬高层”的罪名向须弥发动战争，而至冬做到“师出有名”，另外五国就算想介入也不好找借口。至于其他选项，如果纳西妲长期关押散兵也有类似风险，而直接释放会让她这个执政神颜面无存，那么相较而言，招安成了最优解（国防是外交的后盾，这是目前四国对至冬外交态度差别的重要原因之一）,3，责任推定。须弥危机是第二席博士，第六席散兵，前大贤者阿扎尔合作进行的造神计划引发，但伤害须弥民众这件事上散兵几乎没有参与，属于事件从犯，罪不至死，主犯博士因为纳西妲没实力制裁只能驱逐出境，那么处决散兵也起不到伸张正义的效果，不再是最优解。至于他在须弥以外犯的事，根据属人管辖和属地管辖，纳西妲没有资格和义务对他审判"
"小sakura和怪兽","男","四川","483472203","5","原神","10000","1791","","论职场新人和老员工的区别,风神：摸鱼[原神_干杯],岩神：退休[原神_鸽子],雷神：Al托管[原神_躺平],草神：我还差的很远，还远远不够格，成为真正的神明[原神_哭哭]"
"背负永恒疾风命运の卡密","保密","河北","381480106","6","星座系列：白羊座","10000","126","","这次演示可挖的细节还挺多的，开始纳西妲荡秋千和兰纳罗们玩捉迷藏，后面潜下水和孩子们在梦中一起遨游应该是指纳西妲在孩子们小时候便见过面了（梦里，参考迪娜泽黛），那是不是代表纳西妲其实早就在500年间和所有须弥人早就在小时候见过，只是长大后忘了？,  开大后依次出现纳西妲和动物，兰纳罗，植物嬉戏，应该是表示作为草神和须弥，和森林的联系吧（说不定还有更深的联系），而马上接着纳西妲举起双手送出飞鸟，是在说自己也向往可以得到自由的飞鸟吗？还是说其实是某种祝愿？,  再次落入水中后，纳西妲张手像是想要抓住什么，此时瞳孔里倒映出一个...蓝色的丝带？飘过的场景，以及一个绿色的标志逐渐缩小（表示距离变远），这段实在不清楚究竟是什么，可能要等明天的剧情或者传说任务了,  纳西妲一个人又重新坐在秋千上，眼睛紧闭，表示刚才的场景可能是自己的想象（梦），如同电视鼓掌的花屏中掺杂着世界树的影像（博士的研究，烧毁的世界树）,  最后在黑暗中，纳西妲望向飞鸟，眼神变的好像坚定了些，不知是被惊醒（旅行者们带来的变化），还是须弥的神明，自己决定做出什么改变了呢"
"ravenjellicle","保密","上海","651342","6","","10000","3274","","婚车颠呀颠，纳西妲睁开眼，她说做了一个梦，梦见和我婚礼是今天"
"cookie-NANA","女","未知","30751170","6","","10000","3868","","纳西妲的小手和小脚是超级无敌可爱的存在……但这不是原宝你最后来那么一下的理由。[保卫萝卜_哭哭]"
"sola桅","女","湖北","401032136","5","","10000","221","","@栀我意 兰那罗太犯规啦[保卫萝卜_哭哭]"
"铃不响于风中","女","湖南","453129766","5","天依游学记·歌行","10000","1818","","抢到了前排！说一点和视频无关的想法。。。,原宝我求你加大打击内鬼的力度啊！！！剧情党不想被内鬼剧透啊啊啊啊啊！我只是想点进tag吃个粮而已，为什么要拿内鬼解包的剧情糊我一脸啊。。。【不想被剧透的剧情党流泪】"
