"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"CNHND","男","无IP","20574958","6","","10000","10190","","《手头紧的时候不要看米哈游的PV》"
"风荷醉_子音追","女","无IP","22152819","6","","10000","33433","11","啊啊老……（啊不）闺女啊啊[星星眼]！！,这就是优菈西风剑术独特的原因，每一招都有家族中传承的祭礼之舞的身影！好耶！动作做出来真的好好看！"
"--钟离---","保密","无IP","68470719","6","原神","10000","11149","10","看pv之前：不抽尤拉，她是c，我不缺c[无语],,看pv之后：如此流畅的舞步与技能的完美结合，战斗中的尤拉如同舞者一般，赏心悦目。,,旅行者，你愿意与罪人一起共舞吗? ,,尤拉，我来与你共舞了,,—648*n,[微笑][微笑][微笑]"
"一只猫猫虫耶","女","无IP","20260935","6","","10000","5301","","我的重点有些奇怪，我觉得优菈高跟鞋的声音好好听[羞羞]"
"QAQ我会有猫的","女","无IP","8004443","6","BLG信念干杯收藏集","10000","45603","","“本是名门望族彰显自身尊贵的仪式”。。。[热词系列_知识增加]卢姥爷也会跳嘛[热词系列_好耶]"
"账号已注销","保密","无IP","33219064","0","","5000","6539","","完了，我的鉴赏之魂又在蠢蠢欲动了"
"の尼桑","男","无IP","39788079","6","","10000","40865","13","真相大白了，原来 兔兔伯爵 跳舞的原型是你[热词系列_知识增加]"
"临时艾滴","男","无IP","376950","6","","10000","39546","","让古恩希尔德家的女儿也整一个[doge][doge][doge]"
"玉尘归","保密","无IP","39559985","5","","10000","24707","","帝君：我要点菜！,香菱：开锅啦，开锅啦！,刻晴：剑光如我，斩尽牛杂！,北斗：这是斩尽海参的力量！,公子：破绽，烧冻鸡翅！,甘雨：上盘花生。,优菈：煎饼，断绝生抽！,胡桃：吃饱喝饱，一路走好[doge]"
"吃冬瓜的喵酱","男","无IP","13837150","6","2020拜年祭（鼠）","10000","57390","","穿的比整个舞蹈区都严实[脱单doge]"
"大笑2323","保密","山东","1441089995","3","","10000","333","","你是来学跳舞的吧！[doge][doge][doge]"
"灵能合成人","保密","无IP","335928858","5","","10000","41117","3","大型连续剧《等神里》,第一集《巴巴托斯我是你的信徒啊》,第二集《可莉我最可爱的女儿！再氪一单吧！》,第三集《公子你还缺弟弟妹妹吗！》,第四集《男同竟是全世界！这个男人怎么能这么帅！我们的xp已经变成了钟离的形状》,第五集《小王子！！！！阿贝多真好看》,第六集《我要陪甘雨一起加班！！！！》,第七集《魈君！牙白！卡库一！》,第八集《嗷嗷嗷嗷嗷嗷嗷嗷》,第九集《我要做尤菈小姐的狗》,敬请期待第十集《枫原万叶，我爱你》,神里？神里是谁，我已经攒了100石头了[脱单doge]"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","22483","10","千万别学我在棚里用大音箱看这个！我现在只想抽六命了～！[喜欢][喜欢]"
"咕噜噜橘子块","保密","无IP","7752294","6","","10000","16563","","我懂了,神里是冰属性,优菈也是冰属性,神里是大小姐,优菈也是大小姐,神里很优雅,优菈也很优雅,,我抽了优菈,那我就抽了神里,,大型连续剧《等神里》就此完结[热词系列_知识增加]"
"北极星长崎素世","男","无IP","441558142","5","","10000","9699","","钟离pv：看戏,甘雨pv：睡觉,公子pv：写信,优菈pv：跳舞,[doge][doge]"
"我MoYu你Mo吗","保密","无IP","284260388","5","","10000","44161","","2020年9月15日开播的大型连续电视剧《等 神 里》，第九集《想 当 优 菈 的 狗》预告已发布"
"奇响天外","保密","无IP","4408371","6","","10000","8567","","[给心心][给心心][给心心][给心心][给心心][给心心][给心心]优菈与我共舞吧！！！！"
"时间之类","保密","无IP","86123717","6","","10000","1498","","半年前我在群里分享新角色演示,群友：原神？狗都不玩,,现在我在群里分享新角色演示,群友：好想做优菈小姐的狗啊汪"
"次元アイドル番組","女","无IP","852777","6","","10000","564","","虽然很多up已经科普过优菈的战斗就是在跳舞了，但也有很多人一下子没看出来，我觉得这pv挺好的，更加灵活的展示了人物特性（光是分镜配bgm那种手法思考空间有限，观众也容易看厌）"
"原谋神w","保密","无IP","287094991","5","","10000","52558","","现在没人，我宣布一件事，我是优菈小姐的狗[doge]"
"厨偶像的Friends","男","无IP","9406692","6","魔法学院","10000","569","","草，看哭了，不是说这个PV有多惊艳，而是关于罪人后裔这一说法，尤菈一直都饱受争议不管是游戏里还是游戏外，游戏里是被万人唾弃害怕的罪人，游戏外从内鬼那里出来就被人带节奏，抵制罪人后裔，动作抄袭，当贵族的祈礼之舞与攻击招式一一融合，如今贵族的舞蹈已经成为自娱自乐的消遣，要与罪人共舞吗？我TM，不是别的，米哈游骗钱有的一手[笑哭]但我保底刚给了钟离先生呜呜呜呜呜呜呜呜呜但凡烟绯早出来我不至于啊啊啊啊啊啊啊啊啊"
"Mr_Animus","女","无IP","286741730","6","EveOneCat2","10000","412","","看到优菈跳舞说自己是罪人突然想到剧情pv里枫丹的标题“罪人舞步旋”[原神_小事一桩]"
"蓝河堪称绝色","保密","无IP","4356299","6","","10000","680","","非专业科普，知识来源于家里的舞蹈老师。这段编舞是专业的，最起码也是正儿八经学过国标的人编出来的，更别说还融进了招式。,pv的bgm编曲风格偏向于桑巴，但舞蹈是以华尔兹和拉丁为基础，包括了华尔兹的“旋转”和“并步”，伦巴和桑巴中都有的“摆荡”，还有拉丁的“定点”、“造型”，还有一些小动作更像斗牛的“造型”，步法类似放慢的牛仔。不过都不是很完整的动作。,华尔兹属于国标，最早是快节奏的农民舞蹈，十七世纪成为维也纳皇宫的宫舞，再逐渐发展为上流社会贵族之间的社交舞。所以优拉跳的祭礼舞以华尔兹为原型编舞完全没问题。国标舞是竞技性很强的舞蹈，一次比赛十年功夫，不是啥故意为了流水随便搞的哈。,虽然我个人不喜欢优拉，酒馆pv对我心灵造成得伤害太大了，但是必须客观的说，这次编舞确实让我觉得惊喜。,如果她想要起舞，我会愿意为她演奏到大汗淋漓。仅仅因为舞蹈和剑术，而非因为她。"
"见江心秋月","保密","无IP","336569752","6","","10000","1005","","我觉得优菈的人设很好，“罪人的后裔必须独自挣脱复仇的枷锁”，是一波很好的文化输出，说不定可以动摇部分霓虹人的思想,作为一个中国游戏，他传达的必定是中国的思想文化底蕴，文化输出嘛"
"白ch","保密","无IP","351793926","6","","10000","17271","","“罪人的后裔必须独自挣脱复仇的枷锁”----原神,“他们以前的过错，为什么我们来承受”---谏山创"
"星辰美食酱","男","江苏","204894094","6","","10000","47","11","优菈姐姐，现在已经不是记仇能解决了的问题了[tv_难过]"
"神里綾人","保密","无IP","8286643","6","圣诞节快乐","10000","233","","今天是我生日，也是国际不再恐同日，所以我和优菈姐姐贴贴，可是优菈姐姐你会来吗[大哭][大哭]"
"雪辰沙","保密","无IP","352751792","5","","10000","2268","","旅行者天天把优菈念写成尤拉，这仇，我记下了。,旅行者只就看中我的外貌，不看重我的实力，这仇，我记下了。,旅行者还想着把雪山湖的湖水喝干！这仇，我记下了！,——蒙德最强记仇达人、旧族末裔、骑士团“内鬼”、浪花骑士：优菈·劳伦斯,[doge][doge][doge]"
