"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"卡哇伊小忍","男","无IP","1113574","6","","10000","18952","12","看热评没什么人提，稍微介绍下这个乐团,,Flanders Symphony Orchestra（法兰德斯交响乐团）是一支比利时著名乐团，该乐团由60位音乐家组成，并由第一代指挥Dirk Varendonck成立于1960年,,Flander是比利时西部的一个地区，人口主要是弗拉芒人，说荷兰语，传统意义的“法兰德斯”亦包括法国北部和荷兰南部的一部分。 该地荷兰语名为“Vlaanderen”，意为“泛水之地”。,,换句话说，这是一支来自丹枫的乐团[doge]"
"超级索只有Y染色体","男","无IP","383794133","5","崩坏：星穹铁道","10000","2442","","Dirk Brossé（后文简称Dirk） ,1960年出生在比利时根特市,是一个多方面的作曲家,在国际乐坛是一位受人尊敬的指挥家。他目前是“费城的室内乐团”的音乐总监,Filmfestival根特的音乐指挥和音乐总监,指挥“星球大战”世界巡回音乐会。,在根特和布鲁塞尔的音乐学院开始了他的音乐研究，在马斯特里赫特,维也纳和科隆多地学习之后，精通了指挥，。目前是根特皇家音乐学院的作曲、指挥专业教授。,Dirk几乎指挥过所有出色的比利时管弦乐队,其中有布鲁塞尔爱乐乐团,弗兰德皇家爱乐乐团,佛兰德歌剧的乐团和比利时的国家交响乐团。,除开他的家乡比利时,他还指挥过伦敦交响乐团,伦敦爱乐乐团、伦敦皇家爱乐乐团,上海交响乐团,温哥华歌剧乐团,韩国KBS交响乐团,世界交响乐团(日本),伯明翰城市交响乐团、北爱尔兰的阿尔斯特交响乐团,香港爱乐乐团,鹿特丹爱乐乐团和委内瑞拉和厄瓜多尔国家管弦乐队。,Dirk是一个多才多艺的且多产的作曲家。他写了大约200首作品,包括协奏曲、神剧,民谣,室内乐和交响乐,已经在世界各地演出，最重要的作品是“La Soledad de América Latina”，是与诺贝尔奖得主马尔克斯协作完成的。2010年,在香港中乐团的邀请下,他写了“The Hallow-e'en Dances”。这首充满万圣节气氛的作品，是专门为古老而传统的中国乐器所写的。"
"大咸鱼凌空酱","保密","无IP","14151875","6","","10000","9197","","偷偷高告诉你们哦[2233娘_大笑],其实交响乐团的乐器摆放也是有讲究的,最前面中心的是指挥，左边从前往后分别是第一小提琴，第二小提琴，右边分别是中提琴 大提琴 低音提琴,中间部分则是单簧管双簧管巴松管等木管乐器，右后方是小号等铜管乐器，左后方则是各种打击乐，而钢琴竖琴则会放在最左侧,这样的目的是让指挥可以关注到所有的乐器，这样指挥的话也会方便很多啦[小电视_赞]"
"鱼跃龙门摘星辰","保密","无IP","392592375","5","原神","10000","609","11","《原神》线上音乐会将于10月3日上线，首支预告片现已发布。,,《原神》携手指挥家Dirk Brossé及Flanders Symphony Orchestra乐团，即将带来一段美妙的音乐之旅，与旅行者共同重温那些在提瓦特大陆中回荡的动人旋律。"
"人间鸦鸦","男","无IP","354092315","5","","10000","2154","","香菱小可爱穿成那样猛地一下子还以为是洛天依[笑哭][笑哭][笑哭],只有我一个人看错吗"
"臻de妙","保密","无IP","1313767650","5","","10000","10383","","问：能印别的字吗？,答：璃月吗                  .jpg[doge]"
"LLnnes","保密","无IP","263139292","5","","10000","105","","说不出来的感觉，我们总支持新生网络事物，逐渐冷漠类似传统古典音乐会，我们不认为这不妥，这是事物发展的必须。,原神作为新生事物，抛弃手游界传统规矩，如此大搞，第一反应高雅，第二反应有能力，第三反应羡慕，第四反应担心，第五反应竟是惋惜。,不知何故如此伤感，只觉高雅似乎如时代静静退场的从容，却徒然发现这竟是米哈游对鼎盛时代的盛会。"
"千川雪饼","女","无IP","12808879","6","罗小黑战记","10000","1138","7","大家好，你们现在看到的，就是我昨晚傻乎乎等科隆游戏展到4点钟等到的东西[大哭]"
"bad-apple-","男","无IP","39559794","6","","10000","13868","","正经的上流音乐会：参加的人都穿着西服，礼服，安安静静。,可遇见到的原神音乐会：观众奇装异服，cosplay，没钱买cos装的也都穿上“璃月”夹克。。。。"
"purehalfblood","保密","无IP","480460653","5","","10000","1044","","我刚刚发现，这么多人里和音乐有关的辛焱居然不在，而且这么久都没有人注意到，辛焱是不是太惨了点[笑哭]"
