"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"狂気のPhysicist","保密","意大利","8611359","6","","10000","3992","","四年春节都没有在家过了，满以为自己不会在乎，但是随着新年的接近，还是会..."
"遗风别怕我是渊啊","女","江苏","260435039","5","","10000","198","","看到评论说一味的宣扬本国文化会让外国玩家抵触，确实如果反过来一个游戏天天跟你讲他们国家的你会抵触，这个问题我倒是觉得是个很好的思考点，因为从外网实际反应来看国外玩家接受良好，关注度比不上纯粹的游戏内容（pv、幕后啥的）但关注到的，评论都是“很感动”，为什么？我想这得益于日常游戏中原神的制作组对于其他地区的东西依然“很考究”，【一味】这个词语蕴含的前提条件本身就不存在，对于国内玩家而言在“须弥”“稻妻”“蒙德”的版本你甚至可以被反科普，而我看到的推上很多国外玩家感慨的也是“通过这个游戏接触到了很多其他国家的东西”，首先国外玩家接受并喜欢了游戏本身，其次他们在日常游玩中感受到的是“七个国家同样的精彩”，最后在这种带着些宣传性的东西上他们就会很自然的接受这一点点的“小偏心”，何况内容是传统、亲情、团员这样人类共通性，而非一些强硬的话题呢。,其实对于国内玩家也一样，如果不是大家喜欢海灯节版本，认可原神的内容，那你发多少公益内容玩家只会埋怨你本体不做好，本末倒置，而现在本在那好好的，过年发个短篇对大家而言自然是锦上添花了。"
"-黑井白子","保密","江苏","44630625","5","","10000","821","","看到有个已经没了的评论：“高度绑定文娱等着慢慢落下去吧，国内已经从一开始流水占比30%到47%，国内还觉得在国外大家都能消费，你这么透支自己的文化输出，最后倒霉的还是原神这个游戏。”,,我觉得这样做可能不可避免会让那些反华的人骚动，但作为一款中国游戏为什么反而要极力避免展现自己的中国元素呢？想站着把钱挣了不行吗。再说流水，有没有可能是因为国内的游戏群体变庞大了，我是觉得身边玩原神的人越来越多的。"
"亚食人","男","未知","80304","6","","10000","145","","感动！,类似剧里的小县城鱼灯虽然很有文化气息，但是呢 这些文化遗产在过去很长的一段时间内 是带来不了什么生产价值的，就像剧中的老人用上了自己的一辈子，眼睛都快弄瞎了，又换来了什么呢？,为什么要守护这种传统文化？,,唯有门前镜湖水，春风不改旧时波。,其实每个人最初接触文化的记忆就是童年  童年有着无忧无虑与家人在一起的美好的回忆。,其实文化的源头 就是我们的家~,文化传承还在 家就还在，守护这样的文化就是守护我们记忆深处最初的那个家。"
"啾啾与三条鱼","保密","河南","10708618","6","","10000","3506","","第六批省级非物质文化遗产代表性项目名录推荐项目名单公示，汪满田鱼灯会在列。 旅行者放心"
"辣子鱿鱼","男","安徽","296013602","6","","10000","710","","可惜了 现在很多东西都快没有人传承了 我们这今年舞龙的人又凑不齐了 上次看舞龙已经是初中了 现在都大三了[大哭][大哭]我们青阳还有一个文遗“青阳腔” 现在已经没有多少人传承了 不清楚隔壁贵池（原称 秋浦）的傩戏怎么样（不是因为魈我也不知道 原来傩戏离我这么近）,现在我们这已经越来越没有年味了 希望黄山那边的传统能够一直流传下来"
"木鱼水心","男","未知","927587","6","","10000","169","","米哈游竟然出了一部真人片，哈哈~鱼灯串起了两代人，故事起得很平静，但情绪流的发展相当好，还是很令人共情的。,海灯节和璃月的BGM虽然平时有听，但出现在短片就好像在和大家一起过节一样~,愿我们每个人不管在哪，都有家里的灯照亮前路！,大家海灯节快乐，新年快乐！[tv_微笑]"
"账号已注销","保密","安徽","11306337","0","","5000","1533","","谢谢原宝今天给的惊喜。[喜欢]作为一个汉服爱好者，我们从大概两年前开始就在宣传或者制作各种中式灯笼了，其中就包括这个鱼灯。当时大家都被影视剧古镇风情街充斥的日本灯给气到了，两年过去了，现在的汉服同袍基本都对这各种中式灯笼不陌生了，也非常开心原宝这次能制作鱼灯相关让大家更了解我们的灯笼文化。[打call][打call][给心心][给心心],以下是我找的几个中式灯笼相关的视频，感兴趣的可以看看。[给心心],【这才是真正的中国风灯笼，古装剧都好好学学！-哔哩哔哩】 https://b23.tv/trK3uw1,【【花 市 灯 如 昼】中式传统灯笼之绛纱灯-哔哩哔哩】 https://b23.tv/hJUzPId,【见过人均非遗的活动吗？同袍自制鱼灯，穿中国汉服过中国节！-哔哩哔哩】 https://b23.tv/cfraGN6"
"小见见Zz","男","天津","3682229","6","","10000","4623","","全球化让民族性质的东西产生了一些消极的影响，我们时常说年味儿变了，更像是在抱怨着日新月异的物质生活下，一种精神上的空虚感，而年味儿的概念则是情绪上的共鸣，影片中的鱼灯可以等同于所有观众，所有家乡中的那个具象的仪式与物件。在这个时代，我们能够在一个平台，一个游戏账号下看到这样能够让情绪爆发出来的短片时，就已经证明了，传承一直在，只不过在时代的浪潮中，转变了形体与方式，也许这才是最好的办法。"
"KoNoBeanDa","女","广东","15364596","6","罗小黑战记","10000","3154","","“把舌头伸直了，啥传说啊，这是老传统！”[tv_难过]希望中国一些传统不要变成触不可及的传说中的东西，传统就是要传承才能发挥最大光彩的[tv_难过]"
"vigostring","保密","山东","361656930","4","","10000","1881","","我见过还有另一种形式的鱼灯！这种鱼灯是用竹竿缠上细丝吊起来，像鱼在空中游动。很好看"
"纸鸢YUAN酱","男","山东","1684977533","4","","10000","325","","视频并没有仔细描述游戏中过年的场景，而是借游戏中过年的喧闹，表达了人们对现实中过年的憧憬。这次哭的很厉害，但在心底我是开心的，一半为老一辈手艺人和当今年轻人的理解与释然而乐，一半为米哈游终于成长成了一个真正的社会建设者而自豪。这样优秀的作品，我想即使不经过翻译，也会把外国人看的潸然泪下吧。她们能用一个仅仅15分钟的视频为人们阐述这么多道理，试问中国还有哪个游戏厂商能做出这样的具有批判，教育意义，并集亲情，友谊，矛盾，误会，谅解，盼望于一体的新春视频？是不是啊，腾讯和网易？,         很抱歉在评论区写起了小作文，但这次的视频很让人嗟叹不已，在这新春佳节里，仅以此语来祝福再阅的各位：,         祝所有人，新春快乐，身体健康，万事如意，心想事成，百事平安！,         嗯......还想对米哈游说几句话， 祝我们的米哈游能不忘初心，砥砺前行，冲破黑暗，铸造光明。请永远相信刻晴说的那句话，心有所向，日复一日，必有精进。从2019到2023，从曾经的全网节奏到现在的央视点名，从蒙德看似幼稚的剧情到须弥城府颇深的棋局，米哈游和原神的进步我们都看在眼里。相信米哈游有一定能成长成一个更好的公司，相信只要中国游戏行业还有米哈游，黑暗就一定不会降临！,         天动万象，山海化形，地生荒星，璀如烈阳！"
"谜1样的孩子","保密","江西","26856671","6","","10000","3381","","有种以前在央视看公益广告的感觉"
"怀中揣饼马皇后","男","未知","1041024377","5","","10000","122","","祝大家新的一年心想事成，保底不外，吃好喝好，天天开心，也希望越来越多的中华传统非物质文化与遗产能够得到更多人的重视和喜爱，祝原宝2023年蒸蒸日上，被更多人喜欢。"
"路米拉网","男","广西","32175729","6","","10000","3071","","我竟然又被米哈游感动哭了，我要深刻反省，我以前居高临下地说老爸的一些行为是老古董，是迷信。有一个弹幕说得对，我可能无意中伤害到了他珍视的东西，我留下这个评论，以此自省"
"KKOMDA","女","安徽","1740827542","6","","10000","365","","是一个文化的传承视频，多看完感触。"
"吴常昌玉林牛巴","保密","广西","1380630215","3","至尊戒","10000","137","","原宝海灯节BGM一响鱼灯群涌出的画面，真的鼻头一酸太好哭了！[大哭][大哭][大哭],14分钟的短片，不仅让我们了解到了非遗文化遗产，也让我看到了中国式浓浓的亲情。片尾伴随着空中飞行的大鱼灯继续陪伴着他，仿佛家人的关怀时刻都在陪着我们[拥抱]「鱼灯」从最开始的保平安，逐渐多了更多的意义。中国传统文化是需要有人坚守和传承的 ，愿非遗文化得以传承和延续[爱心]"
"俗亻一枚","保密","山西","1171607120","5","","10000","1046","","重新定义短篇，鱼灯是汉朝时候流传下来的产物了，算是历史悠久，现在在东南（尤其是南）沿海地区还比较流行。,尤其是广东那边，鱼灯舞狮，现在都很流行。,在原神里刻晴UP的“鱼龙灯昼”中里提到的就是这种鱼灯，而鱼龙灯昼出自于《青玉案·元夕》。,也就是那句著名的：,东风夜放花千树，更吹落，星如雨。,宝马雕车香满路。,凤箫声动，玉壶光转，一夜鱼龙舞。,[doge]如果你认真看看原神，就会发现很多有意思的东西。"
"__Muse__","女","安徽","2053421752","4","","10000","3331","","安徽歙县本地人快哭死了[大哭][大哭][大哭]我父亲也是一直在坚持做鱼灯，希望这份手艺可以一直被传承下来"
"一只鸽子离","保密","山西","1956586947","5","不思议之旅","10000","2281","","这种公益片真是太感动了,游子千里   灯燃家在,祝所有的游子回家过年都要开心[虎年][虎年]"
"秋原万叶","保密","广东","436372608","6","","10000","3189","11","米哈游是自由的（确信）[UPOWER_1743593860_认可]"
"空耳狂魔","男","四川","3127528","6","","10000","4392","24","灯亮了，漂泊的人该回家了[虎年][虎年]"
"薛其南","保密","安徽","21710260","6","","10000","2673","","以前的公益片：不回家过年，是路远or多赚点钱。,现在的公益片：回家过年太无聊，一点年味都没有。,真实，实在是太真实了"
"Mika酱好纠结","女","浙江","342634079","5","EveOneCat2","10000","2927","8","未曾设想的视频 米哈游果然是自由的[原神_该吃饭了]"
"筱筱的播放姬","保密","江西","1975129","6","","10000","485","","原宝这事你做得很好，我昨晚一个648在海哥池子出琴的事就不跟你计较了[脱单doge]"
"Kiraboshi绮罗星","保密","未知","372784089","6","","10000","315","","好好好[原神_干杯][原神_干杯][原神_干杯]"
"SanOwkal","男","广东","60275268","5","","10000","928","","虽然可能有点破坏大家感动的氛围 但是 我还是要说一句 四季防韩"
"古德温的信","男","未知","1933225905","6","崩坏：星穹铁道","10000","1254","","年味十足，弥足珍贵[原神_哇]"
"没影龙","保密","江苏","1879857006","4","","10000","1056","","看着米哈游员工回家过年，审核的眼中臻满了泪水——,他所能期望的，不过是不要再被一个鸡块加班一整天"
"名字长转发动态会中奖","保密","江苏","53822014","5","","10000","855","","采竹笋传送过去第一件事就是包里多了两块肉[微笑]"
"路过的虹夏","保密","山西","479028730","5","","10000","1411","4","原宝，你也不止会小尬剧啊，这次短片真的太好看啦！,各位旅行者在外面也不要忘记旅行最初的意义哦！"
"黑皮呢斯","保密","福建","372316233","6","","10000","1067","","你，记住，就是你！,不管你是谁，都给我记住！,新年快乐[惊喜]"
"清御","保密","北京","60061371","6","风灵玉秀收藏集","10000","242","","我现在要说一款游戏，那个游戏的黑子老是急着把自家文化往外送"
"一只鸽子离","保密","山西","1956586947","5","不思议之旅","10000","2281","","这种公益片真是太感动了,游子千里   灯燃家在,祝所有的游子回家过年都要开心[虎年][虎年]"
"大头柠檬疙瘩","保密","浙江","688472890","5","明日方舟-愚夜密函","10000","194","","祝大家春节快乐！海灯节快乐[崩坏3·光辉矢愿_大佬喝可乐][崩坏3·光辉矢愿_大佬喝可乐]"
"名字就叫大梦一场","保密","广东","312760509","6","","10000","542","","BGM响起的那一刻，泪目了[热词系列_三连]"
"特别没用滴人","保密","贵州","1407907640","3","","10000","51","","天冷了,注意防韩(关心)[脱单doge]"
"阿困躺平鸟","保密","广东","136912087","6","2233幻星集","10000","146","","真正的自由之神：米哈游"
"抱紧你的我li","保密","广东","397333707","5","2021拜年纪","10000","131","","后面海灯节那个音乐真的好应景啊[惊喜][惊喜]"
"灬墨鱼瑜灬","女","湖北","645786439","5","原神","10000","146","9","看我发现了什么！[星星眼]"
"是你的大怪物吖","保密","湖南","293718579","5","神乐七奈","10000","825","","给岁月以文明，给生活以希望"
"小十四_Sonetto","保密","河北","671453546","4","","10000","113","","第一眼：原神小短片 划过,等等……作者是原神官方？？"
"凪子花开呀开","保密","河南","265976776","5","","10000","110","","能不能关照一下躺在床上的人？我眼泪和鼻涕都揉一起了，得亏我床上的纸刚好够得到，床单你给我洗啊？[tv_目瞪口呆]"
"u宝电竞椅上的热水壶","保密","江西","1363456260","5","","10000","99","","说实话，这是我第1次见到鱼灯。以前都不知道有鱼灯这个东西。就算认识也是挂在一个棍子下面的那种手提着的。（非引战）"
"银雾辉","保密","浙江","1772766592","5","","10000","98","","希望米哈游越来越好[打call]，多出点这些，我爱看[打call][打call][打call]"
"鳄鱼买房","男","四川","1088094589","5","EDG战队","10000","107","","祝各位原友过年的时候十连双金，我出七七[doge]"
"仙剑丶未央","男","河北","14970097","5","","10000","110","","中国式父子关系，泪目……"
"狂暴珍珠奶茶续命组长","女","内蒙古","381559145","5","","10000","96","9","救命看哭了[保卫萝卜_哭哭]，各位旅行者新年快乐[脱单doge]"
"小日本子排放核污水","女","河南","395858968","5","","10000","671","","今年我们村的火烧秦桧的庙会应该又要办起来了。,猜灯谜，烧枣花糕，还有用泥做的秦桧夫妇泥像，跪在地上，背后插着问斩的旗子，中间掏空，放上煤球，七窍和肚脐处开上洞，火焰就会冒出来，家家户户都纷纷拿出自己家做的枣花糕在冒火的洞口烧。,用老一辈的话来说是用哪里烧保佑哪里来年不生冻疮。,烧完枣花糕就要去逛庙会，小时候的我可不管里面供的是什么神，就是学着大人在那里拜一拜，有关公的，有送子菩萨的，当时太淘气了，看见有些人拜完之后摔一个泥人，我也在那人走之后有样学样的拜了拜，摔一个小泥人。回家被我妈训斥，说那是别人求送子观音送子的，我小孩子去凑什么热闹。,拜完庙会之后，就快到猜字谜的时间，兑换的亭子里没什么值钱的，都是些小玩意儿，但我们小孩和大人都玩的不亦乐乎的。,猜灯谜当天村委会老早就在纸质小条挂上写上字谜，各个纯手写，有的字好看，有些字像狗爬过一样。一看就是村委会的小孩写出来的。下午还不急着收集题目，我和我的小伙伴都在品评这些小条幅上的字。看到写的不好的我们都笑开了，这狗爬的毛笔字颇有我的风范。,品评完一番之后就开始背字谜，然后一溜烟的跑回家，给守在电脑前的哥哥复述字谜，可惜光顾着跑了，中间要么是忘了，要么是背差了。来回好几趟才能完整的复述一道题。,在网上查完之后再回去继续背[doge]。拿着满满的答案，就等着到晚上去兑换亭里挤着兑换[脱单doge],我记着小时候的我最高兑换了一个文具盒，其实文具盒倒不是重要的，关键是要拿着文具盒特别说明这是在字谜上赢得的头等大奖。[脱单doge],火烧秦桧的第1天第2天还有村里搭的舞台，魔术，小品，相声，什么有趣来什么。旁边都是卖糖葫芦，卖菠萝，卖棉花糖的，今年这天家长都是大方的，孩子想要什么一般都同意了[嘟嘟],白天的庙会虽然没有晚上的趣味性强，但是也有踩高跷，舞狮子，还有一个骑着驴的媒婆样子的在扭秧歌，具体叫什么已经想不起来了。,我很庆幸这个习俗一直保留到现在，今年的火烧秦桧应该也会很热闹把[给心心]"
"七月的情花花","男","四川","1519104","6","至尊戒","10000","79","","【徽州传统文化节日   鱼灯节。欢迎大家来了解徽州古文化-哔哩哔哩】 https://b23.tv/9C70qZF"
"听说改完名就能中奖","保密","广西","360222848","5","","10000","151","","鱼灯是传统民俗舞蹈的道具之一。呈鲤鱼状，用竹篾绑扎，糊表白纸绘制而成，全长1.2米，直径为40至50厘米，分鱼头、鱼身、鱼尾，三节可灵活转动，舞鱼灯以村组队，人数少则十几人，多者上百人，每人一鱼，内燃蜡烛，鱼灯套路有“鲤鱼摆尾”、“双鱼争食”、“鲤鱼戏水”、“鱼跃龙门”等，表演队变化有方阵、一字长蛇阵、八卦迷魂阵等。,（转自百度百科）"
"属蛇的法师","保密","河北","35062548","6","","10000","74","","说年味淡了,无非是物是人非,老人走了，猫猫狗狗也走了,之前是兄弟姐妹熟人叙旧，如今是齐楚燕韩生人瞪眼,你可以自己写春联，你可以自己调浆糊，你可以自己用玉米杆削笛子，但你终究不是你爷爷"
"为了lv5而改名","保密","广东","511128103","5","","10000","2299","","刚点进来不知道说什么，我先去浏览器搜几句骚话[doge]"
"XX苏小哲XX","男","河北","355654456","6","异常生物","10000","69","","米哈游是自由的 ！ ！！[大哭][大哭][大哭][给心心][给心心][给心心]"
"钓鱼的钓是次钓的钓","保密","江苏","178885158","5","","10000","84","","是安徽那边的习俗吗[原神_嗯][原神_嗯]"
