"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"意面番茄_","女","无IP","631185107","5","","10000","30338","","《放牛娃的春天》[脱单doge][脱单doge]"
"洛厄法特","男","无IP","1999464198","5","","10000","13599","","为啥九条给一斗判了轻罪？因为她自己也干过闯进天守阁（甚至还打倒了奥诘众）的事[doge]"
"豹_酱","女","无IP","32219351","6","","10000","2948","","世界上有五种场 煤场 磁场 矿场 沙场 还有宇宙最强究极帅气酷到海底两万米牛b到毫无边际超级无敌邪魅嗜血狂暴登峰造极风流倜傥的暗影老大：荒泷一斗闪亮登场[原神_欸嘿][原神_哇]"
"樱下小咲","女","无IP","349665998","6","","10000","20279","","亲爱的原宝，新道具“荒泷一斗的皮鼓”怎么只有两个音啊（悲）"
"天依的包子屋","保密","无IP","507960958","5","物述有栖","10000","4069","10","什么时候出一个和神里一样的动画短片，或者直接做大电影吧[doge]"
"平安银行信用卡","保密","无IP","1010614805","6","","10000","8057","","一斗：我直播时太困睡着了，居然有100w人围观！？[惊讶]"
"宁波银行信用卡","保密","无IP","1576770770","6","","10000","6291","","一斗的田园开摆生活[doge]"
"无秒钟的虐心","男","无IP","1991047536","4","","10000","789","","所以精心准备的活动就这么结束了 ？,我还想接着玩呢 [大哭]"
"青木朝日","女","无IP","1885775","6","Fulgur头像挂件","10000","619","","正好在今天拿到了一斗满好感名片！！！[保卫萝卜_笔芯][保卫萝卜_笔芯]斗子我爱你！！"
"苍夏之柊","保密","无IP","227446485","5","原神","10000","351","","背景的欢快热闹与一斗人物的安静不语形成鲜明的对比，反映了一斗看似安静威武的外表上，其实有这一颗追逐火焰不畏困难珍惜同伴的心。场景变换，由远景到近景，从室内到室外，空间看似由狭小的室内到广阔的滩边，一斗的坐姿却是呈现人物一定茫然远眺的状态。看似纯真的人其实可能也会有人不为人知的烦恼。最后在千手百眼神像下，一斗重新恢复平日里大家所熟知的模样。形态从沉睡到迷茫再到张扬，似乎也象征着他一直坚守自我的内心，无愧为荒陇派的老大，鬼族的希望。[脱单doge]"
"我是来学吐槽的","男","无IP","9013616","6","","10000","126","","从pv来看，这个角色应该很内向吧，从头到尾一句话都没有，真是个孤独安静的人呢。"
"金小鲨","保密","无IP","7063397","6","","10000","78","","风雅天赋书上有写，风雅就是不庸俗，不入世。和不世俗、不趋炎附势、自由自在的一斗、阿忍都很相配。风雅天赋书用在这俩人身上再合适不过，不然还用什么呢？"
"别查成分了你又不是FBI","男","无IP","4076579","6","","10000","883","","刚刚在一家附近的小型日料店里吃饭，我打开这个视频，那个日本来的老板竟然还和我说这音乐不错。"
"桃没有子","女","无IP","541662889","5","","10000","128","","斗宝是我唯一一个这么爱的原神人物，他那真挚的笑容从里到外的贯彻我的心脏，他也是我唯一一个单推的，我不忍心把他交给原神里的任何一个人物，当他每次被豆子撒时我的内心都会感受到无比的剧痛，比我自己受伤都难受，他那又傻又善良的性格真的美[大哭]"
"らく君亦在","保密","无IP","51405774","6","","10000","240","","本来以为的复刻EP:满屏的哈哈哈哈哈哈哈哈,实际上斗的复刻EP:满屏的一斗你说句话啊！"
"栎桐isme","女","无IP","176487144","6","不思议之旅","10000","150","","我滴斗子！！！俺来啦！！！斗子不歪玩到关服呜呜呜……,一斗不歪，玩到关服！,好喜欢他[打call][打call]尘歌壶语音真的给了我三次生活很大动力，手感和体验感也爆棚，抡棍子爽爽爽！！！,这次作为零氪党攒了110发摸个命座，嘿嘿 希望能和斗宝是双向奔赴"
"安乐岗花火啊","男","无IP","13081432","6","2233幻星集","10000","77","","一斗这么安静"
"像那个大病","保密","无IP","1229084258","4","","10000","393","","我好爱你啊一斗！！！（爬行）（扭动）（分裂）（扭曲）（阴暗地蠕动）（翻滚）（激烈地爬动）（扭曲）（痉挛）（嘶吼）（蠕动）（阴森的低吼）（爬行）（分裂）（走上岸）（扭动）（痉挛）（蠕动）（扭曲的行走）"
"风起秋枫落","保密","无IP","406330474","5","","10000","114","","原来一斗不说话的时候也能这么有诗意[脱单doge]"
"纳西妲的小樱袕","女","无IP","360713973","6","","10000","66","","[打call][打call][打call]派蒙第二二百个视频！离二百五又近了一步"
"风起秋枫落","保密","无IP","406330474","5","","10000","114","","原来一斗不说话的时候也能这么有诗意[脱单doge]"
