"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"liuliu1478","男","无IP","21909100","6","2021拜年纪","10000","4898","","追求不变不移的神明可能还未明白，长久的存在并不等同于永恒。时间可以让易逝的烟花在散尽之后还能留于人们心中自然也可以让稳坐高天的星辰在不期之时陨落。——戴因斯雷布,这段话绝了,给文案玩法加三个鸡腿不过分吧。,不过这段话是不是暗示了之后的剧情呢？[tv_doge]感觉很有深意啊。"
"自带全自动电梯的男人","保密","无IP","455992149","5","","10000","843","4","大家千万别去捞早柚，自从抽到万叶一直开始攒粉球。本想捞个早柚就收手，70抽下去6个猫猫，三个辛焱。莫娜命之座加一[辣眼睛]"
"进击的冰猪","男","无IP","361152976","5","崩坏3·天穹流星","10000","4188","","[辣眼睛]：宵宫这强度，狗都不抽,原宝：掏出传说任务,[藏狐]：笑得很甜而已，就这？,原宝：掏出角色pv,[doge]：可以在心海不误会的前提下来几发,原宝：掏出角色演示,[妙啊]：汪汪汪我就是宵宫小姐的狗"
"衷由不言而喻也","男","无IP","478586796","5","","10000","748","","我就是和大家理性讨论一下。就是宵宫的这个机制设计就很别扭，e技能是一个主c的模板，可q技能又是副c的模板，可这个副c技能几乎可以说没有什么用。那么漂漂亮亮的重击蓄力竟然只能用来打鸽子。e技能闪避就会重置普攻段数，我是才玩两个月的萌新，真的没有钟离这种强有力的盾辅。我是真的觉得宵宫的机制对不起她那灿烂的笑容和绚丽的烟花。我只是希望她能有个完整而合理的机制而已，希望能和她一起走到旅行的终点而已。[难过]"
"泡芙call冰糖","男","无IP","83656209","6","2233夏日冰品","10000","656","","宵宫不强不弱，标准五星主c强度 优势在于攻击距离远，有未来可期的脱手技能，能吃拐。劣势是攻击伤害一般，对群乏力，自动锁定容易偏离目标。,总结:合格五星主c强度；脱手c能力未来可期，配队灵活；能看出mhy有意在控制数值膨胀，这一点值得肯定。完毕。"
"蓬蒿人Marx","保密","无IP","360233489","6","","10000","1508","","加强宵宫！要求如下,1.宵宫开E后平a附带溅射效果 （就像凝光一命那样）,2.大招标记增加（个人认为2个就好）,3.提高一下宵宫平a前两段的倍率（闪避后又得按照第一发的伤害计算）,4.优化宵宫平a的追踪（经常打一套丢3箭）,5.加强一下宵宫的抗打断能力（靠近了经常被各种元素打出僵直）,另外：不要cue其他角色 不要引战 我们的目的只有加强宵宫！[藏狐][藏狐][藏狐]"
"国见玉子","保密","无IP","13417016","6","","10000","370","","很想问问评论区的各位有几个抽了宵宫的。,我和宵宫同一天生日，6月21日，而我属于那种对和我同天生日的角色都自带好感的那种（比如王马小吉），宵宫的性格在我看来又与我另一个很喜欢的角色艾丝蒂尔十分相似，所以我选择了忽略万叶神里，一直攒到现在。,我是卡池刚开了就强砸了2w4原石抽出宵宫和雷弓，当场拉到90级，现在90人物80雷弓，带了四个注连30/216，天赋因为没刷所以只有252，下面说一下实战体验。,我拿公义试的时候明显感觉出了这个人物定位上出现的问题，e是站场c的定位，q则是辅助的定位，而这个q的辅助效果却是实打实的鸡肋，再看看配套的注连套效果，每次放e消耗15能量，这个q明明效果鸡肋却要花费足足60点的能量，很难不令人迷惑，你到底是想要我打什么？说完了q再说e，如果宵宫真的是站场c，那么作为一个平a为主要输出手段的弓系角色，是不是应该以高机动性为卖点？然而实战体验是，为了躲避公义的招式，我a一半就要闪避，闪避后平a段数重置，你们自己看看前几段那个倍率有多低，我a第一下的两箭伤害是940940，当时就蚌埠住了，我寻思你靠平a的站场c为了打出伤害要站桩那和蓄力弓有什么区别啊？？？,别的不说，人物强度怎么样，抽的人自己心里是有数的。1.3时我1w3石头抽胡桃护摩时是什么体验，我这次是什么体验，我心里自然有数，虽然说我没打算用宵宫来和胡桃比，而且抽之前就已经做好了鶸的准备，也和不少朋友开过玩笑说“我做好了宵宫出来后风评是阿贝多2.0的心理准备了”（只是开玩笑，并无恶意冒犯阿贝多厨的意思在里面）然而实际体验之后我发现根本就不存在完全不在乎强度的厨力党，当你发现为自己喜欢的角色付出了这么多却被其他强力角色随便弄弄的练度碾压时，你的心情也会很不好受的。"
"花降Dee","男","无IP","13126889","6","","10000","124","","冲日配cv和人设抽的角色，知道强度不高也照样抽出来了，并不是不能玩，对单还行，但也不是说要加强到特别厉害的程度。只是不懂这是挡到哪些人了？要这样去反对加强一个角色。,,的确，不加强也是能玩下去的，不过加强与否应该都跟不抽的人没有关系吧？是影响到抽卡规划了？何况刻晴加强喊了这么久了也没见加强，宵宫刚开始喊，官方还没回应，不抽的路人就直接认为不配加强了吗？我个人还希望七七也加强呢，影响到谁的游戏体验了，迟早都会抽到的吧？不加强最终抽到的话难过的还是玩家自身。,,实际体验来说，希望加一些对群的手段，溅射30%也比没有好（现在完全享受不到聚怪的作用，说打超载的建议去试试伤害），或是大招的效果改一改，降低所需能量或是稍微提高一点伤害，没角色的可以去试用关体验一下，8级大招2000攻击的面板，没暴击不吃反应的情况下，只打了深渊法师2700血，而且是2秒触发一次，这需要60能量，合适吗？,,并且太吃辅助了，毕业钟离班尼特万叶一起抬伤害，对单可以算t1，如果没真空期甚至接近t0。但对群方面，5星火c们都超过了宵宫，这可是带聚怪辅助都弥补不了的弱点。,,而且看到评论有人说宵宫有真空期是个副c，开大切人打反应。抛开宵宫大招的伤害不说，上面说了。那胡桃也有真空期，能给队友加暴击，她是副c吗？胡桃真空期能弥补，宵宫也可以，那加点小范围对群能力优化游戏体验不好吗？跟单手剑角色平砍范围差不多就可以了。,,真正的副c是谁？皇女，北斗，行秋，重云，香菱，阿贝多等等。这些要么是后台造成伤害的，要么是短时间内造成爆发伤害，更有甚者两者兼具，唯一的缺点是自身站场输出能力较差。,,而宵宫大招叠满层数辅助能力相当于宗室四件套，百分比的攻击力加强，稀释有多严重还需要多说吗？何况配队基本绑定班尼特。大招倍率已经不想提了，如果宵宫不是火属性，那恐怕真的无药可救了。,,最后，无论角色加强与否，阻止角色加强的人，是觉得后面出的角色都不会比老角色强吗？甚至都没有优点（宵宫对单也不是最好的），一旦出了强度特别高的角色，恐怕是直接就抽了吧，回头看宵宫就跟看笑话一样。刚出来的时候，不喊着加强（现在喊加强也是希望渺存，何况还有一些不抽的路人在那反对），以后还有可能加强吗？等复刻的时候直接攒20天原石抽其他角色，好耶？,,感谢能看到这里的人，不是真爱也是抱着理性的态度来探讨的。加强这种事尽人事听天命，有感而发罢了。"
"伊墨浅露","男","无IP","291007451","6","","10000","2122","","还在纠结抽宵宫还是雷神的大保底人来点个赞[藏狐]"
"小银桑_","男","无IP","361104158","5","","10000","173","","我不是XP党，但我有宵宫，就单看宵宫这个强度我来说一下自己的看法（仅限零命），对单强但是没有想想中那么强差不多t1，大招就是摆设放了还影响追忆套，大招就是逼着你让你切别的人物让你打副c，然而副c的强度没有香菱一半，对群能力不如烟绯，武器就只有五星武器和弓藏适合，我五十六级也没有一个弓藏 除此之外适合宵宫的只有三星弹弓和海螺开出来的锻造弓，然而追忆套和这个弓正好相反，“极致的对单能力”给宵宫带来了深渊不能用，大世界也拉胯的“极致体验”。,   接下来我想说一下我对宵宫应该怎样加强的想法，首先是小技能可以来一点溅射伤害毕竟是烟花这样也有点对群能力，然后就是大招我觉得最好的就是提高倍率，能让大招打到的人都标记到，间隔缩短为1s，这是我认为最好的增强方向，这样做不了主c还可以当副c打我甚至可以不给她追忆套把绝缘套或者宗室套给她，如果这样改觉得强度超标我可以退一步，大招倍率不改，间隔改为1.5s，大招最多同时标记三个敌人，我还可以退到最后一步什么都不改把大招爆炸的范围调大，范围都不如超载这大招有什么意义？,这些是我的个人想法，不喜可以喷,最后想问问是哪个策划设计的宵宫和追忆套[OK]"
