"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"到处遮满别人的背影","男","安徽","628314960","5","","10000","2911","","听天由命吧，只有100抽，就看看明天是给你抽息灾还是给神里绫华雾切了[大哭]"
"宅到无穷大","男","湖南","178775494","5","","10000","965","","申鹤和雾切好难取舍啊[tv_大哭][tv_大哭]"
"空巢屑荧","保密","湖南","37829173","6","","10000","288","","最后能看到申鹤笑真的太开心了[给心心]"
"伽兰德步枪兵","男","辽宁","238946","6","","10000","90","","个人感觉，申鹤如果日配是石川由依（三笠、2B、薇尔莉特的配音）的话将是绝杀，那种曾经作为战斗机器冷漠无情，后被人世感动逐渐找回自我与爱的融冰少女，和申鹤再合适不过了。当然川澄绫子配音没得说，吾王地位无法撼动，但总觉得川澄应该留给更有王霸之气和骑士风范的角色，拿来配申鹤有点双向浪费了。"
"赤开团时","男","山西","498868656","5","原神","10000","337","","申鹤为啥能背得动那么重的石头，根据人的身体构造，除了肌肉骨骼强劲，还有就是心脏功能强大，所以申鹤的心脏相当于正常人的几个？答案是一万个。,什么，你没听懂？原神中有一个配队叫做神鹤万心，很强，并且有申鹤这个角色，而申鹤万心恰好与这个队伍同音。怎么样，是不是很好笑"
"太太太太空空","男","广东","7015123","6","","10000","148","","申鹤的优点那还用说吗？外表上那么丰满的身材，那可爱的性格，而且能吃苦，又有很大的力气，不娇气，如果和她在一起，你们真的能同甘共苦陪在你身边。在魔神面前只为了救我，那次的海灯节的微笑，距离远不认路却依然来到蒙徳看看所谓的“调酒”，在尘歌壶里每次对话都是为了与你交流改正自己不爱说话的特点，她没和你说一句我喜欢你，却让你时刻都清楚一件事：我爱你。海灯节故意溺水的玩笑，魈上仙和你同时出现了，是有多大的羁绊才能让作为人类的修仙者光速出现在面前[大哭]在这真心换不来真心的时代，她就是我们所希望遇到的爱情，她叫申鹤"
"阿磐不喝可乐","男","山东","57657535","5","","10000","729","","众所周知小道具四方八方之网不能抓角色，除了琴,,因为琴能捕捉[妙啊][妙啊][妙啊]"
"账号已注销","保密","山东","1833420480","0","","5000","526","","赞是单数我出绫华，赞是双数我歪七七[doge]"
"耽美女孩也爱miku","女","陕西","1720143600","4","","10000","57","","不懂就问，那个超大型霄灯呢？[doge][doge][doge][doge][大笑][大笑][大笑][大笑]"
"未时结","保密","福建","66948510","6","","10000","89","","虽然所有的强度党都不建议抽申鹤，但是在我这里，非她不可。"
"互联网不为法外之地","保密","河北","619829303","5","","10000","50","","为什么不陪跑重云啊，大外甥都在四星复刻时长榜上待了好久了"
"彼时寒山花正繁","保密","浙江","697832999","5","","10000","9","","看到这个视频想问下应该有什么办法能把这个做成桌面动态的吧，除了等着大佬动手的话，如果我要自己弄应该怎么做呢"
"阿黑鹿夕","保密","北京","262471541","5","","10000","46","","奥藏山社交能力共八斗，真君独占一石，二位弟子每人倒欠一斗"
"透明衣鱼","男","山东","48108119","6","绯赤艾莉欧","10000","145","","原神也知道小姨模型很微妙，所以直接上2d了[doge]"
"可乐Cola732","男","福建","479142985","5","","10000","36","","可以优化一下申鹤建模的眼睛吗，眼睛稍微有点神就可以了[酸了][酸了]"
"狂暴絮雨厨组长","保密","山西","472646553","5","","10000","16","","赞我单抽出金，十连双黄，阳寿扣在隔壁刚被开除的配音导演身上[妙啊]"
"Detective_Ez","保密","四川","1193686983","4","","10000","9","","live2d！复刻ep一般都是实机呢，目前好像就绫华是l2d小动画，万叶和申鹤是l2d动图"
"元气桌面官方号","保密","广东","670888431","6","","10000","21","","好美~好适合做壁纸吖[星星眼]"
"四季常在","保密","福建","477535835","5","","10000","9","","今天是我16岁生日，希望今年万叶复刻我能抽到万叶"
"武灵潇","保密","天津","5434988","6","","10000","14","","回来吧我的申鹤,我最骄傲的信仰,历历在目遣灵诀,眼泪莫名在流淌,依稀记得冰翎伤,还有给力的减抗,把沙虫都给打退,虐遍深渊都不累"
"子一QAO","男","浙江","21470601","6","天官赐福动画","10000","268","7","大保底加垫了50抽  我直接嗨老婆"
"哥伦比娅","保密","湖南","6003921","6","","10000","13","","看到申鹤就想到夜兰还有救吗[原神_躺平]"
"旷工娜","男","上海","149226621","6","还有醒着的么","10000","232","","DJDJ我想妹妹[doge][doge][doge]"
"晨颜chy","女","山东","317785389","6","泠鸢yousa登门喜鹊","10000","53","","申鹤[打call][打call]"
"半月夜姬","女","四川","37887412","6","","10000","115","","00:26 我草美死我了啊啊啊啊啊啊啊啊啊啊啊"
"可爱的申鹤","女","河南","474706593","5","","10000","114","","申鹤第一次up当天，我就白嫖到了，祝你们跟我一样一发白嫖到[兔年][兔年][兔年]"
"千夜です","保密","浙江","11398396","6","","10000","183","","[doge]"
"一条486","男","山东","603788881","5","","10000","488","","强烈要求出常驻定轨类机制，要不然根本抽不出角色，有的人甚至七七满命了也没有迪卢克莫娜，这样那些老角色出的概率太低了，常驻角色厨氪金成本太高了，想氪常驻出自己想要的只有10几分之一，这就又让我想起之前十几万的厕纸了，氪金成本高了，这样会消磨氪金欲望的，也根本氪不起了，哪怕是和隔壁三崩子差不多，所以求求给常驻出个定轨一类的保底机制吧，希望大家以后也可以在调查问卷里面填一下，多在游戏里反馈一下耽误大家几分钟，求求了（给兄弟点个赞让大家都看见）"
"键盘车神覺","男","上海","392368020","6","格兰芬多","10000","68","","秀一下今天去打的卡[脱单doge]"
"丿流绪微梦丶","男","江苏","178013530","6","择天记","10000","40","","嫁妆都已经备好了，许愿申鹤不歪[脱单doge]"
"神里v龟龟","保密","未知","90841106","6","","10000","40","","看看漂亮老婆（）好好看斯哈斯哈,,笑到我心坎里了（有小福蝶）"
"奉命取你手脚","保密","山东","278511957","6","","10000","73","","只有十抽，就看看明天是给申鹤西风枪还是给神里祭礼剑了[tv_鬼脸]"
"l阿小","女","重庆","507645495","5","","10000","35","","厨子特别想要一只申鹤[抓狂]"
"一个喜欢申鹤的人","保密","河南","3461579806870074","3","","10000","35","","阿鹤你快来，你的冰伤杯我早就准备好了[给心心]"
"Z国仁","男","福建","74371004","6","","10000","513","","01:23 她笑了[给心心][喜欢][喜欢][喜欢]"
"嘉達の晓古城","男","内蒙古","8597816","6","原神","10000","28","","赶紧加入人工桌面，我不是在开玩笑"
"落花千月","保密","广东","470494886","5","","10000","112","","祝各位明天抽雾切都能这样子[脱单doge]"
"龙崽-__-","男","河北","315257895","6","Kizuna AI","10000","22","","(  )"
"我的好爱莉嘿嘿","男","湖南","569817383","4","","10000","28","","还往下翻呢，十连双黄真君[脱单doge][脱单doge]"
"我就是申鹤","保密","湖北","648006291","6","原神","10000","12","10","有大保底，一命没问题，两命和息灾看运气[原神_喝茶]"
"原之舟","男","上海","2084092752","5","","10000","20","","长长的头发，缠绕在脸上，紧实的黑丝加松垮垮的奶盖和嘴唇、鼻子完美贴合，每一口吸气呼气都会带有申鹤的味道进入我的肺部，我的血液又会把这带有申鹤气味的氧气输送到我全身各处，我已经离开申鹤便无法生活了，已经无法回到正常生活中了，但这样也好……[大笑][大笑][大笑]"
"莉托小兔","女","四川","443407722","5","","10000","391","","申鹤啊啊啊！！我的申鹤！我等你来！"
"ALTAiR鹍","男","美国","418088197","5","","10000","18","","这个EP居然不是游戏实机"
"玉尘ehei","保密","云南","67088448","6","","10000","12","","申鹤真的好像小龙女 姑姑啊，未涉世，不懂人情世故又冰清玉洁"
"国服白开水","保密","山东","269361835","6","雫るる","10000","14","","照目前的人设来看，申鹤是真·可以和主角在一起的女角色。[给心心]"
"有起司","男","四川","22238467","6","","10000","8","","阿鹤我来啦嘿嘿嘿"
"风卷残之月","保密","广东","38726713","6","","10000","13","","看到后面那摊水了吗？都是我的口水[喜欢]"
"彭彭克皮","保密","云南","33577705","6","","10000","7","","00:24 老婆[星星眼][星星眼] 00:36 [鼓掌][鼓掌]"
"喀3124","男","甘肃","483603885","5","崩坏：星穹铁道","10000","11","","321，带你回壶[打call]"
"超大的山竹","男","广西","310805457","5","原神","10000","102","","冲[星星眼][星星眼][星星眼]"
"白给柠檬凉一夏","保密","辽宁","259160786","5","","10000","6","","咱也浅浅的还个愿吧，都给我吸"
"暮又白给了","男","浙江","481185755","5","","10000","6","","66.6万观看[脱单doge][嗑瓜子]"
"快催我滚去练吉他","保密","河南","2654607","6","","10000","15","","[脱单doge]申鹤是第一个叫我夫君的人，而且叫的还是夫君真行！"
"爱蜜莉蕥","保密","陕西","17366344","6","碧蓝航线2020","10000","10","","我最爱的女人！从最初的擦肩而过，经历了种种，直到现在认我为此生唯一能够锁住你的红绳，你的家人，我旅行者又一次接你回家辣[给心心][给心心][给心心]"
"元气桌面官方号","保密","广东","670888431","6","","10000","21","","好美~好适合做壁纸吖[星星眼]"
"鹤云栖lns","保密","陕西","52556750","6","","10000","10","","阿鹤零命数值要是高一点或者有类似祭礼枪的武器就好了，再不济给个冰附魔[大哭]地位就不会像现在这么尴尬了[大哭]但是！我的原石还是要全部给你！阿鹤在我这是最好的[脱单doge][脱单doge][脱单doge]"
"霜雪染枫白","男","山东","16934324","6","原神","10000","9","","重云，收手吧，外面全是姨丈队"
"火丘丘游侠","男","江苏","38958578","6","","10000","9","4","网上冲浪[呲牙],检测到原神视频[惊喜],检测到申鹤[喜欢],点进来,[喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢]申鹤老婆你带我走吧[大哭][大哭]老婆老婆老婆！！！"
"民国豌豆","保密","湖南","484465441","5","","10000","9","","申鹤的性格挺像宝儿姐的一个铁憨憨，人狠话不多。但是非常听话。[笑哭]"
"忆思亦念","保密","广东","496856404","5","#EveOneCat","10000","22","10","不要二创入脑啊各位"
"暗箱操作的黑幕","保密","广东","171022163","6","2020拜年祭（鼠）","10000","9","","我要在人工桌面看到这个，不然的话.....我就求求你了[大哭][大哭][大哭]"
"突破天际的xm","男","云南","51233440","6","","10000","10","","11万原石，70粉球，明天必拿下小姨[歪嘴]"
"提灯的隐者","男","上海","1433026866","5","","10000","10","","阿伟你又在准备猎豚哦，歇一下看看阿鹤吧。"
"苍鱼肉汤很想","保密","江苏","294015315","5","","10000","9","","有没有大佬做成动态壁纸啊，真的狠狠地心动了[给心心][给心心]"
"熙氢","男","河南","164101161","5","","10000","8","","申鹤很美，什么时候出个古风的时装啊，那就更好了[原神_喝茶]"
"汐柚一直转圈圈","保密","北京","391267466","6","","10000","8","","没有人会一直等着你，除了阿鹤[保卫萝卜_哭哭]"
"濯水清竹","保密","浙江","507554024","5","大理寺日志","10000","8","11","那什么时候轮到：装扮开卖之刻[原神_嗯]？"
"为因何而在","男","山东","497148001","5","","10000","9","","申鹤在我生日复刻，她心里有我[脱单doge]"
"零二ゞ","保密","湖北","272750595","5","","10000","9","","非酋终于转运啦！虽然大保底吃满，但是双黄[保卫萝卜_哇]"
"化雨为龍","男","四川","92179476","5","","10000","9","","什么时候加强申鹤，上肚脐啊"
"小桥bili","男","广东","72569127","6","良辰美景·不问天","10000","10","","woc，申鹤是第一次复刻？"
"美琴的小呱太","男","江西","299267528","5","","10000","7","","好耶，生日当天申鹤老婆出视频，开心[蛆音娘_卖萌]"
"我愿成为自己的南河","保密","北京","343689120","5","中国奇谭","10000","7","","我做梦，梦到蒙德加了一小块地图[妙啊]"
"梦里花与她","男","广东","100920169","5","","10000","7","","夫君真行真君[星星眼]"
"两忆沈梦溪","保密","湖南","1232169721","5","","10000","5","","纠缠之缘准备发射[脱单doge]"
"账号已注销","保密","云南","1876791130","0","","5000","6","","又是你，十连双黄真菌[tv_doge]"
