"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"斟茶兵F","男","无IP","106584304","6","","10000","79768","","第二位才半价？为什么不能续碑"
"向尾猫铃","女","无IP","887748","6","真白花音冬日绮梦头像框","10000","53968","","忽然感觉璃月好危险 魈负责拓展业务 甘雨负责冰冻保鲜 胡桃负责火化 刻晴负责找风水宝地 钟离负责埋  行秋负责写悼文 重云负责作法  凝光负责包办会场 香菱负责宴会众宾 辛焱负责吹拉弹唱  好家伙 直接一条龙服务……[神乐七奈_震惊]"
"若叶睦一动不动","保密","无IP","43828547","6","","10000","100715","","她巴不得我死，她心里有我[妙啊]"
"果蝇轰","男","无IP","8469526","6","","10000","80300","10","大半夜的来无妄坡……刷圣遗物啊!![辣眼睛]"
"看到我请叫我去减肥QAQ","保密","无IP","3857990","6","","10000","30528","11","摩拉克斯假死是为了年前给胡桃冲一波业绩[热词系列_知识增加]"
"怀里拥月月","男","无IP","11885737","6","","10000","44859","","胡桃up时间是3月2号，也就是正月十九，黄道吉日上写宜祈祷、结婚、娶嫁；忌安葬、入殓。,pv上旅行者与胡桃的相遇地点是无妄坡火本门口，时间乃午夜丑时，下山途中有蝴蝶引路。,从中我们可以得出：正月十九那天由于忌安葬、入殓，说明往生堂那一天要停业；又由于当天乃结婚，娶嫁吉日，是姻缘出现的好日子；,从中我们可以得出最终结论：角色走到无妄坡火本门口，现实时间定在午夜12点，游戏时间定在午夜12点，携满级护摩杖为聘礼、毕业魔女套为嫁妆，带蝴蝶一只，双手合并祈祷 祈愿，终能把胡桃娶回家。,手打求赞[doge]"
"雪月ぉ三三","女","无IP","33707093","6","","10000","114324","","160原石→护摩之杖,                        ↓,  胡桃    ← 无主的星辉x5,     ↓, 出胡桃的人,     ↓"
"时4次方","保密","无IP","282173023","6","hanser","10000","23543","","这阴间口号难怪不敢春节发，光那送你一程就够友商搞一阵了[doge]"
"小敢","女","无IP","642228","6","","10000","5972","2","还有优惠券哦，哦吼吼吼吼～～[嗑瓜子]"
"鹿喑kana","男","无IP","302145","6","多多poi","10000","33235","11","卧槽卧槽卧槽陶典和李依李都好绝好会啊啊啊啊啊啊！！！,把我杀了给兄弟萌助个兴顺便给胡桃老婆冲个业绩！！！！！[大哭][大哭][大哭][大哭][大哭]"
"斫竹予卿","女","无IP","392255849","6","星座系列：白羊座","10000","40915","","／ ￣￣ ＼　 ,|　ー　ー \　 ／￣￣￣￣￣￣￣＼,|　 　 | |     总算把你给 \,\　　 　/ ∠盼出来了，胡桃老公,＼　　 イ　  \ _______________/,／　　　\ ,/　|　　 \ ,|　|　　 | | ,xdm抽出胡桃后剩下的纠缠之缘,↓"
"云闲不咸","男","无IP","378537666","5","","10000","67322","","是否献祭ch兑换胡桃？,接受    丨     拒绝"
"黎明前兆","男","无IP","21939609","6","","10000","14657","","很喜欢胡桃的神之眼故事：,故事, 要从胡桃的爷爷的葬礼说起。葬礼十天前, 胡老爷子患病去世. 往生堂按照老爷子生前的遗愿, 由胡桃为第75代堂主举行了盛大的葬礼。,时年十三岁, 即将接过往生堂主之位的胡桃以她最高的规格举行了葬礼, 隆重程度连堂里的执行人都为惊叹。,葬礼过后, 十三岁的胡桃带着行李深夜离开了往生堂。随身的小包裹中只带了一些食物, 水, 和火折子。 就此, 怀着鲜为人知的目的地, 胡桃踏上了旅程。,从无妄坡出发, 可达”边界”。这是存在于生与死之间的界线, 是往生堂代代相传的秘密. 据传, 这里是心怀遗憾, 未竟之志的去世的亲人所徘徊的地方. 胡桃想要在这里见她的爷爷最后一面。,不知疲倦的走了两天两夜的胡桃终于到达了她的目的地, 但她的爷爷却一直没有出现。 数不清的灵魂擦肩而过, 却没有一个熟悉的面孔。,胡桃徒劳地行走在生与死的边界, 却一无所获. 终于, 又累又困的她陷入了沉睡.。再次睁眼时, 眼前依然是亘古的夜空和潮湿的露水.。几个孤魂野鬼在她身边嘲笑道:”傻姑娘, 胡老爷子怎么会在这里, 别白费功夫了”,性子执拗的胡桃继续等啊等, 一天天的等下去, 一直到身边的干粮与水都耗尽了, 她的爷爷也没有出现. 最后一位老奶奶出现在她的面前。,她看着筋疲力尽的胡桃, 微笑着说:”看看你, 跟老胡一样固执的像块石头. 很可惜, 从来没有往生堂主会徘徊在这生死的边界. 你们家人从来都是有话直说的直性子, 我也就不跟你打哑谜了, 回去吧, 小姑娘”。,老奶奶告别了胡桃, 转头跨过了边界, 走向了远方. 胡桃看着她的身影渐渐消失, 一种夹杂着疑惑与释然的心情油然而生。,最后胡桃下定了结论, 爷爷没有出现是因为他直接跨过了那条界线, 走向了彼界.。胡老爷子一辈子为人豁达爽朗, 并没有什么遗憾可言。,想到这里, 嘴角终于挂上了一抹笑意. 胡桃终于动身返程.,来时披在肩上稀薄的月光不知何时已经无影无踪, 黎明的曙光洒在脸上的感觉让胡桃想起了爷爷以前说过的话:” 活着的时候就好好活着, 那么死的时候也无可畏惧. 记住遵从你的本心, 做你想做的事情.”,到家的时候时值正午, 胡桃翻过后院的墙回到了自己的房间, 打开了她的小包裹。,食物和水早就吃完了, 本以为空空如也的包裹里面静静地躺着一枚神之眼。,她对于生死的态度和豁达的心态，真的很让人触动啊[大哭]"
"来福iFun","保密","无IP","272882445","6","温迪Venti","10000","11021","","“冒险家是我们的优质客户”,“第二位半价”,怪不得这PV不敢在正月十五之前发[原神_鸽子][原神_鸽子]"
"夕阳下有只猫","男","无IP","440709491","5","","10000","7214","","看完了胡桃pv,,热血沸腾的我,,在床上翻了个身,,然后充电线太长了,,把我勒死了[脱单doge]"
"卡塔利纳的洋葱哥","男","无IP","34019300","6","","10000","7440","","“大半夜的，来无妄坡干什么”,“还不是为了给你刷套圣遗物”"
"怀里拥月月","男","无IP","11885737","6","","10000","4828","","艹看见一个弹幕广告：你的死相，超乎我想象！笑死我了吃饭中的我喷的满桌子都是[笑哭][笑哭]"
"wuli徐先生i","男","无IP","299608595","6","","10000","5291","","十六日夜为“鬼灯”，放在丘墓、原野，为了游魂得到可以脱离鬼域。  看来米哈游还是很尊重老传统的嘛"
"-_克制是种修行_-","保密","无IP","360743056","5","","10000","11705","","你将会抽到一个火系角色,安柏：侦察骑士安柏，前来报道！[妙啊],TA是个人上人,安柏：…[再见],班尼特：蒙德城的迪卢克，应约而来。[妙啊],迪卢克：我就是「班尼冒险团」的团长。[妙啊],TA是个璃月人,班尼特：…[再见],迪卢克：…[再见],辛焱：我是辛焱，璃月港唯一的摇滚歌手。[tv_大佬],TA是个枪兵,辛焱：…[再见],没错，TA就是,…,…,…,哟，找本堂主有何贵干啊！[妙啊],（推开）,我是来自璃月的厨师香菱！[妙啊]"
"米游姬","保密","无IP","510189715","6","","10000","9103","4","[嗑瓜子]吓到了"
"夜雪逢椿","男","无IP","26387918","6","泠鸢yousa","10000","6601","7","／ ￣￣ ＼　 ,|　ー　ー \　 ／￣￣￣￣￣￣￣￣￣￣￣＼,|　 　 |   |　   亲爱的原神                        \,\　　 　/ ∠     我被这个pv吓死了               /,\               /    \你能叫胡桃来我这送我一程吗/ , ＼　　 イ　 \  _______________________/,／　　　\,/　|　　　 \ ,|　|　　　 | |"
"卡特亚","保密","无IP","43222001","6","星座系列：白羊座","10000","23047","31","“死老头子！快把武器还给我，我可是会咬人的！”"
"qaeqeeeqarCtrl6","男","无IP","30943516","6","原神","10000","4543","","大半夜的来无妄坡。。。。。,无妄坡没有白天啊"
"和泉守_朝歌","保密","无IP","189837966","6","","10000","5443","","“嗯……小胡桃真漂亮，一定会很受旅行者们欢迎的。”,“刻晴姐姐……”,铜镜里的少女为小女孩梳着头发，看着小女孩，少女似乎想起了曾经的自己。,“怎么了，小胡桃有什么心事吗？”,“……”,小胡桃低着头，两只小手紧紧地抓着衣服下摆。,“不要担心哦，小胡桃这么可爱，肯定很受欢迎的。”,房间外似乎有些嘈杂的脚步声。,“看吧，接小胡桃的人应该已经来喽。”,“我不要。”,“什么不要……”,“我不要刻晴姐姐一个人留在这里！”小女孩抬起头来，眨巴着泪汪汪的大眼睛。,刻晴透过铜镜看着小胡桃，却又不敢直视小胡桃的眼睛。,“没事的，姐姐我总有一天会和旅行者见面的，不过现在还不是时候哦。”说罢，刻晴又低头打理着小胡桃的衣服。,“可是……可是……”,“明明刻晴姐姐还在这里，我却要和旅行者姐姐先见面了。”,有那么一瞬间，刻晴的手犹豫了。,…………,“好啦，照照镜子看看吧，小胡桃果然最可爱了呢。”,不愧是曾经人气最高的她，穿着打扮的挑选与搭配对她来说更是游刃有余。,小胡桃羞涩地看着铜镜里的自己，与旅行者姐姐见面的日子也终于到了。,小胡桃转过身来扑在刻晴身上“刻晴姐姐答应我了哦，一定要尽快来找我哦。”,“嗯，小胡桃最听话了，姐姐很快就去找你玩儿。”,“那咱们拉勾，到时候一起去帝君叔叔家玩儿。”,“嗯，咱们拉勾！”,…………,刻晴看着荧拉着小胡桃的手，一步，一步，终于走出了自己的视野。,回到屋里，桌面上赫然放着的是那个令人厌恶的人发来的通知,“稻妻未开，雷系暂不加强”,刻晴走过桌子，身体周围四溢的雷元素准确的将通知单切成碎屑。,她无力地躺在床上，逐渐深入梦乡。梦里，七种元素相辅相成，各自有各自的战斗方式，雷元素也同样是不可或缺的一部分……"
"安徽师范大学","女","无IP","232696033","6","","10000","19161","","俺们学校盛产美女啊[星星眼]陶典小姐姐人美声甜[热词系列_芜湖起飞]"
"若璃空","男","无IP","416225391","6","2021拜年纪","10000","145321","","是否使用160原石兑换胡桃？,接受    丨     拒绝"
"空美町","保密","无IP","168687092","6","","10000","10199","","第二碑半价，埋一送一，开盖赢奖，再来一碑[doge]"
"三玖老婆TXDY","保密","无IP","12787102","6","","10000","1908","","━━━━━  往生堂！！,┓┏┓┏┓┃我来啦！！！,┛┗┛┗┛┃    v,┓┏┓┏┓┃＼○／  ,┛┗┛┗┛┃   / ,┓┏┓┏┓┃ノ) ,┛┗┛┗┛┃,┓┏┓┏┓┃,┛┗┛┗┛┃,┓┏┓┏┓┃,┛┗┛┗┛┃,┓┏┓┏┓┃,┃┃┃┃┃┃,┻┻┻┻┻┻"
"天蓝云扬","男","无IP","2535146","6","洛天依9th生日纪念","10000","2115","11","都这么久了，有人还没分清角色都有3个PV吗，,第一个角色PV都是PPT（魈用的剧情PV，当然也是PPT）,第二个是角色演示PV，是实机画面剪辑（卖家秀）,第三个是拾枝杂谈，角色技能介绍+谜语人"
"潍坊科技学院官方号","女","无IP","365669395","5","","10000","7806","","-1600,-1600,-1600,........."
"辻雨观月丶","女","无IP","316382101","6","原神","10000","1955","","227发胡堂主的pv，暗示给割割送走，我直呼mhyNB[doge][支持]"
