"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"北辰宇","男","无IP","12460186","6","","10000","8286","","04:55[doge][doge][doge]"
"吃不胖的江小鸿","保密","无IP","227746197","5","崩坏：星穹铁道","10000","15698","11","冷知识：米哈游是奇响天外的唯一非个人资质股东，彭导和簌簌姐加起来有奇响天外将近60%的股份，所以两个大导演是有很高的自由度。两家企业可以说是互相成就了[脱单doge]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","34676","","璃月雅集"
"关于ID没法加书名号","男","无IP","178825367","6","","10000","38449","","内敛含蓄的宵宫，,活波开朗的绫华[笑哭]"
"无趣的咸鱼bbb","保密","无IP","165382459","6","崩坏3·天穹流星","10000","14388","11","这期也太搞了 cv和米哈游属于是放飞自我了。下次能不能多来点这种的！！！！！[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]"
"へ゛","男","无IP","526908603","5","约战·白之女王","10000","4941","","／ ￣￣ ＼　               ,|    _      _\        ／￣￣￣￣￣￣￣￣￣＼,|　 　 |      / 这可是兼具智慧与美貌  \,\   　 　/   ∠     的万叶小兄弟赠送给  / , ＼　　 イ　      \   我的！！！！！！             / ,／           \           \_______________/,/　|　   \ ,|　|             |"
"无语之中223","男","无IP","399080983","6","","10000","7811","","有一说一莹妹这个2d太适合包包了，感觉就跟本人一样[脱单doge]"
"废宅夹子","女","无IP","25830745","6","","10000","6621","","璃月雅集[doge]指2个稻妻人加1个旅行者然后才有一个璃月人"
"shourei小N","女","无IP","249118","6","花园花玲头像框","10000","6190","","想说……四个大头小人真可爱……"
"千石嘉滕","男","无IP","8026912","6","","10000","2115","11","原神我最喜欢的一点就是，staff是真的会说诸如“贪生怕死角斗士”“咕噜咕噜滚下山真君”这种玩家间兴起的梗。虽然也有因为声优老师们也都有玩游戏这一点在，但是真的能感觉到亲近感。"
"纯黑芝麻糊","男","无IP","85626557","6","","10000","426","","13:31不用谢[doge]"
"夜下瓜猹","男","无IP","12135989","6","崩坏3·天穹流星","10000","2629","6","知道茶是谁泡的吗？是安柏，因为斟茶骑士安柏[doge]"
"你开路丶我掩护","保密","无IP","37314308","5","","10000","154","","原神玩家大多数都没玩过崩崩崩，但崩崩崩玩家大部分都是原神玩家，甚至相当一部分都是开服玩家，所以来崩崩崩看看吧。[滑稽]ch这几个版本前所未有的良心，这个版本周年庆，下个版本送T1级别的角色，下下个版本后崩坏书2，更有符华进乐土，众多超赞活动剧情复刻等你体验。更关键的是这是一个“健康阳光，积极向上”的游戏，而且下个版本还复刻一个充满恋爱酸臭味的活动，“星与你消失之日”，甜到掉牙。不像原神，阳光的明线下隐藏着无数刀子[doge]"
"智能跳舞稽器人","男","无IP","6968636","6","夏日萌菜头像框","10000","1581","","相信很多旅行者还不认识这几位角色，这里我给大家介绍一下，从左到右依次是：,神里绫华的狗,文静内敛，略显紧张的宵宫,热情话多，活泼健谈的神里绫华,璃月雅集中唯一的璃月人"
