"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"柠檬味的桃纸","男","广东","9030736","6","","10000","16456","","赛诺（冷漠）【你的生命已如风中残烛。】,荒泷一斗【那可不一定。】,荒泷一斗深吸一口气，他的手上还藏着最后的王牌。,·,那是久岐忍在他开始决斗前送到的,——神里绫人交给他的卡牌。,友情的卡牌。,·,这是赛诺第一次露出惊讶的表情。,赛诺（摇头）【不可能，我的怪兽竟然被全灭了...!】,荒泷一斗的决斗盘上，放置刚刚打开的盖卡。,那张卡名为——【雷电将军的崇高力量】。"
"民国豌豆","保密","湖南","484465441","5","","10000","25630","","注意小提那两只耳朵是天生的，赛诺那两只耳朵是帽子上的。也就是说小提其实要比赛诺高很多。[doge][doge]"
"这个男孩叫卡带","保密","上海","296587822","5","","10000","2699","","胡狼并不懂那些人们所说的话，沙尘暴时节小提依旧五六点起床给虚空终端充电，胡狼发了疯般的叫，赛诺大喊着胡狼闭嘴，胡狼转头看向远方的沙漠，眼中噙着泪，喃喃道：“我和沙漠都死在了那年。”,赛诺在风沙中，讲起了永远可以降温的冷笑话，满天飞沙之间他仿佛又听到了那呜呜声，下意识的胡狼闭嘴脱口而出。可是赛诺沉默了，他突然意识到这不过是风声，那胡狼已经永远的留在了赤王陵的沙丘里。"
"亖哩阿","保密","河南","20288864","6","","10000","7934","","感觉这次赛诺角色演示的画风跟之前不一样呀"
"向往天空的猪","男","广东","23077031","6","三周年恋曲","10000","6586","","羽毛是审判天平上的砝码，只有心脏和羽毛一样轻的才能进入死者的世界永享安宁，反之则受到审判[doge]"
"笑死改名也中不了奖","保密","浙江","324490668","5","","10000","4169","11","真的有隐约肌肉 不夸张，也不是完全没有，不错"
"果てしない幻","保密","广西","438861968","5","原神","10000","9215","6","看演示前一直在想「大风纪官」的Q能不能叠层，我是不是没救了？[笑哭][原神_躺平][原神_躺平][原神_躺平]"
"-猫猫猫猫猫--","男","陕西","472451480","5","","10000","1989","","我去爬山 到山顶时缺氧呼吸困难 于是拿出一瓶氧气 吸了一口 瞬间精神抖擞 我在想这是什么气这么好用 原来这是赛诺你好帅气"
"五水合硫酸铜Official","男","辽宁","353235057","6","鹿乃","10000","202","","原神英配小科普,赛诺英配CV：Alejandro Saab（亚历杭德罗·萨博），1994年11月15日出生于达拉斯，美国配音演员，虚拟主播CyYuVTuber中之人。,部分配音作品：,程小时（时光代理人）,传木凯保（秋叶原之旅）,仓田武藏（一弦定音）,矢逆一稀（皿三昧）,宫村伊澄（堀与宫村）,司波达也（魔法科高中的劣等生）,魔王黄昏（在魔王城说晚安）,罗梅罗（佐贺偶像是传奇）,羽柴纯一（第一次的辣妹）,太鼓钟贞宗（刀剑乱舞）,石动静流（Free!）,狯岳（鬼灭之刃）,久我照纪（食戟之灵）,相马一也（现实主义勇者的王国重建记）,桃城武（网球王子）,由里乌斯·尤克历乌斯（从零开始的异世界生活）"
"猫猫弹射撞墙","保密","四川","14365124","6","","10000","637","","我是很喜欢赛诺，但是总感觉这个演示没啥惊艳的感觉。,小提的演示，音乐有幽林花开的感觉，节奏也完全契合视频内容，画面上转2d的时候很流畅自然，特别是展示出了提纳里的普攻步伐确实像小狐狸在林间跳跃的灵动模样，整个视频没有一丝多余的地方,赛诺就。。好看归好看，好听归好听，但算不上惊艳，也get不到重点的感觉，感觉就是普普通通展示大招特效而已[原神_嗯][原神_嗯]"
