"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"账号已注销","保密","上海","2072727585","0","","5000","11306","","不知道大家还记不记得，小王子是猫尾酒馆老板玛格丽特很喜欢的猫，在琴的传说任务里，小王子偷了温迪的备用琴弦当毛线团玩，温迪又猫毛过敏，最后是我们去帮忙找的[脱单doge]"
"Seeleの团子","男","福建","143469677","6","夏诺雅","10000","5559","","“我的女儿要病死了”,“来一局昆特牌吧”,“噢，我可是我们村里打的最好的”"
"回老家了啊","保密","河南","419238673","5","","10000","10596","","兰拉娜：旅行者，快帮帮忙！！！拉娜收到了死域的侵蚀！！！！,旅行者：来把七圣召唤吧。,兰拉娜：没问题，我的牌术可是全桓那兰那最强的！[脱单doge]"
"Jo久若ruo","男","河北","389624092","5","","10000","21131","","“呜呜，我的妻儿被抓走了”,“来局七圣召唤吧”,“好啊！我可什么时候都有心情”"
"我喝酸奶不舔盖儿","保密","河南","545631615","4","","10000","12271","","赛诺为了打牌，从须弥沙漠千里迢迢横跨璃月来到蒙德哈哈哈[脸红]"
"香菱家的小a","保密","湖北","394242004","6","","10000","13333","","尘歌壶能不能出天气系统啊，想让壶里下雪，壶里盖的圣诞树不下雪，氛围感少好多[保卫萝卜_哭哭][保卫萝卜_哭哭]"
"神赐的小饼干","女","河北","431567813","5","初音未来13周年","10000","2844","","凯亚贺图呢！[doge]"
"丑到对帅过敏","男","福建","49409120","5","","10000","51353","","猫尾酒馆因为七圣召唤开放，那岩上茶室重新装修用来玩璃月千年也是很合理的吧[脱单doge]"
"御坂15143","保密","重庆","23077752","6","初音未来13周年","10000","3918","","特瓦林：你是和他们一起，来猎杀我的吗！,旅行者：来一局七圣召唤吧。,特瓦林：真棒，风龙废墟一条龙太无聊了。,温迪：6,,凝光：帝君遇刺，封锁现场！,旅行者：来一局七圣召唤吧。,凝光：这是有多久没有人和我玩策略了，百闻，沏一壶茶，我要和旅行者好好聊聊。,百闻：6,,公子：摩拉克斯的神之心，我就收下了！,旅行者：来一局七圣召唤吧,公子：嘿，我可是至冬最棒的牌手。,暗中观察的女士：6,,雷电将军：我要将你砌进神像里。,旅行者：来一局七圣召唤吧。,影：一心净土内数百年间的思考里，牌技也是我其中之一。,雷电将军：6,,若陀：摩拉克斯，是时候清算一切了！,旅行者：来一局七圣召唤吧。,若陀：哦？是当出留云和仙家玩的吗，没问题。,钟离：6,,魈：金鹏大将，入阵！,旅行者：来一局七圣召唤吧。,魈：凡人的游戏么，如果是你的话，我可以尝试。,夜兰：6,,散兵：不！只有那个，我不想再回去！（砰！头朝地摔下）,旅行者：来一局七圣召唤吧。,散兵（爬起）：当然，这上面，我可没有输过。,纳西妲：6"
"头像是我可爱的妹妹","男","山东","246617517","6","","10000","229","","第一天：和赛诺打牌,第二天：和菲谢尔打牌,第三天：和绫华打牌,第四天：和刻晴打牌,第四天：荧啊荧，你怎么能如此堕落？哥哥还没找到啊！,第五天：和温迪打牌"
"永志焰","保密","重庆","19904005","6","良辰美景·不问天","10000","482","","对于那些担心这个卡牌游戏给原神带来不好影响的玩家，这个卡牌游戏是影响你抽卡了？逛大世界了？影响你刷圣遗物了，还是影响你打深渊的呢？这个卡牌游戏根本不涉及原神的核心玩法，只不过是mhy在游戏性多样化上做出的一种尝试而已。恕我直言游戏内这个卡牌游戏对于不想玩卡牌游戏的玩家没有一点影响，但如果觉得社区环境会因为这个卡牌游戏带来不好的变化的话，那我只能说都这样的社区环境了还能差到哪去"
"万抽无金策天凤","男","安徽","310010587","6","刀说异数","10000","323","3","大家以为的七圣召唤：,      刻晴、丽莎：决斗！,      丽莎：由我先攻，我要召唤“女仆骑士”采取攻击状态，结束这回合。,      刻晴：我的回合，抽牌！我要召唤“天衡方士”采取攻击状态。,      丽莎：哼，“天衡方士”攻击力1400，我的“女仆骑士”攻击力1700，你怎么跟我斗？,      刻晴：我的回合还没结束呢！发动魔法卡“七星封印”，这张卡可以让你场上的怪无法攻击三回合。,      丽莎：你现在不过是在垂死挣扎罢了。,      刻晴：不到最后一刻还不知道谁输谁赢呢，结束这回合。,      丽莎：轮到我了，抽牌。我要召唤“暗夜英雄”采取攻击状态，并覆盖一张卡，结束这回合。,      刻晴：我的回合，抽牌，我要召唤“飞云少侠”采取攻击状态，结束这回合。,      丽莎：又是一只杂鱼，我的回合，抽牌，将两只怪兽作为祭品，上级召唤“风魔龙”（攻击力3000）！你的“七星封印”只剩下一回合的效果，下回合就是你的死期，结束这回合！,      刻晴：我的回合，抽牌（bgm起）我刚不是说过了吗，不到最后一刻还不知道谁输谁赢呢，将两只怪兽作为祭品，上级召唤“无冕的龙王”（攻击力2600）！对手场上和墓地每有一只龙族怪兽，她的攻击力就会上升500点（攻击力3100）！,      丽莎：纳尼！？,,实际上的七圣召唤：,      旅行者：由我先攻，我要召唤“应急食品”采取攻击状态，结束这回合。,      冰之女皇：准备（阶段），主要（阶段），召唤“愚人众·博士”，博士效果，检索“浪船”。发动“切片复制术”，特殊召唤博士两个，博士效果，检索“风之翼”、“邪眼”。Link召唤“愚人众·双莹术士”。（墓地）博士效果，丢“风之翼”，拉博士，博士效果，检索“风之翼”。（墓地）博士效果，丢“浪船”，拉博士，博士效果，术士效果，特殊召唤“愚人众·女士”，女士效果，检索“救赎”。Link召唤“愚人众·藏镜仕女”，（墓地）女士效果，检索“愚人众·公子”、环境魔法卡“愚人号”。（墓地）博士效果，丢“救赎”，拉博士…………特殊召唤“愚人众·魔王武装”，盖一张牌，进战阶，七只攻击力总和114514，请问有没有“替身术”或“时与风”？（搓牌ing）,      旅行者：…………"
"与非勿忘卿","保密","浙江","480233174","5","","10000","235","","很怪，你要说“收留心碎炉石玩家”，我可以理解是玩梗开玩笑，有些人觉得和炉石像，那你有没有玩过炉石就存疑了，炉石里面就佣兵模式有点类似吧？而且这么算，你还得问问百闻牌、万智牌，和三国杀里面的统帅三军同不同意你的说法。抛开特有的元素反应机制和画风不看，角色数倒是和佣兵模式一样，玩法上玩过的炉石玩家都知道。。。别瞎起哄了，真的，说像炉石的，你不如说像卡牌游戏得了。。。。"
"此去经年的辰景","男","湖北","11818392","6","2021拜年纪活动专属","10000","309","","估计这几天可能就只有个6号的停服公告,,然后能想到的，从7号0点开始之后会发的,,补甘雨、妮露生日贺图,散兵的PV,散兵角色演示,散兵拾枝杂谈,珐露珊角色演示,珐露珊拾枝杂谈,维护更新公告,版本更新说明,新版本卡池,3.4新角色立绘（如果有的话）"
