"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Moth蛾","男","无IP","243947364","6","","10000","37947","","等戴因实装，旁白就会说，我的普通攻击，造成大量伤害。。。我施放元素爆发，可造成巨额伤害。。。[笑哭][笑哭]"
"鹿喑kana","男","无IP","302145","6","多多poi","10000","29695","11","戴因：解锁天赋“早柚不用工作啦”后…,[原神_嗯][原神_嗯][原神_嗯][原神_嗯][原神_嗯],再冰冷的男人，念早柚的失智杂谈时也会变得可爱的吧（？"
"Kirakira四季春","保密","无IP","554767736","5","","10000","6257","","早柚一定要抽的理由：,1：凑齐四萝莉阵容,2：是兽耳娘，还有大尾巴,3：最强风大剑，凑双风，而且还能治疗,4：赶路飞快，大世界的快乐之一,5：独特天赋，对捕捉晶蝶和螃蟹有极大帮助,6：第一个露出脚趾的萝莉角色"
"真红之火鸡","男","无IP","488080","6","","10000","9832","","不一定是迄今为止机制最好玩的4星角色，但一定是目前大世界最快乐的4星角色。,设计的太好了！,不过稍微吐槽下待机动作的变身，太短了！能不能改成只要玩家不动就一直变身下去的样子呀？？？[脱单doge]"
"小埋丶233","保密","无IP","267715467","5","","10000","1606","","5:36，原来风的特质不是工作狂，而是无法逃离自己应尽的职责啊"
"MC联萌Laf","男","无IP","181456864","6","","10000","24986","","录完音后，戴因开着疾步，迅速跑出了米哈游录音棚，,然后欢快的说了一句:“戴因不用工作啦吼~”[doge]"
"cookie-NANA","女","无IP","30751170","6","","10000","3970","","啊啊啊啊啊啊啊戴因！戴因！他终于说到他自己了哈哈哈哈哈哈！这就是可爱的力量吗！"
"萧璐aa","保密","无IP","433478518","5","","10000","2405","","四风守护:,温迪（飞行减体力，自己可以产生风场）,万叶（跑步减体力，E技能空中释放爬山）,魈（爬山减体力，E技能空中跑图）,早柚（E技能跑图加速且不减体力）,有奶有辅有C有共鸣，大世界跑图这块可算是被风系玩明白了[笑哭][笑哭]"
"小梓可爱滴捏","男","无IP","369373267","5","","10000","2181","","“哈哈，玩笑而已，几百年前的事，我早就记不清了”,“我的记忆已经磨损了太多，但我总还记得，她也喜欢这些花”"
"墨染云生","男","无IP","35213789","6","","10000","900","","和戴因对话时，戴因的称号就叫拾枝者，这个拾枝杂谈当然是他说的了，都2.0了还有人不知道吗"
"黑麦达仑ZHE","保密","无IP","399101831","5","Kizuna AI","10000","1479","","解说的是戴因斯雷布，他是拾枝者所以叫拾枝杂谈[OK]"
"Sakulaˇ小舞","女","无IP","264161","6","","10000","26450","6","戴因。。。在这段视频里说了多少次叠词[热词系列_知识增加],看着各种整活儿视频快乐溢出屏幕[热词系列_好耶]"
"阴间火胡桃","保密","无IP","399299683","6","","10000","3515","8","给新玩家科普下：拾枝杂谈系列都是拾枝者戴因斯雷布（在双子线中有出现），所以结尾处是戴因在自夸嗷"
"想娶科洛丝","保密","无IP","1550063","6","","10000","3317","","严重怀疑平时见不到戴因的原因是他在各地做星探.看见有潜力的人就跟踪一段时间了解清楚了然后放进卡池.,然后隔上一段时间就再来见旅行者一次明面上给一些情报实际上挖掘旅行者的喜好.[妙啊]"
"星茶天空","女","无IP","577711704","5","","10000","772","","孙晔老师的声音真的好神奇，严肃中带着点羞涩，诚恳中又有一点玩味，但是不管怎样都命中心坎[罗小黑战记_哇]孙晔老师！以一敌三！医药大厦！"
"ppp","男","无IP","6778","6","公主连结凯露","10000","5761","11","魈：风风轮两两立！靖妖妖傩舞舞！"
"彼岸流年vollerei","男","无IP","514845559","5","","10000","911","","假如最后戴因斯雷布实装，拾枝杂谈里他会用第一人称自我解说吗？[doge]"
"符华上仙当陪练","保密","无IP","87607936","6","hanser","10000","4858","3","荧：哥哥，相信我,戴因：相信我,空：戴因，你再来一次那个我就相信你,荧：哥哥......,戴因：《早柚不用再工作啦》后,空荧：哈哈哈哈哈"
"_井之上泷奈","保密","无IP","23329121","6","","10000","1306","","早柚滚的过程中要是可以跳而不取消技能那在大地图将会是绝杀[歪嘴]"
"橘守离","保密","无IP","438818562","5","","10000","446","","兄弟们，昨晚连夜在壶里做了早柚赛道，欢迎大家来我家比赛！[doge],地图在动态,uid：178869250"
"想娶科洛丝","保密","无IP","1550063","6","","10000","3317","","严重怀疑平时见不到戴因的原因是他在各地做星探.看见有潜力的人就跟踪一段时间了解清楚了然后放进卡池.,然后隔上一段时间就再来见旅行者一次明面上给一些情报实际上挖掘旅行者的喜好.[妙啊]"
"没有人能躲过我的子弹","男","无IP","289104356","6","赏樱大会欧皇","10000","3037","","迪卢克：嘟嘟大魔王(_),戴因：早柚不用工作啦(_)"
"萌不良","男","无IP","440908214","5","","10000","2984","","／ ￣￣ ＼　 ,|　ー　ー \　  ／````````````````````````````````＼,|　 　 |   |           我亲爱的原神            |,\　　 　/ ∠  我想帮铜雀把破庙修好       |, ＼　　 イ　   \  任务可以没有任何奖励   |      ,／　　　\         \  倒贴也没问题          /,/　|　　　 \       ```````````````````````````````````,|　|　　　 | |        ,|    |           | |"
"小紫的小号","女","无IP","14829832","6","","10000","2983","29","啊看了这么多遍还是觉得好可爱(﹃)我看刑！！！[小电视_赞][小电视_赞][小电视_赞][小电视_太太喜欢]"
"萧璐aa","保密","无IP","433478518","5","","10000","2405","","四风守护:,温迪（飞行减体力，自己可以产生风场）,万叶（跑步减体力，E技能空中释放爬山）,魈（爬山减体力，E技能空中跑图）,早柚（E技能跑图加速且不减体力）,有奶有辅有C有共鸣，大世界跑图这块可算是被风系玩明白了[笑哭][笑哭]"
"TrickEye","保密","无IP","200819162","5","","10000","2368","","建议出莫娜的拾枝杂谈。固有天赋「老太婆来抓我呀」[doge][doge][doge]"
"小梓可爱滴捏","男","无IP","369373267","5","","10000","2181","","“哈哈，玩笑而已，几百年前的事，我早就记不清了”,“我的记忆已经磨损了太多，但我总还记得，她也喜欢这些花”"
"褐醉","男","无IP","305806317","5","","10000","2051","","救命！！！！这次杂谈的戴因太可了叭叭叭叭叭叭叭叭！！！！！！！！戴因厨直接原地起飞——————————！！！！！！让我爱他啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！天哪一本正经的念台词也太可爱了吧！“早柚不用工作啦”【捧读】我直接裤子飞掉！！！！你听见了吗！！！！他笑了他笑了他笑了呜呜呜呜呜呜呜戴因，戴因戴因戴因啊啊啊啊啊啊啊啊！！！！"
"夜一点","女","无IP","15553079","6","","10000","1960","","仿佛看到戴因从第一遍念风风轮有点羞耻到最后都念麻了的样子哈哈哈哈哈哈哈哈哈[脱单doge]"
"菊花大开富贵","保密","无IP","244282917","6","","10000","1870","","各位，哔站原神直播点赞活动的原石兑换码发放了,b站邮件记得查收。"
"小埋丶233","保密","无IP","267715467","5","","10000","1606","","5:36，原来风的特质不是工作狂，而是无法逃离自己应尽的职责啊"
"黑麦达仑ZHE","保密","无IP","399101831","5","Kizuna AI","10000","1479","","解说的是戴因斯雷布，他是拾枝者所以叫拾枝杂谈[OK]"
"砼道zh0ngren","保密","无IP","228564779","5","","10000","1414","","兄弟们顶我上去，《这就是街舞》节目用了原神钟离的bgm，然后玩家问有没获取授权时，给出了模棱两可的回答。[辣眼睛][辣眼睛][辣眼睛]"
"田野上的波波","保密","无IP","437761788","4","","10000","1403","",",  ,  ,,我抽干了水池~,悔得很冲动~,就算这是做错~,也只是怕错过~,抽到了 叫 梦~,抽干了 叫 痛~,是不是说还没有抽到  的  柚  最  痛~"
"被你认出了z","保密","无IP","476054166","5","","10000","1363","","我相信戴因说“早柚不用工作啦”的时候笑出来的不止我一个[脱单doge]"
"建国同志的红领巾","保密","无IP","291878434","6","仲夏幻想","10000","1341","","早柚太可爱了[崩坏3_吃饭团]"
"_井之上泷奈","保密","无IP","23329121","6","","10000","1306","","早柚滚的过程中要是可以跳而不取消技能那在大地图将会是绝杀[歪嘴]"
"牧野抚微风","男","无IP","314510340","5","","10000","1297","","旅行者看这些原石,( ｀ω),     ×n  ,用力一捏,( ｀ω),  ≡≡,变成相遇之缘啦,( ｀ω),       ,用力再捏,( ｀ω),  ≡≡,变成垃圾了,(；ω；`),    ◎  "
"の尼桑","男","无IP","39788079","6","","10000","1108","13","凯亚              香菱,              [藏狐],    你们  都是 我的 翅膀[脱单doge]"
"雒水泛画舟","男","无IP","10122727","6","","10000","1056","","这期戴因的语气不太一样了诶，突然变凯亚的感觉了"
"魔王武装龙君","男","无IP","370655085","5","崩坏3·天穹流星","10000","946","","今晚9:00 原神2.1版本前瞻直播 300原石,兑换码：,QAQTHJNY35HW,SS9SYKNHKLHS,PT8SG36HK4X6,兑换码过期时间为周六中午12:00,请大家及时兑换"
"彼岸流年vollerei","男","无IP","514845559","5","","10000","911","","假如最后戴因斯雷布实装，拾枝杂谈里他会用第一人称自我解说吗？[doge]"
"墨染云生","男","无IP","35213789","6","","10000","900","","和戴因对话时，戴因的称号就叫拾枝者，这个拾枝杂谈当然是他说的了，都2.0了还有人不知道吗"
"4399游戏盒","保密","无IP","251347544","6","","10000","866","","不倒【盒盒】[嗑瓜子]"
"小竹cer","保密","无IP","8460904","6","","10000","860","9","再冷酷的男人，在说叠词词的时候也会变得可爱起来呢[羞羞]"
"米游姬派蒙","保密","无IP","84675700","6","还有醒着的么","10000","853","10","早柚我的宝啊"
"星茶天空","女","无IP","577711704","5","","10000","772","","孙晔老师的声音真的好神奇，严肃中带着点羞涩，诚恳中又有一点玩味，但是不管怎样都命中心坎[罗小黑战记_哇]孙晔老师！以一敌三！医药大厦！"
"灵-02","女","无IP","436689593","5","","10000","644","","这次的早柚池，对于我们大家来说都是一个极大的挑战，要在大保底给雷神的情况下抽到早柚，同时又不能歪了宵宫，害，太难了[辣眼睛]"
"雪辰沙","保密","无IP","352751792","5","","10000","636","","早柚归位！牢饭队，今天组起！主c，可莉！副c，早柚！辅助，dio娜！奶妈，七七。四小只大闹提瓦特！[doge][doge][doge]"
"菌褶_原澪丶sabrejab","保密","无IP","24322698","6","少女前线","10000","508","","[脱单doge]早柚身为呜呼流忍术最后一代传人都溜的这么厉害，那么创始人是不是可以原地起飞了"
"沐风O-O","保密","无IP","398084050","4","","10000","482","","QAQTHJNY35HW"
"橘守离","保密","无IP","438818562","5","","10000","446","","兄弟们，昨晚连夜在壶里做了早柚赛道，欢迎大家来我家比赛！[doge],地图在动态,uid：178869250"
"Elodie三文鱼","保密","无IP","302477026","5","#EveOneCat!","10000","436","","刚刚看了若陀龙王的设计，心里突然感慨万千。,作为一个老米哈游吹，突然又感受到年少时被崩二那句“技术宅，拯救世界”圈粉的悸动。,不玩米哈游，已经很久了。,从抢到崩三公测账号的欣喜，到等了原神快一年的期待，其实已经渐行渐远相当长的时间了。,一个老琪亚娜厨，看到心爱的姑娘拔起薪炎大剑，那是真是热泪盈眶，却也没有热情重新回到休伯利安了。,也许有一天，我和策划都能更加大度，我能重捡最初的热爱，跟我的女武神说一声好，跟可爱的火花骑士再来一次拥抱。,离开米哈游已经很久了，但这样长的时间里，心里最期待的，最抱以信任的，始终都是他。"
"零铛-零辉音耀","保密","无IP","67297310","6","","10000","316","","说真的，这次杂谈，孙晔老师的戴因也太凯亚了吧[doge]"
"与你且歌且行","女","无IP","13210768","6","请吃红小豆","10000","275","","戴因！你能再表演一下那个吗？,哪个啊？,那个！就那个！,好吧…""早柚不用工作啦吼"",哈哈哈哈哈哈哈哈哈"
"_Saysomething_","男","无IP","27905736","6","","10000","244","","真的希望原神能多出些像早柚这种角色，就算强度低，但是玩法娱乐性很高，真的会很受玩家欢迎，能设计出一个强度平衡娱乐性强的角色，就是真的成功了。"
"152406","保密","无IP","312112504","5","","10000","238","","什么时候来个艹系角色啊，迫不及待了的说[doge][doge][doge]"
"银鱼小馄饨","保密","无IP","12429511","6","","10000","230","","戴因！！！戴因他笑了！！他好可爱！！请多多解说小孩子的拾枝杂谈呜呜呜（早柚宝贝贴贴[tv_亲亲][tv_亲亲]"
"你认识伊泽特吗","男","无IP","269074315","6","","10000","217","","戴因斯雷布看来磨损的也挺严重了"
"欧瑞博全宅智能","保密","无IP","627938668","4","","10000","185","","早柚：咕噜咕噜 滚滚风轮"
"我不是小橘子233","保密","无IP","409340248","5","","10000","175","","垃圾国产网游培养了垃圾玩家，垃圾玩家反过来把自己的垃圾观念灌输给新国产游戏。举例：1、国内玩家玩惯了一键寻路，一键完成任务的流水账游戏。导致后果：满地图宝箱，解密的原神刚开服一大堆“逼肝”“逼氪”节奏。仿佛“游戏内容丰富”反而变成了一种罪过。2、没技术又没钱，所以不接受任何强度比拼。没技术体现在：“速杀”概念指大佬通透地了解游戏怪物机制的前提下，通过熟练操作快速杀掉怪物。但是菜的人没那技术又想速杀，就逼着游戏公司把怪物做成一个个不会动的木桩，天天往木桩灌输伤害。3、看到自己喜欢的角色就要让他天下无敌，不加强就疯狂带节奏，为此不惜削减游戏寿命而不自知（典型：崩坏三空之律者，T1强度不满意，要闹到加强到T0。崩坏三数值膨胀由此开始一发不可收拾）。,现今玩家的种种劣行，很多都是早期劣质国产网游培养出来的。现在这种劣质玩家反过来攻击“体质”尚好的原神等游戏。,我认为，玩家的游戏观亟需大扭转。"
"耐磨kun","保密","无IP","5561526","6","","10000","170","10","这拾枝杂谈都几期了怎么还有人在问解说是谁？是没过主线吗？是戴因啊戴因！看一下简介详情真的不难[藏狐]"
"御坂10032号Relive","保密","无IP","502046926","5","泠鸢yousa登门喜鹊","10000","146","","替女玩家问一下，原宝打算做新成男角色吗？要的话建议做成爱舞镰刀的靠谱成年红秋裤[doge]"
"ChenCFo","男","无IP","110374403","6","斯莱特林","10000","137","","预测后面戴因回自己解说自己，但不会以旁观者的身份解释，而是自我介绍，比如“漫长的百年间，我游走在灾难之后的土地上，blablablabla。如果需要可以讲我安排进队伍blablblabla，我不屑使用神的力量，但我拥有的***仍旧可以助你一臂之力，作战中，我会避免******最后完美收场。”"
"贝利撒留-拜尔","男","无IP","288191958","6","纳米核心","10000","132","","对于雷神和她的极乐净土的猜想,        天空岛的愚者启发了我的一个猜想，那就是愿力，愚者视频中说“愿力可以抵消业力，神之眼持有者炽热的愿望可以支撑起极乐净土”，这让我想起两个事情，一是千年前温迪通过古恩希尔德的信仰获得了在风雪中庇佑他人小小的力量，二是神之眼是持有者的愿望足够炽烈才降下的，这是否说明了一个道理，在提瓦特，强烈的情感与愿望会驱动元素力，雷神收集神之眼实际上是收集愿望来获得极乐净土所需的元素力。"
"变-徵","男","无IP","33186484","6","EveOneCat2","10000","127","","woc"
"羽葬仪","女","无IP","36825206","6","国民老公带回家","10000","123","11","看完这个视频，想抽早柚了，但是更想抽的还是戴因斯雷布，草，听他讲解早柚的技能，脑子里突然脑补出了一个好父亲（?）的形象，就是那种表面看不出来实际上很会带小孩子，对小孩子说话也很温柔那种，但是距离坎瑞亚剧情还有好几年啊呜呜呜，戴因进卡池真的有生之年了[原神_躺平]"
"玉尘归","保密","无IP","39559985","5","","10000","99","","亲爱的原神，下次躲猫猫能不能加入角色的技能，没什么，就是想用早柚溜猎手[吃瓜]"
"金银木_LONICERA","女","无IP","445078039","5","","10000","92","8","早柚拾枝杂谈让我仿佛回到了当年罗莎莉亚的奥托讲堂[笑哭],戴因：风风轮[藏狐],奥托：呼啦啦[脱单doge]"
"干人之律者","保密","无IP","320603909","5","","10000","87","","您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『感**质**…**』已被移除。感谢您对社区秩序的维护。,,刚刚,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『这**超**神**可**不**，**一**话**来**，**了**嗑**]』已被移除。感谢您对社区秩序的维护。,,5分钟前,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『感**如**_**.**.**质**作**戏**发**期**价**娇*』已被移除。感谢您对社区秩序的维护。,,10分钟前,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『感**质**原**还**好**才*』已被移除。感谢您对社区秩序的维护。,,29分钟前,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『@**』已被移除。感谢您对社区秩序的维护。,,43分钟前,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『什**戏**觉**不**神』已被移除。感谢您对社区秩序的维护。,,54分钟前,,您举报的评论已被处理,,您好，您在《黑神话：悟空》12分钟UE5实机测试集锦下举报的评论『不**面**术**凭**模**这**就**和**比**牙**氪**卡**才**国』已被移除。感谢您对社区秩序的维护。"
"星が落ちる時_","男","无IP","516050050","5","","10000","86","8","那个，大家听我一句劝哈，现在正是原神群体在风口浪尖上，我们要理智一点，不能因为一些“人”干的事坏了原神在其他人眼中的口碑，正中mzr的目的，原神玩家基数大，各种人都有，有nt但更多的是正常玩家。用理智的语言回应一些人对于原神错误的观点也许会更有用，开盒违法需要我们共同抵制，传播血图同样违法需要我们齐心举报，多使用举报有奇效。如果我们能在这次的节奏中改变大众对原神大多数的负面认识那就是大胜利[原神_干杯]"
"偷渡过来的酋长","保密","无IP","291331144","5","2021拜年纪活动专属","10000","84","","改一下宵宫吧，真的不好,我攒了挺久的原石了抽出来个什么玩意[大哭],虽然好看是真好看[doge]"
"雪之上AvA","保密","无IP","40769806","6","向晚大魔王","10000","83","","米哈游我创④你七十抽连个早柚都没抽到早柚我的早柚"
