"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"想做鸦鸦的我如何自适","女","无IP","34685549","6","","10000","28898","","感觉有一个很微妙的地方，就是，回忆中是钟离出现在了望舒客栈而非魈出现在往生堂。按道理说，下属向上司报备出行，只有下属去上司那的份，何来上司跑来听下属报备的道理。以及钟离突出一个“你执意要去”，就是说很久以前魈就与钟离在去或不去上产生分歧。我倾向于回忆杀中的那一幕是钟离多次劝说无果后，在魈动身前最后一次去谈谈。（鬼知道你们私下谈了多少次了！我就知道上次活动那个“来日方长”铁定有鬼，说，你们私下见面多少次了！）知道改变不了魈的想法，便已经做好了兜底的准备。我还能说什么？我完全懂了，操心的老父亲和他一意孤行的犟儿子。（顺便吐槽一句魈称呼钟离为帝君他也没要求改口什么的哈哈哈哈哈哈怕不是试着纠正过但是无果索性就随着魈仍然一口一个帝君叫了）"
"一口人二","保密","无IP","3282072","6","","10000","50936","","关于魈和钟离的互动，看没人提到，所以想说一下我个人的猜想,这几天一直都有人玩小孩出去玩要报备的梗，虽然还蛮搞笑的，但是我重看了n遍过场动画之后，觉得并不是魈自己主动报备的，而是钟离先在客栈堵魈,一是层岩一直有无名夜叉的传言，最近又因为旅行者封印解开了，魈作为现存的夜叉，一定会去调查,二是可能帝君和仙人们之间一直都存在着某种联系，他感应到了魈要去层岩,我个人偏向于第一种情况,过场动画里可以看到是钟离先在客栈楼顶等着，后才是魈落下来在钟离背后行礼，钟离说完层岩凶险之后，再开始请示钟离离岗。边说边低头这么诚恳的样子，很有被钟离猜中心思的感觉，他原本是想自己直接去的吧呜呜呜,后面钟离叹气扭头，想必应该是劝过了的，但是劝不住【米哈游敢不敢把完整剧情放出来！,我太喜欢他们之间的君臣情谊了[大哭][大哭][大哭][大哭],魈宝心结解开，会直率地感谢被帝君捞了一把，钟离听到魈的感谢老父亲心情好到不用语音就能看出来,希望以后帝君仙人们之间的互动摩多摩多[打call][打call][打call]"
"王去不留行","保密","无IP","175514917","6","","10000","6948","","热知识：帝君把魈救出来的那段站着的平台，在游戏实机中是没有的，那一片是橙色的，根本没有那么光滑的岩石,所以合理怀疑帝君是捏了一块岩石飞过来的，在浮空的石块上一边品茶一边看旅行者在里面转了一个多小时[doge],人家哪用跑路啊，魈都会的瞬移，帝君能不会？"
"凉水上头","保密","无IP","37157486","6","","10000","5016","","这次剧情真的很感谢钟离。之前在地下大家劝魈魈不要放弃自己，他应该不是没听进去，只是没想到最后情况变成了那样，力量耗尽时他往上看的那一眼，可能就是感受到了他的天命吧，他可能本来没打算死，但他也没有对生的向往，其他伙伴都有人在等他们上去，可惜他的兄弟姐妹已经死完了，已经没有人等他回去了，所以落下时他眉眼舒展，接受了死亡，或许也是解脱。,但他忘了，还有钟离在等他回去。甚至死前危险关头他不自觉地回想到了和钟离请命的画面，但他只把钟离当成敬重的神明，救赎自己的恩人，是君臣，他不允许自己给对方添麻烦，所以从来都没把钟离当成家人看待，也从来没有想依靠钟离过。接受死亡前可能稍微有些遗憾的也是遗憾自己不能再遵守契约，而不是没让钟离等到他回去。,所以荻花洲请命，他只是强硬说出自己必须要去，却没有向钟离请求帮助，他绝不允许自己再麻烦帝君了，这是他自己的心结与别扭。,只可惜钟离也是块老石头，本性很内敛，千年他可能都没办法直言劝动魈改变这种心态，但他一直在默默地关心魈。这回虽然也没和魈直言，但他一定是期盼着魈能好好回去的。在魈最终还是选择了死亡的时候，他或许也会有伤心，魈对自己的那种尊敬向往却又疏远，还是没把自己当成家人，还是不够成为让魈活下去的念想。。但他只能无可奈何地默默救下魈，已经不能再失去一位故人了，此时他的心情应该是有些压抑的，所以才会在旅行者告诉他魈承认救他时“有趣他竟这么说”“变得直白”笑了起来，开始和旅行者装傻，肉眼可见变得高兴放松了起来，他明白这回魈的心结确实是解开了,魈却没有想到接受了死亡之后，竟然能得到那个人第二次的救赎。,被救上来那个回眸，懵懂中难以置信惊喜带着点脆弱委屈，这个表情从来不对外人露，只有对亲近的家人才能露出如此不设防的表情。连他自己都没察觉到，已经把钟离当成了家人。他终于意识到还有家人希望他能活下来，等待着他回去。,最后铜雀庙上，形容魈表情就像是一个人顶着风雪走了太久，看了太多，终于在今日找到得以避雪的屋檐，不仅是解开心结能把大家当成同伴，也是真正感受到钟离希望他生的期愿，也终于把钟离当做了家人，当成可以寻求的依靠。"
"日向小果","女","无IP","5445468","5","","10000","3586","","这次剧情感觉那段恰头去尾的对话很微妙，感觉钟离和魈私下没少说这事吧，两人的语气，可能还吵过架[doge],钟离：此程或有风险，但你执意要去（说多少次了你就是不听）,魈：镇守此地百余年，从未擅离，唯无名夜叉一事，恳求帝君准行（我以前都很乖，这次就这点要求你就不能答应我吗）"
"叽咯咯咯咯哒","女","无IP","9981304","6","","10000","2826","","其实我觉得，魈魈在地下的时候就已经被说服了，因为在后来的剧情里，魈魈有提到他在秘境里拿了一块石头，若是能带出来就代替浮舍放在铜雀庙供奉。如果魈魈当时还是一心想着牺牲自己，救大家出去的话，他就没有必要拿这块石头了。但是到最后出去的时候，他发觉自己的力量不够了，非常无奈地看了看出口，又低下头，再看了看大家，他最终还是选择牺牲了自己，救大家出去，他真的，我哭死[哭泣][哭泣][哭泣]当他坠落那一段，闭上眼睛，仿佛解脱了一般，但正如烟绯所说，承受他人恩惠不是一件容易的事，如果魈魈没有被帝君救起，就这么地牺牲了，我想被救的大家心里都不会好受。但是对于魈魈来说，死亡或许是一种解脱，把他救起来会不会是一种自私的做法呢？但所幸的是，被救起来之后，魈魈想开了许多，也解开了一部分心结，相对于解脱来说，更像是一种新生。,,魈魈，我的宝，我真的好心疼呜呜呜呜呜呜呜呜呜呜[哭泣][哭泣][哭泣]"
"魈宝想玩和璞鸢","保密","无IP","400878846","5","原神","10000","3208","","小细节：魈宝自己本身由于业障，几次提醒大家不要靠近他，否则会受到业障的侵蚀。而且魈宝平时在使用元素力的时候也是伴有黑色烟雾的。但是在太威仪盘阵上送走旅行者们的时候，为了防止他们被业障侵蚀，用的是纯净的风元素力，一点黑雾都没有，真的[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
"Sleeping_Beast","保密","无IP","9056733","5","至尊戒","10000","162","","这次剧情动画有几处细节很不错,第一个是烟绯发现了太威仪盘必须由夜兰（人类）激活，让魈（夜叉）以仙力催动，这样才能为后面的“刀魈面”做铺垫。,第二个是主角自己头疼时望向层岩深处，突然更多的黑魂涌上来包裹了主角一行人。跟前面剧情主角进秘境遇见“深渊”有很大的关系。,第三个是我个人猜测，按理来说魈的仙力正常催动下应该是所有人都能安全逃离，但因为几次黑魂的袭击，让魈过度爆发仙力（尤其是被黑魂包裹，然后突破时能发现靖妖傩舞风枪的特效）个人猜测一个是魈仙力消耗过多，想要靠仙术救人牺牲自己。另一个感觉是太威仪盘承受不住魈的这次仙力爆发催动才导致破碎。,第四个就是夜兰被魈的仙术救下来的那一瞬间的夜兰的表情，让我有一种夜兰就是刀子嘴，豆腐心人设。,只能说这次剧情YYDS，太牛逼了。"
"依旧春星丶","保密","无IP","33434027","6","","10000","2104","","这次剧情真的……想说的大家都说了太牛了我就不说了！我特别想说的是，烟绯。这一次，我一直都觉得，她发挥的作用非常大。可以说是引领、主心骨、粘合剂的作用。真诚话术，调和各伙人之间的关系、矛盾，安抚大家情绪（比如派蒙那里），关键时刻把魈揪了出来（bushi）还有最后催动太威仪盘什么的。像是一个线索，然后贯穿始终，把大家联系到一起。（不是说其他人不好！！！所有人都发挥了自己的作用！！只是觉得烟绯这次是一个亮点，剧情展现出了她的能力）从头到尾处于一种理智、精力充沛、自我鼓励不消沉、鼓励别人不放弃，能够想办法推动事情发展的积极乐观的状态。不逞强、不刻意领导，但是该站出来就站出来。给我一种兜底的，气场温润温和的让人安心的感觉。换一种说法，可能乍一看，烟绯不是这一些人里面最张扬的、最有气场的、战力最强的、或者说乍一看就不是（所谓的）“主角”，甚至有时候可能会忽略掉她的存在（只是可能！），但是她就像是水一般温润地掠过、含括着所有人。所谓温柔的力量，温柔而坚定，就是她了。我想或许在这么一伙人里面，真的很需要烟绯这么一个角色存在。,我只是觉得，可能大家关注点一直都在其他人身上，没有人提到烟绯，（至少从我接收的信息来说。确实，烟绯这次可能不是所谓“最大的主角”，即需要大篇讲述其经历的人，对高潮部分起作用，与重点事件核心紧密相关的人）。而且我过剧情之前，不管是看到网上也好，还是周围人给发的信息也好，没有人提到烟绯。所以我就是想说一下烟绯这次的亮点……（无贬低其他角色，否认其他角色的意思！！我也不是鸣不平搞对立，我就是就是没看到有人说就说了，有可能有人说过但是我没看到！！）不知道有没有同感的人呀……[打call][打call][打call]"
"黑猫爱吃小水果","保密","无IP","23102350","6","神乐七奈","10000","3640","","原神2.7间章,,原以为神女劈观过后老米的剧情达到巅峰了，没想到这次来更大的，做这篇任务并不像在做任务，倒像看了一部电影。,,老米这次尝试了与以往想当不同的叙事手法。由于众人被困在地下空间，活动范围有限，所以大部分剧情表现以对话为主，以对话来丰满了各个人物的形象与性格特征:开朗沙雕但积极有正义感的一斗，一斗稳健又成熟的副手久岐忍，机智灵巧的烟绯，身手不凡、做事高效果断的夜兰,以及刚开始--意孤行最后明白了同伴之意义的魈，旅行者和应急食品派蒙，甚至一斗的牛牛阿丑也是。每个人在这个故事都起着作用。,,着重刻画的魈和夜兰是有着很明显的成长。魈的变化不必多说。夜兰虽然故事前后看着一样冷酷，嘴上说着随时可能把不守规矩的人清理掉,但当魈将众人送走时，夜兰-一个挽留的动作与神态便将她的成长完全地体现了。要说她有什么成长，那必是从-开始的除了烟绯谁都不信任变为了将大家都视为同伴。,,最后帝君的出场也尽显岩王爷的神性,,两次长动画cg我就不吹了，这块吹得太多了。夜叉与千岩军的故事在解密中一点点被揭晓，最后以- -段cg总结并升华，令人震撼,,最后的旅行者与魈来到铜雀庙处，帮魈解开了心结，剧情做完我的世界时间刚好是傍晚，夕阳的霞光落在铜雀庙上，似乎在诉说着那段史诗，千岩军们，夜叉们拼尽全力保卫自己家乡的史诗。“就应你说的吧，从今往后天下英雄永不陌路。”"
